"","logFC_WT","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.2401.2700",0.987910852280891,0.689668146855333,0.66132147686308,-0.194441196997623,0.341057491099074
"CM002236.1.3001.3300",-1.72399723938764,-1.34021375366158,-1.8461124165386,-1.04744368039963,-2.36293265417742
"CM002236.1.3301.3600",0.475860294971469,0.95942505329479,0.40258991134948,1.0396672461149,0.436651595440818
"CM002236.1.15001.15300",0.219328782216895,-0.0825669155016781,0.291694565386401,0.827917963779086,0.789266318629307
"CM002236.1.16501.16800",-0.710746612897535,-0.410142760618404,0.0146970602019971,-0.822257645147397,-1.4696239333581
"CM002236.1.17101.17400",-1.78055478832795,-2.23700457637174,-1.91234407795344,-3.13670268575104,-2.10206909705832
"CM002236.1.34201.34500",-1.18427829043652,-1.39957097849796,-1.62631877239705,-1.84767306996084,-1.57839634304369
"CM002236.1.34501.34800",-0.71383413646229,-0.684976408191166,-1.16589067365368,-1.22359198375929,-0.902737080383892
"CM002236.1.42901.43200",0.182264705552389,1.05678065009519,0.84260354277392,1.09253628564207,0.36841019306066
"CM002236.1.44701.45000",-1.01816419522275,-1.54843845735183,-0.820886466126932,-0.705558339005239,-0.550964266950418
"CM002236.1.45001.45300",-0.810529694918448,-0.592757049815675,-0.28813498754577,-0.271818259969413,-0.383894003970638
"CM002236.1.48301.48600",-2.11055848959121,-1.91812833177978,-2.00772217541888,-2.00197350170923,-1.45458900160398
"CM002236.1.48601.48900",-1.17021615226175,-0.830845320618643,-0.653388642497587,-0.652556011605332,-0.646896436308067
"CM002236.1.90901.91200",-0.859937001469985,-0.380005164397502,0.255777891961493,0.273706721441574,0.338541812838341
"CM002236.1.180301.180600",0.14941818154331,0.776162301330003,0.334006476065777,0.135874594167442,0.472184194176771
"CM002236.1.180901.181200",-0.868483909814321,-0.350860163939185,0.000529150665745274,0.0120516663806471,-0.0486330819470978
"CM002236.1.185101.185400",-0.3563233407567,-0.794347099758611,-0.737629520695837,-0.515808702822562,-0.481355004024962
"CM002236.1.185401.185700",-0.785403571387477,-0.883526227535771,-0.204835302281778,-1.25157421633666,0.231271947440527
"CM002236.1.185701.186000",-1.31467891911912,-1.34852684979839,-1.07800503465252,-1.82758138182416,-1.18216235968242
"CM002236.1.189601.189900",-1.02846928697802,-0.659356620221422,-0.37059289101586,-0.494106583021987,-0.784234703985431
"CM002236.1.189901.190200",-1.38903331800827,-0.576333300774432,-0.224587760341481,-1.41457423750156,-0.944727558225344
"CM002236.1.190201.190500",-0.7625329153564,-0.284953563326372,0.0592448132494138,-0.671292924654994,0.160417004407103
"CM002236.1.194101.194400",-0.978345585950107,-0.886454941594632,-0.475961127621695,-0.384882863752047,-0.671049871056693
"CM002236.1.194401.194700",-1.31740864472637,-1.63791301834756,-1.33528118235321,-1.44746741590516,-1.55971551446405
"CM002236.1.194701.195000",-1.15660004607044,-1.61257431317594,-0.447535310221788,-1.27605972118653,-1.04856937887574
"CM002236.1.195601.195900",-0.730257793109443,-1.25151665651068,-0.349271217714712,-0.428300798275911,-0.0698381229810766
"CM002236.1.195901.196200",-0.891063381413316,-0.898088575888328,-0.404122786020626,-0.985429442435392,0.262360043383863
"CM002236.1.196501.196800",-1.64999053375832,-1.55067073341841,-1.39130577392174,-1.26208473359257,-1.00425722629859
"CM002236.1.196801.197100",-1.81655978042495,-2.0079623111936,-2.30754513676517,-2.4771990973624,-1.240805276378
"CM002236.1.197401.197700",-1.71021980960555,-2.00845591689785,-1.46379432883678,-1.69226738411255,-1.46713006971762
"CM002236.1.197701.198000",-1.28057329711088,-1.31661802960052,-1.47714231997166,-1.07240893986358,-0.605216868322744
"CM002236.1.209401.209700",-0.245227404861624,-0.210813089098053,-0.226364798583391,-1.0437640267878,0.0396989740662064
"CM002236.1.209701.210000",-0.761645765770163,-0.842737509970383,-0.622215643976423,-1.00031483128295,-0.657656655187239
"CM002236.1.210001.210300",-1.55750254392063,-1.4939573591297,-0.756738698014775,-1.32015285524887,-1.23353420361586
"CM002236.1.213901.214200",-0.857709512342572,-0.526124133158679,-0.0484689074900709,-0.731552676240333,0.361992393322482
"CM002236.1.221401.221700",-0.953583036956988,-0.46099514323488,-0.37839437732686,-0.835422484361204,-0.0443135329859224
"CM002236.1.223801.224100",-1.29864284069872,-0.497657354077196,-0.0146757278898108,-0.253485398985085,-0.156131058350366
"CM002236.1.246601.246900",-0.908584415306609,-0.406387378683777,0.392363707457692,-0.685999941217614,-0.579423506657631
"CM002236.1.252301.252600",0.680620063581568,0.901291701756547,0.781547151085364,0.713236758170652,0.896966162676123
"CM002236.1.252601.252900",0.0800440093875177,0.315234745284647,0.737376294029629,0.158225224483256,0.496783727910588
"CM002236.1.255601.255900",-0.99720847442553,-1.07123532128033,-0.703051814565208,-1.34478751876145,-0.915150747452846
"CM002236.1.255901.256200",-0.741390075962447,-0.901754122529591,-1.12722318905549,-0.560656564464789,-0.275898927641772
"CM002236.1.256501.256800",-1.26805377493712,-0.263864043029352,-0.19410375809784,0.119614455296668,-0.404760000200378
"CM002236.1.256801.257100",-0.435625961991795,-0.77870440721129,-0.360734855548406,-0.968384746933504,-0.57398069079102
"CM002236.1.257101.257400",-0.701480854564199,-0.821962891594722,-0.490666122275405,-0.90504762789821,0.0815822873038032
"CM002236.1.263401.263700",-0.872882752683613,-0.485685768421329,-0.217774907545424,-1.21417391656321,-0.699533033267667
"CM002236.1.263701.264000",-0.812345153158418,-0.620070674381072,-0.0735945801283833,-1.18355752162455,-0.419181094716808
