"","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.2878.3878",0,0,0,0
"CM002236.1.2177.3177",0,0,0,0
"CM002236.1.14929.15929",0,0,0,0
"CM002236.1.16440.17440",0,0,0,0
"CM002236.1.33980.34980",0,0,0,0
"CM002236.1.42632.43632",0,0,1.07385948144557,0
"CM002236.1.44551.45551",0,0,0,0
"CM002236.1.48154.49154",0,0,0,0
"CM002236.1.58145.59145",0,0,0,0
"CM002236.1.90323.91323",0,0,0,0
"CM002236.1.180222.181222",0,0,0,0
"CM002236.1.185051.186051",0,0,0,0
"CM002236.1.185039.186039",0,0,0,0
"CM002236.1.189595.190595",0,0,0,0
"CM002236.1.189406.190406",0,0,0,0
"CM002236.1.194064.195064",0,0,0,0
"CM002236.1.195335.196335",0,0,0,0
"CM002236.1.196290.197290",0,0,0,0
"CM002236.1.197194.198194",0,0,0,0
"CM002236.1.209343.210343",0,0,0,0
"CM002236.1.209486.210486",0,0,0,0
"CM002236.1.213619.214619",0,0,0,0
"CM002236.1.216521.217521",0,0,0,0
"CM002236.1.220979.221979",0,0,0,0
"CM002236.1.223661.224661",0,0,0,0
"CM002236.1.246248.247248",0,0,0,0
"CM002236.1.247478.248478",0,0,0,0
"CM002236.1.251944.252944",0,0,0,0
"CM002236.1.255694.256694",0,0,0,0
"CM002236.1.255165.256165",0,0,0,0
"CM002236.1.256492.257492",0,0,0,0
"CM002236.1.263387.264387",0,0,0,0
"CM002236.1.265388.266388",0,0,0,0
"CM002236.1.290632.291632",0,0,0,0
"CM002236.1.292166.293166",0,0,0,0
"CM002236.1.297770.298770",0,0,0,0
"CM002236.1.301352.302352",0,0,0,0
"CM002236.1.8867649.8868649",0,0,0,0
"CM002236.1.9651509.9652509",0,0,0,0
"CM002236.1.9688732.9689732",0,0,0,0
"CM002236.1.9690543.9691543",0,0,0,0
"CM002236.1.9688977.9689977",0,0,0,0
"CM002236.1.9693340.9694340",0,0,0,0
"CM002236.1.9693631.9694631",0,0,0,0
"CM002236.1.9758596.9759596",0,0,0,0
"CM002236.1.9772169.9773169",0,0,0,0
"CM002237.1.11029.12029",0,0,1.33993011682744,0
"CM002237.1.10641.11641",0,0,1.25279201932558,0
"CM002237.1.13311.14311",0,0,0,0
"CM002237.1.18173.19173",0,0,0,0
"CM002237.1.18041.19041",0,0,0,0
"CM002237.1.35627.36627",0,0,0,0
"CM002237.1.38253.39253",0,0,0,0
"CM002237.1.41401.42401",0,0,0,0
"CM002237.1.50942.51942",0,0,0,0
"CM002237.1.55203.56203",0,0,0,0
"CM002237.1.69444.70444",0,0,0,0
"CM002237.1.74342.75342",0,0,0,0
"CM002237.1.75400.76400",0,0,0,0
"CM002237.1.75424.76424",0,0,0,0
"CM002237.1.106019.107019",0,0,0,0
"CM002237.1.148334.149334",0,0,0,0
"CM002237.1.561860.562860",0,0,0,0
"CM002237.1.563402.564402",0,0,0,0
"CM002237.1.567505.568505",0,0,0,0
"CM002237.1.570312.571312",0,0,0,0
"CM002237.1.584152.585152",0,0,0,0
"CM002237.1.1678593.1679593",0,0,0,0
"CM002237.1.1679516.1680516",0,0,0,0
"CM002237.1.1684546.1685546",0,0,0,0
"CM002237.1.1684913.1685913",0,0,0,0
"CM002237.1.4046143.4047143",0,0,0,0
"CM002237.1.4165274.4166274",0,0,0,0
"CM002237.1.4297462.4298462",0,0,0,0
"CM002237.1.4448862.4449862",0,0,0,0
"CM002237.1.4452364.4453364",0,0,0,0
"CM002237.1.4465317.4466317",0,0,0,0
"CM002237.1.4467612.4468612",0,0,0,0
"CM002238.1.8256.9256",0,0,0,0
"CM002238.1.11870.12870",0,0,0,0
"CM002238.1.28170.29170",0,0,0,0
"CM002238.1.30599.31599",0,0,0,0
"CM002238.1.161404.162404",0,0,0,0
"CM002238.1.162882.163882",0,0,0,0
"CM002238.1.167007.168007",0,0,0,0
"CM002238.1.200169.201169",0,0,0,0
"CM002238.1.218438.219438",0,0,0,0
"CM002238.1.221618.222618",0,0,0,0
"CM002238.1.223109.224109",0,0,0,0
"CM002238.1.223365.224365",0,0,0,0
"CM002238.1.224708.225708",0,0,0,0
"CM002238.1.229458.230458",0,0,0,0
"CM002238.1.233968.234968",0,0,0,0
"CM002238.1.233920.234920",0,0,0,0
"CM002238.1.238377.239377",0,0,0,0
"CM002238.1.238407.239407",0,0,0,0
"CM002238.1.243748.244748",0,0,0,0
"CM002238.1.247405.248405",0,0,0,0
"CM002238.1.252198.253198",0,0,0,0
"CM002238.1.264422.265422",0,0,0,0
"CM002238.1.265739.266739",0,0,0,0
"CM002238.1.268061.269061",0,0,0,0
"CM002238.1.271106.272106",0,0,0,0
"CM002238.1.272674.273674",0,0,0,0
"CM002238.1.273858.274858",0,0,0,0
"CM002238.1.275772.276772",0,0,0,0
"CM002238.1.279201.280201",0,0,0,0
"CM002238.1.279999.280999",0,0,0,0
"CM002238.1.285185.286185",0,0,0,0
