"","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.407101.407400",0.558180704574368,1.26491470218253,0.693644771297626,1.87759362606705
"CM002236.1.407701.408000",1.20746974828102,1.98070389527307,1.79324479650161,3.68844265725771
"CM002236.1.408601.408900",-0.146056555102836,0.656426105603489,0.530882973775668,2.94325494639737
"CM002236.1.639901.640200",1.77102441380115,1.31645450115409,1.49656543489559,0.252159317423632
"CM002236.1.1857301.1857600",-5.12422926871076,0.533181472844428,0.526628047731899,-0.131075314697048
"CM002236.1.1857601.1857900",-8.22210593267583,0.658051379544615,0.580391791999059,0.860859856439541
"CM002236.1.1857901.1858200",-8.39271124411258,0.90079529973447,1.06758424511834,-1.76654121374959
"CM002236.1.1859101.1859400",-8.64648046674353,0.354000380172579,0.518952925857731,0.834476706351036
"CM002236.1.1859401.1859700",-8.60744397133245,0.96245566702463,0.727284424708322,0.714636683792215
"CM002236.1.1859701.1860000",-8.08035410447599,1.06074005691278,1.11124969392529,1.02529904264195
"CM002236.1.1860001.1860300",-8.69187230503971,0.927109017966129,0.291630790703404,0.615887834336518
"CM002236.1.1860901.1861200",-6.96409989542254,0.312606255637751,-0.0688300633729653,-0.131142774055283
"CM002236.1.1861501.1861800",-9.72966484467092,0.192182180291852,-0.269822978630591,-0.333456061183149
"CM002236.1.1861801.1862100",-9.4661102255201,0.329586980412786,-0.252526631847739,0.0188459862111228
"CM002236.1.1863601.1863900",-2.23579419757557,0.834424538901716,0.277648639334779,3.05062960356927
"CM002236.1.2566201.2566500",0.262312676677028,1.10283434551546,2.12819063454348,0.13600929279078
"CM002236.1.4520401.4520700",0.442002006636843,1.02228717422542,1.85180435313906,0.559784906951866
"CM002236.1.5443801.5444100",0.319608529406828,0.75754691987189,1.86639022180277,0.153811271106217
"CM002236.1.7477801.7478100",0.704466171177431,1.58572931910148,1.77593119954855,0.807639669404202
"CM002237.1.2741701.2742000",1.02657361359675,1.13960959566059,1.81646320892657,0.397366180934952
"CM002237.1.2809501.2809800",0.984302901160367,1.6771488799919,2.12042365690182,1.08039324154292
"CM002237.1.4339201.4339500",0.210166725760277,1.0816014011463,1.8044163072961,-0.634614550903502
"CM002238.1.2147101.2147400",0.395890186017325,0.389267399492474,2.01433246383478,0.100658608247447
"CM002239.1.467401.467700",1.92270344351442,1.61016828124243,1.74287830087284,1.417271366782
"CM002239.1.5069101.5069400",1.71651155573284,1.50818518024426,0.284624010285642,0.792256216574999
"CM002239.1.5447101.5447400",-0.0236981522549204,0.483660939815772,1.81386243242257,-0.300960693649744
"CM002240.1.2537701.2538000",-1.19295094734962,-2.48924085461434,-2.2667072047355,-0.811893641993606
"CM002240.1.5866501.5866800",0.393936108197749,1.13180947591287,2.00143281958105,0.215169375037161
"CM002240.1.6411601.6411900",0.586093204299611,0.478020760028098,1.87451439541047,0.83719274753749
"CM002241.1.309601.309900",-3.41549987948635,-0.927624297166511,-1.05665515309863,-0.334669399729956
"CM002241.1.309901.310200",-9.75834253943007,-1.53847578565046,1.51451583320002,-0.432317409975608
"CM002241.1.310201.310500",-2.82368098550582,-0.481840043107929,-0.706171377303899,0.128043222101947
"CM002241.1.310801.311100",-3.72188405489833,-1.14255932663008,-1.26233112629398,-1.60709520724503
"CM002241.1.311101.311400",-6.53925305280421,-1.66073072741275,-0.157552346057861,-1.87877282149531
"CM002241.1.314101.314400",-3.24131859272737,-1.56990586181512,-1.10939271177102,-0.85842707177354
"CM002241.1.314401.314700",-2.1776253378328,-2.10858528040351,-2.15010144390977,-1.83171686948216
"CM002241.1.314701.315000",-8.35160792686436,-2.20764996207159,-1.23031743074644,-0.984964042714195
"CM002241.1.315601.315900",-4.12038711829155,-1.76928129550696,-0.891426600751679,-1.9554893536179
"CM002241.1.315901.316200",-5.43198602416844,-2.1521443592811,-1.99602665498197,-1.38903327354209
"CM002241.1.316201.316500",-5.94419593409479,-2.10797152179492,-4.30886635827707,-1.884507016071
"CM002241.1.316801.317100",-6.32827137111639,-2.54987510724682,-0.579173046941283,-2.28570877104463
"CM002241.1.317101.317400",-4.76094387220676,-1.69643856783872,-2.23606843287155,-1.61152812001437
"CM002241.1.318301.318600",-5.42898027316986,-2.2089301144728,-0.697306926505132,-3.51998055355411
"CM002241.1.318601.318900",-3.08745545041556,-2.72400509873241,-0.309944896103944,-1.08388871893871
"CM002241.1.319501.319800",-4.3600167407049,-1.50358444039805,-1.62635787440379,-0.678683391404893
"CM002241.1.2719501.2719800",-1.32603192643296,-1.14867831701989,-2.00267524148819,-0.854457626370916
"CM002241.1.3972901.3973200",1.25785085637593,1.61487374111055,2.2913376315878,1.29381238800788
"CM002242.1.157501.157800",0.880245468316621,1.89401186310239,1.57687162006898,1.3606797412919
"CM002242.1.661501.661800",0.907086432245543,1.63770257839914,0.953615281790831,2.80766692216181
"CM002242.1.3059401.3059700",0.985503120823112,0.811662899880176,2.0619346767137,0.281604015817697
"CM002242.1.3059701.3060000",0.300280185792137,1.79103532006403,2.7770850659761,0.4302528225131
