"sample_id","library_size","detected_genes","pct_zero","size_factor"
"WT_rep1",67372780,9270,4.99,2.58949057432213
"WT_rep2",82488872,9298,4.7,3.16785679347734
"WT_rep3",82006240,9301,4.67,3.15477764551234
"WT_rep4",66838780,9267,5.02,2.5672565952349
"cac1_new_rep1",7989915,9265,5.04,0.223824520245844
"cac1_new_rep2",25315143,9538,2.24,0.745447730405665
"cac1_new_rep3",20803776,9483,2.81,0.573675956178835
"cac1_suz12_rep1",25457666,9580,1.81,0.601798503921488
"cac1_suz12_rep2",28327383,9602,1.59,0.781116792130248
"cac1_suz12_rep3",18993719,9560,2.02,0.448055815189751
"suz12_rep1",25901711,9254,5.16,1.01153115572614
"suz12_rep2",19772555,9163,6.09,0.718028772676282
"suz12_rep3",27663072,9249,5.21,1.07135469069468
