"","cac2_rep1","cac2_rep2","cac2_rep3","cac3_rep1","cac3_rep2","cac3_rep3","naf1_rep1","naf1_rep2","naf1_rep3","asf1_rep1","asf1_rep2","asf1_rep3","naf2_rep1","naf2_rep2","naf2_rep3","atrx_rep1","atrx_rep2","atrx_rep3","WT_rep1","WT_rep2","WT_rep3","WT_rep4","set7_rep1","set7_rep2","set7_rep3","cac1_new_rep1","cac1_new_rep2","cac1_new_rep3","ash1_rep1","ash1_rep2"
"NCU10129",500,499,488,2395,2599,2602,642,590,931,411,255,255,766,740,546,435,631,346,1168,1297,1322,1135,331,470,669,191,617,466,23,40
"NCU09901",624,529,503,804,1157,1229,401,356,542,265,207,186,604,552,414,131,139,204,992,1310,1151,976,176,195,203,121,365,434,119,117
"NCU09903",2152,1656,1353,3214,4548,4038,958,872,1187,985,766,654,1909,1935,1278,198,253,250,3081,3842,3711,3003,615,769,836,55,258,175,430,231
"NCU11134",13,14,6,12,24,15,0,8,9,2,7,4,10,0,0,4,1,0,4,4,4,5,0,0,6,2,21,4,0,1
"NCU09904",550,579,742,555,500,712,5003,4415,5627,2083,315,797,1645,2315,993,569,656,359,5070,6230,6086,5040,678,1464,2624,506,1393,1315,12,35
"NCU09906",2838,2513,2966,2999,3325,3792,16382,16411,20473,8889,632,2094,7648,10150,5186,2152,2482,1399,30092,35314,35483,29782,2791,5494,8136,1071,2983,3231,23,78
"NCU09907",159,107,102,425,442,512,2,0,0,4,4,0,7,0,0,0,6,0,4,2,6,2,9,23,46,6,40,33,2,1
"NCU09908",6,1,4,13,4,6,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,14,14,0,0
"NCU09909",7021,6257,7374,4210,5181,5351,2386,2526,3489,1576,3969,1824,3104,1895,2645,1984,2791,2506,1040,1296,1485,1044,896,1676,1579,40,242,154,20,83
"NCU09910",1026,837,967,1140,1436,1249,738,728,935,263,226,179,875,839,633,326,377,287,1576,1879,1854,1537,303,276,292,94,364,236,57,152
"NCU09911",9727,7892,9290,13414,17137,16813,5248,5360,6914,2230,2460,3448,5475,5028,4492,3056,3854,3541,5277,6147,6263,5166,2922,2706,2239,880,4268,2135,1622,965
"NCU09912",1526,1412,1326,2187,2903,2920,637,603,792,526,405,342,1290,1115,950,629,715,630,1671,2023,2133,1737,327,391,415,68,210,148,143,146
"NCU09913",522,605,683,596,700,594,299,304,397,236,155,142,362,364,311,291,384,234,378,515,426,366,171,213,410,56,280,217,36,26
"NCU09914",102,93,108,76,144,132,164,178,249,108,48,75,77,45,43,57,79,29,120,168,121,105,160,104,155,67,224,155,49,25
"NCU10501",7,5,30,91,126,99,5,6,3,0,1,6,6,6,5,6,7,4,14,19,11,10,17,26,26,0,4,6,0,1
"NCU08049",925,800,818,1250,1617,1352,306,281,380,180,158,125,387,377,304,417,451,360,684,826,777,714,250,190,274,76,298,220,91,63
"NCU08050",771,747,887,591,645,738,195,220,308,56,79,71,261,205,213,273,323,234,413,497,451,349,137,86,110,42,123,106,40,28
"NCU08051",783,688,700,683,877,883,712,712,1020,368,265,299,809,999,561,288,359,280,1442,1969,1889,1463,387,255,204,49,160,130,75,89
"NCU16303",266,262,295,335,436,361,339,350,568,184,86,121,370,500,240,162,190,133,713,1045,947,687,160,118,141,14,43,57,40,24
"NCU08052",1736,1515,1309,3810,3135,4210,837,876,1028,409,53,59,23138,39564,17095,6740,6176,3598,47141,57545,56818,46935,2836,661,1017,706,2937,1967,15,39
"NCU08053",2371,2040,1990,1958,2322,2421,715,861,1280,1035,1108,756,2374,2251,1667,1037,1332,1027,4193,5418,5232,4107,802,886,1331,360,1330,742,303,305
"gh3-2",3279,2861,3027,3013,3580,3341,2497,2298,2899,1321,750,711,5389,5870,3747,2345,2674,1867,8294,10095,10124,8100,1115,1096,1686,452,1686,1454,325,432
"NCU08055",9638,8593,8388,6297,7162,7401,8578,8799,12370,11047,4746,3930,20934,26324,14746,8659,10758,6065,62754,75693,75511,62427,5162,6754,11746,2652,8982,5735,4187,2567
"NCU08056",1289,1010,967,765,1141,852,285,297,333,287,131,106,1112,1332,814,379,367,315,1056,1262,1194,989,294,233,355,68,384,234,518,408
"NCU08057",1732,1444,1237,4094,4606,4640,496,438,564,321,89,110,2412,2583,1700,2360,2471,1544,3572,4340,4162,3497,370,282,419,464,1436,1308,49,38
"NCU08058",237,195,180,99,158,115,86,87,83,56,62,31,93,86,67,75,63,62,106,118,117,92,66,40,79,36,139,86,15,9
"NCU08059",0,1,0,0,0,0,0,2,1,0,0,0,3,0,1,0,0,0,1,2,4,3,0,0,0,0,0,0,0,0
"NCU08060",170,162,146,102,119,94,30,39,42,85,31,31,197,195,158,103,101,96,312,410,342,294,88,116,124,22,77,80,14,11
"NCU08062",173,136,142,108,176,125,55,49,47,128,69,73,208,277,115,74,69,62,386,442,431,423,110,98,144,26,75,62,18,11
"NCU08063",1676,1327,1560,1321,1829,1443,1132,1196,1588,698,426,373,1864,1897,1234,700,760,720,3772,4334,4294,3570,452,425,589,182,664,443,142,168
"NCU08064",3476,2960,3347,4050,4864,4718,3005,2821,3548,986,430,576,5668,5993,4067,2864,2642,2210,7142,10150,10162,7391,698,729,801,282,868,651,115,209
"NCU08065",705,709,601,656,810,769,348,305,382,226,195,190,710,829,599,407,514,412,1088,1255,1132,1004,176,191,211,90,276,242,90,87
"NCU08066",5392,5038,4549,4696,5826,5745,2312,2243,2771,2450,2171,1728,5272,4837,3820,2350,3137,2482,7089,7932,7929,6845,2443,1990,2412,399,1636,963,454,460
"ro-10",483,435,470,670,810,823,225,266,341,216,141,151,435,526,356,239,253,228,969,1241,1341,932,187,173,147,100,264,186,43,51
"NCU08067",2343,2141,2105,1788,2067,2043,1884,1807,2487,1104,801,851,2279,2354,1732,1007,1215,902,4252,5091,5093,4185,929,882,852,271,760,631,268,289
"NCU08068",246,252,261,241,316,293,111,172,216,125,51,56,240,261,191,117,125,104,568,898,910,616,74,72,85,60,181,156,56,71
"NCU08069",192,199,206,170,266,259,275,243,345,93,73,68,198,267,135,180,219,139,573,673,678,568,118,56,118,109,460,305,47,50
"NCU08070",2896,2472,2896,1810,2284,2160,2742,2772,3634,2109,1401,1251,3629,4038,2668,1817,1775,1321,7595,8983,8585,7333,1261,1432,1688,873,2157,2596,128,122
"cyt-21",1930,1639,1570,2461,3009,2820,516,617,962,868,678,630,1444,1510,1140,721,977,745,3127,3683,3644,3223,559,648,647,190,664,422,189,192
"NCU08072",3903,3559,3414,4227,5424,5081,2232,2083,2775,1669,1526,1176,4069,4359,3127,2325,2777,2204,6873,8150,8239,7122,1336,1127,1265,495,1700,1582,450,422
"NCU08073",151,115,140,262,268,213,33,23,36,29,9,10,26,31,17,31,30,20,55,81,47,58,8,11,22,30,102,54,21,18
"NCU08074",28,16,19,30,43,41,0,6,5,0,4,0,0,8,0,2,0,2,6,4,2,7,0,0,0,0,19,22,9,3
"NCU08075",18,8,20,22,27,18,12,10,4,4,2,0,0,2,4,6,2,6,8,4,8,4,12,0,2,12,32,16,1,1
"NCU08076",679,619,596,401,398,479,132,107,121,247,101,118,1161,1403,730,512,490,382,1540,2151,2078,1583,374,306,398,47,160,152,12,52
"NCU08077",81,64,84,88,129,83,4,4,0,0,0,2,4,7,2,0,0,2,2,0,4,13,6,3,2,126,593,430,1,1
"NCU08078",38,55,48,80,161,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,96,318,262,2,0
"NCU08079",4,14,0,2,4,2,0,0,1,0,0,0,2,1,1,0,1,0,0,5,0,0,2,2,2,4,4,4,0,0
"NCU16305",2,0,4,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,4,6,0,0
"NCU08083",0,0,4,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,6,6,6,6,0,0
"NCU08084",36,27,19,2,14,10,0,2,0,2,0,2,5,2,0,1,0,0,2,4,4,4,25,44,49,12,22,16,1,0
"NCU08085",109,90,89,112,127,150,0,0,0,0,4,0,0,0,0,2,0,2,0,0,0,0,32,62,38,0,2,2,4,1
"NCU08086",17,12,12,17,14,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,15,10,0,2,0,0,0
"NCU08087",36,40,39,13,7,13,0,0,0,0,0,0,0,0,2,2,2,0,0,0,6,0,4,0,4,4,8,10,26,3
"NCU08089",80,73,45,9,15,8,16,20,27,15,22,21,19,19,17,20,19,5,19,31,38,18,17,14,34,0,18,15,1,3
"NCU16306",1731,1744,1740,850,1106,979,1550,1925,2355,817,813,882,1512,1488,1190,923,1524,753,3110,3971,3963,3084,827,1001,1692,180,850,487,369,457
