"sample_id","library_size","detected_genes","pct_zero","size_factor"
"WT_0hr_rep1",15263997,9069,14.12,0.857769557739573
"WT_0hr_rep2",22512484,8900,15.72,1.76450290650964
"WT_0hr_rep3",25971202,8971,15.05,2.09994182943932
"WT_0hr_rep4",8399000,8698,17.63,0.400273021288924
"WT_0hr_rep5",34009695,9146,13.39,1.31043965650289
"WT_24hr_rep1",28172346,9111,13.72,1.49104147714732
"WT_24hr_rep2",46346769,8901,15.71,1.06706833381813
"WT_24hr_rep3",30466894,8813,16.54,0.832856981193012
"qa_0hr_rep1",22534999,9379,11.18,1.64936493532177
"qa_0hr_rep2",20987084,8992,14.85,2.15591249722224
"qa_0hr_rep3",30492965,9082,14,2.95180544367367
"qa_0hr_rep4",6988121,8793,16.73,0.522205535584895
"qa_0hr_rep5",16177648,8574,18.81,0.185154206687961
"qa_24hr_rep1",25833976,9207,12.81,2.03956707582177
"qa_24hr_rep2",44186483,8736,17.27,0.654923443860396
"qa_24hr_rep3",37360522,8550,19.03,0.338676195825514
