"","WT_0hr_rep1","WT_0hr_rep2","WT_0hr_rep3","WT_0hr_rep4","WT_0hr_rep5","WT_24hr_rep1","WT_24hr_rep2","WT_24hr_rep3","qa_0hr_rep1","qa_0hr_rep2","qa_0hr_rep3","qa_0hr_rep4","qa_0hr_rep5","qa_24hr_rep1","qa_24hr_rep2","qa_24hr_rep3"
"NCU10129",10.3049798061969,7.93728977294835,7.82206395214365,9.64177105161733,9.11393460710163,8.73603427483768,8.91901168462431,9.12896901296697,7.4924970760487,7.20341399500564,7.29810472073329,7.57610809427425,7.85513421031654,8.70029482195011,7.83191355102497,8.33001169830459
"NCU09901",8.40513265027004,8.00907381551204,8.34692722410681,7.53919792905043,8.22359013801476,7.54752056906458,7.90692564826726,7.34741825258622,7.56395162698593,8.57888964327021,8.34126991203013,7.01219381355817,7.37869803375834,7.69785743363806,7.62338764094482,7.70935765566961
"NCU09903",7.0550156745006,9.21040294532593,9.41984801676179,6.40765156606316,7.3785880772196,6.76252812954137,8.49271836172743,8.33046773809458,6.70261106414782,9.7022352126833,9.1509676245769,6.29236420638662,8.36191670091725,7.13468209319193,8.12881973245519,7.70935765566961
"NCU09904",10.4587090557098,6.46761414012469,6.28696626816026,9.51445650282449,9.44468776881656,8.04342819025783,6.23395961957682,6.40896298250795,10.5626241864012,6.79169276547684,7.43235967597107,10.3804207854188,10.4387884702044,6.14135670343858,7.23927905005177,7.16924887882787
"NCU14001",5.16948368920149,4.34633828548441,4.2980785101292,3.76029334070557,4.43874815720823,4.53706187814728,4.29380152257207,4.3632246500607,4.43645872841886,4.86550722810295,4.76030571379731,4.51852403567599,5.47854097102826,4.57279064607294,4.58770850167155,4.69619023911952
"NCU09906",12.2319409030226,7.09633488094674,6.99514037801577,11.2602554898243,11.3456837307821,9.36030678797797,6.96543370907026,7.36868052447952,12.0328991628701,7.95734743645633,8.9311444205859,12.0354277474387,12.3234822190367,6.64077777351953,7.68919704326104,7.5357117871884
"NCU09909",6.67594696172446,7.6974606337951,7.81595724794455,6.00482915376816,5.64813183751349,4.53706187814728,4.51060952041877,4.60698236512151,6.00583245994567,7.61419366346377,7.70847943637486,5.3876682236354,6.07878016192437,5.00819624690296,4.91543369796222,4.69619023911952
"NCU09910",6.64205119949685,7.26133494002396,6.89351820836517,6.22122069395772,5.71723673515506,7.11320041371931,7.66090650140654,7.25904032794281,6.60532286704557,7.62785544790175,7.22754908331989,6.49463188173699,6.07878016192437,6.73838177066056,7.40553782289243,7.46473525158615
"NCU09911",10.5092103753987,11.6111167409334,11.4709349434725,9.83966661524971,9.93780410700887,10.194488509649,9.63880866712117,10.2187000704531,11.1655263548367,11.8642005376136,11.6176623229641,10.6151908884057,7.28116524816629,9.62171139728962,8.77789624573068,7.93574975611891
"NCU09912",8.4491756569351,7.7131971836247,7.81595724794455,8.28224122343718,8.44544512379317,7.83820778767713,8.64926648266698,8.1343923997616,7.54052866876634,8.13730679336438,7.90955673915251,7.546705468857,7.55575902625292,7.87162557226074,8.09691459642788,8.21980429763196
"NCU09913",7.52870974301765,5.03762662702339,5.13839614074406,7.0292764000265,6.50309088917578,5.56587671924491,5.6910165542504,5.18885615223702,5.97702912000958,4.59276597206486,4.65818383033415,5.9648761698554,6.07878016192437,5.03456601485315,4.71153336842822,5.06252144755591
"NCU09914",6.10288280744536,7.25595352678884,6.80283434829539,6.5717263542239,6.71026135274061,5.00514850463964,5.2963623940503,4.94166630663503,6.78552499614659,6.50696636921449,6.43115254918614,6.43046928003569,5.47854097102826,5.06027206034928,5.35539920053052,5.06252144755591
"NCU10501",4.77573811665923,4.34633828548441,3.76029334070557,5.59338806815942,5.00255908801251,3.76029334070557,3.76029334070557,3.76029334070557,4.7527291320769,3.76029334070557,4.40023516169598,3.76029334070557,4.65661675583913,3.76029334070557,3.76029334070557,3.76029334070557
"NCU08049",7.60015283124495,7.67754332375476,7.51764204492681,7.68711388734593,8.56087678305114,9.84059390535494,8.47760456091964,8.55924319933868,7.03559011388347,7.65479339528728,8.06771852150151,6.77722639008064,7.28116524816629,8.64829651724683,7.89827024333842,8.10043550194417
"NCU08050",4.59493292124657,5.97064845662298,5.86381252842051,4.80993179333311,4.43874815720823,4.6537549836962,4.92793227358365,4.79020797193104,4.61105137381624,4.97596509326985,5.116037688411,5.04580337532374,3.76029334070557,4.30588795233363,4.43889888795885,5.33113459770557
"NCU08051",7.8475060437704,7.7053505465492,7.34981067426609,8.02922196481024,7.83133410631764,8.25819814995587,8.70222015174562,8.78044093093084,7.83025613819591,8.2950709801615,8.07682106930353,7.84100276164752,9.2907295723745,8.07209302203772,9.71285580057627,9.60148090139564
"NCU08052",13.1055521700455,8.57942510511903,8.11829791665105,12.6745518976152,12.8484257819842,9.86259115980583,9.43115391229006,9.05920053330592,12.5277433859035,8.75513184032381,8.89049514894366,11.6670355838477,12.9829986506356,9.40920223921335,9.37735761883738,10.3601085475165
"NCU08053",8.26975070335805,10.0940195668501,10.0791150412587,8.05662686502121,8.44860452548045,9.19176643322362,8.46233028072575,8.50298052316378,8.84802621495783,10.3980758020728,10.1520129424842,9.16605959859289,8.21202110521599,9.30341798885854,9.47038439720798,7.86418853679646
"gh3-2",9.91322693533724,8.85867358614208,8.95774425750309,9.72506811905894,8.95653007280896,8.17005516392667,8.32549954473875,7.77857398038395,9.24992400807953,8.68199171041696,8.61659045780343,8.99239865249469,9.27822876720358,8.26649300997098,8.50188478544194,8.5046223723855
"NCU08055",11.5473146402139,11.7696232329041,11.7299029886316,11.9528750348206,12.5732922814663,12.8974327086164,11.9821175551868,11.82013988101,12.4955393564118,12.0744582778751,12.2348360130074,12.5218671122351,11.8190815441603,12.4526797153596,13.0837330817088,12.0877031147416
"NCU08056",5.61477067850434,7.33970239418468,7.34981067426609,4.62341715328033,5.99795988823882,6.13107852730612,8.23847458860226,7.4102754575833,6.03402060097675,7.43138263186501,7.24064085673405,5.04580337532374,6.07878016192437,6.64077777351953,6.87218469705385,7.04446607049746
"NCU08057",10.6298241034287,8.94089451091666,8.74023768128246,9.87080323153464,10.1638710507065,8.73148406552636,9.1461205943794,8.58657051816672,9.111220436147,8.63558115715369,8.97262648959733,8.34549302897388,6.29974974367435,8.06416587615509,7.11653575947874,7.62517045697802
"NCU08058",6.37824604117205,4.67775758030055,4.87945093050488,6.22122069395772,5.76128882251263,4.53706187814728,5.2963623940503,4.79020797193104,5.4427298517313,4.50689337913783,4.93466157711339,5.22989964144628,3.76029334070557,4.76657772046173,4.43889888795885,5.06252144755591
"NCU08059",3.76029334070557,4.17610402852638,3.76029334070557,3.76029334070557,4.24222238769823,4.21234589953771,4.29380152257207,3.76029334070557,3.76029334070557,3.76029334070557,3.76029334070557,4.51852403567599,3.76029334070557,3.76029334070557,3.76029334070557,3.76029334070557
"NCU08060",5.05460939252522,5.82617629855825,5.48925056511659,5.74574540484381,6.3172690835649,6.04213058655741,5.57320632140059,5.39003062716734,5.52866049282041,6.1078478540971,6.1973706387332,5.86858432765602,5.47854097102826,5.72951610676169,5.22765705912103,6.03653514503829
"NCU08062",5.75523369499669,5.8563854300404,5.64685293142248,5.59338806815942,5.15755773213777,5.42444816745781,5.63350742793984,5.47885251702578,5.39732322983608,6.1078478540971,5.88835642941077,5.52661664692186,5.00902436930708,5.60990566450325,5.76168063972972,4.69619023911952
"NCU08063",7.68470856499651,8.40199321305406,8.46067486307773,7.18744866770263,7.68862475021826,7.65755452038856,8.25630625909747,8.1343923997616,7.65833770357122,8.49779754934358,8.64742463178056,7.9570857382756,8.54018977902355,8.08520841662099,8.68451321509078,8.81979556887361
"NCU08064",10.3775833056471,8.75830335876203,8.90421790564363,11.2260557842884,11.6352406041994,9.93259259184961,10.3292181785334,10.0261165847804,8.86690019096905,8.00775959196535,8.68238390811822,8.35397627027429,9.93291233431041,9.4502434501124,9.03485229011103,10.0899735717807
"NCU08065",7.3007992497435,6.95692421106608,6.9508776856267,7.8527929695202,8.38075431244918,7.68614973343984,7.63380829912161,7.28165528701766,7.38076223855653,7.06902073835233,6.98420415119706,7.2506071679241,7.46997511325143,7.71823996174166,7.73144565495877,6.58577172006343
"NCU08066",9.43327225420125,9.63443352125439,9.60597487800257,10.2059863576053,11.0411335113259,10.9532425006236,10.3271145325896,9.84958391633629,9.6621458899993,9.88322958261565,9.75206168357512,9.8503451528099,9.11909592924676,10.3429619265629,10.5526313115871,9.97614368412706
"ro-10",6.64205119949685,7.47535770832245,7.33274501202713,5.74574540484381,6.90927439524039,7.33485193729874,6.77836430908634,6.67451267210478,6.94514596134522,7.55104545599654,7.68958277135622,7.546705468857,5.81357448033366,6.8296086534486,7.23927905005177,6.28340501885524
"NCU08067",9.66231579960701,9.43263663430238,9.62176206450182,10.1113948527086,10.0809053339166,10.2068232197663,10.1693217815149,9.97538802341553,9.19722694122318,9.39437399393412,9.08315871103757,9.49962916977159,10.7139608203466,10.2355721843144,11.035494547742,10.7197264405444
