"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NCU14001",23.7370262504598,1.46541358855956,0.380536144092079,3.85091826705684,0.000117675769575354,0.000489298998409895
"NCU09909",1571.52477394043,3.41729161822952,0.301677514779044,11.3276311651282,9.57595770751364e-30,1.19053094198663e-27
"NCU09910",310.187810954524,-0.599405311574628,0.202248415939178,-2.963708312825,0.00303956253611215,0.0086953102316088
"NCU09911",2384.25520172456,1.47713349514163,0.206088510761147,7.16747134367721,7.63956519209245e-13,1.35334073490181e-11
"NCU09913",202.224570940262,1.15379869117398,0.220683149068247,5.22830445389905,1.71071639386324e-07,1.25942155835409e-06
"NCU09914",53.9705920435525,1.85158454707385,0.402574200175181,4.59936217042256,4.23786467108922e-06,2.41823304754179e-05
"NCU08052",3696.19880096434,-6.11006846409508,0.524300305791087,-11.6537572009918,2.19560378809961e-31,3.07570074316038e-29
"NCU08054",1274.58570976652,-1.0560312733987,0.131887262716433,-8.00707552532378,1.17468355527446e-15,3.16623377798368e-14
"NCU08055",8554.34748106817,-1.29909092321097,0.175871012048129,-7.38661197250323,1.50617315475645e-13,2.95471364836444e-12
"NCU08057",650.967949214625,-2.55792349855962,0.22563895429009,-11.3363559346719,8.66791385478782e-30,1.09127938227493e-27
"NCU08058",39.1542119570461,1.0978064192778,0.375362511786083,2.92465652484612,0.00344836608008909,0.00967760977216876
"NCU08063",590.001258534418,-0.753662911652398,0.163632733056186,-4.60581998220133,4.10843696180152e-06,2.35247633978572e-05
"NCU08064",1238.32948333711,-1.33526252268309,0.170177958686791,-7.84627182619234,4.28587449115253e-15,1.06568269222508e-13
"NCU08066",2046.79151929547,0.47170989826075,0.141889829942386,3.32447997472606,0.000885835949195562,0.00295258858937636
"NCU08068",145.16806739828,-0.948999540602604,0.236314096560483,-4.01583974217007,5.92344986038348e-05,0.000265740335188877
"NCU08076",240.70069321597,-1.41541701321256,0.203139702820531,-6.96770249025638,3.22158583373858e-12,5.21006385404291e-11
"NCU08089",13.1103378185871,2.24820342336846,0.574650538358268,3.91229673218684,9.14224806671012e-05,0.00039176561512925
"NCU08094",2162.73037849762,1.15647654702149,0.163021509600517,7.09401201016616,1.30278817267676e-12,2.24178739886557e-11
"NCU08095",1504.92911534574,-2.43595152937502,0.28531544599613,-8.53774852907213,1.368623726645e-17,4.44847437425201e-16
"NCU08100",68.3353871848652,1.30279072560609,0.302333217037375,4.30912202890707,1.63903917693158e-05,8.28768869027021e-05
"NCU08110",1393.12497412887,-0.51468062629104,0.165301741520977,-3.11358260085678,0.0018483076487649,0.00562695680275962
"NCU08115",169.524149361908,-0.997103964460764,0.253844656247568,-3.92800848834223,8.56521886411472e-05,0.000369106008762933
"NCU08119",775.938816000596,-0.603371766829629,0.145638925826772,-4.14292925743837,3.42897741935506e-05,0.000161786572167483
"NCU08120",768.06837986121,1.0735427011168,0.186061640150481,5.76982284069166,7.93549130608902e-09,7.48827291559406e-08
"NCU08121",233.234104985109,1.02386665621584,0.201211562890792,5.08850804350418,3.60891477342367e-07,2.51008855499803e-06
"NCU07509",495.857266463319,1.08157146781638,0.241846555225398,4.47213923228456,7.74409771586076e-06,4.19057648976883e-05
"NCU16311",42.7969183027287,-1.39753068455288,0.394115704663033,-3.54599085501493,0.000391139780764536,0.00143499677590707
"NCU07506",1002.19762146386,0.709353512681533,0.122971096184179,5.76845726103882,8.00004953058943e-09,7.54203721623151e-08
"NCU07505",426.326020649094,-0.514377864685033,0.154048812822088,-3.33905763544632,0.000840631209388401,0.0028198711664678
"NCU07503",4244.3906820934,1.81220414303469,0.214455238654323,8.45026754490133,2.90636031042558e-17,9.14767710363697e-16
"NCU07502",708.088223630171,-0.41814762666583,0.138673374278402,-3.01534183358338,0.002566897789072,0.00752442246098146
"NCU07498",339.708320077364,-0.569502066327295,0.193229071668747,-2.94728977068002,0.00320572646505763,0.00908380496337982
"NCU07496",223.643141124003,-1.14878773574424,0.234246478610467,-4.90418358712909,9.38167149812506e-07,6.04731722102086e-06
"NCU07484",136.385737768124,-1.54432929998471,0.360072909786562,-4.2889349851399,1.79531911490876e-05,8.9955888750038e-05
"NCU07483",590.699333532665,-0.669943575965428,0.138472560285415,-4.83809625953735,1.31088655112497e-06,8.19535646604002e-06
"NCU07482",286.10058507033,-0.634233782575283,0.206692864550778,-3.06848416830312,0.00215147728000789,0.00644341855674752
"NCU07479",22.7896379626296,-1.84993836363128,0.634063281792735,-2.91759263901989,0.00352744849037241,0.00986614248741395
"NCU07478",365.144301673565,0.883853183927213,0.181511338397681,4.86941031744661,1.11931769238423e-06,7.10448868439919e-06
"NCU07477",433.453367058355,-0.57938767343742,0.167031883547666,-3.46872501902955,0.000522934398185072,0.00184501792279132
"NCU07474",1692.97195978467,-1.83090783052599,0.177531095120665,-10.313166993543,6.14425374712758e-25,4.62960210370689e-23
"NCU07473",1645.07708866657,-1.57650839989789,0.203892235017408,-7.73206689192109,1.05814314485649e-14,2.48214427328836e-13
"NCU07468",1226.81350341991,-0.573543220037339,0.150301942542667,-3.81594016906684,0.000135665377322576,0.000554917176313832
"NCU07467",2749.70129370101,-0.582830980712537,0.11715891641811,-4.97470443165047,6.53472692841554e-07,4.33007288674356e-06
"NCU07465",5750.5330898685,-1.14120252545398,0.10007356423343,-11.4036362569442,4.01012320408334e-30,5.24798491944906e-28
"NCU07464",18.1640005861862,-2.69501958791363,0.639482606435851,-4.2143751226234,2.50470689797117e-05,0.000121699144148614
"NCU07463",29.9112350060666,-1.5830937413855,0.518881984494723,-3.05097071914547,0.00228102818365272,0.00677631610352746
"NCU16316",116.551113023493,0.981976418697082,0.239027964123976,4.10820726476908,3.98742191919336e-05,0.000185062521737271
"NCU07456",1384.77206870013,1.33991794753476,0.148416267416226,9.02810703207507,1.74666947932412e-19,7.06194091112103e-18
"NCU07454",1038.13190982729,-1.75439211081984,0.157430373044986,-11.143923989296,7.66653403103384e-29,8.97074676148971e-27
"NCU07452",203.936782079847,2.21719070181807,0.229444928708495,9.66328048433339,4.31810315506883e-22,2.35977219672058e-20
"NCU07451",3204.98503043217,0.977684964408571,0.191904690561645,5.09463818496146,3.49407903328872e-07,2.44045716749225e-06
"NCU07445",129.239726853656,-0.760929706995668,0.255528836904489,-2.97786236658717,0.00290266297197176,0.00836808287513946
"NCU07441",187.513742645007,-0.698714116377379,0.238695358415106,-2.9272212120785,0.00342005527882062,0.00960900276925138
"NCU07440",457.576482391846,-0.595631915819078,0.153326304486919,-3.8847340501179,0.000102441964237541,0.000433384847429427
"NCU07438",754.644954345297,-0.551646081951387,0.140338739709195,-3.93081826938512,8.46572453277045e-05,0.000365134849102059
"NCU07435",1088.05679408765,-0.402897790800305,0.128901761084678,-3.12561897843765,0.00177431278954341,0.00543161434435173
