"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"37S ribosomal protein Mrp17",6.14500523915309,-4.87005101151085,1.35048424488112,-3.60615166742619,0.000310771543047918,0.00245702520346377
"37S ribosomal protein MRP4",8.474472322816,-0.30625752410273,0.80221275449244,-0.381765962193532,0.702634968142211,0.813934434776437
"37S ribosomal protein Rsm22",5.32998971578846,-2.40621743920876,1.18713049665534,-2.02691906743877,0.0426706901870062,0.107244063411178
"aab-1",3.12522183290408,-3.97836473404809,1.55647736180104,-2.55600552355263,0.0105881438117876,0.0381785208658561
"aac",49.1280792825761,-1.79459187014091,0.40495035288962,-4.43163429130304,9.3521538486848e-06,0.000145121233104716
"aap-2",0.503301131448555,-0.110250632757316,3.39164239729465,-0.0325065616720848,0.974068083338844,NA
"acd-1",4.65756771374044,-2.4121635327157,1.14156419603036,-2.11303362623293,0.0345978898824683,0.0918167842912148
"acd-2",3.15749515127316,-2.17319363696043,1.72660313726234,-1.25865266317435,0.208155816312672,0.346167950455464
"acd-3",6.28068487203165,-0.106854164108279,0.804580212408653,-0.132807347807364,0.89434574313013,0.945741438488855
"ace-2",22.3766708827738,1.39419921709341,0.603916711419026,2.30859519323029,0.0209660549338912,0.0633961467172143
"ace-4",25.9538751770821,-0.630407156890753,0.490163947329523,-1.28611490160648,0.198402964221511,0.334225679398808
"acon-2",13.9731921976508,-1.33672247540403,0.752488936247219,-1.77640150042668,0.0756667639828066,0.163381541614658
"acon-3",10.1947914864715,4.47049683673185,0.742569995933628,6.02030362284046,1.74090201012095e-09,7.64770897122149e-08
"acp-1",7.20060789759666,-1.53925619184368,0.892853373459569,-1.72397421301044,0.0847124984936202,0.177984697070799
"acr-2",31.766886819983,0.258738629836225,0.51631654621049,0.501124032795849,0.616283834038198,0.74271272252223
"act",34.3205292432951,-2.62220493005647,0.490296564727725,-5.3482017185102,8.88324277758779e-08,2.44113076857236e-06
"actin cytoskeleton-regulatory complex protein",5.47152148877481,-3.90196066309037,1.32876594646125,-2.93652969771088,0.00331907038636903,0.0160498923024574
"acu-15",7.41182419947213,0.331349849046457,0.677530400386511,0.489055323358822,0.624802530038811,0.750240324286397
"acu-3",3.50741945244916,-3.37006760466958,1.48001860958576,-2.27704407420446,0.0227835938181462,0.0672617407655448
"acu-5",40.011704039434,-0.980066978892803,0.370274829124672,-2.64686363156166,0.00812421071695727,0.0313606599334031
"acu-6",3.74075241039461,-2.79393603588158,1.49781839508527,-1.86533697613089,0.0621341853191693,0.142392743578611
"acu-8",28.1271611818364,-0.531630763607284,0.474876348105936,-1.11951409188458,0.262920882486558,0.408086704391926
"acu-9",5.95096480686414,-3.52434767641716,1.52184248514719,-2.31584261236884,0.0205668636397813,0.0624054509349368
"acw-10",160.62030946069,-1.13746990296535,0.220560333279753,-5.15718255432004,2.50693362606779e-07,6.18112725668414e-06
"acw-11",7.09597116905637,-3.43396996150793,1.44350349419796,-2.37891350821836,0.0173637496210097,0.0549822691044966
"acw-2",22.6631128084318,-0.697497369694521,0.501248114410268,-1.39152118410489,0.164067440346608,0.289847831459116
"acw-3",177.770688054967,-2.74520127125161,0.358356104694225,-7.66053999162093,1.8515292204666e-14,1.61737519446277e-12
"acw-5",31.3843761839239,-0.911624891067993,0.503550274323539,-1.81039498447827,0.0702345565322114,0.155473088590467
"acw-6",16.4898450444156,-2.41634857479675,0.704374530257474,-3.43048828570433,0.000602495986591879,0.00422288760040465
