"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"37S ribosomal protein Mrp17",6.14500523915309,1.90194897817289,0.845449797150666,2.24962970549267,0.0244724611419267,0.0720302347066755
"37S ribosomal protein MRP4",8.474472322816,3.58058899670318,0.746604274752586,4.79583243464517,1.62000661650568e-06,1.92323090327542e-05
"37S ribosomal protein Rsm22",5.32998971578846,2.04248727342972,0.805949610662814,2.53426175334954,0.0112684523992768,0.0397413613882833
"aab-1",3.12522183290408,1.67617008299641,1.29104770731865,1.29830220331487,0.194183509582922,0.339794541289348
"aac",49.1280792825761,2.69269299548427,0.364323326055899,7.39094316203932,1.45790934490325e-13,6.74758477238919e-12
"aap-2",0.503301131448555,1.52259354612593,3.86098936453073,0.394353209079867,0.693320284247502,NA
"acd-1",4.65756771374044,0.544071710775482,1.1537397619756,0.471572297936446,0.637232103701024,0.759612065386048
"acd-2",3.15749515127316,2.92464298825119,1.51322934773392,1.93271627505168,0.0532711591679301,0.13060121404802
"acd-3",6.28068487203165,1.96952458677987,0.88526419890081,2.22478734509465,0.0260955173397107,0.075932605580288
"ace-2",22.3766708827738,3.09097919554355,0.684853791984335,4.51334172595814,6.38140763095299e-06,6.6165666459248e-05
"ace-4",25.9538751770821,3.13430316748382,0.483670625216528,6.48024296716523,9.15750319669033e-11,2.68298040904868e-09
"acon-2",13.9731921976508,2.46164641146038,0.718778418354387,3.42476394477204,0.000615333808244416,0.0035406639939253
"acon-3",10.1947914864715,0.974425975360616,1.63596727313241,0.595626814401288,0.551424559310349,0.690713602729006
"acp-1",7.20060789759666,3.5178607054773,0.641835957603999,5.48093428515539,4.23085621230895e-08,7.36307319564502e-07
"acr-2",31.766886819983,5.5538265691472,0.445784358960031,12.458549649664,1.25634670285929e-35,5.73163313654449e-33
"act",34.3205292432951,1.65714115014605,0.439965916903663,3.76652164742322,0.000165537736863831,0.00115047826479792
"actin cytoskeleton-regulatory complex protein",5.47152148877481,3.18026220360353,0.776254522701492,4.09693226976083,4.18661329717231e-05,0.000351840778013678
"acu-15",7.41182419947213,1.66839564600537,0.81190432750576,2.05491655787921,0.0398870648858955,0.104628161191895
"acu-3",3.50741945244916,3.28386355488413,1.08984043750447,3.01315994697679,0.00258542612503324,0.0117197421295865
