"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"37S ribosomal protein Mrp17",6.14500523915309,-2.53899449532905,0.882079839301159,-2.87841800957678,0.00399675158943037,0.0214006321157654
"37S ribosomal protein MRP4",8.474472322816,-1.22132276930313,0.778918016883421,-1.56797344884876,0.116887328885324,0.259523301811349
"37S ribosomal protein Rsm22",5.32998971578846,0.374778538215776,0.636897982478827,0.588443594619544,0.556234583578221,0.715788378580707
"aab-1",3.12522183290408,-0.225334304954197,1.07845934153666,-0.208940936644979,0.8344943465489,0.908318920567447
"aac",49.1280792825761,-0.843968653468116,0.330843400836621,-2.55096112340136,0.0107426308170768,0.0449699182733228
"aap-2",0.503301131448555,1.46498606377857,3.27038084355895,0.447955798990162,0.654185096867649,NA
"acd-1",4.65756771374044,-3.06163280990002,1.07835110096282,-2.83917993607684,0.00452296441350123,0.0233368502989418
"acd-2",3.15749515127316,-2.33549847676002,1.60695968888212,-1.45336469416025,0.146122523689343,0.301618672543255
"acd-3",6.28068487203165,-2.54876980759417,0.978218691080852,-2.60552147575302,0.00917345225675485,0.0402702288371828
"ace-2",22.3766708827738,0.611101843166196,0.597031202216211,1.02356768104875,0.306039516915499,0.492791560794755
"ace-4",25.9538751770821,-0.681259172847109,0.447021393915892,-1.52399679773557,0.127509511131616,0.275321678933549
"acon-2",13.9731921976508,-1.17601028777586,0.661582223613565,-1.77757237997189,0.0754741134240947,0.194150011834616
"acon-3",10.1947914864715,2.76148247348129,0.75546588063077,3.65533711618533,0.000256844242440173,0.0022661872480082
"acp-1",7.20060789759666,-1.45218147254125,0.705726076060952,-2.05771264772684,0.0396177255481096,0.121921742461326
"acr-2",31.766886819983,0.36111835817828,0.446519390398423,0.808740596586543,0.418664371610773,0.604963713251796
"act",34.3205292432951,-1.19470721548978,0.386634114832512,-3.09002017581225,0.00200142899234377,0.0123735520854712
"actin cytoskeleton-regulatory complex protein",5.47152148877481,0.383531786074502,0.68297534352096,0.561560222799949,0.5744156880791,0.730818899089827
"acu-15",7.41182419947213,-0.53413852544876,0.659696346289146,-0.80967331174917,0.418127960668959,0.604889197275734
"acu-3",3.50741945244916,-0.642196666270816,1.03101345511029,-0.622879035271287,0.533364015783085,0.697803005548423
"acu-5",40.011704039434,-0.716532418297353,0.336342594067175,-2.13036478559788,0.033141508708578,0.106236758131608
"acu-6",3.74075241039461,-0.246232260544578,1.07262894620393,-0.229559589470341,0.818434011198302,0.899164123521278
"acu-8",28.1271611818364,-0.669610791240422,0.455027497195282,-1.47158313589354,0.141133482306852,0.294836193302666
"acu-9",5.95096480686414,-0.450625688388618,1.06454456864505,-0.423303731625038,0.672073672040953,0.804743716271344
"acw-10",160.62030946069,-0.108012764450742,0.196270980927313,-0.550324678362633,0.582096700564256,0.73593822823669
"acw-11",7.09597116905637,0.177780981210033,0.914990361277504,0.194298201089044,0.845942394118527,0.915984838484876
"acw-2",22.6631128084318,-0.880535430364054,0.462027366699255,-1.9058079538765,0.0566751266146745,0.159180297083449
"acw-3",177.770688054967,-3.15940622848942,0.346627741071853,-9.11469525987679,7.88918744181242e-20,1.33007435843313e-17
"acw-5",31.3843761839239,-1.62118179479281,0.486847433641712,-3.32995859229668,0.000868589000486754,0.00623504969509364
"acw-6",16.4898450444156,-2.66910081044216,0.632671756027439,-4.21877661680602,2.45631484068262e-05,0.00030103127654574
"acw-7",71.335062515775,0.84318536527941,0.294629120789986,2.86185344822191,0.00421171604122088,0.0221710419115071
"acw-8",36.7148892828816,-0.999077522476504,0.376671729384816,-2.65238255100325,0.00799259290067484,0.0366739088608797
"acw-9",93.504323278879,-1.79769244154605,0.431623868679544,-4.16495141254741,3.11418878850343e-05,0.000370731100432908
"ad-4",9.55297270364919,-0.244404497439892,0.715558473854243,-0.341557687275292,0.732683784688777,0.846072093463272
"ad-5",10.4594131921997,0.857966909026252,0.710800052811467,1.20704395790727,0.227415215615344,0.406376063133531
"ad-7",5.60038992211041,-0.478995302798302,0.800536097632765,-0.598343165554584,0.549610980017748,0.711153970825703
"ada-1",11.1404237032609,-0.563730788762391,0.744887940322616,-0.75679945700052,0.4491700181969,0.63159320354969
