"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NCU10129",829.648035833177,1.4047620001075,0.136478276753416,10.2929347697258,7.5829269943794e-25,3.18450248733787e-24
"NCU09901",553.518929472013,2.51114912388197,0.157130649465644,15.9812813885876,1.72561863120712e-57,2.74717358232858e-56
"NCU09903",1005.28683043758,-2.43262273647862,0.145200081443458,-16.7535907163103,5.33092304851447e-63,1.02242486735584e-61
"NCU11134",10.9537795720645,4.13330070243895,0.637248151210875,6.48617135190585,8.80450286083669e-11,1.88989361914809e-10
"NCU09907",63.529216817153,5.89022386290672,0.502808380409384,11.7146493423816,1.07233993363194e-31,5.95995891236511e-31
"NCU09908",7.03719496484732,6.14949646147287,0.779533064616096,7.88869227054708,3.05369476868545e-15,8.1179121777087e-15
"NCU09910",519.099636464757,-1.09973601001703,0.115522975009248,-9.51963027206482,1.73796289418714e-21,6.22078342324222e-21
"NCU09912",715.249687790571,-0.47357386530041,0.100724162015775,-4.7016907941735,2.58016015199054e-06,4.26004073222231e-06
"NCU09913",406.180331276003,2.80825305468517,0.195805587210299,14.3420476131207,1.19477582790187e-46,1.23837243523914e-45
"NCU09914",144.971408613137,2.16865064961919,0.230777342122178,9.39715584587616,5.60578634260059e-21,1.96252879396182e-20
"NCU10501",18.9156497521592,2.36218236674472,0.492550798286761,4.79581471588534,1.62014983641528e-06,2.71455199590611e-06
"NCU08049",392.41905375797,0.542513401410349,0.128549040703169,4.2202835465965,2.43995232684752e-05,3.77640278323676e-05
"NCU08051",464.955487570636,-1.12644743392288,0.169641200610155,-6.64017602959271,3.13308751561223e-11,6.86124335010338e-11
"NCU16303",203.034354741056,-1.95159267576094,0.21515019641005,-9.07083845762075,1.18104638542904e-19,3.87961393568278e-19
"NCU08053",1373.35135650489,-1.2031301867039,0.126184063331413,-9.53472375940185,1.50285137795823e-21,5.38913543446708e-21
"NCU08055",10450.2607734494,-2.20329297562962,0.19290231934697,-11.4218065551954,3.25398650630735e-30,1.70724773995436e-29
"NCU08057",1733.09509129046,1.79734288464787,0.184360410556231,9.74907182743375,1.86162513614107e-22,6.97072010046981e-22
"NCU08058",110.278799474916,2.77818024575446,0.20953450746108,13.2588196541827,4.01160095124043e-40,3.21687473810169e-39
"NCU08059",1.97092959213707,2.21721402119872,0.892633314949115,2.48390238641845,0.012995142432466,0.0163983516020614
"NCU08060",99.3589804495387,-1.34266390584192,0.235343444808077,-5.70512557482477,1.16257347419643e-08,2.21749282676112e-08
"NCU08062",114.90537184738,-0.643767225020867,0.21098832976115,-3.05119826176948,0.00227930014340703,0.00306771947744366
"NCU08063",946.121902557427,-1.03623154680419,0.103082238398076,-10.0524742468488,8.95892832128202e-24,3.56418287604127e-23
"NCU08066",2784.40375570314,-0.622904391696124,0.107496931221494,-5.79462487550133,6.84740585842673e-09,1.32501043254522e-08
"NCU08067",1394.62962601333,-0.720152769126188,0.0869304881664907,-8.28423703024581,1.1886865559926e-16,3.4072883539382e-16
"NCU08069",237.549002175783,0.939400546139596,0.19043432316879,4.93293714341068,8.10022281508668e-07,1.3848126142725e-06
"NCU08070",2866.82886992699,1.19764895910178,0.119806862503171,9.99649714614701,1.57883184765999e-23,6.2076508037737e-23
"cyt-21",963.1566264175,-1.50592277642065,0.104293806917243,-14.4392348973856,2.93077384191637e-47,3.10375321106426e-46
"NCU08073",128.42380676368,2.65354510050837,0.220960368787459,12.0091449659953,3.1811706997358e-33,1.88299794213401e-32
"NCU08074",15.6431708223933,4.2046639106885,0.557827902911187,7.53756470184664,4.78829078167407e-14,1.19744140364093e-13
"NCU08075",16.3704701372978,4.16312220405504,0.519863580453393,8.00810512716475,1.16489309393277e-15,3.16319771855826e-15
"NCU08076",370.020262993996,-2.23703286520118,0.201125930782099,-11.1225482288746,9.7448233965981e-29,4.81215480755475e-28
"NCU08077",178.906432509638,8.40478175794253,0.521181005773041,16.1264160912314,1.66400679134675e-58,2.75253279594082e-57
"NCU08078",123.783693869405,10.581153609669,0.781484423918841,13.5398138284172,9.10193012507644e-42,7.86171145466487e-41
"NCU08079",7.55294116320601,5.24624929121917,0.792189874492532,6.62246446229808,3.53259006729882e-11,7.7153160783888e-11
"NCU08080",1.66681184149044,3.26140883433035,1.05072353025878,3.10396478275032,0.00190946058137441,0.00259092518546337
"NCU16305",4.3273498529969,5.18167419534242,0.838734413105531,6.17796779812164,6.49319538124215e-10,1.33241791489980e-09
"NCU08081",1.79245278933683,4.22882486690438,1.10542193237184,3.82553009223442,0.000130490992587994,0.00019298326362854
"NCU08083",6.6056285774488,5.12331454313014,0.945959262565018,5.41599913006613,6.09473971133241e-08,1.11744540849664e-07
"NCU08084",38.1003830839115,6.37352501824545,0.449148712076096,14.1902333166785,1.05307782995387e-45,1.05232177407596e-44
"NCU08085",37.0898923449253,7.84346488840188,0.794474175990843,9.87252339400429,5.47691532842096e-23,2.09919693331256e-22
"NCU08086",12.3506905699892,5.48596385809619,0.798258479253565,6.8724153900952,6.31238217220957e-12,1.43126691886986e-11
"NCU08087",10.5936217564774,5.25083746033765,0.649568090699064,8.08358282299045,6.28912096876956e-16,1.73044071162728e-15
"NCU08089",24.9401336124766,2.31315346670342,0.38846186467931,5.95464748801793,2.60632993496624e-09,5.1686286497814e-09
"NCU16306",1132.65626775096,-1.60287215516496,0.171971807257206,-9.32055190167107,1.15736693857234e-20,3.99582781095333e-20
"NCU08090",640.932510338626,-1.76679145934572,0.146039924207989,-12.0980031243337,1.0821145804884e-33,6.5444086639966e-33
"NCU10622",188.761592051815,0.911248868377877,0.157322870406912,5.79222122009947,6.94615647828078e-09,1.34305224385572e-08
"NCU08091",1451.28808106293,0.82546559008604,0.110988434237805,7.437401885654,1.02684796156975e-13,2.52896352112591e-13
"NCU08092",15829.7100669676,0.646279033675492,0.149066300450622,4.33551400767185,1.4541991316719e-05,2.29037538633678e-05
"NCU08093",8917.97211395858,-0.790669248481978,0.0995513311421324,-7.94232723370736,1.98422624230752e-15,5.31838136968423e-15
"NCU08094",5504.04594157736,2.29963313483119,0.133836387269511,17.1824208778166,3.59586812253768e-66,7.550548085751e-65
"NCU08095",2276.46459630681,-0.837113148756704,0.258120242399298,-3.24311313586068,0.00118231252872914,0.00163579536600511
"NCU08096",82.640492522136,2.27813000256658,0.268267051630381,8.49202311175133,2.03070615011005e-17,6.05051070963983e-17
"NCU16307",11.9306430052377,2.34148701946744,0.52499034690294,4.46005728158719,8.19377504386507e-06,1.3065785638687e-05
"NCU08097",211.096582112855,1.60406451340141,0.180228044623019,8.90019373375892,5.57492921875349e-19,1.79558794639059e-18
"NCU08098",85.5089788743456,1.78377645474403,0.183667079976369,9.71200965885411,2.68000087948208e-22,9.9623229945799e-22
"NCU08100",279.772416561395,1.92364085107131,0.256272825196694,7.50622251733045,6.08579371601673e-14,1.5141442332776e-13
"NCU08101",3.53759630135942,2.36428766201397,0.928650856193383,2.54593817067631,0.0108984490031724,0.0138386014124735
"NCU08102",29.1902505455744,8.09601331841321,0.801185263750306,10.105045218276,5.24713584776461e-24,2.11076980036212e-23
"NCU08103",19.1556281961753,7.13756685792874,0.842922577074517,8.46764228655576,2.50409940272689e-17,7.41563540448878e-17
"NCU08105",3.15211849359618,3.92268289040699,1.0918201511088,3.59279217041682,0.000327153512512426,0.000471099123914952
"NCU08106",3.58431700017427,3.15657296505878,1.10461139147583,2.85763209524882,0.00426814940738242,0.00561043978361129
"NCU08107",3.42885695150857,4.6935498328734,0.991303849883343,4.73472370093765,2.19353715392245e-06,3.64392710838302e-06
"NCU08109",4.03392626261336,4.43512026348577,1.02751453582444,4.31635768532189,1.5862486874583e-05,2.48950079927613e-05
"NCU08110",1932.79911805409,-1.09727838631517,0.112426878145405,-9.75992933732477,1.67271729280066e-22,6.28026380876949e-22
"NCU08111",971.96206168785,-0.771074954346856,0.179727214421706,-4.29025151715551,1.78470875093076e-05,2.79063029374392e-05
"NCU08112",441.812313514741,-0.544412782476697,0.147017711446454,-3.70304215131917,0.000213029470233272,0.000310478104485081
"NCU08113",67.5208959262734,1.45205248081444,0.258304641930132,5.6214726532371,1.89336473396507e-08,3.57154939071087e-08
"msh3",312.122977014567,-2.118258762465,0.165249367642825,-12.8185589614084,1.29077162546718e-37,9.17285772934115e-37
"NCU08116",14.9969758344667,4.17338553470751,0.628239085580233,6.6429893180763,3.07384124953081e-11,6.73452558897654e-11
"NCU08117",825.921907732977,3.20536967840111,0.165894345769271,19.3217536350468,3.52470631188161e-83,1.34671425869265e-81
"pex1",1021.65125274184,-2.49724173502373,0.143226912099114,-17.4355622028326,4.43179865131674e-68,9.85822243373951e-67
"NCU08119",1162.91065692018,-2.28522082624549,0.180092120207931,-12.6891772033502,6.78952920771789e-37,4.70151976338276e-36
"NCU08120",1366.46751888137,-0.790176608592293,0.165843643365967,-4.76458785247869,1.89240054153317e-06,3.15659278824819e-06
"NCU10647",929.850617952937,-0.745906075357436,0.130458834753129,-5.71755892783296,1.0806520527905e-08,2.06690085401215e-08
"NCU16310",73.519394172955,-1.48628040276956,0.353111351041064,-4.20909834358941,2.56391783416569e-05,3.96134656807427e-05
"NCU07509",1113.63433064377,2.08166272487474,0.1103037489968,18.8720940476388,1.93477584827223e-79,6.18049871793978e-78
"NCU07508",21.2738149800004,2.31846460628628,0.420932941263683,5.50791914580506,3.63100098311833e-08,6.74358417432746e-08
"NCU16311",43.084087964786,1.73046882405824,0.355983366309707,4.86109461236098,1.16738439371201e-06,1.97427983821144e-06
"NCU07507",111.449297016684,0.596540097347707,0.241731077096611,2.46778405372054,0.013595230804471,0.0171223285584231
"NCU07506",1826.70234883485,0.761189837837019,0.112756432403941,6.75074425120259,1.47088674645581e-11,3.26964398145538e-11
"NCU07505",463.738806696372,-1.10637817847085,0.125121671377355,-8.84241847388784,9.36686425578368e-19,2.98630099620747e-18
"NCU07503",6837.46890857178,0.938624213648871,0.188345661506624,4.98351916439478,6.24381264356739e-07,1.07555633992711e-06
"NCU07502",1109.70780633203,-1.3606903873955,0.125364362835383,-10.8538850804214,1.9112489814923e-27,8.87150968398261e-27
"NCU07501",51.68885443241,5.74770964532202,0.66517827017652,8.64085599759105,5.57934044916966e-18,1.70888129507262e-17
"NCU07500",106.146182117648,6.94903679159749,0.80975331492225,8.58167131092846,9.35045022616073e-18,2.83275611173769e-17
"NCU07499",20.2343496391104,4.64713964099298,0.42363983922023,10.9695529333283,5.35364436318454e-28,2.54565920109843e-27
"NCU07497",313.930483085369,1.8242915996373,0.167901060002776,10.8652774414119,1.68709597899755e-27,7.85350029783714e-27
