"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NCU10129",829.96936096057,1.38260855136176,0.13628195101787,10.1452066178629,3.48041135019333e-24,1.3681858800901e-23
"NCU09901",553.569312249768,2.4872654583553,0.156423361510468,15.900856715631,6.25041002015539e-57,9.29653209857563e-56
"NCU09903",1010.18019730362,-2.44035059086187,0.145220625090971,-16.8044352469434,2.26459122860796e-63,4.26556305357681e-62
"NCU11134",12.1462201988801,3.96243079947535,0.561347063151136,7.05878957882516,1.67959180482147e-12,3.84238622265957e-12
"NCU09907",64.9035841878888,5.6128547526343,0.463928820213335,12.0985256963628,1.07524896941005e-33,6.31239722896141e-33
"NCU09908",8.2315771554548,5.49577875204935,0.631256351752025,8.70609655933925,3.14518927729212e-18,9.50964108414603e-18
"NCU09910",521.507029747471,-1.11114362675037,0.115092555360858,-9.6543483917489,4.71144930128446e-22,1.67956195954083e-21
"NCU09912",718.646711382218,-0.490474229122962,0.100539617117072,-4.87841751527495,1.06940368316098e-06,1.78514486511577e-06
"NCU09913",406.62051035209,2.78442577736256,0.194852011008396,14.2899514506041,2.5278561188752e-46,2.52449254369143e-45
"NCU09914",145.679013942425,2.15171641761778,0.227814063946763,9.44505523645202,3.55216916890348e-21,1.22080009091199e-20
"NCU10501",20.1447764618598,2.37303314273738,0.457911637138591,5.18229490206024,2.19172315387343e-07,3.81596053039668e-07
"NCU08049",394.279400354889,0.526371786575903,0.12792243704663,4.11477297281346,3.87560671632697e-05,5.84455869106681e-05
"NCU08051",467.077945262471,-1.13692391114732,0.168839969068923,-6.73373678884773,1.65360201217406e-11,3.61834376155692e-11
"NCU16303",204.689060669423,-1.93033417640448,0.212293077621667,-9.09277965174434,9.65387643368546e-20,3.13453818181261e-19
"NCU08053",1375.27161195474,-1.22218772338472,0.126534637145741,-9.65891830848672,4.50596448964795e-22,1.60807225769916e-21
"NCU08055",10460.7874223698,-2.22648762106604,0.194037490823932,-11.4745228440742,1.77152196843665e-30,9.18424008822339e-30
"NCU08057",1732.23382377892,1.77313461109287,0.184531015066378,9.60887041376243,7.33492165583438e-22,2.59394094222457e-21
"NCU08058",111.271437564388,2.75433617930866,0.206729218424327,13.3234005347768,1.69220660599784e-40,1.33908028018823e-39
"NCU08059",3.1922201588523,2.35502447821889,0.724212462735301,3.2518419654422,0.00114659754534927,0.00156117112056556
"NCU08060",100.640411020044,-1.29592454775249,0.229383963167536,-5.64958652670054,1.60834214756216e-08,3.00106986685103e-08
"NCU08062",116.141608689591,-0.632765160960845,0.208012158821825,-3.04196237635728,0.0023504127070801,0.00310618675104708
"NCU08063",948.975262764388,-1.05530020841117,0.103586488018704,-10.1876241640765,2.25200483555891e-24,8.94294309342625e-24
"NCU08066",2788.59605601636,-0.644909544946333,0.108053924280613,-5.96840465758117,2.39584577638222e-09,4.6733840943945e-09
"NCU08067",1397.19240522873,-0.740285958103586,0.0864880842977049,-8.55939825832436,1.13458142584181e-17,3.33839293484275e-17
"NCU08069",238.409136714192,0.921859475078756,0.188994794995445,4.87769769056852,1.07331255636302e-06,1.79136343011186e-06
"NCU08070",2862.23374491457,1.17332126439107,0.119653229230783,9.80601419563876,1.06075984748485e-22,3.91150182611854e-22
"cyt-21",966.207687111009,-1.52147806834773,0.10437345465874,-14.5772512112621,3.91984711462661e-48,4.16622530472895e-47
"NCU08073",129.324413170324,2.63359752299139,0.21636252001348,12.1721521954325,4.37395399443641e-34,2.6101938301967e-33
"NCU08074",16.8457011867577,4.05168177132519,0.495538131159662,8.17632693944948,2.92627316267252e-16,8.00663130908464e-16
"NCU08075",17.5362428610197,4.03306675216099,0.474113444235336,8.50654374221688,1.79195016770881e-17,5.21600769282066e-17
"NCU08076",371.916128996732,-2.23476655705832,0.199884970276387,-11.1802630981621,5.09387474866884e-29,2.46654768847453e-28
"NCU08077",179.054357792192,8.15947254382631,0.482685056522153,16.9043404878059,4.17974873125256e-64,8.0279150336282e-63
"NCU08078",124.243650432299,9.56430719543649,0.58695891973025,16.2946790208623,1.07667425857021e-59,1.79268101380027e-58
"NCU08079",8.73717434123957,4.80991808182503,0.667029204608352,7.21095575515195,5.55605072543899e-13,1.29907469274163e-12
"NCU08080",2.88625411518568,3.07797243524279,0.815236975486833,3.77555548606554,0.000159651479804582,0.000231424675152772
"NCU16305",5.53004284098811,4.58799636395584,0.676953606622666,6.77741623513233,1.22344040320916e-11,2.69156888706015e-11
"NCU08081",3.01338617047171,3.68997502483306,0.822721246713447,4.48508536709551,7.28847481361936e-06,1.15089251912096e-05
"NCU08083",7.79139190062905,4.37824749146545,0.728468834483951,6.01020563160675,1.85288157120973e-09,3.63900271543747e-09
"NCU08084",39.0884927129568,6.08813453519325,0.414467955212884,14.6890355662507,7.57847379392578e-49,8.28959291562038e-48
"NCU08085",38.3211717499539,6.86487796551539,0.601869372121055,11.4059267400878,3.90595239867717e-30,1.99322058336261e-29
"NCU08086",13.5368264101846,4.86580467677066,0.667509119398094,7.28949543214967,3.11117982274724e-13,7.35719377860999e-13
"NCU08087",11.8052010348795,4.8453462752416,0.566458073743977,8.55375975703994,1.19142749264931e-17,3.50354371482197e-17
"NCU08089",26.1290488802644,2.3162937012076,0.366906536885796,6.31303470597082,2.7361610510057e-10,5.62984465935526e-10
"NCU16306",1134.30415232945,-1.61793527286314,0.171843288413089,-9.41517872361609,4.72278239402533e-21,1.61288721800858e-20
"NCU08090",644.037588901843,-1.7714045668963,0.145309604144464,-12.1905539370626,3.49040700921937e-34,2.10091925903475e-33
"NCU10622",189.758657803396,0.896658178926632,0.155953385183095,5.74952687223762,8.94935289299244e-09,1.69320993168368e-08
"NCU08091",1451.60236625963,0.802632722441167,0.111992829994877,7.16682239816499,7.67585046968718e-13,1.78615008425323e-12
"NCU08092",15820.8974453784,0.622390864100299,0.149616230413278,4.15991542081429,3.18365468015674e-05,4.83093603643691e-05
"NCU08093",8919.71580585154,-0.814328363178459,0.100385408722647,-8.11201920219652,4.97854307741855e-16,1.34745200572463e-15
"NCU08094",5491.98707415522,2.27502740560312,0.132831494433839,17.1271686379789,9.30754682849196e-66,1.85713158293653e-64
"NCU08095",2284.25347703915,-0.85865425965483,0.258000350956687,-3.32811275826125,0.000874364688126311,0.0012017433810464
"NCU08096",83.6899689569986,2.25955575532878,0.263294531563043,8.58185599949595,9.33544614237983e-18,2.76018024276364e-17
"NCU16307",13.1322535056758,2.34317978469744,0.482587022077444,4.85545544637836,1.20110358678695e-06,1.99815305989434e-06
"NCU08097",211.929550143898,1.58804997580534,0.178277708228005,8.90773160363006,5.20873100177184e-19,1.63676613153906e-18
"NCU08098",86.6055511609325,1.7721608946626,0.181214924902666,9.77933189341035,1.38119242365297e-22,5.06056871107099e-22
"NCU08100",279.896013888016,1.90324966880303,0.25428625358318,7.48467383503472,7.17250400235839e-14,1.74955303877527e-13
"NCU08101",4.74430843866237,2.4490859829512,0.75749400366808,3.23314240256923,0.00122436514589253,0.0016631116147116
"NCU08102",30.2383331309404,7.1077292570931,0.604471602782162,11.7585825775418,6.37962876202527e-32,3.50484447247075e-31
"NCU08103",20.2935377711482,6.31744616859226,0.685272416165505,9.21888291366231,3.00211401167514e-20,9.95636519779548e-20
"NCU08105",4.365106094139,3.460678611289,0.828798820818481,4.17553515323708,2.97286339041526e-05,4.51880792962793e-05
"NCU08106",4.79946262108495,2.99837219838423,0.845977660279789,3.54426876637922,0.000393703683351206,0.000554069931985824
"NCU08107",4.63999758177059,4.01904324418874,0.762728105251344,5.26930005137852,1.36944952123415e-07,2.41012247090216e-07
"NCU08109",5.25716769562907,3.82019284094587,0.79484204162579,4.80622896233816,1.53803750406263e-06,2.54479089827693e-06
