"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"37S ribosomal protein Mrp17",6.89142451202084,-4.12731495752942,1.29156442794767,-3.19559355168044,0.00139543536099107,0.00515114162022748
"37S ribosomal protein MRP4",9.25338573245003,-2.09448369720993,1.07543957956093,-1.94756054827836,0.05146756822341,0.107766499674814
"37S ribosomal protein Rsm22",7.08477158254666,0.152561405336791,0.648919245003355,0.235100756390732,0.814130531634067,0.903764280005228
"aab-1",5.62651289056377,-1.45469267214487,1.08641218724657,-1.33898780704189,0.180574642305987,0.293594983965827
"aac",48.5195653852449,-3.63745200551632,0.562795294701116,-6.46318837375508,1.02519538147125e-10,1.83185544365166e-09
"aap-2",0.901439023437591,0.642837251367212,2.43075473039519,0.264459940498686,0.791425529095156,NA
"acd-1",6.66211111202094,-5.56468581802653,1.39875491556332,-3.97831368176853,6.94057675889641e-05,0.000377691524782504
"acd-2",4.07447893326691,-3.36764611412794,1.62285248526882,-2.07514000483543,0.0379735610244855,0.0837554355346309
"acd-3",6.85535370046887,-0.545074418563076,0.805326355680732,-0.676836682070751,0.498509581397618,0.634875609076937
"ace-2",21.8924944820654,-1.22721747940405,0.692640777299579,-1.77179501932971,0.0764285896552068,0.148155173245386
"ace-4",24.1811869981984,-6.47806578080896,1.25425448572412,-5.16487352012059,2.40601559156223e-07,2.33585392644378e-06
"acon-2",42.4594131383015,-0.589766794011444,0.593252015357598,-0.994125226285067,0.320161905446635,0.457337123789182
"acon-3",9.47558597345705,3.39858652026899,0.823627320588279,4.12636447980081,3.68543015173607e-05,0.000216224156367026
"acp-1",9.66060008603361,-4.59761892563994,1.27886639166856,-3.59507369619852,0.000324299762372285,0.0014514316568317
"acr-2",29.0794636588419,0.650528820909569,0.492936046264312,1.31970227342789,0.186934440707105,0.301764592739381
"act",32.7705226142301,-5.57998935796965,0.920054511415135,-6.06484647239768,1.32079758304026e-09,2.00477190131143e-08
"actin cytoskeleton-regulatory complex protein",117.663449566375,-4.10908885934529,1.22979857787351,-3.34126980895559,0.000833961377387378,0.00329938307264581
"acu-15",9.14727906548327,-0.284989918057677,0.659834935528094,-0.431910926070605,0.665806153382368,0.784114714609261
"acu-3",7.50585054400708,-0.21287301805903,0.853487182195868,-0.249415600491323,0.803039318938987,0.894363758578924
"acu-5",37.5534546336694,-2.07175826993746,0.405785628059657,-5.10554866086307,3.29836094367004e-07,3.11227694390684e-06
"acu-6",5.3868797257089,-1.14603313254934,1.31981089177263,-0.868331319049887,0.385212981595017,0.523456531401161
"acu-8",26.5905085775439,-4.64666290903595,0.883628546744603,-5.25861565490933,1.45143889090309e-07,1.48038377051937e-06
"acu-9",5.8137058238167,-3.7524433515038,1.58780410011187,-2.36329113348391,0.0181134337711621,0.0456279982699177
"acw-10",179.250234220908,1.17942314899693,0.200125393415475,5.89342076419241,3.78281532999561e-09,5.25888724894927e-08
"acw-11",15.0480686965624,-3.6628906481363,1.3571410006159,-2.69897574863187,0.00695532446082225,0.0204034414149973
"acw-2",49.9492762192727,0.605170449209478,0.405189246872337,1.493550122272,0.135293244385255,0.233643190328144
"acw-3",158.0922214826,-0.876114490945066,0.321469973288225,-2.7253384880197,0.00642355956129234,0.0190094269952207
"acw-5",57.5630513765094,-0.868711555643732,0.461871554513359,-1.88085095770626,0.0599921960696164,0.121848897801252
"acw-6",26.7601267146088,-3.0440094132745,0.675077498574683,-4.50912587029109,6.50952809176069e-06,4.65493913593181e-05
"acw-7",64.7529342366655,-0.652118651284696,0.331079258791736,-1.9696753389644,0.0488755910762215,0.103282611322147
"acw-8",32.2594740674993,0.191994445386921,0.382998563638977,0.501292860116049,0.616165029439988,0.740964389661964
"acw-9",86.555809754607,-1.91229538437655,0.429166396124503,-4.45583671425612,8.35666209989495e-06,5.78815712473587e-05
"ad-4",8.50357629736352,-0.591805692898848,0.84574015707691,-0.699748838868284,0.484084170336182,0.621890439430792
"ad-5",9.63359925818478,-1.25324191192609,1.04761978002873,-1.19627553413674,0.231589052991074,0.35537318828411
"ad-7",5.9065039354435,0.771115392672463,0.814372494816737,0.946882903806803,0.343698450484017,0.481409736756537
"ada-1",11.9242187744832,-2.38982522217392,0.947236728175301,-2.52294400236943,0.0116376931355139,0.0315070341965697
"ada-3",3.10672641750744,0.130673129543064,1.21994349518925,0.107114083609907,0.914698474344499,0.968924183089221
"ada-4",24.6058270415389,-0.0373050593663885,0.404615048669802,-0.0921988924757775,0.926540017974705,0.976484910686198
"ada-6",4.34760218014301,1.9558274230171,1.39842228539036,1.39859571994102,0.161934250556808,0.26911512607251
"adv-1",64.4359704149482,0.556835072091433,0.351772973989956,1.58293875102336,0.113435425278353,0.202690438383446
"aga-1",23.8633827000768,0.110159733792692,0.420324316317984,0.262082704987626,0.793257680296085,0.887151435197238
"al-1",8.81322058686957,-3.53686571023871,1.08652750982411,-3.25520125193266,0.00113312039611897,0.00429976546011166
"al-2",22.9709405187583,-0.230046791961152,0.471358524560732,-0.488050560187782,0.625514028865805,0.749173259075997
"alc-1",10.1280337718848,-4.30017446562079,1.20104522923533,-3.58036014044083,0.000343120962413024,0.00152791656322468
"alf1",12.8429977463298,-3.4686244593459,1.12018671557094,-3.09646991089161,0.00195839736412432,0.00684953845192737
"aln-1",218.090313901172,-0.619961142735769,0.199284653824142,-3.11093268266834,0.00186497449383089,0.00656180956004908
"am",32.3552751768868,-0.777824157154779,0.455502923766295,-1.70761616791258,0.0877075864061781,0.16565163094857
"amph-1",48.7010038837341,1.96178632114132,0.426173092394253,4.60326181111047,4.15924826658422e-06,3.12297598569696e-05
"amyc",8.13059564702921,-0.252738014817893,0.592358233963277,-0.426664137217954,0.6696239752247,0.786259527056385
"anx14",7.90773864691158,-4.24882747057206,1.31191771518937,-3.23863869004829,0.00120101612867043,0.00451955587876227
"aod-1",17.4989821970436,-0.358847446256877,0.699507233949992,-0.513000336294636,0.607951085451261,0.733490386515385
"aod-2",2.34801042287807,-2.43288348829976,1.68082424084973,-1.44743479369969,0.1477751867829,0.250961806620238
"aod-3",1.44218569130268,0,2.94710211599792,0,1,1
"aod-5",26.8479616701854,-1.55609723672727,0.714603087110992,-2.17756858988432,0.0294381701414602,0.0679001976661522
"apg-1",18.19251760478,-0.59757642083677,0.5531074164557,-1.08039849594863,0.279964765328084,0.412180082120488
