"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"37S ribosomal protein Mrp17",6.89142451202084,-1.05410734767447,0.756043447663389,-1.39424176075102,0.163244611119852,0.297160678671907
"37S ribosomal protein MRP4",9.25338573245003,0.0731275444778938,0.761448637181275,0.0960373962301604,0.923490871918956,0.968710773155466
"37S ribosomal protein Rsm22",7.08477158254666,-1.91553819054854,0.960264929844043,-1.99480177919196,0.0460645032515902,0.111975240613015
"aab-1",5.62651289056377,-0.934123194447631,1.01972706113108,-0.916052177149736,0.359639528904837,0.519667567676625
"aac",48.5195653852449,-0.497116681103463,0.362735180183103,-1.3704672396334,0.170541095081472,0.30745693550889
"aap-2",0.901439023437591,3.33248457885954,2.21815938380421,1.50236479992895,0.133002921869343,NA
"acd-1",6.66211111202094,-2.84747503581659,1.07851966671872,-2.64016978427452,0.00828645021114684,0.0280848649044796
"acd-2",4.07447893326691,1.31446021402154,1.19008630451822,1.10450831089404,0.269372700392873,0.427097505228173
"acd-3",6.85535370046887,1.96001992220215,0.675183648408117,2.90294340928324,0.00369673430310347,0.0145880485832411
"ace-2",21.8924944820654,0.95128809281849,0.57788795874028,1.64614624414769,0.0997336535183901,0.204746788543382
"ace-4",24.1811869981984,-2.62565268141323,0.672447038633684,-3.90462375557216,9.43720902981856e-05,0.000648495789543947
"acon-2",42.4594131383015,-1.01038797531062,0.630653533563348,-1.60212846125143,0.109127205461468,0.219098596386191
"acon-3",9.47558597345705,3.50573734790766,0.825276570072566,4.24795453431981,2.15731160622624e-05,0.000176669159208916
"acp-1",9.66060008603361,-2.75969916154069,1.09143000087826,-2.52851686257477,0.0114545583888312,0.0372328323737153
"acr-2",29.0794636588419,0.494619939434756,0.50701956415867,0.97554409020786,0.329290442428884,0.489925541868269
"act",32.7705226142301,-3.5294293757044,0.573419151077055,-6.15506016685189,7.50489981473918e-10,1.57766554360934e-08
"actin cytoskeleton-regulatory complex protein",117.663449566375,-0.273797106485065,0.623107480725764,-0.439405905007206,0.660367448580128,0.788629381124879
"acu-15",9.14727906548327,-0.777963346558857,0.721171630391987,-1.07874923773139,0.280699529578208,0.439174687130477
"acu-3",7.50585054400708,-0.808382852048169,0.962953792046266,-0.839482495136516,0.401198608154756,0.56214456142614
"acu-5",37.5534546336694,-1.5959927823426,0.385921370433973,-4.13553875119144,3.54122848207043e-05,0.000274468758581142
"acu-6",5.3868797257089,0.281021435652027,1.07543868643615,0.261308654037071,0.793854493401889,0.886626602717326
"acu-8",26.5905085775439,-3.03162466309695,0.664015266674094,-4.56559482176019,4.98079989417716e-06,4.78100109330121e-05
"acu-9",5.8137058238167,0.679294397994633,1.15484098408527,0.588214661027719,0.556388217867619,0.704077580769319
"acw-10",179.250234220908,-0.647659625500459,0.216009990629194,-2.99828551269298,0.0027150319003885,0.0113048197291411
"acw-11",15.0480686965624,-0.706794121941304,0.976701947570913,-0.723653847214211,0.469278274219381,0.627440022673347
"acw-2",49.9492762192727,0.912053459714576,0.401786558952844,2.26999494978532,0.0232078894618774,0.0659952962868727
"acw-3",158.0922214826,-0.913078542775245,0.322844110918457,-2.82823354026076,0.00468056475393793,0.0177440735727939
"acw-5",57.5630513765094,-1.57259720491148,0.502318679751491,-3.13067633815545,0.00174404258273892,0.00781980023144336
"acw-6",26.7601267146088,-2.7135560733934,0.641302833456612,-4.23131776725105,2.32326179009661e-05,0.000189340224149419
"acw-7",64.7529342366655,0.207317652377042,0.315366838545102,0.65738570781085,0.510932939081776,0.664823654632438
"acw-8",32.2594740674993,-0.181636316988218,0.394813122175961,-0.46005643375568,0.645475713972484,0.778076119665295
"acw-9",86.555809754607,-2.10658157581233,0.435979986971189,-4.83183090684284,1.3528313424872e-06,1.48921792807563e-05
"ad-4",8.50357629736352,0.239116330052308,0.781191333978532,0.306091887674319,0.759534684389628,0.862625401760274
"ad-5",9.63359925818478,1.44606794120607,0.777200351774986,1.86061153717122,0.0627990543949452,0.143347940136759
"ad-7",5.9065039354435,-0.562499535644969,0.921453511753449,-0.610448089317691,0.541565020618733,0.690958736837816
"ada-1",11.9242187744832,-1.54331628185337,0.833277056953236,-1.85210461391592,0.0640108021017364,0.145533993457721
"ada-3",3.10672641750744,-0.281657171406528,1.29551418608161,-0.217409561726548,0.827889180226503,0.907651695884394
"ada-4",24.6058270415389,-0.492885066712632,0.428554674181974,-1.1501101175794,0.250098519739159,0.406037495357122
"ada-6",4.34760218014301,2.75141856857211,1.36644317294151,2.01356238082641,0.044055499416329,0.108143510389737
"adv-1",64.4359704149482,-0.0484057247993447,0.364111698753293,-0.132941965240569,0.89423927797637,0.949539991783563
"aga-1",23.8633827000768,-0.246153928095252,0.43350964365293,-0.567816498892755,0.570159575520044,0.715269904370563
"al-1",8.81322058686957,-0.805439141658042,0.861776410152201,-0.934626583147932,0.349980774385621,0.510852317878904
"al-2",22.9709405187583,-0.0112656874655968,0.470663763551091,-0.02393574423618,0.980903862666064,1
"alc-1",10.1280337718848,-2.25879585328683,0.818642747447642,-2.75919607219301,0.00579437576416053,0.0210784084401915
"alf1",12.8429977463298,-5.09741266494174,1.26404382562081,-4.03262336449311,5.51576429934534e-05,0.00040654121583349
"aln-1",218.090313901172,0.000151361377927284,0.194632592335202,0.000777677449142765,0.999379503232589,1
"am",32.3552751768868,-1.84410228041378,0.540178290816228,-3.41387706941587,0.000640454662036136,0.00332701159308687
"amph-1",48.7010038837341,1.36142180785465,0.435099828365794,3.12898723258077,0.00175409929816247,0.00784413276127502
"amyc",8.13059564702921,-3.07551970402628,0.979253312562907,-3.14067837664701,0.00168557026627684,0.00760817936912115
"anx14",7.90773864691158,-2.39861811893571,1.12816892014996,-2.12611611266235,0.0334935926298818,0.0878104902320158
"aod-1",17.4989821970436,1.10863069319355,0.636559868964535,1.7415968980214,0.0815790045369759,0.175877035979397
"aod-2",2.34801042287807,-0.594330322913045,1.54889918971039,-0.383711429937652,0.701192340082645,0.820896237140473
"aod-3",1.44218569130268,4.35376612946059,2.83890386202678,1.53360816042298,0.125126079535616,0.242142467653094
"aod-5",26.8479616701854,-1.60804068660192,0.732186105026458,-2.19621852362769,0.028076306150742,0.0767040137268045
"apg-1",18.19251760478,0.0507432391627114,0.518662561791475,0.0978347829607035,0.922063487053092,0.967664760596308
