"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NCU10129",829.96936096057,2.581146470766,0.131909559995755,19.56754666492,2.92423530317224e-85,1.20897304462083e-83
"NCU09901",553.569312249768,0.663460233833712,0.159319334416354,4.16434223921543,3.12251443207264e-05,4.98142140512308e-05
"NCU09903",1010.18019730362,-1.40255315260101,0.124736238898217,-11.2441513788585,2.47465074940539e-29,1.36413374926262e-28
"NCU11134",12.1462201988801,3.80901091422528,0.546112965857289,6.97476740594483,3.06377272403953e-12,7.47891680471696e-12
"NCU09904",2012.34045457572,1.15007571406273,0.452563109188817,2.54124936547336,0.011045710825133,0.0141843906976603
"NCU09907",64.9035841878888,6.72078162396766,0.44906082274601,14.9663058622438,1.21907284128958e-50,1.68001323622351e-49
"NCU09908",8.2315771554548,4.27880567547305,0.644937562934057,6.63444947446881,3.25715893515547e-11,7.51657987944937e-11
"NCU09910",521.507029747471,-0.348918957341844,0.0965029545583295,-3.61562979018374,0.000299618310896252,0.000442667452970129
"NCU09911",4463.37144847426,0.756729044690031,0.181345345861188,4.17286168054886,3.00797567478749e-05,4.80340730914919e-05
"NCU09912",718.646711382218,-0.916554948948528,0.0971299505583031,-9.4363782096065,3.85887370695941e-21,1.44036077883715e-20
"NCU09913",406.62051035209,2.4393215146562,0.193748707271058,12.5901305304894,2.3927736868623e-36,1.80838829300662e-35
"NCU09914",145.679013942425,3.1167250353009,0.214156480951145,14.5534938819429,5.54947351290186e-48,6.92342552099333e-47
"NCU10501",20.1447764618598,3.22774747835877,0.410801492566329,7.85719510947884,3.9283070771043e-15,1.10584224325755e-14
"NCU08049",394.279400354889,0.485670927646975,0.120978024940232,4.01453840800357,5.95622445120524e-05,9.28501069985774e-05
"NCU08050",232.894086587328,0.424299064204023,0.180531501190754,2.35027716163341,0.0187594365753059,0.0235719024681597
"NCU08051",467.077945262471,-0.966544002217361,0.159604951969718,-6.05585221692083,1.3967619148638e-09,2.95622689876922e-09
"NCU16303",204.689060669423,-1.68437877142807,0.185514724520766,-9.07948830357954,1.09086479080385e-19,3.79449831154122e-19
"NCU08052",6210.35572543557,-3.84425401810677,0.480781481001285,-7.9958446196818,1.28688591286003e-15,3.71044499165938e-15
"NCU08055",10460.7874223698,-1.76704706243822,0.193525029452116,-9.1308450769436,6.79666457950996e-20,2.38715105479765e-19
"NCU08056",464.644244548937,0.529230779189333,0.154005518131594,3.43644036661803,0.000589412091336259,0.000849216446421718
"NCU08057",1732.23382377892,1.461236578491,0.184255628376748,7.9304854422314,2.18290899300703e-15,6.22403361916119e-15
"NCU08058",111.271437564388,2.25246830588745,0.204263679659561,11.0272580501906,2.82342282884938e-28,1.48267688595712e-27
"NCU08059",3.1922201588523,1.88990972694737,0.701114481717442,2.69557936147299,0.00702663371451813,0.00916930121071999
"NCU08060",100.640411020044,-0.692525997373568,0.17915481324665,-3.86551711798073,0.00011085407322739,0.000168947702667861
"NCU08062",116.141608689591,-0.728537974323634,0.192428272989736,-3.78602355570947,0.000153077170246002,0.000230675437788338
"NCU08063",948.975262764388,-0.982803416500579,0.0980994586279618,-10.0184387380548,1.26485144838208e-23,5.3424915938805e-23
"NCU08064",2223.57165766713,-1.30007423290112,0.141578014197127,-9.1827409804672,4.20255308126936e-20,1.49074139977636e-19
"NCU08065",393.949773792205,-0.383822132051802,0.109314729816766,-3.51116572025716,0.000446146177987719,0.000650291045507347
"NCU08066",2788.59605601636,-0.615425897123281,0.105987610629904,-5.80658336824172,6.37605316560676e-09,1.29364006522822e-08
"ro-10",341.573549568661,0.483357665575907,0.12400346013558,3.89793692085226,9.70156778253854e-05,0.00014839033838255
"NCU08067",1397.19240522873,-0.384435432745504,0.0808230528372687,-4.75650719998831,1.96971217105268e-06,3.43309783011094e-06
"NCU08068",175.465471208481,-0.738285662661566,0.158753704678352,-4.65050982058903,3.31115476875569e-06,5.67584980301287e-06
"NCU08069",238.409136714192,0.645174768082321,0.185855899112984,3.47137094470223,0.000517808162405157,0.000750817987901192
