"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"37S ribosomal protein Mrp17",6.14500523915309,-3.6828532234744,1.22506923755563,-3.00624088057484,0.00264499377003288,0.00940160996620939
"37S ribosomal protein MRP4",8.474472322816,0.0458135554516702,0.715508574949095,0.0640293590540542,0.948946849620993,0.974452255654424
"37S ribosomal protein Rsm22",5.32998971578846,-1.01411858253817,0.77461573157652,-1.30918924209582,0.190470255411025,0.31444052535262
"aab-1",3.12522183290408,-1.12756838037973,1.17159123376366,-0.962424733033795,0.335836294652912,0.481226203611095
"aac",49.1280792825761,-2.28492976915716,0.396666702770626,-5.76032662484008,8.39513226289454e-09,1.10274762887452e-07
"aap-2",0.503301131448555,-0.743305339661704,3.39164239729465,-0.219157933706278,0.826527022935412,NA
"acd-1",4.65756771374044,-4.12056996335881,1.35995185119942,-3.02993812591574,0.00244603843878328,0.00878786297781032
"acd-2",3.15749515127316,0.44412757991522,1.34079762179378,0.331241324340243,0.740462208090972,0.827327928358328
"acd-3",6.28068487203165,-0.272550989019035,0.767621579072346,-0.355059050513414,0.722545353464686,0.81464326895324
"ace-2",22.3766708827738,0.497074291037634,0.609954638730674,0.814936487854334,0.415108665862229,0.558433911459731
"ace-4",25.9538751770821,-2.55456657171334,0.592218529899163,-4.31355393784842,1.60650922358883e-05,0.000107626459608366
"acon-2",13.9731921976508,0.388159543826888,0.625518689258047,0.620540281997488,0.534902142188884,0.664507546498378
"acon-3",10.1947914864715,2.94372211927817,0.765042695922163,3.84778801885022,0.000119189114009439,0.000646833130086937
"acp-1",7.20060789759666,-0.583998301885212,0.668268033115826,-0.873898305687758,0.382173637491431,0.527065375467761
"acr-2",31.766886819983,0.940824333831287,0.443462363547299,2.12154268584495,0.0338761597448618,0.0787264525735649
"act",34.3205292432951,-3.66044328214289,0.525394562071708,-6.96703686408406,3.23685878638273e-12,6.95872599541959e-11
"actin cytoskeleton-regulatory complex protein",5.47152148877481,0.14562468746452,0.724717321302067,0.200939984714155,0.840745502018688,0.896956187409757
"acu-15",7.41182419947213,-0.391100979526142,0.68404438432286,-0.5717479574272,0.567492739378571,0.692129962693383
"acu-3",3.50741945244916,-4.00312547655971,1.48001860958576,-2.70478050115879,0.00683495365176205,0.0207249433631207
"acu-5",40.011704039434,-1.50231335053024,0.366321832566318,-4.10107511202806,4.11235036939978e-05,0.000250794699050134
"acu-6",3.74075241039461,-0.0501452025715714,1.10414813340307,-0.0454152853720995,0.963776297593338,0.981091401600039
"acu-8",28.1271611818364,-5.02490058390113,0.848385428145852,-5.92289826910754,3.16316539159163e-09,4.49701786992363e-08
"acu-9",5.95096480686414,-4.15740550048676,1.52184248514719,-2.73182378666781,0.00629848180697104,0.0193794980954479
"acw-10",160.62030946069,0.424137924993728,0.196104989593842,2.16281047143252,0.0305557598810395,0.0721383511880756
"acw-11",7.09597116905637,-2.2585443634571,1.33048532168355,-1.69753422051978,0.089595707077793,0.174807172835254
"acw-2",22.6631128084318,-0.0778213548193379,0.453619632601438,-0.171556408114535,0.863786280530553,0.913457952177766
"acw-3",177.770688054967,-1.03781667599548,0.334029314184056,-3.10696286800631,0.00189020139395932,0.00704060530362785
"acw-5",31.3843761839239,-1.6126893547785,0.506496999190841,-3.18400574407127,0.00145252130020644,0.00560066748164952
"acw-6",16.4898450444156,-2.79386737916129,0.67983770261968,-4.10960934998961,3.96329007640682e-05,0.000243106031659229
"acw-7",71.335062515775,-0.243287079863263,0.311088129582587,-0.782051954826118,0.434184040808025,0.57655501426861
"acw-8",36.7148892828816,-0.604980605048588,0.379276505363622,-1.59509117093498,0.110691849556763,0.206094599313985
"acw-9",93.504323278879,-0.842804103936964,0.428383947890565,-1.96740355955697,0.0491367043121351,0.107438848340878
"ad-4",9.55297270364919,-0.349368434703061,0.756262838785551,-0.461966946920328,0.644105023624116,0.753570467882487
"ad-5",10.4594131921997,-0.156677037364857,0.803455354447099,-0.195004036624629,0.845389787518352,0.900330697570516
"ad-7",5.60038992211041,-0.482778053253829,0.836311816754129,-0.577270395541671,0.563756809133044,0.688955954279571
"ada-1",11.1404237032609,-0.789945931614961,0.778202465056794,-1.01509050290314,0.310062688302801,0.454172220116761
"ada-3",2.36026255208449,1.81930953452325,1.12533445604439,1.61668339998956,0.105946638956864,0.198698240691611
"ada-4",28.0825436286902,0.251244060325712,0.363513316893002,0.69115503793129,0.489468115898018,0.625613424372806
"ada-6",2.40225048702398,0.923392657147312,1.51460270320426,0.60965998224736,0.542087068664059,0.670507788829859
"adv-1",45.6153200681394,1.52823190195888,0.352972042447073,4.32961174874928,1.49372457132424e-05,0.000101185840768732
"aga-1",26.0892385507929,-0.861411260063479,0.39515806587013,-2.17991567037021,0.0292637131295944,0.0696041216593627
"al-1",9.72197761954778,-2.33063375636121,0.886523103868921,-2.62895997429731,0.00856464408700426,0.0248538239434507
"al-2",24.0788415587019,-1.22509633517397,0.479126115459826,-2.55693917664709,0.01055976796381,0.0295779675768888
"alc-1",10.0943193649494,-1.43930838976673,0.722734896767041,-1.99147487717155,0.0464287045186736,0.102585035826785
"alf1",4.21883358013704,-3.72919075973545,1.19961329921919,-3.1086607343906,0.00187937388236146,0.00702375281021169
"aln-1",217.986647891895,-0.219821032970931,0.188337285637981,-1.16716683170993,0.243143002738303,0.379471082238163
"am",30.2105655786692,-0.911921842080071,0.471711928273991,-1.93321768524451,0.0532093870240166,0.114686641406375
"amph-1",35.4188317413718,1.62735328719263,0.447055517309414,3.64015927370004,0.000272469446098119,0.00133362424349343
"amyc",6.26366402316946,-5.84640096758111,1.29424194699824,-4.51723959429748,6.26510026070606e-06,4.57797380798696e-05
"anx14",3.90569464737856,-1.24215841915927,0.960770266323162,-1.29287766565984,0.196053373227832,0.321198934918227
"aod-1",13.7501410356691,0.958097160875799,0.677608593651585,1.41393891673168,0.157379838158651,0.271266202095577
"aod-2",1.00919596571334,-2.85164591475188,2.28414998003746,-1.24844950623825,0.211866488863732,0.341088212025744
"aod-3",0.413112818205161,3.12189070152216,5.6203892696858,0.555458092264255,0.57858136720865,NA
"aod-5",4.44093389661073,-3.47729620554014,1.23910923746689,-2.80628704911342,0.00501160257125797,0.0159788148743113
"apg-1",11.255259498941,0.0393434515876727,0.553005049914209,0.0711448323912707,0.943282487457447,0.970573516642119
"arg-1",17.8120544327057,-1.02359410552954,0.566338989469975,-1.80738766809521,0.0707018553787551,0.144914961699067
"arg-10",6.7988228384008,-4.35582924378638,1.373316209087,-3.17175987217262,0.00151518235382426,0.00581211085351062
"arg-14",4.20660227608433,-3.43009289624437,1.47103315532297,-2.3317577063661,0.0197134411369319,0.0499402135993946
"arg-15",3.20533839999903,-1.34626921286398,1.02829088891832,-1.30922993422625,0.190456475270094,0.31444052535262
"arg-2",3.42420924481164,-1.94571337991082,1.50157950136189,-1.29577779807603,0.195052049210121,0.320091248446942
"arg-4",6.52706649259509,-2.76611199403295,1.35200949194928,-2.04592646020914,0.0407636065580972,0.0918899101306265
"arg-5",6.98397193533842,0.321741705985533,0.954693735149728,0.337010387875933,0.736109069326017,0.82399264689282
"arg-6",4.7907540434314,-0.691834122647435,1.1576770807246,-0.597605441246543,0.550103232710349,0.677595838964884
"aro-1",7.64190964407273,-1.52334331280953,1.053810318007,-1.44555740893724,0.148301379919807,0.258820941306142
"aro-3",9.86319658272252,0.979735990888107,0.727875570160574,1.34602125837521,0.178295660835104,0.29914298327315
"aro-6",6.29957892518344,-4.12672951837451,1.38223631231142,-2.98554558407865,0.00283072944618014,0.00993504308512356
"aro-7",27.1871348053847,0.989372258391319,0.348855478313151,2.83605194671247,0.00456750162746004,0.0148822202150087
"aro-8",16.7777971976212,0.605187463716215,0.649383672965257,0.931941298974718,0.351366862829377,0.49761466741733
"arp-3",361.333623665234,5.1251103588467,0.396977523693228,12.9103288044268,3.93616689228825e-38,8.22412870057477e-36
"arp-5",6.97897449024433,-4.33651092498236,1.20268154377851,-3.605701731614,0.00031131054289082,0.00149205898908102
"arp2",12.5612582545964,-1.22297463856731,0.773993392946583,-1.58008408044863,0.114087612524524,0.21094850037029
"ars-1",15.6221385361734,2.67611984476702,0.688244769628734,3.88832572779394,0.00010093810650007,0.000559131880745209
"asd-1",29.4599687820329,-1.46638515175416,0.583038419237988,-2.51507465609329,0.0119007180375352,0.0326366697288598
"asd-3",945.691433011668,1.00467090872507,0.288281052632508,3.48503968453936,0.000492064057239826,0.00221395712429709
"asd-4",8.74683058135605,0.863188727201838,0.496840952440695,1.73735422364338,0.0823246659686648,0.163621497225474
"asf-1",30.1990893234568,-1.44475809990999,0.440955500605538,-3.27642607457211,0.00105129830437987,0.0042368779162651
"Asm-1",8.10731336977877,-1.84144767513771,0.665551198071789,-2.7668009320285,0.00566093107928002,0.0177020097213331
"asn-2",4.25207086331442,-2.15641972603402,1.07704011230736,-2.00217215811424,0.0452662189992097,0.100281623667567
