"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NCU10129",1053.95798630019,1.53308147552799,0.116851499695316,13.1199127056598,2.53226460574052e-39,9.34727927740802e-38
"NCU09901",749.428436738758,0.63325816622966,0.0899454527294486,7.04046893993039,1.91593916489602e-12,1.03285706122461e-11
"NCU09903",1689.91700052029,0.905856852617053,0.194335008841557,4.66131582784245,3.14194149391507e-06,8.91387593759973e-06
"NCU11134",7.04671487900031,2.41327976961807,0.614238589698776,3.92889637689737,8.5336599438297e-05,0.000202300752194804
"NCU09904",1938.23485363477,-2.48566338704133,0.486994329808811,-5.10409102302521,3.32388269070559e-07,1.06270025805834e-06
"NCU14001",49.7891313139854,1.50824799414916,0.226286156813053,6.6652243132805,2.64261424668324e-11,1.261767507906e-10
"NCU09906",8754.06057955252,-2.55196783676567,0.496245510199168,-5.1425509839705,2.71032856762784e-07,8.74802711923377e-07
"NCU09907",52.9290309373068,7.44107318398353,0.529443293134594,14.0545234597804,7.22667245970961e-45,3.46028076125058e-43
"NCU09908",2.65151642023488,3.49528338448049,0.86308788729863,4.04974213625027,5.12741005738356e-05,0.000125086131921414
"NCU09909",3418.88362275314,2.68676792367967,0.288111214418727,9.32545416220715,1.10509288162035e-20,1.15446632184433e-19
"NCU09910",727.75510454283,0.330407046528612,0.118857008342953,2.77987012406746,0.00543806428028619,0.00983989135636098
"NCU09911",5629.55624717605,2.18342086765534,0.205142742266415,10.6434224459171,1.87127052228544e-26,2.97731458804381e-25
"NCU09912",1157.45017283672,1.21737862290407,0.0600483012754825,20.2733232588734,2.21202815883273e-91,5.1032495091616e-89
"NCU09913",440.579758210058,1.18056707931082,0.154413799574678,7.64547652193398,2.08172935101492e-14,1.33322616038817e-13
"NCU09914",126.760246073219,0.548591312485851,0.253570902432789,2.16346318612507,0.0305055722622577,0.0483469264690364
"NCU10501",20.3173787805581,3.59250585275743,0.485790902171555,7.39516906697595,1.41228466254123e-13,8.44790902148265e-13
"NCU08049",562.343347226421,1.73577534778559,0.134149103806455,12.9391497858226,2.70607631661941e-38,9.31165447118767e-37
"NCU08050",315.520431146014,1.43681232713938,0.199202082419919,7.21283788645627,5.47976397168e-13,3.11450638726336e-12
"NCU08051",820.633173548407,-0.341609417025571,0.127378385209436,-2.68184760282441,0.00732168053915323,0.0129866117688178
"NCU08052",8223.90115501719,-3.01168148790034,0.516572597353759,-5.83012243260337,5.53867234715995e-09,2.13370258049414e-08
"NCU08053",2656.61328956492,-0.435484522272935,0.123344960024201,-3.53062275254287,0.000414582591250352,0.000889731053653768
"NCU08054",2938.72903873332,-0.736057778333858,0.105260383769693,-6.99273318197599,2.69581918235088e-12,1.42750446113948e-11
"NCU08055",20705.2117449445,-2.63095860130773,0.226762532706824,-11.6022632570842,4.01322208057639e-31,8.5226396108642e-30
"NCU08056",731.619236463544,0.426861470235833,0.171734154910558,2.48559449608698,0.0129335244833132,0.0219472094667524
"NCU08057",1444.99296987532,0.90108060299685,0.221102232135011,4.07540256059751,4.59348136671054e-05,0.000112956466457071
"NCU08058",91.8791625709979,0.93153655823484,0.221213992770927,4.21102004699799,2.54220183111498e-05,6.45954713082556e-05
"NCU08060",157.022547898765,-1.10531986649277,0.14551922600316,-7.59569643717567,3.06141435566628e-14,1.93622536600426e-13
"NCU08062",163.487898723761,-0.955783444255573,0.151808312093234,-6.29598887621234,3.05446277329832e-10,1.32958197305966e-09
"NCU08063",1339.91449270997,-0.674734281646997,0.0966540858716114,-6.98091834982815,2.93256721375233e-12,1.54561213846313e-11
"NCU08066",4627.92776798326,0.219385717263846,0.0904773818466409,2.4247575779293,0.0153186121094332,0.0256896136664227
"NCU08067",3778.81705136807,-0.470938921028671,0.0674031166440862,-6.98690126623381,2.81023859056268e-12,1.48654152854621e-11
"NCU08068",343.433924905149,-0.760108993539828,0.125697602380472,-6.04712404329769,1.47454230890483e-09,6.02337182200921e-09
"NCU08069",218.275894056622,-0.736389499869707,0.19625144125109,-3.75227562750761,0.000175236646636643,0.000397414477213709
"NCU08070",5887.24480972011,-1.37397203948985,0.102487798469701,-13.4062011283816,5.56155127551782e-41,2.19670455244286e-39
"NCU08071",2163.3214189348,0.426120474521884,0.0842325616909734,5.0588568834604,4.21777264156359e-07,1.33171415503925e-06
"NCU08073",60.2771791970307,2.71349827762984,0.220519777666027,12.305010944367,8.51248892520745e-35,2.32911792667873e-33
"NCU08074",9.65570280167799,3.47040308780449,0.593790532671487,5.84449043367365,5.08121239435234e-09,1.96567785880604e-08
"NCU08075",8.82289261062953,2.46002106947002,0.559427913657792,4.39738706169538,1.0956186113797e-05,2.91523578613769e-05
"NCU08076",534.666199897278,-1.37677215616554,0.183563156526132,-7.50026411737774,6.36893714644841e-14,3.91113617505129e-13
"NCU08077",25.197885489499,4.78387651142069,0.557022707257982,8.58829711802944,8.82677666516366e-18,7.4729449481298e-17
"NCU08078",18.4679002599395,7.74693575561567,0.847974077149941,9.13581672408346,6.49149124680577e-20,6.51781678005197e-19
"NCU08084",14.1298488795107,1.80092791921232,0.558306236453318,3.22569909061531,0.00125665401039637,0.00251802109347288
"NCU08085",36.1071696757808,7.90575642519963,0.79378964269372,9.95951068140861,2.29187933817107e-23,2.94491989389552e-22
"NCU08086",7.0356140238976,4.89452611646358,0.802601296679984,6.0983281944723,1.07183512152699e-09,4.42284484496766e-09
"NCU08087",19.7772180040723,3.95388364385877,0.745301325570372,5.30508065423458,1.12623188754035e-07,3.78305092336933e-07
"NCU16306",2090.55850563667,-1.07714421660463,0.153983382627354,-6.99519778190196,2.64884985394415e-12,1.4055658582011e-11
"NCU08090",1971.0628894405,-0.670227157260458,0.137548862093969,-4.87264777808618,1.10112433756348e-06,3.31185574832797e-06
"NCU10622",281.146446517253,0.417769275537746,0.135703213444171,3.07855108906185,0.00208009860454744,0.00402575422969706
"NCU08091",1730.22920568217,0.260714283227576,0.117703887303639,2.21500146851578,0.0267599637254573,0.0427712788186297
"NCU08092",20128.9035286268,-0.534803647352332,0.172835422603763,-3.09429420945963,0.00197281744412419,0.00383714693912715
"NCU08093",23686.0473967073,-0.939898337446332,0.100061958268087,-9.3931635330197,5.82246414889848e-21,6.27429231162085e-20
"NCU08097",166.137377378577,0.745874613967294,0.17707854952373,4.21211160794684,2.52994479291807e-05,6.43323386595974e-05
"NCU08102",7.71459367852179,5.16093628291261,0.894643803641596,5.76870511135864,7.98829451683707e-09,3.0302383273697e-08
"NCU08103",6.02720170547561,2.58563759764475,0.990038348594158,2.61165398422832,0.00901053997146923,0.015715806056767
"NCU08105",1.6759767931082,2.63452973437586,1.03666353331236,2.54135469196835,0.0110423835102038,0.0189503355895315
"NCU08107",1.59893704574425,2.46417515728385,1.0314392344326,2.38906478929842,0.0168913232922419,0.0280582265978641
"NCU08109",4.48353358175484,4.98052552847028,0.910269702401217,5.47148335853875,4.46284256295726e-08,1.57463729080915e-07
"NCU08112",639.636146715413,-0.393765651865756,0.12554886195126,-3.13635381273804,0.00171062694705069,0.00335741959387308
"NCU08114",81.6196905327252,-0.835474927937033,0.203555582346309,-4.10440685687332,4.05353543631112e-05,0.000100604983408299
"NCU08115",432.845923346527,-0.265566696975498,0.102734928779967,-2.58496988443217,0.00973875033268987,0.0169045921045032
"NCU08117",778.769694846989,0.8521715081427,0.15685590120338,5.43283039786799,5.54671222219896e-08,1.93619930424834e-07
"NCU08118",1409.19329333164,-0.28758349422291,0.107119239744038,-2.68470439960265,0.00725939794651416,0.0128806412436751
"NCU08119",1874.08042637441,-0.465843288820865,0.0894987596955809,-5.20502507973713,1.93970407768443e-07,6.35159228792731e-07
"NCU08120",1983.02739689004,1.12444621367265,0.218882751277197,5.13720796687463,2.78850314637647e-07,8.9946283568057e-07
"NCU08121",549.229981785483,1.76852851308519,0.163484133130981,10.8177379615689,2.83692768415486e-27,4.77573016946202e-26
"NCU10647",1802.46996413952,-0.665871551803773,0.0831112174658102,-8.01181323180225,1.13029429164919e-15,8.09711881053702e-15
"NCU07507",170.56153628755,1.09602576845441,0.230078497978764,4.76370359717651,1.90071643212725e-06,5.55068253812535e-06
"NCU07505",1039.53177660738,0.392118571438884,0.0834625966771204,4.69813529712976,2.62547495988518e-06,7.51584780535659e-06
"NCU07503",9615.17830576777,1.22703147889104,0.237653749077695,5.16310592049567,2.42885608996562e-07,7.87206838098372e-07
"NCU07502",1551.84776899379,-0.825444896461725,0.113690163307578,-7.26047770930335,3.85725611819123e-13,2.21590304786413e-12
