"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NCU10129",480.862706884078,1.65757692212309,0.15602756040299,10.6236162242227,2.31418716708525e-26,8.18410261650957e-25
"NCU09901",307.062627195719,0.691071540429835,0.153094083653222,4.51403165908881,6.36067155024616e-06,2.55211817495745e-05
"NCU09903",700.489306919845,0.860318665795023,0.161360291370695,5.33166281795194,9.73175107510189e-08,5.17332906571476e-07
"NCU11134",4.69939970455858,2.46498084313344,1.01716269333255,2.42338896156069,0.0153764531737039,0.0317971422933446
"NCU09904",858.231253502536,-2.62990853187264,0.473988911328875,-5.54846003569879,2.88196741298696e-08,1.64574218444734e-07
"NCU14001",23.7183201304284,1.46405777831253,0.350164491366954,4.18105722998131,2.90156815490011e-05,0.00010478289298903
"NCU09906",3909.36415526218,-2.50114416842718,0.527369421079682,-4.74267954957759,2.10909754611059e-06,9.12343097306808e-06
"NCU09907",25.7640831296564,6.37074594231461,0.883719312081549,7.20901518753584,5.63579764569793e-13,5.76097408427885e-12
"NCU09909",1568.2992451527,2.61535978559163,0.2967382947253,8.81369149880956,1.21090989715046e-18,2.14118611462797e-17
"NCU09911",2378.6579192996,2.23903411865665,0.197277262372816,11.3496816192903,7.44332347244955e-30,3.5056662279822e-28
"NCU09912",498.17896299393,1.18766114798414,0.128704659126695,9.22780228814418,2.76241341801999e-20,5.83697376105314e-19
"NCU09913",202.170242285043,1.06808240941103,0.205250392385992,5.20380203416322,1.9525200189616e-07,9.88420355153889e-07
"NCU10501",11.4104056451875,3.62663836206372,0.737997660601817,4.91415969951219,8.91640495683933e-07,4.08307340118054e-06
"NCU08049",241.239176141155,1.70799222922473,0.194373488606651,8.78716661139501,1.53379223963876e-18,2.70263845862221e-17
"NCU08050",139.462414172,1.50993506320396,0.251480628235892,6.00418041658313,1.92300778757851e-09,1.27261953322415e-08
"NCU08051",367.526750024032,-0.380073961067825,0.160883605772072,-2.36241573057659,0.0181562687430423,0.0368499864400169
"NCU08052",3681.27205367833,-2.98461638898568,0.508228171421375,-5.87259140050919,4.29035019350967e-09,2.71452853737502e-08
"NCU08053",1132.99481042422,-0.42426370202654,0.151241542663298,-2.80520612627615,0.00502844114749837,0.0117700089005193
"NCU08054",1271.23519751655,-0.646544922512683,0.119162034969968,-5.42576268251571,5.77075913948131e-08,3.16105876993653e-07
"NCU08055",8538.07098809936,-2.639532440861,0.172942995238345,-15.2624420389115,1.36059507594288e-52,2.79866076947516e-50
"NCU08057",648.774041468854,0.924817967993601,0.192271675314266,4.80995428204386,1.50964820881076e-06,6.68530065755873e-06
"NCU08060",72.3744843322823,-0.839106049527132,0.230234211342917,-3.64457586312985,0.000267833126225614,0.000814325815755041
"NCU08062",73.4155051306809,-0.910053487547419,0.251273115195071,-3.62177022735169,0.000292593951718337,0.000880973865738853
"NCU08063",588.564545990884,-0.624199491506007,0.150109492346491,-4.15829460048532,3.20632351458577e-05,0.000114882810890544
"NCU08067",1622.51953384682,-0.436443017445136,0.102670361149392,-4.25091538160737,2.12898597518482e-05,7.88310928142901e-05
"NCU08068",144.808999760848,-0.650592949565778,0.212031056706592,-3.06838516805614,0.00215219025091648,0.00548607120358807
"NCU08069",89.5262577901128,-0.60150293280071,0.265842227161137,-2.26263125773512,0.0236584296015552,0.0464821270865644
"NCU08070",2674.58965506051,-1.37896809529046,0.109628229655305,-12.5785858225225,2.76943165701898e-36,2.09872944895446e-34
"NCU08071",907.276355154711,0.402326689582947,0.139441084713043,2.88528083678422,0.00391064639849701,0.00941375807271348
"NCU08073",23.1456304237395,2.88873367901398,0.374090002158941,7.72202855554165,1.14492734398961e-14,1.39767851067193e-13
"NCU08074",6.28084639234908,3.19882319157721,0.969355801722649,3.29994743508272,0.000967029393862563,0.00264066357646729
"NCU08076",240.348273172364,-1.3235697429394,0.181420370550419,-7.29559607294248,2.97339712203132e-13,3.15130069326537e-12
"NCU08077",12.4158896974341,3.79024232930123,0.761849417513775,4.97505444274057,6.52293044733807e-07,3.06216189933491e-06
"NCU08078",9.99763394918383,5.86144590431282,1.03906535486429,5.64107529605621,1.68991435101742e-08,9.92000392772546e-08
"NCU08085",18.9966444458152,6.15468615086408,1.0330558974236,5.95774746188816,2.5573829491113e-09,1.66834063068562e-08
"NCU08086",7.22475685264364,3.4331390524566,1.06648942447596,3.21910276245217,0.00128592392633156,0.00343424145561627
"NCU08087",5.87785928908848,2.60251057852178,1.10521314205148,2.35475898675169,0.0185347228112491,0.0374521794736527
"NCU16306",826.320859901852,-1.07443615336715,0.18735001392221,-5.73491365638898,9.75620346487224e-09,5.88620719330668e-08
"NCU08090",820.827211687716,-0.680165654589588,0.158331085427919,-4.29584407099412,1.74029881674388e-05,6.55228680387058e-05
"NCU08092",9039.1583733681,-0.498613342993794,0.140748056973471,-3.54259485861164,0.000396210896016302,0.00116358089188471
"NCU08093",10404.7746189135,-0.925612108304344,0.0892677509540403,-10.3689417332906,3.43305521567693e-25,1.08130510996274e-23
"NCU08097",71.0429695203111,0.640673095047017,0.260094018313175,2.46323656038715,0.0137689037541088,0.0287263053069059
"NCU08102",4.56187683362643,3.32562798127673,1.14759059884214,2.8979219458857,0.00375644064595583,0.00907288887385307
"NCU08109",3.40927914402011,3.26848673163496,1.2131389253005,2.6942394341401,0.00705494644225625,0.0159004483880816
"NCU08114",31.3952055583131,-0.920506104685905,0.348007365263192,-2.64507650287729,0.00816724496099038,0.0181316436039256
"NCU08117",307.38286212279,0.852672905415653,0.194162890764134,4.39153384078663,1.1255381285407e-05,4.35481719676073e-05
"NCU08119",774.16456374059,-0.392627680553668,0.131756724026398,-2.97994416190102,0.0028830093101656,0.00715710611752686
"NCU08120",766.623262597111,1.19694213919627,0.175251061047074,6.82987099789805,8.49910247534615e-12,7.56735458030158e-11
"NCU08121",232.880878433954,1.6116729284706,0.185646302353077,8.68141680196459,3.9086892495916e-18,6.65467549774219e-17
"NCU10647",772.210511793906,-0.638897590710263,0.132440674510799,-4.8240285174489,1.40687289052684e-06,6.25490598307015e-06
"NCU07507",73.5439745855459,1.04662143812715,0.30848747714356,3.39275178304917,0.000691943079695732,0.00194048255432757
"NCU07505",425.070249798347,0.33720654614747,0.135548235283907,2.48772361691902,0.0128563601448457,0.0270859644439591
"NCU07503",4235.2525584401,1.24025076327873,0.208105378803098,5.95972468569497,2.52663245540438e-09,1.64934770194435e-08
"NCU07502",706.578160178534,-0.884656236849819,0.130609547947964,-6.77328917180142,1.25886975088662e-11,1.09569501029243e-10
"NCU07501",6.26721328813275,4.66545673366048,1.03350878120469,4.51419167258772,6.35587153035889e-06,2.55120785163231e-05
"NCU07500",12.1092110330755,6.23241223938457,0.873008379936978,7.13900620270619,9.40080927842953e-13,9.41856428601304e-12
"NCU07499",9.24850119870714,2.11538740553462,0.785988265910376,2.69137275616254,0.00711586376585503,0.0160126793695139
"NCU07492",435.367356574652,-0.653333953424113,0.157586473030576,-4.14587585380725,3.38517213647732e-05,0.000120562367362385
"NCU07491",2150.27866264251,-1.3097124237174,0.283734796249674,-4.61597393421184,3.91256056111242e-06,1.62684397258466e-05
"NCU07483",589.110694644292,-0.347141048022447,0.12380441024234,-2.80394735004139,0.00504811477525328,0.011807013141677
"NCU07481",424.328639200242,-0.417021570163,0.129954128959108,-3.20899053768597,0.00133201875692476,0.00354524136404148
"NCU07480",4.72948238882466,2.93488623317528,1.05376673736943,2.78513842684178,0.00535048758223692,0.0124028436847668
"NCU07478",364.438823808313,1.08462738460161,0.168468323167558,6.43816810310887,1.20924034119047e-10,9.36812713209745e-10
"NCU07477",432.250591139639,-0.744965211082664,0.153149386618148,-4.86430424262886,1.14860121323623e-06,5.18904151869476e-06
"NCU07475",8.64511646445066,2.994891322863,0.824221639716943,3.63359948167767,0.000279494612788109,0.000845446039103046
"NCU07474",1689.97112662178,-1.09496493172781,0.168009438591356,-6.51728224859472,7.15926386482327e-11,5.73139161982158e-10
"NCU07473",1640.03687884674,-2.07909870632651,0.196099017560537,-10.6022902724878,2.90770780135947e-26,1.01407567231495e-24
"NCU07472",854.106589046107,-0.639995320317902,0.137002002692077,-4.67143040059307,2.99109451009424e-06,1.26775616346677e-05
"NCU07471",2834.13207311253,-0.540572366702938,0.149390884396518,-3.61850971621624,0.000296304377195588,0.000890680530198131
"NCU07468",1224.36369261529,-1.25221386996252,0.140416097305129,-8.91787974452401,4.7530012410373e-19,8.83865304583302e-18
"NCU07467",2746.15669176223,-1.12974890039752,0.110908998391164,-10.1862690745166,2.2836057348373e-24,6.74969566024197e-23
"NCU07466",507.577065595174,0.680474320488435,0.223818784433573,3.04029137773461,0.00236349369628162,0.00597783010409597
"NCU07465",5733.0675645686,-0.3605833127593,0.0913503717634982,-3.94725610633346,7.90519812439743e-05,0.0002623526239572
"NCU07464",18.1165702649761,-1.33050155299475,0.472044114415822,-2.81859578874596,0.00482342167258227,0.0113640175404293
"NCU07463",29.8794663728575,-1.12228573657146,0.458308770181631,-2.44875465971705,0.0143351054222759,0.0298211615172589
"NCU07461",48.5129203426459,0.732850433154932,0.26219029776705,2.79510889379307,0.00518822361641308,0.0120878654252953
"NCU07460",668.962091058502,-0.774735100943373,0.117022475030687,-6.6203957892722,3.58238390351964e-11,2.96931310555711e-10
"NCU07455",71.8580675595182,-1.02245592174737,0.250355130664963,-4.084022240853,4.4262791603217e-05,0.000155389995321778
"NCU07454",1035.15718249393,-1.41737601187019,0.14246372815747,-9.94903074769685,2.54651257852094e-23,6.86264713339908e-22
"NCU07453",2201.97909109888,-0.428573217730406,0.0997622673759035,-4.29594504017781,1.7395067905521e-05,6.55194016345765e-05
"NCU07452",203.892138192546,0.770466489642981,0.223039788565721,3.45439033365994,0.000551538477180506,0.00157077036210859
"NCU07451",3199.51014188184,0.549245595343122,0.185250137555837,2.964886302325,0.00302794815263993,0.00748190473901884
"NCU07447",512.98656576845,-0.473528071871574,0.139196783360798,-3.40186073584897,0.000669287340305698,0.00188376071012039
"NCU07443",1377.2857704009,-0.552918661751752,0.115743913638735,-4.77708627926255,1.77853475297309e-06,7.79384859791991e-06
"NCU07439",5170.39754754955,0.909409821114627,0.0935928622833657,9.71665786180637,2.56047830932105e-22,6.37211379744366e-21
"NCU07438",752.783823516242,-0.412926328508732,0.127356062894884,-3.24229816094072,0.00118569902652667,0.00318854335335174
"NCU07437",12290.2567056251,0.475439843406233,0.126759992150685,3.75070900005308,0.000176335253801629,0.000551779889185537
"NCU07435",1085.06982896287,-0.511726361097819,0.115380951115532,-4.43510264173005,9.20284310306732e-06,3.60215361692487e-05
"NCU07434",293.870710420543,2.33246292718358,0.220565817713066,10.5749066259119,3.89565354829224e-26,1.3309929529911e-24
"NCU07433",100.996867847773,6.27719155084932,0.60688883946594,10.3432311531272,4.49133492511579e-25,1.39286660646899e-23
"NCU07432",711.304505396426,-0.923358096407431,0.144460189055766,-6.39178241730659,1.63963103710919e-10,1.24441575474575e-09
"NCU07430",948.77612755392,-0.364748716363853,0.142360611814833,-2.56214631079471,0.0104027484159546,0.0224276580287499
"NCU07428",1796.04405795422,1.77243271037575,0.173131180359902,10.2375130042506,1.34653157288459e-24,4.00344888587132e-23
"NCU07427",34.25379997445,1.45231989887546,0.347467952795718,4.17972330164591,2.91864002645912e-05,0.00010531049921826
"NCU10007",3068.89927979708,1.76898083338299,0.134153295478066,13.186264467668,1.05273918384027e-39,9.91640956441686e-38
"NCU09064",60.1588857722935,-0.795510196532887,0.317738059001533,-2.50366669650062,0.0122913763805987,0.025977098456711
