"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NCU10129",338.400914799393,0.81770209604347,0.326168924949892,2.50698957961458,0.0121764301305557,0.0276632914066717
"NCU11134",4.29392446361633,2.69508742964259,1.13549555164697,2.37349008169475,0.0176208662911128,0.0379431790654636
"NCU09904",837.675578029938,-3.10343101425286,0.463293846031278,-6.69862343486286,2.10391968533322e-11,4.4086473232796e-10
"NCU09906",3326.76639764695,-5.63174846730831,0.457263782237932,-12.3161918482708,7.41121278072341e-35,1.884008301626e-32
"NCU09907",5.33473518788206,2.92879027107535,1.14109766593455,2.56664294258871,0.0102688291199714,0.0238683564241876
"NCU09908",3.56180172639286,4.72538237100419,1.33247524199337,3.54631907752002,0.000390652885906037,0.00140495416152357
"NCU09909",239.855089541048,-3.92022426624573,0.731808219890666,-5.35690111110179,8.46614258624583e-08,8.08217801468934e-07
"NCU08049",375.807087395997,2.12104972868025,0.305764357794957,6.93687695968347,4.00862663746747e-12,9.65669160048272e-11
"NCU16303",86.2216253173572,-0.783835169227126,0.269409240719858,-2.90945910813129,0.00362054746708904,0.00968554099476049
"NCU08052",3801.6926331873,-4.5253107199228,0.486333345278566,-9.30495670069826,1.34046941683275e-20,9.73604102752205e-19
"NCU08053",426.296608835458,-1.5160058697342,0.52095947873739,-2.91002646387859,0.00361398153987055,0.00967775173044476
"gh3-2",866.205757153885,-1.89475675492637,0.252900103059216,-7.49211539262488,6.77722958130671e-14,2.12547260470888e-12
"NCU08055",6084.50236881491,-1.7619748110454,0.452657150043048,-3.89251514281357,9.92103049976121e-05,0.000431504523312441
"NCU08057",610.694112596661,-1.01885555641268,0.445281437795452,-2.28811594181187,0.0221307701067815,0.0460442040128171
"NCU08058",55.2045092066515,1.24346463847926,0.423657163972905,2.93507284715428,0.00333469389896451,0.0090276349211132
"NCU08059",6.75657605448093,5.15485868342022,1.17482497794276,4.38776735275661,1.14520177828312e-05,6.31069548101251e-05
"NCU08063",352.969615187675,-1.01938154752825,0.270176519174502,-3.77302050764023,0.000161283025194274,0.000650519425209474
"NCU08070",1629.67116004461,-0.747639189743795,0.325746581990002,-2.29515590056672,0.0217241914451374,0.0453447902679403
"NCU08074",8.1355244423144,3.08000503332192,0.992498676663538,3.10328376827252,0.00191386034385567,0.00560069400837496
"NCU08075",8.59902125519178,3.34784814913131,1.12642722509235,2.97209449004291,0.00295775640246447,0.00814479100564618
"NCU08078",5.66396373961908,6.9079620972408,1.29970721883276,5.31501402557776,1.06649111976175e-07,9.92514857119314e-07
"NCU08079",5.81583822556134,5.94436915756251,1.16536393427184,5.10086933596135,3.38096922655973e-07,2.68807923691909e-06
"NCU08080",7.72353015243987,7.21508762769009,1.22565697246264,5.88671038454849,3.93958176013505e-09,5.26367355503521e-08
"NCU16305",3.55422154495433,4.97175499384374,1.24425232991201,3.99577712198886,6.44823778933708e-05,0.000293820646438661
"NCU08081",3.43804265376458,5.29481550314286,1.38140767635087,3.83291304499601,0.000126634725237898,0.000529105296625472
"NCU08083",4.85857555997812,5.1765585602594,1.33607671859862,3.87444709439212,0.000106867056083273,0.000460042674583074
"NCU08084",14.989840872651,4.07746665911694,0.778359999356393,5.23853571931818,1.61855652628188e-07,1.407313775327e-06
"NCU08085",9.12646853290248,4.96301897396826,1.26213488232718,3.93224135032004,8.41575086595001e-05,0.000372235134455481
"NCU08086",4.02358459229296,4.60765159272781,1.26995828444093,3.62819129508356,0.000285413757445061,0.00107531080223061
"NCU08087",11.9235481949004,5.10434357715172,0.868252098940421,5.87887271839694,4.13069829801395e-09,5.49621839653096e-08
"NCU08095",3839.31427780063,1.8174390766271,0.40891297560305,4.44456200967163,8.80711039821142e-06,4.97554126686835e-05
"NCU08096",50.9775953662074,2.32011385513492,0.544840760704824,4.25833385177267,2.0595620971748e-05,0.000106677586373773
"NCU08100",79.6767236361172,1.77819764475967,0.518436227358921,3.42992551623635,0.000603746956492892,0.00206087372681807
"NCU08101",6.1536016312613,5.22663463254325,0.992230703315884,5.26755986795877,1.38249081902897e-07,1.2218537339268e-06
"NCU08102",4.36154725747463,5.51150008485227,1.29816664483907,4.24560290989108,2.18006421058055e-05,0.000112189900426414
"NCU08103",4.62368592425622,4.96945319885083,1.33833390134141,3.71316395248595,0.000204684192318063,0.000799534693810144
"NCU08105",3.61828156151724,5.57943485091408,1.33268492369427,4.18661211792477,2.83149096879607e-05,0.000140628291817841
"NCU08106",3.10039679167701,4.95031251213918,1.33814600986053,3.69938143944034,0.000216125573378435,0.000839474482845066
"NCU08107",3.17729532603389,5.19860636923246,1.34424931266004,3.86729330658558,0.000110050035460737,0.00047101610214919
"NCU08109",6.01040923240959,6.94917584908787,1.23251290136774,5.6382175321461,1.71819374764972e-08,1.96190917284826e-07
"NCU08111",252.182155999072,-1.6605078728466,0.376565539441737,-4.40961187077374,1.03556052079945e-05,5.76239322057756e-05
"NCU08113",79.6736103802055,2.22935856001127,0.482642732992539,4.61906583817919,3.85471542213678e-06,2.36572750812206e-05
"cdt-2",702.311043908773,6.00766599209471,0.427431070946587,14.055286104471,7.14924005585255e-45,4.06245052585504e-42
"NCU08116",7.52801846247547,3.84179494140764,1.15949295870858,3.31334046710087,0.000921886827067089,0.00298439234231504
"NCU08117",131.383320396003,-1.48739820648266,0.585828792967186,-2.53896398459537,0.0111181267947028,0.0255595204276128
"pex1",353.0315234381,-1.29876117597296,0.267508680787813,-4.85502441321945,1.20371912981559e-06,8.37143757668729e-06
"NCU08119",443.444377927128,-0.616613595635329,0.242335162527416,-2.54446605768806,0.0109444947913072,0.0252565264414782
"NCU16311",72.3157409035403,5.25948062456958,0.542095033570412,9.7021376306087,2.95246997247904e-22,2.59280544855887e-20
"major facilitator superfamily transporter protein MFS1",627.120962029724,-1.07955445275107,0.332864501529015,-3.24322493925344,0.00118184864537198,0.00369710424685665
"NCU07503",956.112313303241,-1.23194683013174,0.3782739258478,-3.25675851797255,0.00112692259769465,0.00354826345949487
"NCU07502",417.679406816941,-1.35354350293465,0.307417674041862,-4.40294627546475,1.06790618022931e-05,5.92191372044498e-05
"NCU07501",3.12247538870749,4.28680372093267,1.28083406581941,3.34688453042526,0.000817252448745396,0.00269074937112492
"NCU07500",4.82482879226196,6.32719149501814,1.22837536959791,5.15086157832134,2.59292515172896e-07,2.12211654530433e-06
"NCU07499",5.83270748362126,2.66649959214048,0.946162990954874,2.8182243626433,0.00482900531283166,0.0124262630053153
