"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NCU10129",480.862706884078,1.10143239074861,0.165423178681528,6.65827122612048,2.77067133074424e-11,3.5859450739218e-10
"NCU09903",700.489306919845,0.396172215063911,0.169451913489584,2.33796247504908,0.0193891948459218,0.0415924651680409
"NCU09907",25.7640831296564,4.30328057536344,0.930485608890819,4.62476854477432,3.75016928920188e-06,2.04307196897937e-05
"NCU09909",1568.2992451527,2.47251232455229,0.300322075707896,8.23286905807466,1.82781959103432e-16,5.01278228351366e-15
"NCU09911",2378.6579192996,1.44963221247373,0.200391935555389,7.23398478315036,4.69024350629342e-13,7.9660083130573e-12
"NCU09913",202.170242285043,1.56469310508939,0.217314036069802,7.20014746119209,6.01474756127966e-13,9.98778235690366e-12
"NCU09914",54.0923773299231,2.93574497818393,0.39026569804172,7.52242636981663,5.37688996314375e-14,1.06667360109005e-12
"NCU10501",11.4104056451875,2.83555696904906,0.791074597194267,3.58443689015679,0.000337806230384839,0.00119223555098637
"NCU08049",241.239176141155,0.743770049583688,0.212215319222076,3.50478962739423,0.000456968219158287,0.00156266666537315
"NCU08052",3681.27205367833,-2.47370742944067,0.509646461800451,-4.8537714177426,1.21135355910486e-06,7.25687735500876e-06
"NCU08054",1271.23519751655,-0.489371625870859,0.125751039389503,-3.89159110132738,9.958898163685e-05,0.000396920926811999
"NCU08055",8538.07098809936,-1.06582597194842,0.17353728082391,-6.14176946237808,8.16072413427245e-10,8.47682085234888e-09
"NCU08056",249.887314052335,0.526133214922471,0.203884183963528,2.58054943102693,0.00986432331095402,0.0230500878526058
"NCU08057",648.774041468854,-1.08107217300576,0.208707063679188,-5.17985426055115,2.22059320378118e-07,1.53007564454133e-06
"NCU08058",39.07881154088,1.38556093748432,0.373097554903294,3.71366930518601,0.000204275693453719,0.000759736069276012
"NCU08060",72.3744843322823,0.983509400186056,0.232273045818746,4.23428123878625,2.29283857768582e-05,0.000105901575718399
"NCU08063",588.564545990884,-0.59534568639861,0.160897592604084,-3.70015285352069,0.000215469645349823,0.000796753972233518
"NCU08064",1234.01327186388,-1.06981032711212,0.166378160493588,-6.42999251787828,1.27610226555381e-10,1.50767439373369e-09
"NCU08066",2043.82996288666,0.572353441890715,0.136489511086849,4.19338773604752,2.74819112398475e-05,0.000124265475344682
"NCU08068",144.808999760848,-0.846827308292174,0.236788683541474,-3.57629974383405,0.000348492048308406,0.0012272650126132
"NCU08078",9.99763394918383,2.83828992119077,1.17322963590352,2.41921089813331,0.0155542192721214,0.0342851540923058
"NCU08084",8.67494233046356,5.15156371805986,0.873298560749353,5.8989719548369,3.65773395590788e-09,3.37886664381147e-08
"NCU08085",18.9966444458152,6.296872278665,1.05554537800753,5.96551546703855,2.43862945551995e-09,2.33284305917872e-08
"NCU08086",7.22475685264364,4.81761405446799,1.08828259859601,4.42680427003351,9.56394411093024e-06,4.75300528428725e-05
"NCU08089",13.1270841282889,1.95669234669745,0.594997387270583,3.28857300646871,0.00100696664762261,0.00312851223223187
"NCU16306",826.320859901852,0.768780584996789,0.189543558596418,4.05595732553328,4.99293756644963e-05,0.000212655647077866
"NCU08092",9039.1583733681,0.757199549069041,0.14133537903371,5.35746643371183,8.43970406578854e-08,6.26570360896464e-07
"NCU08093",10404.7746189135,-0.223188243377483,0.0904170639633122,-2.46843055496742,0.0135706981018092,0.0304538545024605
"NCU08094",2159.72717755747,1.25524121307758,0.158013355724549,7.94389314322098,1.9593239846762e-15,4.80207987231653e-14
"NCU08096",30.4430784838071,1.2284471528579,0.446372571112527,2.75206684361486,0.0059220431786988,0.0148028143591487
"NCU16307",6.19826212022174,2.02891736936564,0.755721376539416,2.68474259475948,0.00725856846359167,0.0176735918752593
"NCU08097",71.0429695203111,1.52305387849123,0.274693403469111,5.54455934964777,2.94695367041583e-08,2.38940188302309e-07
"NCU08098",60.3692008450573,0.742363885189189,0.320405344162643,2.31695225661515,0.0205063326732132,0.0436215791275274
"NCU08100",68.3362194709556,1.08011577800587,0.304981523398227,3.54157775189391,0.000397741616872845,0.00138061548689352
"NCU08102",4.56187683362643,3.25898505426433,1.23047585788016,2.64855668105414,0.00808362925157904,0.0194187629738304
"NCU08110",1388.95002746915,-0.576782601468923,0.159955116074073,-3.60590280339532,0.000311069561210411,0.00110674914446085
"NCU08111",563.399456253296,0.549597759678423,0.188685177110303,2.91277655243228,0.00358230836753709,0.00952494570341294
"NCU08112",292.155295378669,0.923287004749705,0.171974284500406,5.36875037702236,7.92840659150097e-08,5.92941666183719e-07
"NCU08113",30.5091377979827,1.46396672077688,0.445458429702169,3.28642724699514,0.00101466980907559,0.0031473945599682
"NCU08115",168.850613415686,-0.621669512647343,0.245143721984501,-2.53593894885323,0.0112146283315429,0.0257638388414017
"NCU08117",307.38286212279,1.30941088766005,0.205888694488472,6.35979984677289,2.02016812510416e-10,2.29545159848983e-09
"NCU08118",588.422418160706,-0.9943019730815,0.217142410961212,-4.57903165337477,4.67133509758346e-06,2.48889351016541e-05
"NCU08119",774.16456374059,-0.498034482873773,0.140377958750954,-3.54781111867669,0.000388446679059518,0.00135223024091161
"NCU08120",766.623262597111,0.682987696468035,0.183532293901269,3.72134888062505,0.000198161439463401,0.000739838370784876
"NCU08121",232.880878433954,0.582515612251175,0.204754361624073,2.84494849160121,0.00444186052166583,0.0115008429286566
"NCU07509",494.994388503914,0.633636560049654,0.23913344676742,2.64971951274522,0.00805586203456869,0.0193568628336211
"NCU07507",73.5439745855459,0.774502800092033,0.336453033069868,2.30196408998102,0.0213371973688769,0.0450917720428066
"NCU07506",1001.18348293188,0.8241322118403,0.118832913681964,6.93521841975487,4.05594006047975e-12,5.94932662507643e-11
"NCU07505",425.070249798347,-0.537582311359955,0.150884073827292,-3.56288306461883,0.000366804097085616,0.00128335036642062
"NCU07503",4235.2525584401,0.866441320530362,0.210207022855277,4.12184763744495,3.75845760810103e-05,0.000165841513692006
"NCU07502",706.578160178534,-0.636832465338579,0.140055287927227,-4.54700764793312,5.44140216725519e-06,2.85209606828357e-05
"NCU07499",9.24850119870714,4.59819457897009,0.777138400422557,5.91682842653239,3.28208745961785e-09,3.06106827519849e-08
