"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"37S ribosomal protein Mrp17",6.89142451202084,-4.83228419809251,1.31056765103799,-3.68716883425688,0.00022676291376765,0.00182128459608268
"37S ribosomal protein MRP4",9.25338573245003,0.659121189759201,0.729160599808164,0.903945152731251,0.366024485087785,0.528248074998655
"37S ribosomal protein Rsm22",7.08477158254666,-1.789265291809,0.987885264577523,-1.81120759258839,0.0701087233573371,0.159193154896102
"aab-1",5.62651289056377,-3.94025137321788,1.41865259764311,-2.77746037314848,0.00547855199791273,0.0230686921291421
"aac",48.5195653852449,-1.69855689437101,0.414955175576597,-4.09335030467037,4.25184613695193e-05,0.000466500389801348
"aap-2",0.901439023437591,-0.033469298660926,2.4387588466094,-0.0137239066123566,0.989050250524058,NA
"acd-1",6.66211111202094,-5.30403830845957,1.39875491556332,-3.79197116624501,0.000149456270078001,0.00129502581457863
"acd-2",4.07447893326691,-1.17508825662945,1.49336242383148,-0.786874129064102,0.431355553480002,0.593004644272898
"acd-3",6.85535370046887,-0.893598834954305,0.879962650875882,-1.01549632142324,0.309869299176793,0.470367900269746
"ace-2",21.8924944820654,-0.0612983553536913,0.62432469127,-0.0981834551970039,0.921786619822718,0.976025552861489
"ace-4",24.1811869981984,-0.770762876389132,0.521827072250493,-1.47704654928126,0.139663159848086,0.265553309122917
"acon-2",42.4594131383015,0.183240253178238,0.564694929679709,0.324494242018732,0.745563880838219,0.857684617977532
"acon-3",9.47558597345705,3.80766137046422,0.818721246425626,4.65074210189087,3.30742721495079e-06,5.43869702129315e-05
"acp-1",9.66060008603361,-0.734503130144387,0.744970863329859,-0.985948801891817,0.324158237232364,0.484035193910827
"acr-2",29.0794636588419,0.790597432618052,0.499503704326515,1.58276590497766,0.113474830533711,0.228474208408943
"act",32.7705226142301,-2.38100467147641,0.492695383765241,-4.83261006685402,1.34754565070797e-06,2.51008927140349e-05
"actin cytoskeleton-regulatory complex protein",117.663449566375,-3.84844127930592,1.22979857787351,-3.12932649992196,0.00175207507550021,0.00950879263197395
"acu-15",9.14727906548327,1.01171601015424,0.585506650772498,1.72793256715259,0.0840003147221396,0.183106801744723
"acu-3",7.50585054400708,-1.57496477981516,1.21047317555895,-1.30111497851896,0.193219101472596,0.337149181029452
"acu-5",37.5534546336694,-1.22719116996396,0.376628901622839,-3.2583563414177,0.00112059597153903,0.00662072747529028
"acu-6",5.3868797257089,-0.412780451727058,1.21842639473334,-0.338781606760412,0.734774258439277,0.849868700254095
"acu-8",26.5905085775439,-1.14882773571489,0.558581572492315,-2.05668749613235,0.039716295700197,0.103924307082182
"acu-9",5.8137058238167,-3.49179591974383,1.58780410011187,-2.19913522045812,0.0278683088254582,0.0798624153838175
"acw-10",179.250234220908,-1.36623208033822,0.23109350630969,-5.91203146360728,3.37913968796821e-09,1.28280240787955e-07
"acw-11",15.0480686965624,-3.4022431146543,1.3571410006159,-2.50691940860256,0.0121788476295256,0.0425356574518494
"acw-2",49.9492762192727,-0.316840796324045,0.445139353183243,-0.711778893639218,0.476601704564761,0.634891240383846
"acw-3",158.0922214826,-3.3299539483563,0.361263777009165,-9.21751407219502,3.04067688850677e-20,6.07582527357989e-18
"acw-5",57.5630513765094,-1.24950344664715,0.492724986898294,-2.53590436830244,0.0112157357711897,0.0400197844562906
"acw-6",26.7601267146088,-3.11878128724176,0.72812769288279,-4.28328893094828,1.84150786456083e-05,0.000232622660132454
"acw-7",64.7529342366655,0.809209000985582,0.307554297228546,2.63110939524363,0.00851066361657662,0.0323592776203294
"acw-8",32.2594740674993,-2.34782408789268,0.522049843185063,-4.49731786828713,6.88160666102901e-06,0.000100838476272945
"acw-9",86.555809754607,-2.75052788299046,0.455749062318941,-6.0351805640482,1.58785037154255e-09,6.38432033533634e-08
"ad-4",8.50357629736352,-1.30956237427504,0.988507244421914,-1.32478783707942,0.185241530049719,0.327212067813514
