"seqnames","start","end","name","strand","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7","logFC_ash1","PValue_ash1","FDR_ash1"
"CM002236.1",2701,3000,".","*",-0.747921999727422,0.204145885954943,0.633184187957396,-0.0259018192634821,0.964536026354038,0.991726812431634,-0.473184637846457,0.428492601240281,0.599020708704727,-1.04863408919982,0.123745713992554,0.844718692892082,-0.509658875358157,0.401741110214244,0.443564008574886
"CM002236.1",3001,3300,".","*",0.912912515237828,0.219013823268142,0.636927934823401,0.980671362728783,0.189237788712448,0.568774240520139,0.753726550530165,0.322401863394636,0.50085810609054,-0.81628442262213,0.418432770925012,0.999587765463882,1.88482712907733,0.0086443566571934,0.0128673756988992
"CM002236.1",15601,15900,".","*",0.112599049707639,0.825077596468738,0.967041916543776,0.165788183590994,0.740212126598255,0.915307147576093,-0.530759388291854,0.313888766272214,0.495306593988916,-2.05953914173506,0.00138157340534747,0.0725654983856314,0.270324371543319,0.606737693095939,0.645976520738244
"CM002236.1",15901,16200,".","*",0.0717329584948728,0.89319230732509,0.978498734805599,0.350688107515019,0.509620676262008,0.813475551254696,0.0023008006717017,0.996709929491142,0.998520483404841,-1.58992061635722,0.0206959609101993,0.38046074806583,-0.0514473139131614,0.926087622657149,0.938855374807753
"CM002236.1",17101,17400,".","*",1.3855342917274,0.268163965491658,0.672111479151447,1.51264972970369,0.23129966925407,0.619334783202066,1.09549788695732,0.406476730043198,0.582415586331903,0.182381248056478,0.908479647075387,0.999587765463882,3.30377856740082,0.00318427942299155,0.00521106855127549
"CM002236.1",17401,17700,".","*",0.130592157035641,0.816620692769048,0.967041916543776,0.211766617519802,0.707691409192289,0.910859072184673,0.404178064494365,0.4703577102578,0.641291167384862,-1.00290968950678,0.13413479980251,0.891269181820289,0.665000021237504,0.23973940470002,0.277473833561513
"CM002236.1",34501,34800,".","*",-0.253508075489707,0.670155222097893,0.893810411093078,-0.821214838532929,0.187578697789507,0.568774240520139,-0.768821953724665,0.221162146721879,0.407929511428482,-1.58024807052532,0.0441598667818401,0.553212460873283,0.466898599569241,0.426984965335079,0.466763544860845
"CM002236.1",34801,35100,".","*",-0.259091224156918,0.648790644092526,0.884576115866441,-0.194882237427801,0.732616076884125,0.91431453780794,0.0450918278926128,0.937404480198156,0.970851776205226,-3.51950237122455,0.000194422479720805,0.0234394201118649,1.02093539963346,0.0695259707929123,0.0888611191014858
"CM002236.1",42601,42900,".","*",-0.989828390036975,0.0413152234583559,0.364565531796532,-1.15754720184069,0.0180233709814869,0.189139057272881,-1.54116061123861,0.00175291459014255,0.0127201631113634,0.313723715546484,0.548059229270177,0.999587765463882,-1.68542955951599,0.00114580656136664,0.00208551920327954
"CM002236.1",44401,44700,".","*",-0.729202017173254,0.124023315176521,0.543184793833082,-1.2127645560339,0.0100615166154468,0.126111963941339,-0.874208485019016,0.0670560685138097,0.183076345472109,-0.164686009492675,0.746253341590357,0.999587765463882,-1.88685143671892,0.000201126830479845,0.000470006131396756
