"","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.15901.16200",0.721741824936821,1.10483692465025,3.0232032773023,1.58593489388934
"CM002236.1.34801.35100",0.252569295131947,0.176177451669532,2.83353342337887,1.92483906986925
"CM002237.1.10801.11100",0.107041077966977,1.12039739161174,4.01971616625252,3.57157428533821
"CM002237.1.11101.11400",0.161004679997433,0.946515744780593,3.47472863361446,3.19984587187685
"CM002237.1.4468201.4468500",0.142924391012138,0.725889758426114,0.462999074007963,0.575780226589536
"CM002238.1.4873501.4873800",0.0700316370633228,1.70541193878856,1.78315193254563,3.45796042510425
"CM002238.1.4873801.4874100",0.760294300608847,2.42887282324179,2.43200476336603,3.63904562425493
"CM002238.1.4962601.4962900",0.456625867834536,1.62296185199532,3.15786131262838,0.510376621716975
"CM002238.1.5254201.5254500",-0.317556305261344,0.148331288848527,3.52520350791918,0.855963351890555
"CM002238.1.5258401.5258700",0.824814487269473,2.0112040649169,5.24311196344935,2.88465727163196
"CM002238.1.5265601.5265900",0.461461104988318,0.906848519548983,1.97423116496285,1.87578808933929
"CM002238.1.5269801.5270100",0.557273406924023,0.683375632644181,1.04499181568594,1.15212814950416
"CM002239.1.70801.71100",-1.07388347486493,1.08543252663845,1.78971055269023,1.57634489929265
"CM002239.1.71101.71400",-0.608385904638935,1.20960440196791,1.85993009969973,1.6397730755599
"CM002239.1.312601.312900",3.6753576662734,3.76890691067482,3.26606746465403,3.41608926892554
"CM002239.1.360301.360600",0.500532887579647,0.976399618703514,3.47408803285682,1.12566337251526
"CM002239.1.595801.596100",1.36667836104409,1.80652274997657,3.08111688801666,0.576705388243657
"CM002239.1.841801.842100",1.38567091508833,1.68870243622106,2.38563986669954,0.323745087794975
"CM002239.1.5822101.5822400",1.47824895660275,2.53814835085795,2.80145708712624,1.55671023773873
"CM002239.1.5949601.5949900",0.355934747486903,0.698313026302979,4.31888952465976,2.60939263006471
"CM002240.1.6085801.6086100",-0.1383307412572,0.244718423039578,0.359815418738339,3.14474172832448
"CM002240.1.6088501.6088800",-1.44588012200721,-0.319414842939819,-0.18653453750148,3.41611882611744
"CM002240.1.6161701.6162000",-0.400794875058673,-0.0519388191766485,-1.08917080882583,-0.235366399159993
"CM002240.1.6234301.6234600",0.614391673494089,0.195475855178056,2.3088730999396,3.42691661082453
"CM002240.1.6412801.6413100",0.524146946433622,0.861125844349026,4.0684977635406,2.7748939570859
"CM002240.1.6414301.6414600",0.0657564300008534,0.264634338372293,3.26760718767071,2.7011556947359
"CM002240.1.6417301.6417600",0.175581946660323,-0.151229196011471,4.08401004495268,3.58955293548069
"CM002240.1.6417601.6417900",-1.176345891298,0.305342142910823,4.17995780397164,3.20594441897236
"CM002240.1.6422101.6422400",0.999925276258494,0.480328862209029,5.10082964952687,4.41507066589154
"CM002240.1.6422401.6422700",-0.504230548443275,0.252793475878806,4.79293668741972,3.66736600932674
"CM002241.1.3001.3300",-0.479633250525677,0.0187143049461102,2.41613248100365,2.53301125488328
"CM002241.1.3474301.3474600",-0.273149332343885,-0.125820674931047,1.31364689594793,1.91185753636763
"CM002241.1.3474601.3474900",0.278987278792596,0.236152228625163,1.01755898780564,1.46239987859983
"CM002241.1.3736501.3736800",-0.306713036205993,0.433227184024223,0.0693353499008523,0.261559353380815
"CM002241.1.3749401.3749700",0.505965267488781,0.243739631783709,2.13112380320319,2.38833516941671
"CM002242.1.2101.2400",0.202934509100779,0.402368169520757,2.81556029298391,2.44666475203644
