"seqnames","start","end","name","strand","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7","logFC_ash1","PValue_ash1","FDR_ash1"
"CM002236.1",1201,1500,".","*",0.675517418498602,0.0679146098725214,0.174946115183986,0.390742408734895,0.28396158333171,0.492901195522467,-3.05180629353144,5.19204632212053e-14,2.91902450037985e-13,-4.98857335393651,1.91689023367859e-26,3.22479918542698e-24,-1.31361529194151,0.00135644105021141,0.00429000228027816
"CM002236.1",1501,1800,".","*",1.32833467782641,0.000356855546884338,0.00176172253055541,0.408266205839024,0.248891153421806,0.450371906928401,-2.99779852409099,3.13541233614064e-14,1.81043453803769e-13,-4.92891075344427,1.53111549734989e-25,2.16035457593821e-23,-1.46687125149418,0.00025201114803305,0.000920069927775275
"CM002236.1",1801,2100,".","*",0.711311115435517,0.0679045409052102,0.174946115183986,0.439956393497313,0.248470339987079,0.450210964003101,-3.54875681742624,3.13736032968649e-16,2.24964165279487e-15,-5.45436772867801,1.41362695430393e-26,2.68834969483713e-24,-1.22625554257965,0.00456220552771712,0.0125503691687011
"CM002236.1",2101,2400,".","*",0.69602249388755,0.0746565767917452,0.189193433885917,0.349521691413791,0.362628823435891,0.576777626803123,-3.70874126747001,1.14316914831404e-16,8.89719191232314e-16,-4.3728251984564,7.22516887043781e-20,1.81625796777557e-18,-1.36939976637362,0.00153980166877934,0.00479751741089792
"CM002236.1",2401,2700,".","*",0.328401261351308,0.376558208855361,0.585968064805544,0.414807313896495,0.260593285826881,0.465798762594705,-4.60232885854075,8.50474045589976e-24,3.04915858640209e-22,-5.25127751378538,1.58253502424055e-27,4.3262551225176e-25,-1.5111161736015,0.000283415446473259,0.00102150321028493
"CM002236.1",2701,3000,".","*",0.542137622852476,0.15940378893128,0.332807719706644,0.353201634221792,0.3539091214266,0.571006454120232,-3.62567572345986,9.60362594429564e-15,5.80999445094732e-14,-4.28373437759255,3.02330259652113e-19,6.09397491114443e-18,-0.566129504497107,0.184485014957864,0.259548875981247
"CM002236.1",3001,3300,".","*",0.807917335241055,0.0429307629538471,0.122093080078106,0.351329620077302,0.382396688810038,0.595232425927084,-2.97822729534455,2.55653493812223e-08,7.59150293234668e-08,-2.16299666578735,1.04580622186251e-05,1.27703975835472e-05,-0.338721493294979,0.455489558557346,0.536866431994026
"CM002236.1",3301,3600,".","*",0.857182027166971,0.030814562767769,0.0923803273106384,-0.105138203032084,0.789793760337129,0.891317952192998,-2.62767241825513,4.27950501154488e-08,1.2437578020264e-07,-1.01337900971565,0.0250746108609121,0.0260081451044888,-0.379584370116208,0.396111067958099,0.480074760667421
"CM002236.1",3601,3900,".","*",0.469228021701437,0.235699039849415,0.438312080977243,0.249544810500349,0.537593132894172,0.724855845647074,-2.07179536964003,3.98865370572131e-05,8.42056961637535e-05,-0.991575250850884,0.0311095197798799,0.0321154211746979,-0.137182355059196,0.763392432221542,0.810259281372731
"CM002236.1",3901,4200,".","*",0.132868423526268,0.737328370598727,0.862319329678832,0.0646170785833586,0.870628769835444,0.932020264337279,-1.46877439730188,0.00140671832671749,0.00248304518202676,-1.48972878207724,0.00131661440100008,0.00144332616290084,-0.613257355430283,0.169662632065882,0.242597042385147
"CM002236.1",4201,4500,".","*",0.25816802964906,0.512382546021564,0.701626570842718,0.332560569104651,0.396927015209439,0.607195169342674,-2.20596700880898,2.91300710409711e-06,6.93603324622797e-06,-0.777845914036168,0.0914994340961368,0.0933127826384944,-0.462067837006122,0.297473301031625,0.38201650578753
"CM002236.1",4501,4800,".","*",0.396531770784998,0.286085423177823,0.495972112952754,0.62466288679007,0.0923948820602418,0.216578356983654,-2.75481446850047,9.07606757961614e-10,3.16324458910287e-09,-1.6745190212216,6.55415959074795e-05,7.67547364121326e-05,-0.268232047393083,0.516582667161639,0.593208870087952
"CM002236.1",4801,5100,".","*",1.00060406992376,0.0139325457530139,0.0473879899873118,0.829462480486666,0.0421240440130151,0.113945929816282,-1.84036117692468,0.000108478728584669,0.000217853975587392,-1.31231879731206,0.00441775228309907,0.00473492979325541,-0.183382953769376,0.684778897227191,0.740292361955445
"CM002236.1",5101,5400,".","*",0.985698595188482,0.0339808349595495,0.100359332959534,0.143748792701615,0.751566156437572,0.867813489116607,-3.00304076161432,2.05129247269934e-07,5.54191060876277e-07,-2.5253658483157,3.94631210365299e-06,4.93035393926826e-06,-0.470792403343158,0.354771819743898,0.439097888952974
"CM002236.1",5401,5700,".","*",0.84227820625892,0.0497795049353469,0.137720148379005,0.448149288008664,0.287629702367412,0.496288882901405,-3.67305934951589,3.16522981373027e-11,1.30487419465186e-10,-2.28235016247407,4.00090068628424e-06,4.99570071418991e-06,-0.70062423588886,0.139604407654933,0.207767839089036
"CM002236.1",5701,6000,".","*",-0.153746895753841,0.68854282635666,0.831438980208641,-0.325094435671351,0.393514948396264,0.605616207324262,-4.13928281907543,1.88621205012635e-17,1.70109103242323e-16,-3.83035675314658,4.32751487515253e-16,2.70022112181415e-15,-0.848295715939476,0.0507552682156523,0.0934352113225012
"CM002236.1",6001,6300,".","*",0.680174735547297,0.0836738334777738,0.207476954439786,0.634050965582617,0.101766127336776,0.232537845495047,-3.98933082334265,1.21625129326634e-16,9.4157224013221e-16,-3.31091743269004,1.42457656168551e-12,3.37363177087842e-12,-0.724041959258589,0.0925239607225154,0.151474931274799
"CM002236.1",15001,15300,".","*",0.434738401595398,0.26393314695338,0.471393868833844,0.113794836155044,0.768611048551496,0.878011158622158,-4.06607266335817,6.11373726195662e-17,4.97979269716914e-16,-3.34009910534364,4.19811724615184e-13,1.10351952131419e-12,-0.701288206115973,0.104620658197457,0.166403912347519
"CM002236.1",15301,15600,".","*",1.05184171144364,0.00959544361939742,0.0343176372782047,0.315209457415019,0.427814090842544,0.63411007568461,-3.96390341439605,7.36476528587637e-15,4.51802010665123e-14,-3.38412040568629,4.24230883229887e-12,9.17244628397195e-12,-0.684606035721359,0.12280524605811,0.187880428911568
