"seqnames","start","end","name","strand","logFC_WT","PValue_WT","FDR_WT","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7"
"CM002236.1",1150,3878,".","-",0.744426041077824,0.00153846090699922,0.0027422963647307,0.169813115409383,0.471116150654859,0.517304008562198,0.795256015294814,0.000730526850607268,0.0022939908579817,0.91990720912123,9.68100765425625e-05,0.0002502168132177,0.93224886913795,0.000408080684559249,0.00237785494239103
"CM002236.1",2177,6443,".","+",0.628394684710556,0.00952160153396658,0.0140936480855188,-0.0942457840284524,0.699888673334355,0.73031861565324,0.753667221383744,0.0019166463111571,0.0050311965667874,0.665879792770763,0.00603856370178332,0.0102472596151475,0.883597225059592,0.00114524899595361,0.00487093243848623
"CM002236.1",14929,16647,".","+",0.135743581128167,0.585621806786315,0.624663260572069,-0.646337990024515,0.0122569046043001,0.0168783604387084,-0.0574547147538321,0.818578716090182,0.850208496464609,0.0967918302332481,0.697784950016868,0.738443285687142,0.803025317193782,0.00372760525910872,0.0111331143738714
"CM002236.1",16440,19615,".","+",0.469432788254073,0.0534130455550765,0.0696962458505077,0.277886277440684,0.254104714958449,0.28650732961758,0.551631211777498,0.023403184947031,0.0416056621280551,0.444269552942366,0.0676401851213937,0.0892452429858956,0.705592984872035,0.00915636128750994,0.0229592342731593
"CM002236.1",33980,39245,".","+",-0.00800392136752771,0.974296081914512,0.980946760030044,-0.517689106576223,0.0410119631579259,0.0520000740417475,0.162194238585708,0.512199517464133,0.586368101764731,-0.0648546411087982,0.794259939151817,0.824950044992305,0.537939066431607,0.049459285361758,0.0857114285818078
"CM002236.1",40949,43632,".","-",-0.422269517742512,0.0989425790310827,0.121110042092691,-0.363786751618255,0.152386305124389,0.179027267558723,-0.118039333840193,0.638847681203796,0.703599681320449,-0.698666048825989,0.00681838338486807,0.0113978946135108,-0.172536101152738,0.532971724263348,0.626148599134563
"CM002236.1",43708,45551,".","-",-0.74500581109126,0.00289710296789104,0.00477169900593818,-1.23083451554112,1.82153734055851e-06,5.88496679257365e-06,-0.593152886162679,0.0160706316253687,0.0299192950982424,-1.13353396775872,9.73005969873134e-06,3.57617574201878e-05,-0.518726115162083,0.0530066654872366,0.090637351672832
"CM002236.1",45331,49154,".","-",0.211405618745238,0.373880998156271,0.415286001257875,0.0891075236174915,0.708362782921531,0.736872740128899,0.210617250946787,0.375198605481042,0.455937545901013,0.302170514671518,0.202687032799936,0.246303229731568,0.282369803003692,0.281557963132497,0.367392138301044
"CM002236.1",58145,61150,".","+",-0.280066385031606,0.243040040454423,0.278233232002338,-0.540311661576718,0.0258998986224529,0.0339273525814588,-0.00785223595952155,0.97360217817863,0.982373368973032,-0.46900482385477,0.0523275608289305,0.0701878660220385,0.0254905474773898,0.922194963027768,0.940386972920577
"CM002236.1",90323,92593,".","+",-0.520119151799197,0.0398011268180065,0.0529630836073274,-0.756452441595296,0.00308281301319785,0.00476241458590565,-0.27187105717448,0.274680647245966,0.352262204101697,-0.392627591095895,0.116387219011271,0.146198669742433,0.0643711327333614,0.81327611184672,0.853939917439056
"CM002236.1",180222,181975,".","+",-0.549414558686044,0.0239317251742077,0.0329551625349745,-0.815431258144303,0.000926938294540745,0.00152298908051682,-0.515606774728481,0.0324946179254108,0.0554222925022234,-0.881544785624587,0.000360377617332941,0.000803540778245825,-0.343152648908995,0.190593644426986,0.264625886477137
"CM002236.1",182427,186051,".","-",-0.768090872990717,0.00316795286880184,0.00517971855920885,-0.70184958562229,0.00658670497634614,0.00958066178377621,-0.547392515669795,0.0326564208305633,0.0555572526535153,-0.902936039938205,0.000557663560264828,0.00116744521027403,-0.411487159375216,0.138545460189153,0.202396846189372
"CM002236.1",185039,188208,".","+",-0.589018878782284,0.018003195648467,0.0254697841595154,-0.442016384131798,0.0725485909929772,0.0891343947132405,-0.39133533097332,0.111411997910687,0.159295452331876,-0.515956113896737,0.0368244958860106,0.051770002584517,-0.0862231057956869,0.7467112875207,0.804004289611496
"CM002236.1",188530,190595,".","-",-0.870543358913341,0.00081316368634906,0.00157932369140627,-0.821238707285,0.00137975551432542,0.00224502592161425,-0.671630999812197,0.00839603155363977,0.0168059860101473,-0.648700072395324,0.0106965935736763,0.0173207491120735,-0.55446572201085,0.0454779492721235,0.0808416160718049
"CM002236.1",189406,191138,".","+",-0.823835254957545,0.00134010834834602,0.00242736606492864,-0.664087607743945,0.008205481866783,0.0117071843194866,-0.716573191541426,0.00456769526445318,0.0101638782043462,-0.733126738230038,0.00365478029874813,0.00651462164657492,-0.652658210832741,0.0178042638599529,0.0384709495623419
"CM002236.1",193143,195064,".","-",-0.78519423514924,0.00162862308854057,0.00289532993518324,-0.112560584611308,0.638078907570849,0.678463648556346,-0.494552323405315,0.0422925239777569,0.0696582747868937,0.0154936629750522,0.94811497913069,0.952366615808406,-0.3811025468535,0.15004931098867,0.218253543256248
"CM002236.1",195020,196335,".","-",-0.846247035198718,0.00141141000080002,0.00254280836605259,0.0874351001135065,0.725898269066475,0.75344652223643,-0.222020150191074,0.378586299519341,0.458396384282878,0.203149384401751,0.413870252503539,0.470593586603009,-0.395249168821964,0.159416525590162,0.230382591820621
"CM002236.1",195780,197290,".","-",-0.474306183547464,0.0540814515537972,0.0702954263910092,0.0835123507731979,0.726537717870844,0.75344652223643,-0.224905749053305,0.351133326545604,0.43058685299023,0.498930045389026,0.0358238551619476,0.050574854346279,-0.304847474642557,0.252539854875217,0.335579803708511
"CM002236.1",197194,198497,".","+",-0.743200516909634,0.00377236137346516,0.00606465751906361,-0.572524719508188,0.0222485705173102,0.0296060185893713,-0.559749740420648,0.0257374856997369,0.0450405999745397,-0.19035453264531,0.437947695098499,0.49462327917007,-0.898222167736499,0.00134878293929875,0.00530048032285823
"CM002236.1",208394,210343,".","-",-0.956477438660142,9.3410768320368e-05,0.000258508195540496,-0.335676151073937,0.151224548549114,0.17828578355264,-0.379899569885197,0.105917367027736,0.152739207387636,0.350668348017823,0.126827034062054,0.158710925306705,-0.411833164466192,0.109977532879339,0.166078431673968
"CM002236.1",209486,212487,".","+",-0.843900867848394,0.000936436493741131,0.00177764215761028,-0.135906066344945,0.578251099889671,0.619857645834357,-0.21900693623624,0.372262141691102,0.453188694232646,0.470650363836159,0.0515136387444399,0.0693730766257788,-0.369895417579133,0.170857858043588,0.244811259286335
"CM002236.1",213619,215734,".","+",-0.975335710470704,0.000245901435282059,0.000577782393390012,-0.570710317062559,0.0262423640672707,0.0343090829828909,-0.377863172021291,0.137758490146072,0.191267986318514,-0.0980545841033184,0.696445341124666,0.73818812182299,-0.642647235554868,0.0225612106919306,0.0458040289576356
"CM002236.1",216104,217521,".","-",-1.28938988905098,3.82805955208095e-06,2.05796481519872e-05,-1.29680130988929,2.51903319115166e-06,7.75693872974261e-06,-0.996138263278894,0.000225611982928934,0.000941684798312073,-1.32869232292336,1.55007038570427e-06,8.46867722921355e-06,-0.987468908479823,0.000786651740279965,0.00377592835334383
"CM002236.1",219395,221979,".","-",-1.04873654929116,0.000103530084184748,0.000278521678592056,-0.94880847364075,0.000381860981311092,0.000657975844720651,-0.956879227113451,0.000347036422712557,0.00132504815944794,-0.975246871825016,0.000263478329147673,0.000616924868248209,-0.84714669066942,0.00331727092669653,0.0102257158841287
"CM002236.1",223661,224874,".","+",-0.86077942047531,0.000916904395685919,0.00175045384630948,-1.39890636118162,2.02394281665435e-07,1.0468259147329e-06,-0.547859315879339,0.0306227255260056,0.0524961009017239,-1.01780095508886,0.000100012483395486,0.00025750340552401,-0.636898150052907,0.0216872036908692,0.0445681984105935
"CM002236.1",243323,247248,".","-",-0.837729846994433,0.00112801434565314,0.00208822490434961,-1.12883507066914,1.61791877318289e-05,3.71072155487681e-05,-0.618524572195185,0.0145045820076793,0.0274565608708747,-0.897726653927182,0.000492345123546263,0.00104042743089022,-0.337459320419949,0.216335029006407,0.296083787153372
"CM002236.1",246886,248478,".","-",-0.812683623216339,0.00145200435239841,0.00259507160854184,-0.652162019773132,0.00933679457198321,0.0131813570427998,-0.45069725990984,0.0685678621888782,0.104721825888469,-0.531698981315776,0.0323532130605201,0.0460622016454862,-0.357359678842087,0.187864109880113,0.26282451705879
"CM002236.1",249096,252944,".","-",-0.600626884503506,0.0137870604169662,0.0198391961460413,-0.691620608760076,0.00468258460850162,0.00696171870998471,-0.421803432735532,0.080155223126597,0.119698466535718,-0.727530307905895,0.00299370864265984,0.00539349117390727,-0.262036327260334,0.317345045646866,0.406976852432622
"CM002236.1",254974,256694,".","-",-0.99046234395967,0.000214134801019754,0.000515765542241129,-1.19797089975203,8.70708784859026e-06,2.22477681910747e-05,-0.761226673484356,0.003626981746964,0.00849244506606204,-1.17436455802974,1.36185596427243e-05,4.76649587495351e-05,-0.489428958520895,0.0820358127220407,0.129279434840649
"CM002236.1",255165,256694,".","+",-1.05535353564804,9.70602541893325e-05,0.000263001979093675,-1.20392292946233,8.87145509631509e-06,2.25818856997111e-05,-0.736158001154107,0.00509190519402172,0.0109671804178929,-1.15665806340122,2.03432374944829e-05,6.6041814474843e-05,-0.534582927729199,0.0594124154827874,0.0993162766279431
"CM002236.1",256492,259361,".","+",-1.20224537534012,1.46600893857636e-05,5.38337708591973e-05,-1.47457709908307,1.7179462832096e-07,9.38585286436466e-07,-1.09941171186766,6.15665570673996e-05,0.000362918652186777,-1.30251837670025,2.8756027369434e-06,1.33460217239534e-05,-0.983587705213763,0.000810690598208703,0.00378322279164061
"CM002236.1",262019,264387,".","-",-1.25644533194552,1.13005735497564e-05,4.44092714937796e-05,-1.23997858997489,1.17719869146704e-05,2.85587552586949e-05,-0.820177131947581,0.0029135378245049,0.0070682217258747,-0.921516956610337,0.000867650728635062,0.00177222276487162,-0.761364589420516,0.0106021352975439,0.0256281831652859
