"seqnames","start","end","name","strand","logFC_WT","PValue_WT","FDR_WT","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7"
"CM002236.1",2578,3378,".","-",0.128627690560311,0.651265027974359,0.819885241596238,0.157204842877523,0.583360834456869,0.766017847202659,-0.133128940996218,0.642792171779014,0.879165410348955,0.069436845948899,0.807324064531122,0.8921358323996,-0.178267861490782,0.568550914672141,0.783089808789827
"CM002236.1",2677,3477,".","+",0.133095906919396,0.636269691132796,0.813787341295878,0.165889970721911,0.558382751561029,0.750851355305512,-0.0322296866411856,0.909323162415622,0.98749887453005,0.254678847400739,0.363577132261687,0.568671924819562,-0.134890463845366,0.662595185688677,0.843645862613097
"CM002236.1",15429,16229,".","+",0.569405714395733,0.043743387681108,0.178974470329411,0.474241198347401,0.0975766070882623,0.259817076810413,0.291701082792859,0.304725361448658,0.5892527882768,0.588193311926872,0.0381962527658668,0.141243571114549,0.573194736357789,0.0674977388130395,0.27046479395731
"CM002236.1",16940,17740,".","+",-0.263491836203777,0.323224305102994,0.573765896095526,-0.375083723067883,0.164332335543345,0.353419862658925,-0.197061177946404,0.459833937815061,0.745766589110769,-0.62091746062616,0.0217823375433502,0.0955290751084184,-0.238573004839212,0.409777836473533,0.678535849904909
"CM002236.1",34480,35280,".","+",-0.441568463178954,0.11312301141608,0.316986618193975,-0.463160040685511,0.100196247083715,0.263653654090874,-0.592976634731068,0.0344909327807853,0.184898533302441,-0.614241174172354,0.028726445389038,0.119530698487226,-0.799490575821807,0.00856582314219448,0.079828712894618
"CM002236.1",42332,43132,".","-",0.212674738580872,0.446955339405395,0.674960576869431,1.14318317901292,4.27061168761259e-05,0.00231897516737262,0.861574370770485,0.0018337995391137,0.0323810392301393,1.06814592789092,0.000104450851521914,0.00184438214134748,0.920984730679432,0.00305278413323286,0.0400664917992634
"CM002236.1",44251,45051,".","-",-0.497265619411565,0.0768041395250871,0.244244443703002,-0.101605235152753,0.715528830280476,0.853522785945611,0.102620003119485,0.708715173043437,0.902542040117686,0.421912872284197,0.123198787043308,0.313130250401742,0.25409169766646,0.403239044428144,0.670328202132723
"CM002236.1",47854,48654,".","-",-0.597887103603649,0.0240161843628794,0.124921393081334,-0.573200487221553,0.0309889409109591,0.144399856605927,-0.553249712068889,0.0359807326817451,0.184898533302441,-0.642054339614086,0.0150345431217786,0.0724120836433013,-0.482197912705002,0.090836457684015,0.298780701499873
"CM002236.1",58645,59445,".","+",-0.0846815885149395,0.755341912145012,0.879746917714604,0.219145358858819,0.419644859685771,0.64435171819028,0.240346453917935,0.373074899186664,0.661885601722188,0.0342686927828101,0.899617259018925,0.944668514556649,0.00754760203984768,0.979866693098518,0.99619780465016
"CM002236.1",90823,91623,".","+",-0.267775748088125,0.350649935187765,0.597039768870492,-0.114275631568792,0.691238231105284,0.833940013870834,-0.0328622298598324,0.90810873741556,0.98749887453005,0.22501420042217,0.42670758073417,0.623792563556923,0.511973699801048,0.1031982903955,0.318596971677344
"CM002236.1",180722,181522,".","+",-0.0343638473470472,0.895384022618136,0.94721099896446,0.524182686622654,0.0436534397842239,0.1645587533439,0.440710175320863,0.086739483108985,0.304243183520439,0.577375516614626,0.0248774717827659,0.107311909038886,0.0603042745723866,0.833161596946037,0.934994011469595
"CM002236.1",184751,185551,".","-",-0.398299524490532,0.16451583184542,0.389437154011819,-0.406155585396198,0.159505588116921,0.346565638671746,-0.129484426159034,0.647887670813941,0.881810602669685,-0.286733630494439,0.315971013108875,0.528719575551259,0.215234297521198,0.49197978871431,0.721852373353428
