"seqnames","start","end","name","strand","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7"
"CM002236.1",1150,3878,".","-",-0.257918868638643,0.431547212129587,0.999763453971879,-0.0550639208801523,0.865883805125197,0.912028083141274,0.439926070121867,0.177883642858321,0.625852397909904,0.928594558826542,0.00739604156439615,0.0564788628553888
"CM002236.1",2177,6443,".","+",-0.282857527790876,0.401514538600136,0.999763453971879,-0.155813492923462,0.642915006442978,0.757778998493161,0.233985571695182,0.486350609305999,0.996575357711207,0.314385247371793,0.373694629165174,0.5031643481653
"CM002236.1",14929,16647,".","+",0.697536679498442,0.0570416137941809,0.999763453971879,0.745610822142393,0.0389528345363031,0.311622676290425,2.12983260584172,1.1225347488841e-08,1.45066029086561e-07,0.749230010568813,0.0479831732541658,0.231592507119929
"CM002236.1",16440,19615,".","+",-0.276001356291289,0.435056719083916,0.999763453971879,1.21947014523643,0.000527202485453959,0.0134068804603117,2.33855898572032,1.63457406099082e-10,2.74608442246457e-09,1.88242477118018,6.21445115284695e-07,1.30503474209786e-05
"CM002236.1",33980,39245,".","+",-0.244999090796155,0.486556259732812,0.999763453971879,0.44726635842433,0.198946749724634,0.534768863259817,1.64989264200962,3.77403526084092e-06,3.29370350037026e-05,1.61163763481988,1.74091320005626e-05,0.00030786675537837
"CM002236.1",40949,43632,".","-",-0.22874788827334,0.533579307160023,0.999763453971879,0.24371638521623,0.498497568322825,0.676006195498521,1.81049952009834,9.15129578093794e-07,8.54120939554208e-06,0.260496252675854,0.49210231647846,0.589470154498262
"CM002236.1",43708,45551,".","-",0.0359440294765405,0.919987109511597,0.999763453971879,0.432008669034931,0.216903052311833,0.547712023690896,0.784052388465237,0.0251388549890886,0.124215518769614,0.499821518511689,0.176111395332883,0.372539171686878
"CM002236.1",45331,49154,".","-",0.355165125669218,0.297634835248589,0.999763453971879,1.06457538127162,0.00183442263324042,0.0362568238099283,2.90653155412865,2.82357130882899e-15,9.03542818825278e-14,1.77924709513968,1.30503334803589e-06,2.65752245418218e-05
"CM002236.1",58145,61150,".","+",-0.19109056931055,0.576897846845787,0.999763453971879,0.171523867320251,0.61139060188191,0.740278350386744,0.469839408564476,0.163827341671356,0.591892331199738,0.639507050964695,0.0724601092918727,0.282170190267311
"CM002236.1",90323,92593,".","+",-0.0605773956352538,0.867321195470858,0.999763453971879,0.293431703574066,0.408371235785431,0.626181421506438,0.526271340692012,0.138096989539797,0.527279414606497,0.48030192193327,0.201009462727563,0.382636992990465
