"seqnames","start","end","name","strand","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7"
"CM002236.1",2878,3878,".","-",-0.271205929675286,0.464996883169817,0.955073714177018,0.0280400657539532,0.939607124341905,0.999403499991054,0.252875415969838,0.494046778471131,0.948569814664572,0.0688731551759383,0.859484650026585,0.980265445938532
"CM002236.1",2177,3177,".","+",-0.445830315990648,0.275264043588903,0.949279936389597,-0.0292691470915131,0.942684578656813,0.999403499991054,0.494746612993124,0.224195021519918,0.746815854370716,0.0466111199373756,0.91328499523707,0.982348678742226
"CM002236.1",14929,15929,".","+",-0.826898844345165,0.0390425065549878,0.690129287909744,-0.11091064873925,0.780299752636269,0.999403499991054,-0.0972969472844992,0.806701138029404,0.993056519396965,0.888893658510269,0.0332527084677862,0.937366478092512
"CM002236.1",16440,17440,".","+",-0.219861369614189,0.540475563811131,0.955073714177018,0.0405382872276544,0.909855236120584,0.999403499991054,0.164869114992538,0.645119943645492,0.991468525933895,0.324130622327989,0.388589187460503,0.937366478092512
"CM002236.1",33980,34980,".","+",-0.209609219369288,0.566691625070722,0.955073714177018,0.117717303115826,0.74652155944463,0.999403499991054,0.329054214048175,0.366287749211019,0.893157128784329,0.593946088997115,0.121216665809109,0.937366478092512
"CM002236.1",42632,43632,".","-",0.0246363325679956,0.948565267495364,0.992003860522524,0.235635643653375,0.537119748710134,0.999403499991054,-0.270000696200092,0.479403341013544,0.942709156978323,0.172771511126292,0.667877616850391,0.939757209212697
"CM002236.1",44551,45551,".","-",-0.64035391916695,0.0950472132031906,0.949279936389597,0.0103860775053017,0.978129800300315,0.999403499991054,-0.44960751138396,0.241424973246082,0.765271613308337,0.187415560488628,0.641051478511834,0.937366478092512
"CM002236.1",48154,49154,".","-",0.104571438965219,0.766548238025613,0.971335696585251,-0.168516439820901,0.631858248199237,0.999403499991054,0.289375121167479,0.410013607338259,0.906345868852993,-0.203137763021605,0.582213433152851,0.937366478092512
"CM002236.1",58145,59145,".","+",-0.0875667383968721,0.814639415777575,0.971335696585251,0.290679849025617,0.435546425935439,0.999403499991054,-0.0598036469892621,0.872871465106156,0.993056519396965,0.355202545851414,0.366832655841376,0.937366478092512
"CM002236.1",90323,91323,".","+",0.172076529957622,0.653731852090843,0.969774403101647,0.440503857905407,0.249089186019318,0.999403499991054,0.806746089614356,0.0345348477197493,0.269853693810134,0.613010374305163,0.129077724606431,0.937366478092512
"CM002236.1",180222,181222,".","+",-0.409519963157452,0.256804256946445,0.949279936389597,0.0272865881453389,0.939480588051048,0.999403499991054,-0.379633636704614,0.292458056886185,0.829366850272493,0.218686478123358,0.564168153232061,0.937366478092512
"CM002236.1",185051,186051,".","-",0.441741334792432,0.241071602083347,0.949279936389597,0.174591018166016,0.643908296579374,0.999403499991054,0.306387870158944,0.416594926099968,0.91431666641026,0.423571142755483,0.287464478693126,0.937366478092512
"CM002236.1",185039,186039,".","+",0.452393558833657,0.229921985303717,0.949279936389597,0.191890069671871,0.611480653731949,0.999403499991054,0.327148908350103,0.38576919900286,0.900128131006674,0.44766582937773,0.261035214907681,0.937366478092512
"CM002236.1",189595,190595,".","-",0.0218051591173713,0.954229082364363,0.992003860522524,-0.0155120796611206,0.967802604915618,0.999403499991054,0.0975678382704427,0.798029997728097,0.993056519396965,-0.0345553898554086,0.93189453958686,0.982348678742226
"CM002236.1",189406,190406,".","+",0.0938211053330108,0.806150299895615,0.971335696585251,0.078010524779476,0.83887514787055,0.999403499991054,0.215283315165596,0.573906397493522,0.975567988218002,-0.0189641069550354,0.962657628176722,0.986930782763841
"CM002236.1",194064,195064,".","-",0.650635493095566,0.0666192589240286,0.877806705822494,0.368016391821899,0.300504744245031,0.999403499991054,0.816705254138909,0.0212875089860721,0.195961726556718,0.268917015348633,0.472931003739789,0.937366478092512
"CM002236.1",195335,196335,".","-",1.01636748263918,0.00695537991019208,0.21245524089314,0.707727512404624,0.0605320853766742,0.999403499991054,1.19407202336755,0.00152926436533915,0.0321906772944281,0.616225587583023,0.123476532978093,0.937366478092512
"CM002236.1",196290,197290,".","-",0.417505086547576,0.25648889617577,0.949279936389597,0.0351614474292881,0.92392393901442,0.999403499991054,0.944820754174584,0.0102619166568976,0.121745082541277,-0.00842936168917603,0.982724182390967,0.991788269608687
"CM002236.1",197194,198194,".","+",0.187226823040749,0.623986199098739,0.963951093780122,0.128681343827439,0.736551963590991,0.999403499991054,0.614405636530724,0.107129367135675,0.578797319461054,-0.118613730908302,0.769962012493222,0.971608039849933
"CM002236.1",209343,210343,".","-",0.708069244904771,0.0591385551471388,0.827939772059944,0.611816202150622,0.103441406330109,0.999403499991054,1.42763862789704,0.000144964537435096,0.00463886519792307,0.5567930387379,0.161091294076577,0.937366478092512
