"seqnames","start","end","name","strand","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7"
"CM002236.1",1201,1500,".","*",-1.26524336948322,0.00458412737312393,0.237301742527884,-0.150203871904153,0.729253072880757,0.989907241881769,-0.512703867886048,0.23767989114053,0.81677284624987,-0.144758765738056,0.752024334825283,0.936941229638684
"CM002236.1",1501,1800,".","*",-0.370536771126136,0.378193157917361,0.797060072896972,0.228040315797501,0.570619051196133,0.989907241881769,-0.0709215244980595,0.861321130327649,0.97701764652259,0.980400559560138,0.0246979070175826,0.774326206256705
"CM002236.1",1801,2100,".","*",-1.11994954031449,0.012335101892886,0.33599303835416,0.0407601582113401,0.924935996714949,0.990779860389864,0.048776499413264,0.910035039040037,0.983372716407554,0.443060752310125,0.334484932828856,0.798242546048529
"CM002236.1",2101,2400,".","*",-0.803599684044119,0.0733684044250479,0.557829149894193,-0.0860993920262408,0.845091934222204,0.989907241881769,0.587744686141289,0.179503710077996,0.772977923220822,0.570144321989008,0.220108132162889,0.780479077337089
"CM002236.1",2401,2700,".","*",-0.917412613724176,0.0318585340666405,0.450105296094973,0.0923928946023556,0.826762025957334,0.989907241881769,0.30029630792287,0.474407006686277,0.908595333020187,-0.0848608161360324,0.848092820032487,0.975146423033573
"CM002236.1",3301,3600,".","*",-0.136885002988321,0.753979073683518,0.943357883683116,0.220801127748741,0.603353445431301,0.989907241881769,-0.383711226054533,0.365878261835693,0.872005430817395,0.652913901594106,0.151810312103075,0.774326206256705
"CM002236.1",3601,3900,".","*",-1.08914355946798,0.011295415683111,0.335685887960395,-0.0897546628294129,0.832529527273934,0.989907241881769,-0.345880639929265,0.418343666396713,0.883322128903871,-0.0225341585341388,0.959803917060212,0.993703374556381
"CM002236.1",3901,4200,".","*",-1.0527079904156,0.0180923212768508,0.366210536594322,0.122089500145614,0.777696587993704,0.989907241881769,0.188611377913244,0.66580488271801,0.966056352352214,0.321979821183262,0.484069904571258,0.853436288276717
"CM002236.1",4201,4500,".","*",-1.15329718591191,0.00993232627475718,0.334385526780433,0.138699305682129,0.749260073817775,0.989907241881769,-0.062668968177654,0.886548044377518,0.97701764652259,1.03516134040761,0.0284452788260526,0.774326206256705
"CM002236.1",4501,4800,".","*",-0.751968728249735,0.0804259940727061,0.565936261011126,0.419828069803243,0.319222704629278,0.989907241881769,-0.625646054418856,0.140670693291244,0.733516508688686,0.0508752908543949,0.908637022878959,0.979206676909028
"CM002236.1",4801,5100,".","*",-1.16165988423913,0.0101921054967223,0.335083981983349,0.321442879659885,0.465288802032449,0.989907241881769,-0.173692353587808,0.693374345512173,0.966056352352214,0.734800977127957,0.11136785893563,0.774326206256705
"CM002236.1",5101,5400,".","*",-0.828781834853306,0.100397802125724,0.602652394076577,0.168517483557186,0.728925612084755,0.989907241881769,-0.244375948579411,0.615388769866163,0.955879527349977,0.219167267390922,0.66725083671884,0.913303655021325
