"","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.1.300",-0.106368591304273,1.29626029160948,-2.55266172839807,-2.55266172839807
"CM002236.1.301.600",5.4521021795382,5.01648814251682,0,0
"CM002236.1.601.900",3.82831505420937,4.33333255062635,0,0
"CM002236.1.901.1200",1.05198429662772,1.48476944701328,-3.18835249784842,-3.18835249784842
"CM002236.1.1201.1500",0.550294126340332,0.524970855186964,-4.43829813029613,-4.43829813029613
"CM002236.1.1501.1800",1.2628571355281,0.0638204230982788,-3.41808192830838,-5.24831083323562
"CM002236.1.1801.2100",0.46568442740037,0.0334533441294358,-5.2886434739412,-5.2886434739412
"CM002236.1.2101.2400",0.504247522709496,0.319349378358718,-4.13156909754684,-4.13156909754684
"CM002236.1.2401.2700",0.292826469632834,0.0525541157575766,-4.33856093470886,-4.33856093470886
"CM002236.1.2701.3000",0.353430204292434,0.338892179999196,-3.10565005865229,-3.10565005865229
"CM002236.1.3001.3300",1.16553628288158,0.947134154640705,0,0
"CM002236.1.3301.3600",0.971999933379222,0.0150960929076795,-1.79986348625701,-1.79986348625701
"CM002236.1.3601.3900",0.603336961832451,0.548044035588126,-1.2567190361187,-1.2567190361187
"CM002236.1.3901.4200",0.438681597233343,0.381095473060123,-1.98840501924327,-1.98840501924327
"CM002236.1.4201.4500",0.261170645391141,0.221844078424092,-1.98827920083941,-1.98827920083941
"CM002236.1.4501.4800",0.479623509446791,0.799797946494339,-1.73626702902878,-1.73626702902878
"CM002236.1.4801.5100",0.649561528578025,0.793192884180502,-1.26968349845339,-1.26968349845339
"CM002236.1.5101.5400",0.895989209763256,0.0561759258209165,-2.0615268727905,-2.0615268727905
"CM002236.1.5401.5700",0.569013405149068,0.124845399956635,-2.79263968705887,-2.79263968705887
"CM002236.1.5701.6000",-0.319438434187907,-0.133821600241052,-3.47297901898732,-3.47297901898732
"CM002236.1.6001.6300",0.475054247950248,0.363342656812346,-3.70012413278836,-3.70012413278836
"CM002236.1.6301.6600",0.268009227868492,0.442062009552258,-3.78148262803904,-3.78148262803904
"CM002236.1.6601.6900",-0.068574936305116,0.318304018422571,-4.22117633346812,-4.22117633346812
"CM002236.1.6901.7200",0.314061962143129,0.855428381126187,-3.64905847497599,-3.64905847497599
"CM002236.1.7201.7500",-0.374292362345473,0.672636896123683,-3.81005432969721,-3.81005432969721
"CM002236.1.7501.7800",-0.156354301929491,0.207355698027178,-3.83206142095304,-3.83206142095304
"CM002236.1.7801.8100",-0.0301808150350023,0.242518515908808,-3.54107741909282,-3.54107741909282
"CM002236.1.8101.8400",0.097633102584429,-0.0740018523345269,-3.60399064175167,-3.60399064175167
"CM002236.1.8401.8700",0.717213367777403,0.331760225451356,-2.71872064705556,-2.71872064705556
"CM002236.1.8701.9000",1.18634127822892,1.44517519423929,0,0
"CM002236.1.9301.9600",0.501016343732748,0.510648171502725,-1.12859271969739,-1.12859271969739
"CM002236.1.9601.9900",0.430001396614154,0.247084384097328,-1.44408460128279,-1.44408460128279
"CM002236.1.9901.10200",0.306087865977391,0.519880378323461,-1.00875724361336,-1.00875724361336
"CM002236.1.10201.10500",0.603047926744662,0.419988254510681,-1.43879956972424,-1.43879956972424
"CM002236.1.10501.10800",0.75802648315918,0.788072999849837,-1.33769349020405,-1.33769349020405
"CM002236.1.10801.11100",0.288216131922637,0.96026686536056,-1.62950795303636,-1.62950795303636
"CM002236.1.11101.11400",0.594953798186932,0.382607265371439,-1.88812072780628,-1.88812072780628
"CM002236.1.11401.11700",0.481006979118618,0.802572310068483,-2.24893359417565,-2.24893359417565
"CM002236.1.11701.12000",0.397334890321682,0.437408526898621,-3.11118410153345,-3.11118410153345
"CM002236.1.12001.12300",0.343606506749285,0.440153403328037,-3.01388779658822,-3.01388779658822
"CM002236.1.12301.12600",-0.0662468236282816,-0.234629992889032,-3.78716171844601,-3.78716171844601
"CM002236.1.12601.12900",-0.190143576163742,-0.413378654060759,-4.31312470822323,-4.31312470822323
"CM002236.1.12901.13200",-0.257298994542386,-0.00164558370249646,-3.80603883198991,-3.80603883198991
"CM002236.1.13201.13500",0.133635604332104,0.0911515941731085,-3.16872878934959,-3.16872878934959
"CM002236.1.13501.13800",-0.0673266686399332,0.185474357196738,-3.96607368977398,-3.96607368977398
"CM002236.1.13801.14100",0.384688760104749,0.0333914825243458,-4.38516072274351,-4.38516072274351
"CM002236.1.14101.14400",0.241908589183377,0.0981765724603614,-4.3575961481701,-4.3575961481701
"CM002236.1.14401.14700",0.91524892219978,0.246343610245763,-3.45178805647152,-3.45178805647152
"CM002236.1.14701.15000",0.858433050569701,0.564363150751763,-3.01983886141638,-3.01983886141638
"CM002236.1.15001.15300",0.183801026266809,0.0824651906344394,-3.47524321398062,-3.47524321398062
"CM002236.1.15301.15600",0.860434877451621,0.314302664521558,-3.10140499377831,-3.10140499377831
"CM002236.1.15601.15900",0.613122291296661,-0.454085143601428,-3.41864710450744,-3.41864710450744
"CM002236.1.15901.16200",0.91518646864061,0.102935187705365,-2.8568714238908,-2.8568714238908
"CM002236.1.16201.16500",1.20746793634266,0.331618619877825,-2.12373221444175,-2.12373221444175
"CM002236.1.16501.16800",1.17786592499389,0.261982650845728,-1.18647500220079,-1.18647500220079
"CM002236.1.16801.17100",1.45536538742486,0,0,0
"CM002236.1.17401.17700",0.239232948238795,-0.323507746677262,-1.92260790468376,-1.92260790468376
"CM002236.1.17701.18000",0.182032169592415,-0.848389296473133,-2.64474165505239,-2.64474165505239
"CM002236.1.18001.18300",0.337865635036884,-0.310170076091457,-2.68726451025883,-2.68726451025883
"CM002236.1.18301.18600",0.101559146010108,-0.748483909773213,-3.08540019865504,-3.08540019865504
"CM002236.1.18601.18900",-0.366625889796295,-0.784140971228732,-3.71419283594349,-3.71419283594349
"CM002236.1.18901.19200",-0.373466611519064,-1.16634864890504,-3.43518375044954,-3.43518375044954
"CM002236.1.19201.19500",-0.10578329742884,-0.665980996675472,-2.36034554131059,-2.36034554131059
"CM002236.1.19501.19800",0.650032639642334,0.278962611141021,-0.849536154273707,-0.849536154273707
"CM002236.1.19801.20100",1.06390651845328,-0.901824617676387,-0.901824617676387,-0.901824617676387
"CM002236.1.20101.20400",1.28450259002092,-0.645272400254516,-1.87621225489423,-1.87621225489423
"CM002236.1.20401.20700",1.63876467695073,-0.679712706391566,-2.00153090807413,-2.00153090807413
"CM002236.1.20701.21000",1.33055799761403,-0.301437356070678,-1.38839893154995,-1.38839893154995
"CM002236.1.21001.21300",1.83849304979423,0,0,0
"CM002236.1.21301.21600",2.17168247748322,0,0,0
"CM002236.1.21601.21900",2.39878261436131,1.32927420157988,0,0
"CM002236.1.21901.22200",1.8444513999831,0,0,0
"CM002236.1.22201.22500",2.3157178444125,0,0,0
"CM002236.1.22501.22800",1.74472963687858,0,0,0
"CM002236.1.23101.23400",1.24142778289144,0,0,0
"CM002236.1.23401.23700",1.85533461624009,0,0,0
"CM002236.1.24001.24300",1.36874696749114,0,0,0
"CM002236.1.24301.24600",1.48855491209662,0,0,0
"CM002236.1.28201.28500",1.43558278664578,0,0,0
"CM002236.1.29101.29400",1.23716944746756,0,0,0
"CM002236.1.29401.29700",1.84275088812138,0,0,0
"CM002236.1.29701.30000",1.62781429888476,0,0,0
"CM002236.1.31501.31800",1.34030237953799,0,0,0
"CM002236.1.32401.32700",0,2.11759989098037,0,0
"CM002236.1.32701.33000",2.38521673083513,0,0,0
"CM002236.1.33001.33300",1.99587534507163,0,0,0
"CM002236.1.33301.33600",2.27732750910077,0,0,0
"CM002236.1.33601.33900",1.74062318141548,-1.15559508198217,-1.15559508198217,-1.15559508198217
"CM002236.1.33901.34200",1.42734644713932,-0.512311289302632,-1.43431797961755,-1.43431797961755
"CM002236.1.34201.34500",2.15102850184047,0,0,0
"CM002236.1.34501.34800",0.937460017038932,-0.468465955703891,-1.3978006198024,-1.3978006198024
"CM002236.1.34801.35100",0.452577435451881,-1.00747643309689,-2.5604429966159,-2.5604429966159
"CM002236.1.35101.35400",0.478395499594104,-0.907264648695373,-2.83460968516174,-2.83460968516174
"CM002236.1.35401.35700",0.193686051387946,-0.826326343018446,-3.1051826525193,-3.1051826525193
"CM002236.1.35701.36000",-0.285297688334603,-0.623873943696605,-3.88027340734972,-3.88027340734972
"CM002236.1.36001.36300",-0.0416230955147303,-0.0213698236915887,-3.76311101249063,-3.76311101249063
"CM002236.1.36301.36600",-0.649377183241359,-0.676257506873194,-4.12320422139557,-4.12320422139557
"CM002236.1.36601.36900",-0.0146216360890112,-0.142822014878286,-3.45703883569401,-3.45703883569401
"CM002236.1.36901.37200",-0.337433078806859,-0.647038585752382,-3.93387648526647,-3.93387648526647
"CM002236.1.37201.37500",-0.503385296883606,-0.54955549888146,-3.8234941381605,-3.8234941381605
"CM002236.1.37501.37800",-0.683230620961942,-0.855082976752618,-4.29094624090673,-4.29094624090673
"CM002236.1.37801.38100",-0.401953528334195,-0.246207818906485,-3.74750544435287,-3.74750544435287
"CM002236.1.38101.38400",-0.416400102573462,-0.258545256377688,-4.03389080985107,-4.03389080985107
"CM002236.1.38401.38700",-0.489496253580054,-0.378187795957837,-4.10720114216672,-4.10720114216672
"CM002236.1.38701.39000",-0.890766498814836,-0.800926501378029,-3.90479827336872,-3.90479827336872
"CM002236.1.39001.39300",-0.521073570140472,-0.933203429599633,-3.07876553468414,-3.07876553468414
"CM002236.1.39301.39600",-0.415280909042526,-0.907037836706546,-3.33858695694674,-3.33858695694674
"CM002236.1.39601.39900",-0.514011449437504,-0.559132952605055,-3.40024024482046,-3.40024024482046
"CM002236.1.39901.40200",-0.502255364581238,-0.527695335419117,-3.10679543212902,-3.10679543212902
"CM002236.1.40201.40500",-0.744963895199161,-0.452779777672433,-2.74151224725472,-2.74151224725472
"CM002236.1.40501.40800",-0.899181610042894,-1.3923338857848,-3.90625692518465,-3.90625692518465
"CM002236.1.40801.41100",-1.36785212085846,-1.64601409556485,-4.18782285115627,-4.18782285115627
"CM002236.1.41101.41400",-1.73421918685741,-1.64289503784491,-4.29935230436154,-4.29935230436154
"CM002236.1.41401.41700",-1.52834953817265,-1.1764726045331,-3.86626066668748,-3.86626066668748
"CM002236.1.41701.42000",-1.38725733147525,-1.5135468685511,-4.15652968228472,-4.15652968228472
"CM002236.1.42001.42300",-1.28372260828491,-1.21175741287413,-4.1177088460731,-4.1177088460731
"CM002236.1.42301.42600",-0.99915042209114,-0.746903445859015,-4.08114185082362,-4.08114185082362
"CM002236.1.42601.42900",-0.881229190223568,-0.689024892144423,-3.55454485602527,-3.55454485602527
"CM002236.1.42901.43200",-0.789816236069726,-0.564473777931433,-3.72846800886388,-3.72846800886388
"CM002236.1.43201.43500",-0.753466401676911,0.0371771146988036,-3.08631843180526,-3.08631843180526
"CM002236.1.43501.43800",-0.83196484545131,-0.458837322807085,-3.6988695532274,-3.6988695532274
"CM002236.1.43801.44100",-0.628151782448928,-0.489702197287255,-4.15422058379218,-4.15422058379218
"CM002236.1.44101.44400",-0.290586988523521,0.0137701862051363,-3.87270425638525,-3.87270425638525
"CM002236.1.44401.44700",-0.29228346578366,-0.315987908513036,-3.11643431385595,-3.11643431385595
"CM002236.1.44701.45000",-0.790809526521013,-0.319370174251385,-2.86379752101786,-2.86379752101786
"CM002236.1.45001.45300",-0.590799377686856,-0.535870223451187,-2.87762672265044,-2.87762672265044
"CM002236.1.45301.45600",-0.705768843510073,-0.566268537276045,-3.43043763074692,-3.43043763074692
"CM002236.1.45601.45900",-0.433669864443889,-0.28816419759535,-3.28626746326486,-3.28626746326486
"CM002236.1.45901.46200",-0.159637647008807,-0.437061046564344,-3.2897398029282,-3.2897398029282
"CM002236.1.46201.46500",-0.600132849085659,-0.389382559173231,-3.30823909087783,-3.30823909087783
"CM002236.1.46501.46800",-0.663127032759207,-0.547421150222511,-3.30502024180524,-3.30502024180524
"CM002236.1.46801.47100",-0.445588926145163,-1.02341661267512,-3.21978883740261,-3.21978883740261
"CM002236.1.47101.47400",-0.380369752588848,-0.107881830361184,-2.26400067130271,-2.26400067130271
"CM002236.1.47401.47700",-0.597768191894684,-0.939437391818492,-2.5861459881037,-2.5861459881037
"CM002236.1.47701.48000",-0.386442925627416,-0.582920919305554,-1.70497152357191,-1.70497152357191
"CM002236.1.48001.48300",-0.250242488159719,0.010668738304805,-1.16628292162998,-1.16628292162998
"CM002236.1.48601.48900",1.05214922383068,0,0,0
"CM002236.1.48901.49200",0.504693212204613,-0.611509301440684,-1.49866048280721,-1.49866048280721
"CM002236.1.49201.49500",-0.0727993224891299,-0.324857712821083,-2.30919645711806,-2.30919645711806
"CM002236.1.49501.49800",0.268910698154646,-0.286984600648815,-2.34489454840394,-2.34489454840394
"CM002236.1.49801.50100",0.312159752010686,-0.143255234882757,-2.44660190845567,-2.44660190845567
"CM002236.1.50101.50400",0.539133158048886,0.38721091863289,-1.89739983515422,-1.89739983515422
"CM002236.1.50401.50700",0.274513715841349,-0.180252958568812,-2.23656155102957,-2.23656155102957
"CM002236.1.50701.51000",0.399043587840649,0.424300730091468,-1.28775413861934,-1.28775413861934
"CM002236.1.51001.51300",-0.462563131875657,-0.20078473167196,-1.56518950355545,-1.56518950355545
"CM002236.1.51301.51600",-0.216667568240755,-0.679300751763726,-1.69529951291187,-1.69529951291187
"CM002236.1.51601.51900",-1.10761224380809,-1.10761224380809,-1.10761224380809,-1.10761224380809
"CM002236.1.51901.52200",1.03294956582356,0,0,0
"CM002236.1.56401.56700",1.0545477168688,0,0,0
"CM002236.1.56701.57000",-0.103707578254148,-1.02376809404177,-1.02376809404177,-1.02376809404177
"CM002236.1.57001.57300",0.9477837158155,1.0729641380407,0,0
"CM002236.1.57301.57600",0.314230966268907,0.0968905199750996,-1.34952658113292,-1.34952658113292
"CM002236.1.57601.57900",0.0797599176801618,0.294119697214631,-1.55521631174379,-1.55521631174379
"CM002236.1.57901.58200",0.132219291799824,0.334436936660561,-2.008491418634,-2.008491418634
"CM002236.1.58201.58500",0.218336470249348,-0.230450275261286,-1.89743476192033,-1.89743476192033
"CM002236.1.58501.58800",-0.305385241785978,0.15762350432107,-2.24212570331386,-2.24212570331386
"CM002236.1.58801.59100",-0.0531979930583879,-0.000595282893738336,-2.61610900641567,-2.61610900641567
"CM002236.1.59101.59400",0.050106933817796,-0.387968413250451,-3.06389768619518,-3.06389768619518
"CM002236.1.59401.59700",-0.141018342933218,-0.453896128987693,-3.30267370503302,-3.30267370503302
"CM002236.1.59701.60000",0.403965096304244,-0.0607639257762878,-2.63811731489768,-2.63811731489768
"CM002236.1.60001.60300",0.140059742902172,-0.29845234563771,-2.81010433489054,-2.81010433489054
"CM002236.1.60301.60600",0.519068357936079,-0.261355165264261,-2.43180463387561,-2.43180463387561
"CM002236.1.60601.60900",0.322809272662301,0.349353859666848,-1.2028252160243,-1.2028252160243
