#chrom	start	end	name	score	strand	thickStart	thickEnd	itemRGB	blockCount	blockSizes	blockStart	deepTools_group
CM002236.1	295	25971	119-41_CUT_RUN_WT_K27me3__peak_1	619.0	.	295	25971	0	1	25676	293	genes
CM002237.1	321	46572	119-41_CUT_RUN_WT_K27me3__peak_46	798.0	.	321	46572	0	1	46251	318	genes
CM002238.1	233	16535	119-41_CUT_RUN_WT_K27me3__peak_85	1130.0	.	233	16535	0	1	16302	231	genes
CM002239.1	198	34027	119-41_CUT_RUN_WT_K27me3__peak_148	1460.0	.	198	34027	0	1	33829	197	genes
CM002241.1	338	32297	119-41_CUT_RUN_WT_K27me3__peak_249	559.0	.	338	32297	0	1	31959	335	genes
CM002242.1	192	14876	119-41_CUT_RUN_WT_K27me3__peak_315	1047.0	.	192	14876	0	1	14684	191	genes
CM002236.1	9766825	9798709	119-41_CUT_RUN_WT_K27me3__peak_45	621.0	.	9766825	9798709	0	1	31884	9766816	genes
CM002237.1	4460834	4478472	119-41_CUT_RUN_WT_K27me3__peak_84	1037.0	.	4460834	4478472	0	1	17638	4460830	genes
CM002238.1	5236405	5274460	119-41_CUT_RUN_WT_K27me3__peak_147	1368.0	.	5236405	5274460	0	1	38055	5236400	genes
CM002239.1	5962592	6000600	119-41_CUT_RUN_WT_K27me3__peak_210	432.0	.	5962592	6000600	0	1	38008	5962587	genes
CM002240.1	6409518	6436098	119-41_CUT_RUN_WT_K27me3__peak_248	2218.0	.	6409518	6436098	0	1	26580	6409512	genes
CM002241.1	4201146	4218171	119-41_CUT_RUN_WT_K27me3__peak_314	586.0	.	4201146	4218171	0	1	17025	4201142	genes
CM002242.1	4228307	4255079	119-41_CUT_RUN_WT_K27me3__peak_363	820.0	.	4228307	4255079	0	1	26772	4228303	genes
CM002239.1	5935065	5960197	119-41_CUT_RUN_WT_K27me3__peak_209	772.0	.	5935065	5960197	0	1	25132	5935060	genes
CM002239.1	5927404	5931121	119-41_CUT_RUN_WT_K27me3__peak_208	514.0	.	5927404	5931121	0	1	3717	5927399	genes
CM002240.1	6150656	6180715	119-41_CUT_RUN_WT_K27me3__peak_238	463.0	.	6150656	6180715	0	1	30059	6150650	genes
CM002236.1	9704810	9706980	119-41_CUT_RUN_WT_K27me3__peak_42	40.0	.	9704810	9706980	0	1	2170	9704801	genes
CM002241.1	3491915	3508147	119-41_CUT_RUN_WT_K27me3__peak_280	696.0	.	3491915	3508147	0	1	16232	3491912	genes
CM002239.1	5847050	5854783	119-41_CUT_RUN_WT_K27me3__peak_204	611.0	.	5847050	5854783	0	1	7733	5847045	genes
CM002239.1	5863871	5891959	119-41_CUT_RUN_WT_K27me3__peak_205	472.0	.	5863871	5891959	0	1	28088	5863866	genes
CM002239.1	139555	145075	119-41_CUT_RUN_WT_K27me3__peak_155	343.0	.	139555	145075	0	1	5520	139554	genes
CM002238.1	326121	330775	119-41_CUT_RUN_WT_K27me3__peak_97	90.0	.	326121	330775	0	1	4654	326118	genes
CM002239.1	5909277	5915870	119-41_CUT_RUN_WT_K27me3__peak_207	78.0	.	5909277	5915870	0	1	6593	5909272	genes
CM002241.1	4143337	4170610	119-41_CUT_RUN_WT_K27me3__peak_310	527.0	.	4143337	4170610	0	1	27273	4143333	genes
CM002236.1	207280	226094	119-41_CUT_RUN_WT_K27me3__peak_10	926.0	.	207280	226094	0	1	18814	207278	genes
CM002239.1	98816	117619	119-41_CUT_RUN_WT_K27me3__peak_154	549.0	.	98816	117619	0	1	18803	98807	genes
CM002242.1	4214418	4222500	119-41_CUT_RUN_WT_K27me3__peak_362	108.0	.	4214418	4222500	0	1	8082	4214414	genes
CM002240.1	6079451	6093421	119-41_CUT_RUN_WT_K27me3__peak_233	821.0	.	6079451	6093421	0	1	13970	6079445	genes
CM002242.1	4196049	4205540	119-41_CUT_RUN_WT_K27me3__peak_361	432.0	.	4196049	4205540	0	1	9491	4196045	genes
CM002242.1	883888	892990	119-41_CUT_RUN_WT_K27me3__peak_337	752.0	.	883888	892990	0	1	9102	883880	genes
CM002241.1	342071	362665	119-41_CUT_RUN_WT_K27me3__peak_264	322.0	.	342071	362665	0	1	20594	342068	genes
CM002241.1	390089	397879	119-41_CUT_RUN_WT_K27me3__peak_265	127.0	.	390089	397879	0	1	7790	390086	genes
