"","logFC_WT","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7","logFC_ash1"
"CM002236.1.1150.2878",4.90697340449587,5.67783798449843,5.35363501871908,1.61592976937695,0,3.54436826625264
"CM002236.1.3177.6443",2.39762782521709,2.93934559763266,2.79529508504385,-1.01208630214557,0,1.66773963815409
"CM002236.1.15929.16647",2.32433580114988,3.5813272157802,2.65845693848319,0,0,1.02788225926406
"CM002236.1.17440.19615",2.33602539672779,2.61316789929823,1.76655707240812,-1.01050658227347,0,2.6752472543213
"CM002236.1.34980.39245",3.52636852775767,3.46597438106187,2.9874391755463,-0.731327681808463,0,3.15133069767137
"CM002236.1.40949.42632",3.88764164883849,2.59102510355274,2.36876882443212,-0.670187693160801,0,3.22389008896939
"CM002236.1.43708.44551",3.97184742976783,3.50249627242566,3.47720355262039,0,0,3.13346421967043
"CM002236.1.45331.48154",2.6774074475929,2.38835632975103,2.07506363897474,-0.665239578653844,0,2.41056791496892
"CM002236.1.59145.61150",1.85696986253813,2.30752183370639,2.05654879123329,0,0,2.29528565091983
"CM002236.1.91323.92593",3.6792208676229,3.5423320070658,3.45546173365701,0,0,3.23032787941137
"CM002236.1.181222.181975",2.42963543235463,1.08296761605659,1.09353086161465,0.760548802872088,0,2.27668654748366
"CM002236.1.182427.185051",3.39122280081039,1.81308919720326,2.37482863716458,1.26499836470778,0,3.23629877799329
"CM002236.1.186039.188208",3.45072143451344,1.37939395634819,1.82711960805703,0,0,3.42080352294163
"CM002236.1.188530.189595",4.28477403760393,2.21054254197116,2.66292831550713,1.36740355028854,0,3.46903899782726
"CM002236.1.190406.191138",4.11697456360945,2.13110681134386,2.33723954602314,0.640674566161283,0,3.11741742315494
"CM002236.1.193143.194064",2.60843795842145,1.31519726202556,1.21255109902331,0,0,2.47568681024924
"CM002236.1.195020.195335",3.2300113725494,1.2299860746187,1.07139904097901,0,0,2.36452365025376
"CM002236.1.195780.196290",4.10403277723763,1.73963144025973,1.7323320043621,0,0,3.11075142880265
"CM002236.1.198194.198497",4.12541992666415,3.01807884469549,2.91521797467242,0,0,2.83307801003743
"CM002236.1.208394.209343",3.80230475311645,3.0542282055822,2.7579612226121,0.546128235013829,0,2.70487929909984
"CM002236.1.210486.212487",4.30124665672481,2.51485280121179,2.74657111400418,0,0,2.94352726944115
"CM002236.1.214619.215734",4.25960913599234,2.98630906428261,3.29118393774227,2.95307696551812,0,2.91594700867993
"CM002236.1.216104.216521",4.44108702978876,3.43350167072086,3.72254919989936,3.84106627236211,0,2.74074678214122
"CM002236.1.219395.220979",4.03947912697754,3.16904075371894,3.25017788531937,3.75878774657844,0,3.16996425979847
