"seqnames","start","end","name","strand","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7"
"CM002236.1",1150,2878,".","-",0.617951865212106,0.0127275122425996,0.0361899717199921,0.298353511200905,0.223599747899626,0.409932871149314,-3.65697740725217,9.26261598529961e-25,1.94225478941751e-23,-4.4520056912922,1.18366852362646e-30,1.58848315870672e-28
"CM002236.1",3177,6443,".","+",0.531107863651716,0.0577811931635014,0.135563568575907,0.361170292777658,0.195365295517831,0.377535745237491,-3.60572412192772,4.67348918897894e-20,3.77820632024683e-19,-2.50157470120899,7.79472918878631e-14,9.39005975884311e-14
"CM002236.1",15929,16647,".","+",0.982450873250255,0.00206413378238724,0.00732822099461289,-0.052269512543886,0.86779072565551,0.92720951738033,-2.95457407972897,2.6601908313092e-12,8.6649905233421e-12,-2.69511134577262,1.94008100046512e-12,2.23676005380085e-12
"CM002236.1",17440,19615,".","+",0.216026941441956,0.470701388286117,0.649877842674865,-0.607126182461165,0.0464294907947027,0.123139084281603,-3.30706390690532,4.76840609836899e-16,2.221944786115e-15,-2.45350770829847,4.6750756473759e-12,5.33499278807692e-12
"CM002236.1",34980,39245,".","+",-0.0579199337389485,0.828764400498233,0.913056671653188,-0.503179605111326,0.0631573462267502,0.160524921659657,-3.90681805163377,1.03661073829632e-23,1.88622979774498e-22,-3.40524448945913,4.04322538455439e-21,9.68930083227141e-21
"CM002236.1",40949,42632,".","-",-1.09731826486858,0.000322449272508505,0.00132497079980558,-1.08997229360474,0.000366023647173958,0.00140343924144986,-4.50174522670042,2.73811915579393e-23,4.59319488384431e-22,-4.19641971827351,4.30250528332401e-23,1.77115401540516e-22
"CM002236.1",43708,44551,".","-",-0.513090268273437,0.0722388525246472,0.163206296444573,-0.425815756468183,0.135847066317759,0.296916552114711,-4.06975011168719,6.51527135932324e-21,6.15739025648718e-20,-3.67309530030654,8.67358312679393e-21,1.92714380068832e-20
"CM002236.1",45331,48154,".","-",-0.311556979263672,0.28065265551847,0.454874231528727,-0.379446228163935,0.190942014093257,0.371368381033553,-3.52154855007756,1.26435640768613e-18,8.07983951959423e-18,-2.69604654829306,1.97888963284081e-14,2.44087305815475e-14
"CM002236.1",59145,61150,".","+",0.284618470831087,0.315424133868955,0.49683003245556,-0.251854654043159,0.37724628622985,0.590051883590278,-3.0372586439936,1.86560819111685e-15,8.02450702717569e-15,-2.15875074141419,5.57886795770549e-11,6.14683152647025e-11
"CM002236.1",91323,92593,".","+",-0.317891910873858,0.279369088089599,0.453890213336854,-0.190011616365,0.517763142447746,0.694838137164875,-4.0697296632886,9.69461535788515e-21,8.67344920685458e-20,-3.58251581175316,1.69068198530921e-19,2.9932654673944e-19
"CM002236.1",181222,181975,".","+",-1.49161581097904,1.14374147052687e-05,5.52122681096065e-05,-1.4556464928088,2.26625314439194e-05,9.74779397363456e-05,-1.99770980010932,1.56622472887941e-07,3.31525802232834e-07,-2.5462191066525,1.94107943564178e-11,2.16716189902767e-11
"CM002236.1",182427,185051,".","-",-1.79061984240217,3.61225233412562e-08,2.39982308534484e-07,-1.10068573140882,0.00034354000569577,0.00132480082656242,-2.28086427794428,5.88969716448264e-11,1.64666116556994e-10,-3.27203263216283,1.08978439669843e-17,1.62138654142937e-17
"CM002236.1",186039,188208,".","+",-2.14506573775604,1.81052501061141e-11,2.13133733705308e-10,-1.4775626241755,7.59238856470088e-07,3.94921916815061e-06,-2.90728218208838,4.20818112666714e-16,1.98851375774201e-15,-3.44704794255736,2.15117497625658e-20,4.41811602170059e-20
"CM002236.1",188530,189595,".","-",-2.23218843254078,5.35298874088241e-11,6.19285421574499e-10,-1.64939195582557,3.06745160755417e-07,1.67338213712915e-06,-3.2577625444868,1.23483721678732e-16,6.27708918533556e-16,-4.12944752848007,1.54628357941243e-22,5.29365449890685e-22
