"","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7","logFC_ash1"
"CM002236.1.1.300",0.461905468451138,0.68964938445881,-3.08635542468883,-4.77370564166173,-0.596168760308967
"CM002236.1.301.600",4.37913033638958,2.19780115683749,-2.00349535869259,-3.49085286042707,-1.35969524213786
"CM002236.1.601.900",2.86546920775976,2.09505076087605,-2.28560576712045,-3.61598029892099,-1.15026305421518
"CM002236.1.901.1200",1.00609124416124,0.568995650641131,-2.38883148586477,-4.74694798945246,-0.624985810498227
"CM002236.1.1201.1500",0.697247158177559,0.387481094121092,-3.05987696136331,-4.99963577249389,-1.30875099764102
"CM002236.1.1501.1800",1.30423524946536,0.387598486432986,-2.97043029850986,-4.90064250935767,-1.46950292967091
"CM002236.1.1801.2100",0.697953759831769,0.401642477545217,-3.53055766108178,-5.42596076412659,-1.23300387511666
"CM002236.1.2101.2400",0.712028874920639,0.330898831310334,-3.66278518655996,-4.39287378488645,-1.36343779449972
"CM002236.1.2401.2700",0.31786824811674,0.401453965569649,-4.56597301891218,-5.21475215430973,-1.50592866042993
"CM002236.1.2701.3000",0.531315223995846,0.341046285408911,-3.68462576169508,-4.32870497369644,-0.569275109447905
"CM002236.1.3001.3300",0.795404801364212,0.281662306062136,-2.94253444173606,-2.14713979302879,-0.346476092331612
"CM002236.1.3301.3600",0.845313410713861,-0.108826435650324,-2.61031803951018,-0.997089590197895,-0.388453525905297
"CM002236.1.3601.3900",0.486629000917397,0.22838243095313,-2.05104780812831,-0.952683824317781,-0.141116740486228
"CM002236.1.3901.4200",0.18170155434225,0.0357977029882688,-1.44643529035057,-1.46938724376346,-0.607574998593803
"CM002236.1.4201.4500",0.265649899291922,0.271227017740319,-2.16774326760389,-0.798698538090758,-0.482185776569744
"CM002236.1.4501.4800",0.362802031555241,0.579917908204095,-2.72967226502534,-1.64681606814044,-0.2734074543029
"CM002236.1.4801.5100",0.9932073579486,0.80202594270151,-1.81773858384112,-1.31964451835299,-0.19193757947328
"CM002236.1.5101.5400",0.977983490301229,0.107364881656861,-2.9792716363197,-2.52236081976472,-0.463004699759222
"CM002236.1.5401.5700",0.830643221062278,0.412025708231749,-3.63108494568459,-2.28470364243735,-0.698920573090151
"CM002236.1.5701.6000",-0.155919599154449,-0.353288318092099,-4.08460647651502,-3.8130641415607,-0.842894689115694
"CM002236.1.6001.6300",0.688500880692891,0.610332742074778,-3.96003716988323,-3.3062114559119,-0.72141596409614
"CM002236.1.6301.6600",0.454366275456374,0.464913794696322,-4.60846883974261,-3.54953160176716,-0.594293924233953
"CM002236.1.6601.6900",0.26574445050641,0.300880436833078,-4.85608829680202,-3.9804303845765,-0.433958281319201
"CM002236.1.6901.7200",0.5047699572099,0.493240089278183,-4.77527851865142,-3.49528000637174,-0.466292498502407
"CM002236.1.7201.7500",0.0877429027840659,0.291249674067498,-4.11266601021866,-4.05917899790101,0.398011662026081
"CM002236.1.7501.7800",0.0698759659498285,-0.0922670888910964,-4.71650188295657,-4.64842808741049,-0.697667687285507
"CM002236.1.7801.8100",0.267486996690734,0.130528675439424,-5.03175183365939,-3.93876922164042,-1.91230098982632
"CM002236.1.8101.8400",0.365800522344343,0.249006993328174,-4.60144786493776,-3.53624132681035,-0.979968200514164
"CM002236.1.8401.8700",0.867769034169545,0.454265848242055,-2.63634331522709,-2.34470449403596,-0.0189661279605564
"CM002236.1.8701.9000",0.948784705884113,0.395822496974588,-1.64039198702901,-1.37777718444978,0.156964762345542
"CM002236.1.9301.9600",0.322138136312168,0.390016761869137,-2.20161827870678,-0.693899759796437,-0.29396019758903
"CM002236.1.9601.9900",0.31578915202319,0.526882222270916,-1.14984439795971,-0.378204911784567,0.00580047172698963
"CM002236.1.10201.10500",0.736525838375972,0.683838232829832,-1.22236175129447,-0.33644996233519,0.332095868951658
"CM002236.1.10501.10800",0.610493626984091,0.552979314385789,-0.567181977215296,-0.355746197467593,-0.0224209732363641
"CM002236.1.10801.11100",0.636242572886392,1.10820228901344,-0.985820880893255,-0.862578794368279,0.418548646735067
"CM002236.1.11101.11400",0.82105848717144,0.672667030235662,-1.92680534622412,-1.14819832688924,0.355910547772943
"CM002236.1.11401.11700",0.854431040563166,0.710291564607848,-2.42142268577245,-1.00972078950273,0.465646373331788
"CM002236.1.11701.12000",0.887451213868055,1.00363242918582,-2.342615078125,-1.80645964572944,0.170664686547762
"CM002236.1.12001.12300",0.6328628560006,0.327058055132979,-3.67776086465665,-2.13377719411473,0.0608955625659748
"CM002236.1.12301.12600",0.243220228734827,-0.00860743592090513,-4.31853223985252,-2.97761243775042,-0.211823577728136
