"seqnames","start","end","name","strand","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7"
"CM002236.1",2578,3378,".","-",0.577521241534287,0.109353296399292,0.247164915934691,0.366539997033552,0.307219252479962,0.545835008106317,-4.01744362738548,4.87526771810327e-23,4.88254423708551e-22,-4.13727184325425,3.95372126782093e-24,8.08284316542353e-23
"CM002236.1",2677,3477,".","+",0.535914526984944,0.133244598167522,0.290734713458347,0.353076417263485,0.320345635515422,0.559770628726168,-3.87142723131342,6.78441844906106e-22,5.98992734121049e-21,-3.87365722679877,5.92941002215054e-22,7.10470379439823e-21
"CM002236.1",15429,16229,".","+",1.0751227139518,0.00309015933626424,0.0119166489346741,0.259142845139217,0.471967612054071,0.679592849116484,-3.62474076030344,2.07521640300635e-19,1.37868337269036e-18,-3.487070423369,4.67157682575758e-18,1.43133700917047e-17
"CM002236.1",16940,17740,".","+",0.60932721285205,0.0711942900183192,0.176930994823304,-0.467445128688493,0.169316504524124,0.355035545424022,-2.78138283707894,2.24406010381427e-13,8.60436759805356e-13,-1.9769146868375,8.36087335172575e-08,9.94706740958861e-08
"CM002236.1",34480,35280,".","+",0.831462509607849,0.0171201460269067,0.0549646793495425,-0.982067525432331,0.00502333450789595,0.0167694400736228,-3.28856641457973,2.42911344747915e-17,1.39310694295599e-16,-2.90920365233499,4.01746769620977e-14,6.68913355870163e-14
"CM002236.1",42332,43132,".","-",-0.760358651594046,0.0326883157574267,0.0992482347205127,-0.900619278779545,0.0110834081951136,0.0350800325420812,-4.76020118273386,4.90452162056641e-31,1.73207053021056e-29,-3.36155001118497,1.72978837686218e-17,4.68019355191341e-17
"CM002236.1",44251,45051,".","-",-0.489422995789516,0.160004921988904,0.334465117303909,-0.620349050819865,0.0739587646952487,0.186565154550797,-3.52529320771768,6.52871561250636e-20,4.42501835958765e-19,-3.39213075233674,3.11675064216558e-18,9.86480981553351e-18
"CM002236.1",47854,48654,".","-",-0.0454455722826508,0.891293957283464,0.952827522906119,-0.375663790909886,0.260705523262618,0.490009540922175,-2.03656339013313,2.27079774362635e-08,6.0225505374438e-08,-1.61020500111572,9.8076400483764e-06,1.08417240073485e-05
"CM002236.1",58645,59445,".","+",0.242550616744399,0.479438592775826,0.694823532942936,0.134463577234487,0.694334451592119,0.824261516484953,-2.79200313277575,1.15199918557742e-13,4.57391392616835e-13,-2.09426290635052,2.34530429816352e-08,2.85090431896327e-08
"CM002236.1",90823,91623,".","+",0.119514782561898,0.738790540533742,0.860918582187248,-0.0634865215367706,0.858770246995584,0.913208931432705,-3.64509569696988,3.36715175172782e-20,2.39502695733617e-19,-2.96265970727257,6.97891110877033e-14,1.14215837902071e-13
"CM002236.1",180722,181522,".","+",-1.24140174276966,0.000213426678700009,0.00100146364620774,-1.13747679354395,0.00066201758830096,0.00255295288362037,-1.76049531534407,4.74386188392541e-07,1.14914488235161e-06,-1.73944703647316,1.25556193735809e-06,1.42071173687568e-06
"CM002236.1",184751,185551,".","-",-1.29444411776381,0.000309418270044018,0.001402835535132,-0.741304354146226,0.0369741534600967,0.104115428299657,-2.08261883122911,1.73545946922294e-08,4.63941555318165e-08,-3.2530351789408,2.01990284711268e-16,4.45840398162043e-16
"CM002236.1",185539,186339,".","+",-1.33542446089501,0.000114084450229347,0.000567041971139938,-0.74339721471217,0.03030096038171,0.0882758389677872,-2.38304511847446,3.92113459247521e-11,1.27722393764605e-10,-2.99316339183139,3.06257056621148e-15,5.74018114505002e-15
"CM002236.1",189295,190095,".","-",-1.97545880982933,3.252032021293e-08,2.50817642102023e-07,-1.5450861013466,1.27676118314134e-05,6.59005195298336e-05,-2.76187726387957,1.42564795771024e-13,5.59420923756474e-13,-3.53222707973504,2.01643531048757e-19,9.08072545863866e-19
"CM002236.1",189906,190706,".","+",-1.98097639633118,2.69604542108459e-08,2.10354241575321e-07,-1.65370520678529,2.907860456158e-06,1.68204686731208e-05,-3.14657860761515,5.79899995333153e-17,3.21580906502931e-16,-3.35272575068799,6.84490730306269e-18,2.01444421068205e-17
"CM002236.1",193764,194564,".","-",-1.26996326078907,0.000133977967751436,0.000656198659570903,-1.13558346933158,0.00063149389811956,0.00244932026380477,-2.18594124295759,5.93705612291762e-10,1.73963522204267e-09,-1.76649956648908,8.02605939801673e-07,9.15898955113815e-07
"CM002236.1",195035,195835,".","-",-2.34065783111435,3.12819491462959e-11,3.49836464619409e-10,-2.3691018690103,1.86619025711105e-11,1.98764073416113e-10,-3.60853001705109,2.98170962307422e-21,2.5009089463535e-20,-2.8982418935745,2.08573150652341e-14,3.58852779712105e-14
"CM002236.1",195990,196790,".","-",-2.30087544770002,7.5683805491552e-11,7.93497398200491e-10,-2.36090765581285,2.42176957378263e-11,2.53907403751272e-10,-4.20024138956941,6.05597232461819e-27,1.06524188563426e-25,-3.35957936748684,1.90963279667592e-18,6.2811941498507e-18
"CM002236.1",197694,198494,".","+",-1.31700732494216,0.000249713955179772,0.00116359766615019,-1.27163389668434,0.000385038593599273,0.00152876270003025,-4.39349903053358,3.04123543949449e-28,7.03678958586483e-27,-3.79717808580665,2.15028295532049e-21,1.87381800392214e-20
"CM002236.1",209043,209843,".","-",-0.956815548880411,0.00690646273796819,0.0249152499848207,-1.01277015287756,0.00417320722619821,0.0141425355998939,-3.5736526894254,2.11430651289043e-20,1.57633296683275e-19,-3.29695835963601,3.90459279639914e-17,9.7397091687131e-17
"CM002236.1",209986,210786,".","+",-1.59054373544125,6.27415417968117e-06,3.62927366772937e-05,-1.14245513956882,0.00110660184430687,0.00407983427214237,-3.3076347547338,2.34404900898535e-18,1.44298796791667e-17,-3.49551941171184,2.14341919409935e-19,9.44428227116561e-19
"CM002236.1",214119,214919,".","+",-1.43063868031701,7.63908599838413e-05,0.000382524380963862,-1.10247211875966,0.00218904109646198,0.00773077145118941,-1.66945322448746,5.46150976913717e-06,1.22155768503035e-05,-3.77156249230837,7.47114733043965e-21,5.5089448996978e-20
"CM002236.1",216221,217021,".","-",-1.14105915769391,0.00216328847558118,0.00853862686538218,-0.853305114474972,0.0210342639459596,0.0632914399450173,-0.755778080628077,0.0427343060463512,0.0617989641316846,-3.69106061151344,4.04108464521812e-19,1.62369329158165e-18
"CM002236.1",220679,221479,".","-",-0.906875566235976,0.0116927704763606,0.0396254999476665,-0.888999616390871,0.0128578995474397,0.0403161242819255,-0.196921714854496,0.583336857015998,0.648044753406846,-2.79825003916723,1.49508475555845e-12,2.22439439241623e-12
"CM002236.1",224161,224961,".","+",-0.913049622844165,0.00770109977957672,0.0270546489638533,-0.307156564402281,0.36715619617333,0.608300759585936,0.622421726779108,0.0700566945044953,0.0975270581172538,-1.80065173991514,1.19666210333482e-06,1.356351809692e-06
"CM002236.1",245948,246748,".","-",-1.91589701204635,5.12134895784974e-08,3.81825016746353e-07,-1.5390226667394,1.08108495986459e-05,5.72566075002975e-05,0.0495230683810474,0.886705357162411,0.905600144073025,-2.77263108949291,3.01150713147097e-13,4.72131141405846e-13
"CM002236.1",247178,247978,".","-",-1.70688388366833,2.34812569938461e-06,1.41945256242079e-05,-1.70459850978622,2.08182768385161e-06,1.21470119640385e-05,0.277402929887737,0.437230424850892,0.498948324957396,-3.14587520018951,1.51185764600663e-15,2.95759906842696e-15
"CM002236.1",251644,252444,".","-",-1.18390415949472,0.00048887354053305,0.00215811937958998,-1.05687951955266,0.00179374723164986,0.00640215102360137,0.461870433425658,0.174263512241953,0.222725365170192,-1.0262155377398,0.00471711323788168,0.0048176301105306
"CM002236.1",255394,256194,".","-",-0.682241556278593,0.0534038904954123,0.145076965677821,-0.76629270313786,0.030169875630699,0.0882758389677872,0.892486320186472,0.012118009867773,0.0191773222199899,-2.53927703632032,6.20233931140209e-11,8.4588814592496e-11
"CM002236.1",255665,256465,".","+",-0.65779076121269,0.0687461631447898,0.173416073196068,-0.845438237949743,0.0192821190002157,0.0585443522585734,0.905101347588182,0.0126348633764232,0.0199482195895999,-2.80929536660129,1.85730576035875e-12,2.7571950557538e-12
