"seqnames","start","end","name","strand","logFC_WT","PValue_WT","FDR_WT","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7","logFC_ash1","PValue_ash1","FDR_ash1"
"CM002236.1",1150,2878,".","-",4.90697340449587,4.23282907937952e-43,7.10057078065915e-41,5.67783798449843,1.26233459695817e-47,5.65948211689075e-45,5.35363501871908,7.22787680145053e-46,2.42495266688665e-43,1.61592976937695,3.42295404872806e-12,6.1908414196672e-12,-0.0185785328977948,0.936305024502973,0.945995454720467,3.54436826625264,9.58453565069364e-26,2.57151422773874e-23
"CM002236.1",3177,6443,".","+",2.39762782521709,2.16248493607146e-18,2.55013601424244e-18,2.93934559763266,2.67048726560466e-23,4.959537491077e-23,2.79529508504385,4.59517079060118e-22,8.35598807721786e-22,-1.01208630214557,6.92558307377803e-05,0.000107075259043895,-0.143549579535726,0.57299015631875,0.625164869739644,1.66773963815409,2.07493840176189e-08,3.02670362517876e-08
"CM002236.1",15929,16647,".","+",2.32433580114988,9.0220888508166e-15,9.92429773589826e-15,3.5813272157802,1.76505067155608e-24,3.53537015108696e-24,2.65845693848319,2.00038137061742e-17,3.07152379790455e-17,-0.540974875371981,0.0749643501240425,0.0911251429949864,-0.54847155917177,0.0770241455780978,0.158969794842561,1.02788225926406,0.00155244765076447,0.00203455541731047
"CM002236.1",17440,19615,".","+",2.33602539672779,7.77479514288137e-16,8.78263895769932e-16,2.61316789929823,3.98350201777934e-18,6.03370170187344e-18,1.76655707240812,9.49452913920141e-11,1.23946090513699e-10,-1.01050658227347,0.000360174027236646,0.000534683124503958,-0.213237498366467,0.445511554448076,0.514523671316109,2.6752472543213,3.49613750821034e-14,6.74111571266994e-14
"CM002236.1",34980,39245,".","+",3.52636852775767,1.44273247060878e-29,3.72335956837882e-29,3.46597438106187,5.56260846584391e-29,1.97487316432871e-28,2.9874391755463,7.92084538312065e-25,1.69804704539104e-24,-0.731327681808463,0.00190628922614945,0.00271000014988619,0.0139111424258063,0.954576838636512,0.957430581053961,3.15133069767137,2.40148918844297e-20,1.9414448740304e-19
"CM002236.1",40949,42632,".","-",3.88764164883849,7.13635271170561e-29,1.63429783943838e-28,2.59102510355274,3.82584503888461e-18,5.80801362237913e-18,2.36876882443212,2.73766993310703e-16,4.03731104420839e-16,-0.670187693160801,0.0152493187943179,0.0201820372997777,0.28158465149022,0.320760674796176,0.394918188602264,3.22389008896939,3.63255202569519e-18,1.26292352810439e-17
"CM002236.1",43708,44551,".","-",3.97184742976783,2.03728552672288e-30,6.44820088882573e-30,3.50249627242566,2.89568058455723e-26,6.80706842374736e-26,3.47720355262039,2.46238348742151e-26,6.030143503868e-26,0.000592305523870722,0.998220242937192,0.998220242937192,0.319533786195331,0.274120446113309,0.350259823148112,3.13346421967043,3.79043499936068e-18,1.30429840234411e-17
"CM002236.1",45331,48154,".","-",2.6774074475929,7.31044647709366e-20,9.03371931147301e-20,2.38835632975103,3.90177079784477e-17,5.76671410870891e-17,2.07506363897474,2.71643283373966e-14,3.80527438713844e-14,-0.665239578653844,0.0102334505570189,0.0137884444252203,0.192817803832956,0.473061854932922,0.53557826194533,2.41056791496892,4.16148178633283e-13,7.50632870599282e-13
"CM002236.1",59145,61150,".","+",1.85696986253813,1.15164409918792e-12,1.22854243331493e-12,2.30752183370639,8.26376261236965e-17,1.20805767165578e-16,2.05654879123329,1.83679955900283e-14,2.594721061244e-14,-0.461207881076987,0.0746973452436652,0.0909653696161513,0.125963017166856,0.637246770662556,0.685695083611037,2.29528565091983,1.22391589031926e-12,2.12758435856017e-12
"CM002236.1",91323,92593,".","+",3.6792208676229,1.94733034208171e-27,3.5701056271498e-27,3.5423320070658,3.87294747023726e-26,8.9922067561564e-26,3.45546173365701,1.30822854258415e-25,3.00623750710262e-25,-0.247812654630042,0.363406951401232,0.395854000633485,0.679006135197426,0.0195373249394844,0.0943081503844202,3.23032787941137,2.50181867243145e-18,9.27469795138951e-18
"CM002236.1",181222,181975,".","+",2.42963543235463,1.30068268816041e-15,1.46190633794914e-15,1.08296761605659,8.88720635504669e-05,0.000100223789314896,1.09353086161465,6.23726640244159e-05,7.35537039725537e-05,0.760548802872088,0.00887339058259223,0.0119799699817291,0.36977253182148,0.232725079436933,0.314202270225718,2.27668654748366,1.12421676530222e-10,1.77493988121832e-10
"CM002236.1",182427,185051,".","-",3.39122280081039,3.91154035695659e-25,6.04756585142367e-25,1.81308919720326,2.07915452019888e-11,2.69847714323685e-11,2.37482863716458,1.90183068358913e-16,2.83584086375179e-16,1.26499836470778,1.35025351277954e-06,2.16751221788295e-06,0.484548171324457,0.0832103576818183,0.164702507387906,3.23629877799329,2.61729898340172e-18,9.59676293913962e-18
