# HOMER Peaks
# Peak finding parameters:
# tag directory = /scratch/evt82290/Run129/homer/tag/129-38_ChIP_WT_K27me3_AbC_Rep_1
#
# total peaks = 634
# peak size = 150
# peaks found using tags on both strands
# minimum distance between peaks = 530
# fragment length = 198
# genome size = 41101437
# Total tags = 1393921.5
# Total tags in peaks = 555057.5
# Approximate IP efficiency = 39.82%
# tags per bp = 0.033883
# expected tags per peak = 5.082
# maximum tags considered per bp = 3.0
# effective number of tags used for normalization = 10000000.0
# Individual peaks have been stitched together into variable length regions
# Poisson p-value threshold = 1.000000e-03
# Poisson tag threshold = 14.0
# number of putative peaks = 47287
#
# input tag directory = /scratch/evt82290/Run129/homer/tag/129-43_ChIP_WT_input
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 84
#
# size of region used for local filtering = 10000
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 0
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 0
#
# cmd = findPeaks /scratch/evt82290/Run129/homer/tag/129-38_ChIP_WT_K27me3_AbC_Rep_1 -style histone -region -size 150 -minDist 530 -o /scratch/evt82290/Run129/Peaks/129-38_ChIP_WT_K27me3_AbC_Rep_1_peaks.txt -i /scratch/evt82290/Run129/homer/tag/129-43_ChIP_WT_input
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	region size	findPeaks Score	Total Tags	Control Tags (normalized to IP Experiment)	Fold Change vs Control	p-value vs Control	Clonal Fold Change
CM002238.1-9653	CM002238.1	4722351	4829260	+	306082.5	106909.000	19.000000	42665.5	2423.7	17.60	0.00e+00	0.86
CM002239.1-8695	CM002239.1	304740	363923	+	163344.9	59183.000	19.500000	22769.0	1419.4	16.04	0.00e+00	0.89
CM002241.1-4362	CM002241.1	3709250	3755884	+	127700.9	46634.000	32.000000	17800.5	1176.4	15.13	0.00e+00	0.90
CM002238.1-10636	CM002238.1	5242927	5274665	+	94836.8	31738.000	15.000000	13219.5	908.2	14.56	0.00e+00	1.01
CM002240.1-4708	CM002240.1	6410275	6436144	+	92157.3	25869.000	19.500000	12846.0	655.5	19.60	0.00e+00	0.82
CM002241.1-6387	CM002241.1	444357	482548	+	79627.9	38191.000	20.500000	11099.5	941.0	11.80	0.00e+00	0.92
CM002238.1-10571	CM002238.1	4625077	4662832	+	77959.9	37755.000	15.000000	10867.0	893.6	12.16	0.00e+00	0.90
CM002238.1-6803	CM002238.1	224390	252614	+	77730.3	28224.000	37.500000	10835.0	685.1	15.81	0.00e+00	1.03
CM002240.1-5376	CM002240.1	636031	665865	+	70258.6	29834.000	14.000000	9793.5	774.2	12.65	0.00e+00	0.93
CM002239.1-4210	CM002239.1	176	19352	+	68992.4	19176.000	43.500000	9617.0	471.1	20.41	0.00e+00	0.86
CM002239.1-8155	CM002239.1	373209	399028	+	66983.7	25819.000	22.000000	9337.0	623.1	14.99	0.00e+00	0.85
CM002239.1-9342	CM002239.1	634021	664942	+	63023.6	30921.000	17.000000	8785.0	804.4	10.92	0.00e+00	0.85
CM002240.1-5336	CM002240.1	6210008	6234549	+	59235.8	24541.000	14.500000	8257.0	613.4	13.46	0.00e+00	0.89
CM002239.1-10132	CM002239.1	542540	569528	+	52983.6	26988.000	14.500000	7385.5	629.4	11.73	0.00e+00	0.95
CM002237.1-280	CM002237.1	302	22771	+	52492.2	22469.000	57.500000	7317.0	751.1	9.74	0.00e+00	0.89
CM002241.1-6746	CM002241.1	181185	217525	+	51584.7	36340.000	19.000000	7190.5	894.8	8.04	0.00e+00	1.01
CM002239.1-8609	CM002239.1	716559	740861	+	50361.5	24302.000	20.000000	7020.0	623.0	11.27	0.00e+00	0.89
CM002242.1-3097	CM002242.1	694179	721284	+	49224.4	27105.000	18.500000	6861.5	657.2	10.44	0.00e+00	0.94
CM002241.1-5818	CM002241.1	3793724	3812262	+	47682.0	18538.000	23.500000	6646.5	480.6	13.83	0.00e+00	0.92
CM002242.1-2649	CM002242.1	909065	930152	+	46491.1	21087.000	22.000000	6480.5	538.1	12.04	0.00e+00	0.94
CM002236.1-2892	CM002236.1	288121	305419	+	46164.7	17298.000	17.500000	6435.0	429.2	14.99	0.00e+00	0.86
CM002238.1-10304	CM002238.1	380659	401343	+	44805.2	20684.000	16.000000	6245.5	528.3	11.82	0.00e+00	0.94
CM002241.1-6922	CM002241.1	3758023	3773227	+	44769.4	15204.000	18.500000	6240.5	392.7	15.89	0.00e+00	0.84
CM002239.1-8583	CM002239.1	577211	599644	+	44704.8	22433.000	20.000000	6231.5	543.9	11.46	0.00e+00	0.95
CM002238.1-10378	CM002238.1	5013047	5033762	+	44604.4	20715.000	16.000000	6217.5	535.3	11.62	0.00e+00	0.90
CM002239.1-9291	CM002239.1	172997	191571	+	40881.1	18574.000	17.000000	5698.5	489.8	11.63	0.00e+00	0.88
CM002240.1-5191	CM002240.1	554088	579519	+	40508.0	25431.000	15.000000	5646.5	625.0	9.03	0.00e+00	0.95
CM002238.1-9164	CM002238.1	260978	275658	+	40088.3	14680.000	21.500000	5588.0	430.2	12.99	0.00e+00	0.96
CM002238.1-8941	CM002238.1	4856348	4872655	+	37688.6	16307.000	23.000000	5253.5	410.8	12.79	0.00e+00	0.97
CM002236.1-2695	CM002236.1	208335	225323	+	36702.2	16988.000	19.000000	5116.0	411.8	12.42	0.00e+00	0.89
CM002238.1-9839	CM002238.1	277113	291707	+	36422.4	14594.000	18.000000	5077.0	375.0	13.54	0.00e+00	0.97
CM002239.1-6941	CM002239.1	197972	211417	+	34944.6	13445.000	28.000000	4871.0	358.1	13.60	0.00e+00	0.93
CM002238.1-4191	CM002238.1	170	15547	+	34076.5	15377.000	53.000000	4750.0	543.6	8.74	0.00e+00	0.97
CM002237.1-2511	CM002237.1	4461305	4478533	+	33868.5	17228.000	14.000000	4721.0	558.9	8.45	0.00e+00	0.85
CM002240.1-4284	CM002240.1	6190475	6203878	+	33821.8	13403.000	24.000000	4714.5	358.2	13.16	0.00e+00	0.88
CM002238.1-10461	CM002238.1	4672111	4685699	+	32674.0	13588.000	15.500000	4554.5	346.7	13.14	0.00e+00	0.87
CM002241.1-7569	CM002241.1	149879	168062	+	30346.0	18183.000	16.000000	4230.0	448.7	9.43	0.00e+00	0.94
CM002241.1-7954	CM002241.1	3824788	3842156	+	29284.3	17368.000	15.000000	4082.0	444.1	9.19	0.00e+00	0.96
CM002240.1-5167	CM002240.1	6114742	6126083	+	25837.2	11341.000	15.500000	3601.5	296.7	12.14	0.00e+00	1.01
CM002238.1-10156	CM002238.1	5088718	5099469	+	25808.5	10751.000	17.000000	3597.5	287.8	12.50	0.00e+00	0.88
CM002236.1-2889	CM002236.1	254433	265935	+	25740.3	11502.000	17.500000	3588.0	281.6	12.74	0.00e+00	0.90
CM002239.1-9134	CM002239.1	5938384	5951386	+	25428.3	13002.000	18.000000	3544.5	325.8	10.88	0.00e+00	0.91
CM002238.1-9074	CM002238.1	292135	302326	+	24725.2	10191.000	22.000000	3446.5	275.1	12.53	0.00e+00	0.86
CM002242.1-3428	CM002242.1	660149	675795	+	22730.8	15646.000	16.500000	3168.5	388.3	8.16	0.00e+00	0.95
CM002241.1-5716	CM002241.1	3774196	3782347	+	22332.7	8151.000	24.000000	3113.0	203.8	15.27	0.00e+00	0.86
CM002238.1-9118	CM002238.1	4989318	5000313	+	21260.2	10995.000	22.000000	2963.5	307.5	9.64	0.00e+00	0.96
CM002236.1-2731	CM002236.1	34803	47640	+	20456.7	12837.000	18.500000	2851.5	316.7	9.00	0.00e+00	0.87
CM002240.1-4539	CM002240.1	6036016	6049633	+	19972.4	13617.000	21.000000	2784.0	293.8	9.48	0.00e+00	0.95
CM002238.1-8273	CM002238.1	448320	462581	+	19323.2	14261.000	27.000000	2693.5	374.6	7.19	0.00e+00	0.99
CM002240.1-5164	CM002240.1	6059501	6067546	+	19115.1	8045.000	15.500000	2664.5	217.3	12.26	0.00e+00	1.00
CM002240.1-4545	CM002240.1	6080597	6089616	+	19036.2	9019.000	21.000000	2653.5	250.8	10.58	0.00e+00	0.92
CM002239.1-8706	CM002239.1	502915	515840	+	18476.7	12925.000	19.500000	2575.5	306.5	8.40	0.00e+00	0.92
CM002241.1-6794	CM002241.1	3492557	3502809	+	18430.0	10252.000	19.000000	2569.0	262.5	9.79	0.00e+00	0.89
CM002242.1-2376	CM002242.1	1344555	1356110	+	18214.8	11555.000	25.000000	2539.0	303.4	8.37	0.00e+00	0.89
CM002239.1-10003	CM002239.1	5074926	5092281	+	17863.3	17355.000	15.000000	2490.0	432.5	5.76	0.00e+00	1.04
CM002239.1-9314	CM002239.1	464644	477092	+	17479.5	12448.000	17.000000	2436.5	287.5	8.47	0.00e+00	0.93
CM002242.1-2538	CM002242.1	4247822	4255176	+	17160.2	7354.000	23.500000	2392.0	293.3	8.16	0.00e+00	0.92
CM002238.1-9120	CM002238.1	5053660	5063501	+	16267.1	9841.000	22.000000	2267.5	261.4	8.67	0.00e+00	0.97
CM002236.1-2738	CM002236.1	181309	191917	+	16120.0	10608.000	18.500000	2247.0	265.1	8.48	0.00e+00	1.03
CM002240.1-4799	CM002240.1	6151605	6159996	+	16084.1	8391.000	18.500000	2242.0	229.1	9.79	0.00e+00	0.97
CM002242.1-88	CM002242.1	182	4556	+	15915.5	4374.000	80.500000	2218.5	145.4	15.26	0.00e+00	0.90
CM002239.1-8474	CM002239.1	611867	623335	+	15804.3	11468.000	20.500000	2203.0	293.5	7.51	0.00e+00	1.10
CM002237.1-1463	CM002237.1	1676056	1689571	+	15610.6	13515.000	22.500000	2176.0	340.3	6.39	0.00e+00	0.98
CM002236.1-2284	CM002236.1	9768166	9775266	+	15144.3	7100.000	24.000000	2111.0	203.0	10.40	0.00e+00	0.91
CM002240.1-3517	CM002240.1	6027210	6034794	+	15126.4	7584.000	32.500000	2108.5	189.6	11.12	0.00e+00	0.87
CM002241.1-6234	CM002241.1	4157868	4163464	+	14441.3	5596.000	21.500000	2013.0	151.2	13.31	0.00e+00	0.83
CM002241.1-3298	CM002241.1	151	5337	+	14179.4	5186.000	39.000000	1976.5	145.2	13.62	0.00e+00	0.89
CM002239.1-7207	CM002239.1	5878179	5886510	+	13860.2	8331.000	27.000000	1932.0	207.0	9.33	0.00e+00	0.90
CM002240.1-4671	CM002240.1	5969002	5980187	+	13781.3	11185.000	19.500000	1921.0	276.4	6.95	0.00e+00	0.92
CM002239.1-7806	CM002239.1	5994780	6000659	+	13630.6	5879.000	24.000000	1900.0	233.1	8.15	0.00e+00	0.90
CM002236.1-2490	CM002236.1	9792828	9798756	+	13623.4	5928.000	21.500000	1899.0	243.2	7.81	0.00e+00	0.91
CM002239.1-9296	CM002239.1	246486	256862	+	13580.4	10376.000	17.000000	1893.0	259.9	7.28	0.00e+00	0.91
KI440766.1-1	KI440766.1	181	7075	+	13551.7	6894.000	121.500000	1889.0	250.8	7.53	0.00e+00	0.89
CM002240.1-4138	CM002240.1	6172244	6178710	+	13526.6	6466.000	25.500000	1885.5	178.1	10.59	0.00e+00	0.94
CM002242.1-3336	CM002242.1	884245	890932	+	13515.8	6687.000	17.000000	1884.0	198.2	9.51	0.00e+00	0.97
CM002241.1-5773	CM002241.1	350684	361604	+	13053.1	10920.000	23.500000	1819.5	258.7	7.03	0.00e+00	0.99
CM002242.1-3373	CM002242.1	4231049	4237284	+	13006.5	6235.000	17.000000	1813.0	166.3	10.90	0.00e+00	0.90
CM002240.1-4890	CM002240.1	6095539	6102940	+	12916.8	7401.000	17.500000	1800.5	197.1	9.14	0.00e+00	0.88
CM002239.1-9558	CM002239.1	107462	114075	+	12812.8	6613.000	16.000000	1786.0	171.4	10.42	0.00e+00	0.90
CM002238.1-10297	CM002238.1	216608	223976	+	12547.3	7368.000	16.000000	1749.0	180.8	9.68	0.00e+00	0.91
CM002239.1-8602	CM002239.1	705208	713594	+	12432.6	8386.000	20.000000	1733.0	227.0	7.63	0.00e+00	0.89
CM002239.1-8462	CM002239.1	406326	415122	+	11873.0	8796.000	20.500000	1655.0	236.1	7.01	0.00e+00	0.89
CM002236.1-2360	CM002236.1	9758419	9764136	+	11862.2	5717.000	23.000000	1653.5	155.1	10.66	0.00e+00	0.96
CM002239.1-7017	CM002239.1	19997	25771	+	11855.0	5774.000	27.500000	1652.5	153.6	10.76	0.00e+00	0.97
CM002238.1-10640	CM002238.1	23498	33812	+	11525.0	10314.000	14.500000	1606.5	262.0	6.13	0.00e+00	0.97
CM002239.1-7579	CM002239.1	758091	765904	+	11424.6	7813.000	25.000000	1592.5	214.9	7.41	0.00e+00	0.94
CM002242.1-3341	CM002242.1	941620	948255	+	10807.6	6635.000	17.000000	1506.5	184.2	8.18	0.00e+00	0.93
