"seqnames","start","end","name","strand","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7"
"CM002236.1",2878,3878,".","-",0.605305566541208,0.00893228024923542,0.0233560012742654,0.368146961195458,0.112798256018989,0.209350773845002,-3.27683829906998,8.88607901283043e-31,5.14779749708797e-30,-2.7030872033455,2.7204636620673e-25,3.84874017033521e-25
"CM002236.1",2177,3177,".","+",0.675652231586531,0.00759730687198239,0.0203402000716023,0.4309890358475,0.0881818161959206,0.170772854419765,-3.77977127474792,7.71783979448327e-37,6.40294857023798e-36,-4.42497746169539,6.57143836357908e-49,1.42451825171779e-47
"CM002236.1",14929,15929,".","+",0.820191633826949,0.000785967619809401,0.00251509638339008,0.274626491422829,0.259474978190894,0.393024189211974,-4.14935145961625,8.21640283990559e-44,9.35834357358739e-43,-3.41496353760926,3.77867229081432e-35,7.76534489121475e-35
"CM002236.1",16440,17440,".","+",0.901143262559304,8.5870694662945e-05,0.000310242509749995,-0.157447792354421,0.497852787318511,0.611150687545533,-2.2773230674771,5.70101945319041e-17,1.57011683300982e-16,-1.52980122231467,5.59147808699345e-10,6.04095381745916e-10
"CM002236.1",33980,34980,".","+",1.11287648803079,1.39741760799632e-06,6.15304907154478e-06,-0.660640284828486,0.00461015368344964,0.0125426043533529,-2.5733083055898,7.6090157475957e-22,2.62218388840221e-21,-1.94704593937893,3.00444108788775e-15,3.53587462532499e-15
"CM002236.1",42632,43632,".","-",-0.730181656660388,0.0016493325868163,0.00494799776044891,-0.75977813901455,0.00111449501330695,0.00334348503992085,-4.41120522643689,2.60657513982926e-52,7.96190224529665e-51,-3.29249961561404,1.15989522267267e-36,2.62440939271393e-36
"CM002236.1",44551,45551,".","-",-0.393791787382833,0.0869416872473347,0.164114645590474,-0.564743358431526,0.0146840080104362,0.0354951560540041,-3.58019282448826,1.35566193314477e-38,1.26528447093512e-37,-3.21501332173013,1.87984292168024e-35,3.92315044524573e-35
"CM002236.1",48154,49154,".","-",0.165745068693981,0.461820216738277,0.580080720837611,-0.455046169343041,0.0482200338611858,0.100321556516151,-1.91111720362054,4.79816691493781e-13,1.13935270913011e-12,-1.17708198961191,9.0791853830518e-07,9.35768800216382e-07
"CM002236.1",58145,59145,".","+",0.279112226406121,0.218579951475011,0.340522187568239,0.0832442673158899,0.715172284867576,0.79966019206491,-2.64939470956473,1.77718889587688e-23,6.63483854460702e-23,-2.11083937186448,8.84124394033031e-18,1.07243969817725e-17
"CM002236.1",90323,91323,".","+",0.304742225218796,0.189224741387202,0.307891104630023,-0.0424151488175427,0.855461291610599,0.902464659281511,-3.57851543207438,1.20261212349183e-37,1.03609659870065e-36,-2.94465095709858,3.98162426436611e-30,6.3858031161194e-30
"CM002236.1",180222,181222,".","+",-1.13283958178479,6.02513249557693e-07,2.69925935801846e-06,-0.904370174507231,7.30038080681574e-05,0.000246525422220109,-1.70698452378621,4.66250033094041e-12,1.07670110735119e-11,-1.3236312624624,1.46832254819731e-08,1.55632926244257e-08
"CM002236.1",185051,186051,".","-",-1.30420159377124,2.29317553705071e-08,1.1586571134572e-07,-0.76178467953207,0.000991292970512074,0.00302794943720052,-2.25703640786628,1.76372158593497e-19,5.46184749192766e-19,-3.30107105728199,1.83655347875405e-37,4.60508931986091e-37
