"seqnames","start","end","name","strand","logFC_WT","PValue_WT","FDR_WT","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7","logFC_ash1","PValue_ash1","FDR_ash1"
"CM002236.1",2878,3878,".","-",-1.03575104464121,0.000343893363645601,0.000588031400432173,-0.444368711982528,0.0916420448085162,0.119726745236637,-0.407746464557972,0.120981791757565,0.155152221490617,-0.641560507166772,0.0164604785060426,0.0291858616254897,-1.02151769932889,0.00098340738900726,0.00159240907328405,-1.05191619888843,0.000307912250859192,0.0005731773755606
"CM002236.1",2177,3177,".","+",-2.09607595948366,2.08334867369913e-09,7.00005154362907e-08,-1.84367703688862,3.53840361545714e-09,9.14541242148922e-08,-1.30782932165536,1.67504688886994e-05,8.40023514418357e-05,-2.22492176034518,1.08773214806207e-11,1.74037143689932e-10,-2.55508633360701,2.05483745302364e-11,5.52340307372754e-10,-1.43719304258828,9.94809150295471e-06,4.03889600890899e-05
"CM002236.1",14929,15929,".","+",-0.5701618569234,0.0517757524598415,0.0628038008177139,-0.505957200866782,0.0716843953106301,0.0965369010996862,-0.430358389805011,0.122942324881758,0.15736617584865,-1.03423923280245,0.000387555541107892,0.00112257467079527,-2.16666051240272,8.20313745579686e-10,1.37812709257387e-08,-1.21724511236198,8.41764835639005e-05,0.000207203651849601
"CM002236.1",16440,17440,".","+",-2.79894796173061,4.72718888276029e-18,1.58833546460746e-15,-2.08985531399435,8.37933744314671e-14,7.03864345224324e-12,-2.23672262176429,3.34069936460805e-15,6.81872716364977e-13,-2.79270142447053,8.01599452662158e-21,1.07734966437794e-18,-3.62789988836002,2.80829066412875e-24,9.75319798024127e-22,-1.52898376636824,9.34953718153118e-08,1.4611369734858e-06
"CM002236.1",33980,34980,".","+",-1.97493219605618,6.52180060443061e-11,5.47831250772171e-09,-2.04987845249238,4.65471088514313e-13,3.12796571481618e-11,-2.11871500132406,7.60068663757047e-14,8.51276903407892e-12,-2.32892836812854,1.87834430434562e-15,7.42498454423681e-14,-3.83752904347631,2.90273749411942e-24,9.75319798024127e-22,-1.56045343390477,7.81421103880998e-08,1.2502737662096e-06
"CM002236.1",42632,43632,".","-",0.672132967168478,0.0108528862638133,0.0141889874888766,-0.154474603575982,0.558640272668301,0.601612601335094,-0.380565587277981,0.153204762736077,0.192436636558213,-0.923210925646791,0.00075965784210847,0.00200980342479091,0.472031695985541,0.110463529003333,0.13115104503576,-1.08542849416675,0.000248547382808664,0.000482727864876944
"CM002236.1",44551,45551,".","-",0.770879671974259,0.00294869572095001,0.00411959152698213,0.274276697935738,0.28679385417569,0.32689751607379,0.311241510407169,0.22422473648556,0.264813748538306,0.333475194682012,0.196928292917262,0.257964547447174,0.727394042621378,0.0125209363854468,0.0169981196990308,-0.949148356147845,0.00104566254338993,0.00154097637973253
"CM002236.1",48154,49154,".","-",-1.22786224623909,9.71106655494186e-06,2.61033468996837e-05,-1.19940421905667,4.22086170184373e-06,2.80833570657326e-05,-1.19928652319462,4.23782559769424e-06,2.63686926078753e-05,-1.5676401688322,6.1846070837719e-09,6.39393224660726e-08,-1.94686618184325,2.56867228748385e-10,5.95223371444533e-09,-1.22674189007153,1.15599210047942e-05,4.56956877365983e-05
"CM002236.1",58145,59145,".","+",0.421630337938868,0.102715589446247,0.118599443484327,0.0429980579656608,0.866407228023541,0.884841424364467,0.0717219335270594,0.778039573338463,0.810608671757283,0.148902790303225,0.561362842773609,0.625598391946709,0.347011993983557,0.229890428519435,0.260078060547239,-0.879322809667828,0.00199450783955001,0.00274653538560986
"CM002236.1",90323,91323,".","+",0.813889065725528,0.00199438336589014,0.00290721393032143,0.511548200094431,0.0502899812679315,0.0717513108536093,0.305453528710307,0.241072754920196,0.28174068053282,-0.629003836610957,0.0215208582383624,0.0367990247739938,0.125729335636571,0.67562559328312,0.707196882688874,-1.52691545144152,3.94482267672458e-07,3.7870297696556e-06
