"","logFC_WT","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7","logFC_ash1"
"CM002236.1.1201.1500",-0.140653544194074,-0.591176110290336,-0.190826765044226,-0.718579766292534,-0.133294266065771,-0.106799410637175
"CM002236.1.1501.1800",0.201101364853994,1.35487496809946,0.979970430174886,0.223518228028845,1.12924861146239,-0.093605898071642
"CM002236.1.2101.2400",-1.51485717884633,-1.65071847530713,-1.16087006559705,-2.21699973420035,-1.6874331891322,-0.71173101743608
"CM002236.1.2401.2700",-2.62954104014765,-1.5440026442731,-0.771268989443869,-2.42274355238776,-4.55961747407035,-1.15217512526394
"CM002236.1.3301.3600",-1.3280701018538,0.190519554286579,-0.743430027494015,-0.563768828381178,-1.45513108494916,-0.197274908523573
"CM002236.1.3901.4200",1.31351874684137,1.53799263383324,1.71819746009093,1.97972439170783,1.59593692867955,1.08354028037201
"CM002236.1.4201.4500",1.23849024330695,1.33928569947741,1.29238873790948,1.85286961002463,2.2459459263822,1.63480509471683
"CM002236.1.4501.4800",0.482592692042026,0.141988129031343,0.374070028641111,0.37445811465893,-0.0644505795434235,1.3671986025082
"CM002236.1.4801.5100",-1.10768287522965,-0.956068701671494,-0.62458789832864,-1.37811870449423,-1.16036704453137,0.327344035529385
"CM002236.1.5101.5400",-1.4750237802239,-0.717771376544838,-0.750794649969709,-0.891436584175786,-2.18220552211896,0.292596807159111
"CM002236.1.6001.6300",0.740153653532588,0.896767275124384,1.02843329843782,0.960187297166348,0.626377079775013,0.686039654810259
"CM002236.1.16201.16500",-1.60304066520232,-1.01164709714194,-1.41164564592173,-2.27181669581544,-3.78455148912164,-1.19178740442818
"CM002236.1.17701.18000",-1.05501448592645,-1.29535195030116,-1.23107396225752,-1.35063520894193,-2.58330472206952,-1.17469313511219
"CM002236.1.18001.18300",-0.694518395898456,-0.375191821128217,-0.402931695574427,-0.356663712919506,-0.345195253825801,-1.51477969122469
"CM002236.1.18601.18900",0.938776990894985,0.578256602599263,1.17691119630163,0.569976203359025,1.36495932758015,-0.252911149449819
