"seqnames","start","end","name","strand","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7"
"CM002236.1",1150,2878,".","-",0.0103970071523994,0.975931222485106,0.99917270719465,0.41070658317743,0.221492360013692,0.605759691709698,2.65433241892759,1.23758057022207e-12,3.19390985622696e-11,2.65851222900001,1.13215046549008e-11,5.84363817187572e-10
"CM002236.1",3177,6443,".","+",-0.260331701113245,0.470807648759069,0.99917270719465,-0.150122542759575,0.676221548261285,0.832559007125362,0.171992074629439,0.632343789605776,0.993764371578709,0.296235417705516,0.433605523499728,0.565460030517547
"CM002236.1",15929,16647,".","+",0.896466967254787,0.048803420706758,0.99917270719465,1.04790870260252,0.0183467687407178,0.219833604018243,2.66297243905699,1.34018111003507e-08,2.09130587170588e-07,0.860802501292516,0.0637083526457147,0.270963154088604
"CM002236.1",17440,19615,".","+",-0.674933677528564,0.103215107407635,0.99917270719465,1.23445041074242,0.00240255773073559,0.0488520071916236,2.37507358049395,2.9462806170836e-08,4.11865477929811e-07,2.12612412694249,1.66899779617104e-06,3.49967975384616e-05
"CM002236.1",34980,39245,".","+",-0.365431651209185,0.31349733120176,0.99917270719465,0.500332436625854,0.161825079508646,0.605759691709698,1.69818448519351,5.24274131774765e-06,4.7538911137955e-05,1.73982876645863,9.37377907253911e-06,0.000174716826602048
"CM002236.1",40949,42632,".","-",-0.286347054007945,0.493835076038967,0.99917270719465,0.218996818228118,0.589517005574483,0.76808914706889,2.05182939250464,1.27723649957121e-06,1.29852377456406e-05,0.381790347566986,0.373095780519255,0.511870300109543
"CM002236.1",43708,44551,".","-",0.0274798576660481,0.949610879605253,0.99917270719465,0.345726444297414,0.410528629496911,0.687589347553961,0.454294740933622,0.27731940174975,0.907214172064251,0.537890899829676,0.224587835082916,0.431241769151065
"CM002236.1",45331,48154,".","-",0.355351891937831,0.358759487699493,0.99917270719465,1.2124296558677,0.00191399682790551,0.0434703959807863,3.13247527064438,5.96732203469993e-13,1.66836378553485e-11,2.01316499054707,2.31735292036744e-06,4.57336414578399e-05
"CM002236.1",59145,61150,".","+",-0.207363602750883,0.598140811342169,0.99917270719465,0.155885836133853,0.685341179101425,0.839076307914288,0.561451972314587,0.144220463029827,0.608628494924618,0.702115384243469,0.0839518529851644,0.301239001887943
"CM002236.1",91323,92593,".","+",-0.276037319581445,0.51488640481256,0.99917270719465,0.152275689249706,0.709886637298694,0.856715707962992,0.611572565503532,0.135060919393871,0.585978034443971,0.481106330754944,0.269707224510631,0.458893395280385
"CM002236.1",181222,181975,".","+",0.27611081853877,0.551284814040375,0.99917270719465,0.305968336176867,0.495640540083066,0.735784961052516,0.290829352629251,0.520847395779048,0.993764371578709,0.69390173788022,0.14341127458267,0.36591326917685
"CM002236.1",182427,185051,".","-",-0.160585359296159,0.690715336658515,0.99917270719465,0.148181905592816,0.708848289547678,0.856715707962992,-0.186846454414658,0.63835376084747,0.993764371578709,0.339001666691502,0.418952051063254,0.553200526408435
"CM002236.1",186039,188208,".","+",-0.325035297120393,0.400359067202034,0.99917270719465,0.204494733950128,0.587290414187335,0.76808914706889,-0.243638213879369,0.520184274280204,0.993764371578709,0.407301932715113,0.306021773646132,0.476012330798973
"CM002236.1",188530,189595,".","-",-0.244723352593484,0.568563140967675,0.99917270719465,0.175166390796805,0.673750026759517,0.832559007125362,-0.0556005829763344,0.894305137526411,0.993764371578709,0.403469309364877,0.362519074847359,0.511501266915768
