"seqnames","start","end","name","strand","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7"
"CM002236.1",2578,3378,".","-",-0.264898121273635,0.401906460246502,0.992285811726981,-0.219559141666563,0.483839753561746,0.67939877570263,-0.814537972379779,0.0102162741038619,0.0580942366414521,0.405180212341272,0.195526663102194,0.507632380551196
"CM002236.1",2677,3477,".","+",-0.234526658391583,0.448958379168338,0.992285811726981,-0.152931619320936,0.619148891217326,0.760360626687216,-0.810525246025709,0.00918192420324455,0.0531126822446301,0.404488742842653,0.188414915673379,0.507632380551196
"CM002236.1",15429,16229,".","+",0.635435246395234,0.0648227672757373,0.80454697979815,0.710705883155915,0.0354933500382067,0.193626324192168,2.38167010512044,4.6945896729735e-12,7.32574341991912e-11,1.1906284872102,0.000448303469609455,0.00462787120166069
"CM002236.1",16940,17740,".","+",0.303381386147767,0.366303529836048,0.992285811726981,1.29133051254425,5.34937614086811e-05,0.00119647713017417,2.7869444430159,2.15451550267673e-17,6.28556479259168e-16,2.24996973564467,3.99891459478098e-12,1.41224825952528e-10
"CM002236.1",34480,35280,".","+",-0.152627826959971,0.652192400780381,0.992285811726981,0.110821127721808,0.734052366177237,0.827813676815001,2.33401536403281,1.39495941775538e-12,2.28297016905819e-11,1.73786418551501,9.69447360708943e-08,1.58658336350171e-06
"CM002236.1",42332,43132,".","-",0.0374070053175686,0.915649588252589,0.998962931312989,0.609057453053098,0.0689094146042717,0.282067895384548,2.58694255915664,2.98025546914542e-14,6.45081103160186e-13,0.103027562207244,0.763950194017468,0.881896102841779
"CM002236.1",44251,45051,".","-",0.135987641651517,0.701205953203047,0.992285811726981,0.515269788200615,0.129805515551254,0.379260980846368,0.735098770489921,0.0293049521376285,0.142490020901078,0.485307550752311,0.159052204393023,0.464017518033559
"CM002236.1",47854,48654,".","-",0.5224011959949,0.107826996067081,0.987928002658348,1.02020610662157,0.0011888763547026,0.0173420876957706,2.3920929434681,6.85907732685023e-14,1.43826277697391e-12,1.48160190667261,2.76921690216501e-06,3.87113446115151e-05
"CM002236.1",58645,59445,".","+",-0.156253486537056,0.638622685018415,0.992285811726981,0.23700900723013,0.461801622180691,0.664954696315974,0.222018121834427,0.488594334487424,0.921884923591358,0.569279094750861,0.0774861449301328,0.324957520300744
"CM002236.1",90823,91623,".","+",-0.0179082165101125,0.959305751416673,0.998962931312989,0.35746626348025,0.29141599069542,0.513228687025267,0.55301508107449,0.100365727522551,0.393832767062173,0.446936253903948,0.19141058035955,0.507632380551196
"CM002236.1",180722,181522,".","+",0.278532557323841,0.387458695549747,0.992285811726981,0.564948105302847,0.0721557138144915,0.28313733315511,0.293437258283982,0.350677834907982,0.822744151130264,0.778845348822808,0.0137414866220035,0.0922053752336436
"CM002236.1",184751,185551,".","-",-0.105219470197937,0.762712369929625,0.992285811726981,0.172958711249218,0.606172728175947,0.757640230766351,0.0377292365229997,0.910429226935254,0.975615964527735,0.474965997574909,0.15790655867482,0.462686903365958
"CM002236.1",185539,186339,".","+",-0.141769469114754,0.676720462001625,0.992285811726981,0.135712932525734,0.678150686931199,0.795522921207752,0.0964168265901266,0.767533344012656,0.970079499027903,0.31452484338278,0.338605008793409,0.627269235870692
"CM002236.1",189295,190095,".","-",-0.313938286328869,0.361713451368486,0.992285811726981,0.158852574684447,0.629081038236037,0.766493876878661,-0.142690523011411,0.665389417271748,0.959648841857912,-0.185252948096217,0.5819964766644,0.779480311061502
"CM002236.1",189906,190706,".","+",-0.00874197834583029,0.979789952925612,0.998962931312989,0.401142247219344,0.228187710196603,0.467449388055074,0.1769759211042,0.595201714828225,0.922356468013254,0.189552703273715,0.57579278070398,0.778945475508812
"CM002236.1",193764,194564,".","-",-0.177422618644966,0.590680026666426,0.992285811726981,0.00186146283468951,0.995155099338801,0.997586109926359,-0.449384510583291,0.160775982476158,0.553234278161548,-0.098831003293839,0.759746218042889,0.878947779839274
"CM002236.1",195035,195835,".","-",0.123949395943062,0.712229304407732,0.992285811726981,0.315861396005454,0.332310253023661,0.555913416064497,-0.343168398151608,0.298859443494346,0.802342027202007,0.540434430119504,0.0991522841654184,0.365555948763713
"CM002236.1",195990,196790,".","-",0.47483143804384,0.162072677949848,0.992285811726981,0.494003108314163,0.133919340916581,0.383118186888332,0.182022121617684,0.581411974172583,0.921884923591358,0.576995705871816,0.0825509493556024,0.328125725408389
"CM002236.1",197694,198494,".","+",0.0863574817361251,0.806922838858822,0.996799344421528,0.580259474786452,0.087718046533144,0.31644521088032,0.0599461603492703,0.860723200664589,0.971851297560963,0.343327622221401,0.318795351983618,0.609173762457383
"CM002236.1",209043,209843,".","-",-0.636820033492533,0.0768689315987887,0.859650885046454,0.0078630757684194,0.981334976455153,0.99370809460614,-0.371782270872826,0.274112667757035,0.766373333604044,0.14005970071927,0.680494386318775,0.843264399317102
"CM002236.1",209986,210786,".","+",-0.433623563444887,0.228817203441684,0.992285811726981,0.315207374768073,0.352448811893085,0.574508573062811,-0.293822775732732,0.393525355361787,0.858726136445976,-0.0292684880466344,0.93285152801578,0.961648197444432
"CM002236.1",214119,214919,".","+",0.488831497434751,0.159516516379933,0.992285811726981,0.918287191037015,0.0069369060087861,0.0664951990270782,0.9475033750334,0.00518253857862708,0.0313286791554844,0.894406594586644,0.00916666705067349,0.0675019907101116
"CM002236.1",216221,217021,".","-",0.320704113554703,0.379564011753593,0.992285811726981,0.691749969432373,0.0498724007612151,0.232391534102607,0.234663150349606,0.507631483513706,0.921884923591358,0.395711186833435,0.268259836921411,0.569172293505885
"CM002236.1",220679,221479,".","-",0.438709777044383,0.215307399549006,0.992285811726981,0.536503785296167,0.117844591857396,0.362723491450977,0.502211336979094,0.141663892428654,0.508323378714582,0.473627217335585,0.172637598006458,0.486721967488795
"CM002236.1",224161,224961,".","+",-0.141763277417342,0.668761189915473,0.992285811726981,0.262027688923855,0.410015019356922,0.623056362983312,0.126865035649644,0.690311578519237,0.967096741408927,0.262065096297106,0.414411922284738,0.670050797317419
"CM002236.1",245948,246748,".","-",0.193917276904702,0.570007559011948,0.992285811726981,0.504063324576308,0.126042339139283,0.377710586655015,-0.246627512407098,0.462260308323359,0.914975418539746,0.228606311187735,0.494913419253393,0.731468952244553
"CM002236.1",247178,247978,".","-",-0.246627065110356,0.47454216785509,0.992285811726981,0.176885390397526,0.593883531664068,0.75046299387305,-0.506853333951587,0.132429642258355,0.488243351403056,-0.0165836583888108,0.960829853021149,0.976843683904835
"CM002236.1",251644,252444,".","-",0.335842439625568,0.310691625089496,0.992285811726981,0.520364932844238,0.105891493788181,0.348299962411124,0.31469442071595,0.32771671082392,0.816880214186914,0.584327211773847,0.0721093816775351,0.310162789138629
"CM002236.1",255394,256194,".","-",-0.244660809628014,0.478308373181866,0.992285811726981,0.264310262072954,0.421903595689182,0.630506264381829,-0.333012223258608,0.317138517202437,0.812213530697844,0.266084762055284,0.423161237280042,0.670050797317419
"CM002236.1",255665,256465,".","+",0.192075375902628,0.587130412827093,0.992285811726981,0.677648827690803,0.0461601462490866,0.219669915837852,0.216532936428283,0.525729238255036,0.921884923591358,0.664703035210343,0.0526047246076544,0.255913190373491
"CM002236.1",256992,257792,".","+",-0.119770622632914,0.750310737552083,0.992285811726981,0.437693427768493,0.222920814139038,0.464533746233834,-0.250879062936901,0.491410845506002,0.921884923591358,0.315681799274626,0.386266483903354,0.667154111798913
"CM002236.1",263087,263887,".","-",0.240415029617409,0.52407819265833,0.992285811726981,0.708958488313232,0.0495543199596238,0.232391534102607,0.244269124936674,0.501470586315248,0.921884923591358,0.41877233364737,0.255268117236893,0.553864928329763
"CM002236.1",265088,265888,".","-",0.0619100708041883,0.859941461859983,0.998962931312989,0.590237134272473,0.0814060303575271,0.298488777977599,-0.162553844409775,0.635812242599121,0.941684134188838,1.45221686539714,1.91758368825831e-05,0.000238277528670615
"CM002236.1",291132,291932,".","+",0.212135523469049,0.574873968196934,0.992285811726981,0.593284379386007,0.102617988629201,0.346013418945698,-0.0388868355630923,0.915883818717659,0.975615964527735,0.330850000780021,0.371357636848649,0.66271535724852
"CM002236.1",292666,293466,".","+",-0.643469206473979,0.0866094783740195,0.908046249827611,6.23460600052979e-05,0.999661632692501,0.999661632692501,-0.440482562622819,0.221118393607965,0.683734756271632,-0.00811761188321647,0.982188804580064,0.989562594404239
"CM002236.1",297470,298270,".","-",-0.0161560103954445,0.965574934252591,0.998962931312989,0.330889709344326,0.360367955569744,0.581207969039654,-0.262597636307265,0.472631613923893,0.918586475763714,-0.0552248682205472,0.881429090002859,0.947309586521547
"CM002236.1",301852,302652,".","+",-0.81466166890667,0.0327095553933333,0.567224777108947,0.00876501182763602,0.980301658392526,0.99370809460614,-0.255656438124006,0.473661906195641,0.918586475763714,-0.211075568726827,0.561106750545035,0.773106015638025
"CM002236.1",8867349,8868149,".","-",0.159806247962016,0.659660640680715,0.992285811726981,0.318272521712982,0.363242408361711,0.58309965552801,0.0310044458424847,0.929351810202409,0.977283854872314,0.135171027036666,0.704018216062973,0.846588213222679
