"","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.1501.1800",0.739482287011535,0.973022553655475,3.73659576655457,4.44201665107173
"CM002236.1.1801.2100",-0.0841447144437741,0.394838371596607,3.285379929145,3.31146291870129
"CM002236.1.3301.3600",-0.0143659172765784,-0.216929187078429,-1.30934586628495,0.510764363608488
"CM002236.1.3601.3900",-0.661527998112198,-0.200549781967082,-1.0615142800875,0.182652876706117
"CM002236.1.3901.4200",-0.438013802715393,-0.0946710787531976,-0.26428396056708,0.308010161284354
"CM002236.1.4201.4500",-0.338700327384936,-0.283103695475037,0.505736156658771,1.13437453057641
"CM002236.1.4501.4800",-0.718622054906871,-0.567558664625753,0.397722596981139,-0.281922236124886
"CM002236.1.9301.9600",-0.492011201042478,0.0287982165919368,-0.264280475554684,-0.240084557702594
"CM002236.1.9601.9900",-0.482637847453488,-0.0771595089812958,-0.610115774558031,0.109593254069867
"CM002236.1.9901.10200",-0.345675985705897,-0.0747953080501547,-0.57068086036359,0.322552762355167
"CM002236.1.10201.10500",-0.387758860184696,-0.0440037210092015,-0.265189136975207,0.905636556466555
"CM002236.1.10501.10800",-0.622222817793304,-0.642903572172259,0.695344731357229,0.907030466225947
"CM002236.1.10801.11100",-1.0683909231741,-0.671419503554359,1.05826926128099,1.30562060147462
"CM002236.1.11101.11400",-0.565363426257318,-0.602964165859435,1.93609978465634,1.01399216978605
"CM002236.1.11401.11700",0.143300192690622,-0.552425842355737,2.23453964061614,1.60353316498341
"CM002236.1.11701.12000",-0.198711136974456,0.0961730744666399,2.72812792012415,1.11802163677597
"CM002236.1.12001.12300",0.0785742939005325,0.312833107858729,2.94482045591923,1.52193685429451
"CM002236.1.15901.16200",0.766200795377591,1.13906551308531,3.06847436522091,1.56660849173176
"CM002236.1.17401.17700",0.135344833106262,0.983229496692756,2.95694179741511,1.29789486537233
"CM002236.1.17701.18000",-0.870881255305313,1.97765155375434,3.17917290370162,2.86863518031909
"CM002236.1.18001.18300",-0.817257598648218,1.78313384718743,2.90008522389578,2.89524577743684
"CM002236.1.18301.18600",-0.889225485784276,0.783334059403688,2.12719119758674,2.29901778475151
"CM002236.1.18601.18900",-1.02106068503093,1.31152191153513,1.91031206864378,2.39991895014744
"CM002236.1.34801.35100",0.14329013361176,0.161507904993215,2.84080665224859,1.88553141267521
"CM002236.1.36001.36300",-0.174605460955915,1.81963811697593,2.63281887297465,3.02476564153129
"CM002236.1.41701.42000",0.23171005531751,0.10116932684246,2.78020752528944,0.50649641794341
"CM002236.1.45901.46200",0.0328919875730554,0.413586637226009,2.74938893558001,1.58553048438076
"CM002236.1.46201.46500",0.830137923171352,1.33730132707257,3.83958041177758,2.17403404980648
"CM002236.1.46501.46800",1.10568858539509,2.01033340074852,4.40754886185304,2.88112222200027
"CM002236.1.46801.47100",0.309394325158583,0.77303108085623,3.38222844445269,2.2712451299752
"CM002236.1.47101.47400",0.530805561064235,1.90397762320898,3.49605948447881,2.76462295040365
"CM002236.1.47401.47700",-0.663179713199055,0.720655330046434,2.70895232589958,1.81536629607476
"CM002236.1.47701.48000",0.783533546288264,1.32801991944714,2.94383718780431,1.92619446543897
"CM002236.1.51301.51600",0.972558846483049,0.655779255553689,2.77297488211366,1.43587611341263
"CM002236.1.51601.51900",-0.22003280223578,-0.333443873970356,1.78953113927912,0.934264140585236
"CM002236.1.51901.52200",-0.252943855919832,-0.406569168327042,0.892734205751514,0.250861849630717
"CM002236.1.52201.52500",0.459461784280668,-0.0798727093316901,1.48540635915683,0.975610099392827
"CM002236.1.52501.52800",-0.329748404102851,-0.469157544188954,0.989001117508513,0.356354229261947
"CM002236.1.52801.53100",-0.171669576617516,-0.303853366307087,0.56568496597123,0.0540983329472185
"CM002236.1.53401.53700",-0.709902282219997,-0.306759459222403,-0.845595504221317,-0.307958681893954
"CM002236.1.53701.54000",-0.210916734115457,-0.0560628245064336,-0.303344938826191,0.518817287662083
"CM002236.1.54001.54300",-0.477270798817267,-0.135714205986722,0.168007518038905,0.589942196665562
"CM002236.1.54301.54600",-0.704374516550234,-0.614687281820789,-0.082723353180704,-0.228711255365155
"CM002236.1.54901.55200",-0.511710954668087,-0.343683801535763,-0.800440881799191,-0.0320404539505399
"CM002236.1.55201.55500",0.386273851293377,-0.144457760007059,-1.09823090392436,0.604256429541597
"CM002236.1.55501.55800",0.447977347054753,0.0306402519799997,-1.12641966946078,0.143812468014651
"CM002236.1.55801.56100",-0.173244436455174,0.0141401474882212,-0.176392744715349,0.386666907518191
"CM002236.1.56101.56400",-0.23523478134233,-0.396458709433808,0.274597048497448,0.165994898126715
"CM002236.1.56401.56700",-0.112716735859118,-0.293948283678202,1.15826320272506,0.290924550957743
"CM002236.1.56701.57000",-0.121955014710764,-0.366182695191517,1.5234632394878,0.766331972844046
"CM002236.1.57001.57300",-0.0468032667251104,-0.655641061788744,1.62927068622435,0.499829389398188
"CM002236.1.100201.100500",0.146840374293876,1.17175309555095,1.53196274523623,0.490335612513075
