"seqnames","start","end","name","strand","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7","logFC_ash1","PValue_ash1","FDR_ash1"
"CM002236.1",2578,3378,".","-",0.577236520376068,0.102419904186318,0.230872769593596,0.366337522049096,0.297535180424914,0.530150852850767,-4.02041520795742,8.7779212755194e-24,8.79102265055749e-23,-4.13778146911617,6.72686943867885e-25,1.41054043542297e-23,-1.32621767504296,0.000822812864363568,0.00170931093494723
"CM002236.1",2677,3477,".","+",0.535727871926602,0.125724272187239,0.273899307265056,0.352860376887157,0.310873920077634,0.543455851910015,-3.8749253606519,1.36017881382169e-22,1.20952325274446e-21,-3.87434946173876,1.21041795568071e-22,1.53178219529182e-21,-1.37901717029638,0.00045447374324443,0.00102332846213763
"CM002236.1",15429,16229,".","+",1.074948132335,0.00261961855373399,0.010160485835581,0.258982161599422,0.464466140726588,0.668791374308026,-3.6222625687474,7.01940623833578e-20,4.66338770883496e-19,-3.48707293986853,1.52780865283108e-18,4.63873124909345e-18,-1.06979292953627,0.00713724753845529,0.0114298164637315
"CM002236.1",16940,17740,".","+",0.609269728710623,0.0660858134964964,0.164235484652404,-0.468010763542679,0.161106121027318,0.337819397529158,-2.77806992094754,1.05785093633165e-13,4.03305669476443e-13,-1.97679604569055,5.06401961975745e-08,6.01408347762345e-08,0.0213153531700088,0.953889140921244,0.956740827441187
"CM002236.1",34480,35280,".","+",0.831302112697881,0.0151829279945836,0.0487451898773474,-0.982635689751643,0.00425345633890129,0.0141993492706605,-3.28691375889878,9.12831236168206e-18,5.19076067346497e-17,-2.90907163829943,1.64936971047898e-14,2.73265944625035e-14,-0.393391404982784,0.300569554807389,0.335577656032875
"CM002236.1",42332,43132,".","-",-0.76058383577385,0.0294036060353694,0.0892752020349905,-0.901100264421447,0.00956301637342652,0.0302678489932509,-4.75786703642857,7.54115857281007e-32,2.66321968545029e-30,-3.36098004079059,5.19608119716692e-18,1.40587519487863e-17,-1.08246998821968,0.00530140146379743,0.00889310095552019
"CM002236.1",44251,45051,".","-",-0.489407916328663,0.152491584403541,0.31875966708653,-0.620631287633459,0.0686444606123955,0.173159522822998,-3.52564805793539,1.83204239801583e-20,1.24171762532184e-19,-3.39192708173123,9.65021536522626e-19,3.04004437092339e-18,-0.731667729661641,0.05414807213318,0.0702772851090208
"CM002236.1",47854,48654,".","-",-0.0450312316089705,0.890176531004641,0.950455131724382,-0.375240633119294,0.252081047169979,0.472475929192894,-2.03672113652354,1.31024816960893e-08,3.47500601504978e-08,-1.61013093072587,6.80519170554816e-06,7.53512150894854e-06,-0.828711882176944,0.0245713137140053,0.0339945391795826
"CM002236.1",58645,59445,".","+",0.242690049056358,0.472141071671101,0.684247643825721,0.134227388176823,0.69016027980928,0.818227566065785,-2.79028691742378,5.71955800068776e-14,2.25754318733029e-13,-2.0935413239602,1.5004038445142e-08,1.81727613658669e-08,0.0691649756816059,0.853370312352037,0.86106989411762
"CM002236.1",90823,91623,".","+",0.119719860928422,0.733812686528672,0.855986318288244,-0.0638211589120362,0.85546864672105,0.909698037955348,-3.64301860000424,1.00784547623925e-20,7.11857173217409e-20,-2.96208318104642,2.88656734733445e-14,4.71261968384772e-14,-0.781639601547445,0.0458897499877938,0.0602583605514866
"CM002236.1",180722,181522,".","+",-1.24138389272784,0.000170588459896791,0.000800453542592636,-1.13754051827117,0.000545047832282549,0.00210187985897466,-1.76024677638339,3.28397049142528e-07,7.92641798469915e-07,-1.73933479770076,8.83400663940864e-07,9.97915564822086e-07,-0.397560585013549,0.273517777617936,0.311068523358704
"CM002236.1",184751,185551,".","-",-1.294652988735,0.000250311057523525,0.00112723972884755,-0.74178648743366,0.0340393395601169,0.0957279229269762,-2.08248971521865,1.10049131374752e-08,2.9302764743039e-08,-3.25278597288913,8.52845094620986e-17,1.86403602114229e-16,-0.4811929560703,0.216492724777083,0.250014524058104
"CM002236.1",185539,186339,".","+",-1.33564127991033,8.84837282525151e-05,0.000439796901166205,-0.743691504768545,0.0276572837118622,0.0803378241154093,-2.38042658267651,2.16883581240983e-11,6.95211544143397e-11,-2.99416790585121,1.25914289179697e-15,2.35343977826119e-15,-0.377052410224151,0.314423697318292,0.349301822683069
"CM002236.1",189295,190095,".","-",-1.97523114773899,2.00132711062587e-08,1.54355228877007e-07,-1.54521758413159,9.27093646156025e-06,4.74870104252437e-05,-2.76410564420786,6.26152966901637e-14,2.42860486006358e-13,-3.53255803425142,6.71918777673073e-20,2.94678104456622e-19,-0.946480787206142,0.0139500020171371,0.0207548810498869
"CM002236.1",189906,190706,".","+",-1.98098203927285,1.65729878755097e-08,1.30829116052553e-07,-1.65376263878187,2.03533319881763e-06,1.15738014949714e-05,-3.14735686642769,2.20096254880694e-17,1.21612976199855e-16,-3.35330634340473,2.50146091941237e-18,7.29774033445957e-18,-1.03372639655794,0.00709980491077982,0.011397055251515
"CM002236.1",193764,194564,".","-",-1.26989522596944,0.000107705290326314,0.000523697462383742,-1.1358275384961,0.000526941813062132,0.00204380321713694,-2.18293410193907,3.88103685429056e-10,1.1371946415847e-09,-1.76599104971083,5.82072787771469e-07,6.61984475584162e-07,-0.275082047268306,0.44560313216907,0.477635306206782
"CM002236.1",195035,195835,".","-",-2.34077854514209,1.74362947694592e-11,1.94995896505119e-10,-2.36931611370336,1.02503680530328e-11,1.0917455497754e-10,-3.60958522202591,1.04428369015339e-21,8.75892945116154e-21,-2.89765986203939,1.04450096650858e-14,1.77883286428238e-14,-0.58300927269085,0.121341521497442,0.145463376919815
