"seqnames","start","end","name","strand","logFC_WT","PValue_WT","FDR_WT","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7"
"CM002236.1",1150,3878,".","-",0.476992704257498,0.0413102891975085,0.144729908896156,0.422577690503221,0.0720291922546522,0.224090820347807,0.361956262213845,0.121868454949464,0.373581331904528,0.441173392783232,0.059180900959686,0.169955407884227,0.305712609287507,0.236417011088916,0.576749311072803
"CM002236.1",2177,6443,".","+",0.375399391423213,0.120427356036468,0.275262528083356,0.203156030329482,0.402625891231527,0.60799482332567,0.204507458229645,0.398386839092271,0.667620837581063,0.202857110106511,0.402121612356971,0.572765837983461,0.162591942879094,0.5416744928116,0.77778901531922
"CM002236.1",14929,16647,".","+",0.235803014689266,0.340123404868031,0.502336105651245,0.248209488692579,0.318970846929779,0.535871022842029,0.185419546375068,0.453946022880431,0.701373037807886,0.326251149085156,0.187261553026117,0.366879777357291,0.259903091034905,0.339519365486776,0.650019981786649
"CM002236.1",16440,19615,".","+",0.281747256404287,0.245629319026502,0.420040574305913,0.175598026069209,0.471393434420476,0.672561333185902,0.291513086420736,0.229928628357914,0.50516363068564,-0.0614708847849619,0.801373027560531,0.87035693985188,0.22471583253167,0.400370375499908,0.690660960142438
"CM002236.1",33980,39245,".","+",-0.155049813457898,0.533435081327973,0.671631656974084,-0.142419008948413,0.567695071492789,0.756926761990386,-0.181195732326654,0.467019073466592,0.703669994102129,-0.0711497009465935,0.774441513112151,0.85315524067437,-0.0144930126364187,0.957415680524256,0.991321886391766
"CM002236.1",40949,43632,".","-",-0.0658655446083516,0.792369277585859,0.851955447260315,0.493676074290082,0.0474170844035182,0.17244300346616,0.498738529741053,0.0442140057709145,0.216874539255873,0.715243649487322,0.00396249311477662,0.0274514986920607,0.572365964774693,0.037902509689651,0.242576062013767
"CM002236.1",43708,45551,".","-",-0.391223361428386,0.105999560251311,0.259024379959568,0.126999064083654,0.594468892264376,0.778037463204424,0.288051978980094,0.223759869621154,0.498183338252366,0.55800898299959,0.0185062583456514,0.0839199242619951,0.246975167469762,0.346088155191789,0.656980904770854
"CM002236.1",45331,49154,".","-",-0.00288691191433368,0.990321318320758,0.996251386095134,0.235507701298951,0.321400308861927,0.537266187948297,0.213062190629018,0.368391138832996,0.639748784327634,0.34762438624422,0.141845093264016,0.307305085451377,0.104041112165728,0.690090100030917,0.864640243294476
"CM002236.1",58145,61150,".","+",0.159490880968984,0.497967346884018,0.642291856249635,0.352194143280977,0.135022292130897,0.309625742218642,0.368983512601006,0.116293196431003,0.366896845078094,0.239175027423215,0.309380090689939,0.493432391399844,0.329141341164631,0.205354543930969,0.552115871806569
"CM002236.1",90323,92593,".","+",-0.426518727486727,0.0875190724049001,0.23063849669056,-0.298583842518195,0.230317106812835,0.435980551487958,-0.188507365929618,0.444814718725385,0.697909604396338,-0.127802122853826,0.603704456016777,0.738960645616164,0.200762543068654,0.457528624860339,0.728010305421085
"CM002236.1",180222,181975,".","+",0.0647920956701746,0.781962439504887,0.850610543870568,0.630683238987975,0.00716690593620683,0.0511279735743126,0.518903779481194,0.0257202854798507,0.16299817290326,0.504285131292433,0.0304773697180075,0.116368138923301,0.286926966869573,0.266144699266653,0.587668037290486
"CM002236.1",182427,186051,".","-",-0.273609096259974,0.27745877153548,0.448202630941929,-0.110251682251586,0.660581918817759,0.827668785068849,0.0661179980948881,0.790805348152655,0.903118099102918,-0.0980381242338356,0.695280588482728,0.797115036244634,0.0977855431714511,0.721542061714976,0.886428273258618
"CM002236.1",185039,188208,".","+",-0.334278802795351,0.17079674733608,0.33688994813281,-0.15596104095352,0.520875836546719,0.718744480820114,-0.0917546971800252,0.704318508717123,0.87188991670771,-0.419029339429976,0.087177970307517,0.221070173760949,-0.0183353595094714,0.944848799561794,0.989000612625429
"CM002236.1",188530,190595,".","-",-0.275077483321515,0.267710914134062,0.439857541071123,-0.0900856803099183,0.715339835184733,0.853833693151227,0.231386986221121,0.343543782711443,0.617276529363877,-0.100219652713233,0.684251533791448,0.790063626645795,0.180583912662622,0.504856637193462,0.766496838495649
"CM002236.1",189406,191138,".","+",-0.370021575077383,0.133070047821886,0.294154842553643,-0.0224695709965557,0.926473258989695,0.973461432354674,0.197743935922914,0.412199631422943,0.682642108395029,-0.192162679993776,0.430486941624664,0.592801690106094,0.152407524283683,0.568606507895355,0.797711008988891
