"","logFC_WT","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.1201.1500",0,0,0,-0.991223807157614,-1.11929132761374
"CM002236.1.1501.1800",1.16589063049192,1.65349738103728,1.27159506648166,1.53483535469352,1.75480329747252
"CM002236.1.1801.2100",1.49874827591045,1.37558058301326,1.10780154066473,1.47718881073634,1.6445335374537
"CM002236.1.2101.2400",0,0,0,0,0
"CM002236.1.2401.2700",0.987293256433434,0,0,0,0
"CM002236.1.3301.3600",0,0.950352351729788,0,1.05302974376859,0
"CM002236.1.3601.3900",0,0,0,0,0
"CM002236.1.3901.4200",1.37810154423172,1.01971789761873,1.0248963332626,1.207264637639,0
"CM002236.1.4201.4500",1.01700048324568,0,0,0,0.996755263592334
"CM002236.1.4501.4800",0,0,0,0,0
"CM002236.1.4801.5100",0,0,0,0,0
"CM002236.1.5101.5400",0,0,0,0,0
"CM002236.1.5401.5700",0,0,0,0,0
"CM002236.1.5701.6000",0,0,0,0,0
"CM002236.1.6001.6300",0,0,0,0,0
"CM002236.1.9301.9600",0,0,0,0,0
"CM002236.1.9601.9900",1.03869220553098,0.952337237273472,0.848639957980625,1.42299426296137,0
"CM002236.1.9901.10200",1.02453112884836,0.923714378554598,1.17958111347482,1.23639699912088,0
"CM002236.1.10201.10500",1.17226252240529,1.48830304651049,1.43157347045829,0.871821006588763,1.02026603285852
"CM002236.1.10501.10800",1.02169104797631,1.18493742897369,0,1.03903974053465,1.16593053132002
"CM002236.1.10801.11100",0,0,0,0,0
"CM002236.1.11101.11400",0,0,0,0,0
"CM002236.1.11401.11700",0,0,0,0,0
"CM002236.1.11701.12000",0,0,0,1.04591317306576,0
"CM002236.1.12001.12300",0,0,0,0,0
"CM002236.1.12301.12600",0,0,0,0,0
"CM002236.1.12601.12900",0,0,0,0,0
"CM002236.1.12901.13200",0,0,0,0,0
"CM002236.1.16201.16500",0,0,0,0,0
"CM002236.1.17701.18000",0,0,0,0,0.991562531778857
"CM002236.1.18001.18300",0,0,0,0,1.13486082627643
"CM002236.1.18301.18600",1.3560006388683,0,0,0,0
"CM002236.1.18601.18900",1.50726421969386,1.35573998929659,1.3710152729413,0,1.35137236769403
"CM002236.1.18901.19200",1.27096957506539,0.875819361971535,0,0,0
"CM002236.1.19201.19500",0,0,0,0,0
"CM002236.1.34801.35100",0,0,0,0,0
"CM002236.1.35101.35400",0,0,0,0,0
"CM002236.1.35401.35700",0,0,0,0,0
"CM002236.1.35701.36000",0,0,0,0,0
"CM002236.1.36001.36300",0,0,0,0,1.22195193140468
"CM002236.1.36301.36600",0,0,0,0,0
"CM002236.1.36601.36900",0,0,0,0,0
"CM002236.1.36901.37200",0,0,0,0,0
"CM002236.1.37201.37500",0,0,0,0,0
"CM002236.1.37501.37800",0,0,0,0,0
"CM002236.1.37801.38100",0,0,0,0,0
"CM002236.1.38101.38400",0,0,0,0,0
"CM002236.1.38401.38700",0,0,0,0,0
"CM002236.1.38701.39000",0,0,0,0,0
"CM002236.1.41101.41400",0,0,0,0,0
"CM002236.1.41401.41700",0,0,0,0,0
"CM002236.1.41701.42000",0,0,0,1.16785793538417,0
"CM002236.1.42001.42300",0,0,0,1.0077394740147,0
"CM002236.1.42301.42600",0,1.14396015242811,0,1.03470889509338,0
