"","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.42601.42900",1.12863606518233,0.945171907441834,0.943697917618721,1.26399089611002
"CM002236.1.181201.181500",0.489544382823415,0.388423752948797,0.824574958871023,-0.337318635797043
"CM002236.1.224401.224700",0.357611646131134,1.21017187172439,0.285371760565669,0.605383519278946
"CM002236.1.9688801.9689100",0.227712896191697,0.406878952713985,0.880799482946863,0.210706741816113
"CM002237.1.10801.11100",0.106410962784614,0.484763795538428,1.12045210012067,0.943221085199077
"CM002237.1.11101.11400",0.9983253543473,1.0752909027595,1.75499973099697,1.54404054359475
"CM002237.1.18901.19200",0.144990596165157,-0.0160064079800567,0.557444561154738,0.522337481162359
"CM002237.1.35401.35700",-0.482248494434253,-0.0699226963464645,0.708276953082551,0.682102649273189
"CM002237.1.41101.41400",-0.249500573569232,0.0711939038199055,0.645957474600379,0.498780355596482
"CM002237.1.76201.76500",0.56199180296019,0.904551452103759,0.79859512635326,1.21192489909474
"CM002237.1.562801.563100",0.408497633909883,0.68236357121658,0.272924021537052,0.854692616060666
"CM002237.1.4468201.4468500",-0.392600668156601,-0.00596520256597987,-0.0729112461785741,-0.489260470339843
"CM002237.1.4468501.4468800",-0.162055705738598,-0.304304720866992,-0.0344137200674277,0.100530645627883
"CM002238.1.4684201.4684500",-0.198393734092847,0.0785014953626793,0.0135150878081842,0.963998814042319
"CM002238.1.4872901.4873200",0.610320469905832,0.85540081787299,0.748286444284955,0.636983417795518
"CM002238.1.4873801.4874100",0.92468628199912,0.818737100429034,1.24241998347426,1.08516808157829
"CM002238.1.4962601.4962900",0.0266692995267782,-0.076025597084063,0.155984399550151,0.503525503151363
"CM002238.1.4965601.4965900",1.07731857526622,1.43930021932017,1.14342810328642,0.790901319810198
"CM002238.1.5254201.5254500",0.761952682960977,0.791903922883101,1.50830223851894,0.594239640652343
"CM002238.1.5269801.5270100",0.256485118435376,-0.651744065381257,-0.0522656562011146,-0.465178290297783
"CM002239.1.24301.24600",-0.127544664926608,0.270722512017213,0.284685928740266,1.09219426814428
"CM002239.1.71101.71400",0.434015945397222,0.345603399293519,0.712140518055034,0.887925842966991
"CM002239.1.103501.103800",0.351671997452972,0.364815774478527,0.667001459131897,0.888156093323912
"CM002239.1.307501.307800",-0.271744112010477,0.210227616604622,0.220133757178808,0.818311085034067
"CM002239.1.360301.360600",0.795554891347356,1.14924375884788,1.72207893263419,1.11242609232079
"CM002239.1.361501.361800",0.672128206817924,0.915674882235777,1.58018903717946,1.18508829334636
"CM002239.1.374101.374400",-0.106287321986035,0.345645155514381,0.842266461094149,0.968837639073888
"CM002239.1.391501.391800",0.854709718777739,1.19555377512739,1.16474229827198,0.846576369206808
"CM002239.1.548701.549000",0.918959937051182,1.15990751886423,1.36134348183677,0.50048167687794
"CM002239.1.558001.558300",0.360967412188454,0.747849623358828,1.46406877720747,0.71371937420649
"CM002239.1.638701.639000",0.836958834790344,0.168046318487139,0.357443361661386,0.24315508643929
"CM002239.1.838501.838800",1.09197015122105,0.480773808066535,0.428033928915241,-0.178053452340349
"CM002239.1.5080501.5080800",0.506171648940899,0.334244769261575,-0.467397868155241,0.243892826441433
"CM002239.1.5083501.5083800",0.553597443246523,1.30307118879937,0.113499465460875,0.786122025197944
"CM002239.1.5880901.5881200",0.729179756363656,0.674431515353035,0.55050007687825,0.756473901271156
"CM002239.1.5949601.5949900",0.231426743440304,0.522429192109025,1.17570122880865,0.787010877532298
"CM002240.1.561301.561600",0.120009882443037,0.111534110318078,0.231111113180084,0.412066076372505
"CM002240.1.642901.643200",0.358581705701138,0.49846200107665,0.232426232082092,1.22060452300126
