# HOMER Peaks
# Peak finding parameters:
# tag directory = /scratch/evt82290/Run129/homer/tag/129-35_ChIP_cac-2_K27me3_AM_Rep_2
#
# total peaks = 804
# peak size = 150
# peaks found using tags on both strands
# minimum distance between peaks = 530
# fragment length = 150
# genome size = 41233038
# Total tags = 263527.5
# Total tags in peaks = 60232.0
# Approximate IP efficiency = 22.86%
# tags per bp = 0.006274
# expected tags per peak = 0.941
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Individual peaks have been stitched together into variable length regions
# Poisson p-value threshold = 1.000000e-03
# Poisson tag threshold = 6.0
# number of putative peaks = 17859
#
# input tag directory = /scratch/evt82290/Run129/homer/tag/129-45_ChIP_cac-2_input
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 5
#
# size of region used for local filtering = 10000
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 0
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 0
#
# cmd = findPeaks /scratch/evt82290/Run129/homer/tag/129-35_ChIP_cac-2_K27me3_AM_Rep_2 -style histone -region -size 150 -minDist 530 -o /scratch/evt82290/Run129/Peaks/129-35_ChIP_cac-2_K27me3_AM_Rep_2_peaks.txt -i /scratch/evt82290/Run129/homer/tag/129-45_ChIP_cac-2_input
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	region size	findPeaks Score	Total Tags	Control Tags (normalized to IP Experiment)	Fold Change vs Control	p-value vs Control	Clonal Fold Change
CM002237.1-148	CM002237.1	298	18000	+	59310.7	17702.000	18.000000	1563.0	129.1	12.10	0.00e+00	1.02
CM002239.1-397	CM002239.1	146	10681	+	45763.7	10535.000	12.500000	1206.0	55.0	21.92	0.00e+00	0.92
CM002240.1-1863	CM002240.1	6419268	6436142	+	43695.6	16874.000	7.500000	1151.5	84.3	13.67	0.00e+00	0.94
CM002237.1-251	CM002237.1	4469274	4478547	+	42215.7	9273.000	15.500000	1112.5	72.1	15.42	0.00e+00	0.95
CM002238.1-4	CM002238.1	196	12319	+	42101.9	12123.000	40.000000	1109.5	96.2	11.53	0.00e+00	0.88
CM002242.1-513	CM002242.1	4245705	4255176	+	38686.7	9471.000	9.000000	1019.5	76.1	13.40	0.00e+00	0.96
CM002238.1-3172	CM002238.1	4810340	4829264	+	37301.6	18924.000	8.000000	983.0	82.9	11.85	0.00e+00	0.91
CM002238.1-3803	CM002238.1	383275	400847	+	36903.2	17572.000	7.000000	972.5	82.6	11.77	0.00e+00	0.98
CM002238.1-1879	CM002238.1	5244577	5257811	+	31438.8	13234.000	10.000000	828.5	62.1	13.34	0.00e+00	0.99
CM002236.1-874	CM002236.1	9790507	9798764	+	30698.9	8257.000	7.500000	809.0	67.4	12.00	0.00e+00	1.02
CM002239.1-779	CM002239.1	322018	336781	+	28308.2	14763.000	10.000000	746.0	66.9	11.15	0.00e+00	0.97
CM002240.1-2051	CM002240.1	6211776	6225444	+	27606.2	13668.000	7.000000	727.5	65.0	11.19	0.00e+00	0.96
CM002239.1-1375	CM002239.1	198124	210798	+	26354.0	12674.000	8.000000	694.5	61.5	11.30	0.00e+00	0.97
CM002241.1-1340	CM002241.1	3713459	3726069	+	26126.3	12610.000	8.500000	688.5	59.8	11.52	0.00e+00	0.95
CM002240.1-1908	CM002240.1	651296	662730	+	25272.5	11434.000	7.000000	666.0	57.9	11.50	0.00e+00	0.91
KI440766.1-2	KI440766.1	165	7407	+	24285.9	7242.000	32.000000	640.0	54.3	11.78	0.00e+00	0.96
CM002238.1-2272	CM002238.1	292611	302180	+	24020.3	9569.000	9.000000	633.0	49.3	12.84	0.00e+00	0.93
CM002239.1-1543	CM002239.1	5995304	6000259	+	23868.5	4955.000	8.000000	629.0	42.2	14.91	0.00e+00	0.92
CM002238.1-4896	CM002238.1	4672667	4684873	+	22919.8	12206.000	6.000000	604.0	55.8	10.82	0.00e+00	0.99
CM002241.1-2074	CM002241.1	4213150	4218276	+	20965.6	5126.000	7.000000	552.5	46.6	11.86	0.00e+00	0.95
CM002238.1-1806	CM002238.1	4788125	4798064	+	20567.1	9939.000	10.000000	542.0	41.6	13.02	0.00e+00	0.96
CM002239.1-1805	CM002239.1	175343	185694	+	19922.0	10351.000	7.000000	525.0	50.3	10.44	0.00e+00	0.92
CM002242.1-501	CM002242.1	4232808	4241202	+	19827.2	8394.000	9.000000	522.5	56.2	9.29	2.73e-305	0.98
CM002240.1-1231	CM002240.1	6080902	6088721	+	19352.8	7819.000	9.000000	510.0	40.2	12.68	0.00e+00	0.91
CM002240.1-1759	CM002240.1	6059946	6067680	+	19276.9	7734.000	7.500000	508.0	37.7	13.49	0.00e+00	0.95
CM002241.1-1227	CM002241.1	3794360	3802174	+	18878.5	7814.000	9.000000	497.5	34.5	14.43	0.00e+00	0.93
CM002236.1-314	CM002236.1	9768348	9775218	+	18650.8	6870.000	11.500000	491.5	37.8	12.99	0.00e+00	0.97
