"seqnames","start","end","name","strand","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7"
"CM002236.1",2578,3378,".","-",-0.243649106539945,0.546782965925918,0.978568095541026,0.00600269461877617,0.988130833941888,0.991579275191734,0.325665190540042,0.418617252473475,0.978904837816024,-0.0336665478643548,0.93647793655474,0.993719606952751
"CM002236.1",2677,3477,".","+",-0.259327972116299,0.516664478113206,0.978568095541026,0.0317059568488284,0.936608637079525,0.982695662486115,0.276600771190909,0.487221068201693,0.978904837816024,-0.0125632544929387,0.975940547566793,0.993719606952751
"CM002236.1",15429,16229,".","+",-0.697299620931944,0.0914733005174236,0.978568095541026,-0.163228337323804,0.690505873532439,0.982695662486115,-0.0179200949269731,0.965124551169051,0.997526361372966,0.733951271322205,0.0881097960492019,0.934315555115161
"CM002236.1",16940,17740,".","+",0.0689225710347992,0.853826645250684,0.981023422882207,0.187341154642728,0.615973927977584,0.982695662486115,0.254118037291144,0.496214636572549,0.978904837816024,0.28009974639651,0.475149789804978,0.934315555115161
"CM002236.1",34480,35280,".","+",-0.162056743861631,0.677144871635781,0.978568095541026,0.350517358418369,0.365434223614708,0.982695662486115,0.360221311726989,0.352637453699326,0.951497000661194,0.801272957352424,0.0498901347057571,0.934315555115161
"CM002236.1",42332,43132,".","-",0.272606260754862,0.504156220743623,0.978568095541026,0.315699752276505,0.438470255658658,0.982695662486115,-0.114272059276571,0.779049924176075,0.997526361372966,0.198068259371577,0.645619383868089,0.955376104821733
"CM002236.1",44251,45051,".","-",-0.497988376114786,0.220961892413375,0.978568095541026,-0.0867937002177507,0.830565015553463,0.982695662486115,-0.172120213788441,0.67169293994926,0.997526361372966,0.27796055487121,0.515051232344842,0.934315555115161
"CM002236.1",47854,48654,".","-",0.188309525487198,0.606834439116824,0.978568095541026,-0.0649041187786449,0.858976364505554,0.982695662486115,0.376407127304333,0.302238109034595,0.903319200881052,-0.102619055406791,0.789266706089376,0.967783497306588
"CM002236.1",58645,59445,".","+",-0.287488520765842,0.463889084724111,0.978568095541026,0.167482004344877,0.668987040494647,0.982695662486115,-0.411921464603637,0.296109939345006,0.890985512558292,0.240302382319939,0.560864057143672,0.939386883400216
"CM002236.1",90823,91623,".","+",-0.287973229860449,0.484676217027821,0.978568095541026,0.355717922862166,0.385522873485141,0.982695662486115,0.125936422155849,0.75897866472444,0.997526361372966,0.47217986842573,0.277041334837793,0.934315555115161
"CM002236.1",180722,181522,".","+",-0.278712976462031,0.463583819539461,0.978568095541026,0.0351571921938648,0.925830291770142,0.982695662486115,-0.244924902711439,0.519009923229482,0.978904837816024,0.241570947696967,0.544251429233313,0.934905273203075
"CM002236.1",184751,185551,".","-",0.455943536012394,0.266908748504339,0.978568095541026,0.355818665539453,0.387057392749294,0.982695662486115,0.316527681812278,0.441582784233798,0.978904837816024,0.53289058351365,0.221981336871494,0.934315555115161
"CM002236.1",185539,186339,".","+",0.299568579950161,0.442991415418676,0.978568095541026,0.247617391979895,0.526808380254261,0.982695662486115,0.281113915766174,0.471547887883761,0.978904837816024,0.353678496646587,0.390705278719027,0.934315555115161
"CM002236.1",189295,190095,".","-",0.111945859111155,0.782888661327732,0.978568095541026,0.0994721779431076,0.807072059586077,0.982695662486115,0.221654795036306,0.586120691391305,0.978904837816024,0.0576529179548915,0.893876569984098,0.990177970082002
"CM002236.1",189906,190706,".","+",0.298335714219123,0.461104937396076,0.978568095541026,0.134920762342607,0.7399119108405,0.982695662486115,0.371309816873416,0.358761164183729,0.951497000661194,0.0438099632699172,0.919233655189309,0.993246026782651
"CM002236.1",193764,194564,".","-",0.750838964297907,0.0438052009402829,0.887947559227517,0.339558527354695,0.362615129023446,0.982695662486115,0.985521664311631,0.0081826144785589,0.130727007502691,0.442616229261584,0.260670379276682,0.934315555115161
"CM002236.1",195035,195835,".","-",0.749188839044348,0.0574548306055774,0.905193120891797,0.636572211231871,0.106605926791004,0.982695662486115,0.667603789912059,0.0903581074166087,0.570395330437721,0.280282441735415,0.503564851107907,0.934315555115161
"CM002236.1",195990,196790,".","-",0.88689657023512,0.0241360463675902,0.650658149100832,0.359482892196812,0.360473135322048,0.982695662486115,1.31740243767668,0.000830016671387733,0.0278470593250584,0.266823491523685,0.521301487844274,0.934315555115161
"CM002236.1",197694,198494,".","+",0.546781755150624,0.184123221540089,0.978568095541026,0.405458388312325,0.325768288815751,0.982695662486115,0.793918338702095,0.0531000339534755,0.404229707426156,-0.00590621643517804,0.989276747309147,0.993719606952751
"CM002236.1",209043,209843,".","-",0.589101772299352,0.14582621830283,0.978568095541026,0.543178429251495,0.180847006019888,0.982695662486115,1.21430484163057,0.00272666565335203,0.0638139805742869,0.284334353460349,0.508756478666272,0.934315555115161
"CM002236.1",209986,210786,".","+",0.755241575882785,0.0580079049155697,0.905193120891797,0.654508026391821,0.101734582614684,0.982695662486115,1.56274135300168,9.71891577202424e-05,0.00407587030189267,0.617332425682067,0.143767341515378,0.934315555115161
"CM002236.1",214119,214919,".","+",0.40713502500378,0.324925937430357,0.978568095541026,0.768032237584193,0.0639006490738624,0.982695662486115,1.01401684893542,0.0142650327516438,0.173825847227815,0.471290343380651,0.283498822879008,0.934315555115161
"CM002236.1",216221,217021,".","-",0.0627441427634662,0.884999011684017,0.989200327600272,0.301375577143899,0.489174455023784,0.982695662486115,0.0379967661735509,0.930633366505794,0.997526361372966,0.40180783698656,0.384601435585517,0.934315555115161
"CM002236.1",220679,221479,".","-",0.0534162039490185,0.898164398667291,0.992714446931361,-0.096038170791331,0.818188175821249,0.982695662486115,-0.0316217717223978,0.939433349385999,0.997526361372966,0.345619129218288,0.435837117163172,0.934315555115161
"CM002236.1",224161,224961,".","+",-0.50437245224934,0.196740174415761,0.978568095541026,0.318978186460092,0.411068588129823,0.982695662486115,-0.116438306233583,0.764762076125975,0.997526361372966,0.240900638651561,0.555901453748758,0.939386883400216
"CM002236.1",245948,246748,".","-",-0.00807574802760106,0.984312787035306,0.995020235618186,0.375314214435707,0.352998523088464,0.982695662486115,0.392540550842855,0.329144783351575,0.923446212076509,0.398842159709732,0.348974309267114,0.934315555115161
"CM002236.1",247178,247978,".","-",0.499822788774637,0.224602379678688,0.978568095541026,0.406806923234204,0.321185848879605,0.982695662486115,0.545607047450689,0.183944324755072,0.763407460625323,0.689790225051404,0.112857586992335,0.934315555115161
"CM002236.1",251644,252444,".","-",0.16202035473041,0.67129686481913,0.978568095541026,0.351970663707793,0.35493597933725,0.982695662486115,0.227084758489232,0.551700414156208,0.978904837816024,0.491051978538888,0.223994483901119,0.934315555115161
"CM002236.1",255394,256194,".","-",-0.0496742770064266,0.903947134240032,0.992714446931361,0.599227671547532,0.144158126188263,0.982695662486115,-0.00370130629927387,0.992636898855826,0.997526361372966,0.644692375473536,0.137012530178459,0.934315555115161
"CM002236.1",255665,256465,".","+",-0.194918463883283,0.644723499050028,0.978568095541026,0.323694279338406,0.442209393884065,0.982695662486115,-0.16842992143226,0.691405846288903,0.997526361372966,0.551379763372857,0.216098652828144,0.934315555115161
"CM002236.1",256992,257792,".","+",-0.267560772650537,0.546437085546715,0.978568095541026,-0.215631771823901,0.628157014686273,0.982695662486115,-0.200842080610559,0.65035384184838,0.997526361372966,0.127743369947404,0.785178455775181,0.967783497306588
