"seqnames","start","end","name","strand","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7","logFC_ash1","PValue_ash1","FDR_ash1"
"CM002236.1",1201,1500,".","*",-0.450522566096262,0.339245437432705,0.906487852779606,-0.050173220850152,0.914632209015091,0.986441062173626,-0.57792622209846,0.226411117952412,0.502149726507036,0.00735927812830325,0.988199658993064,0.997347593187128,0.0338541335568993,0.944147540448866,0.953246823695502
"CM002236.1",1501,1800,".","*",1.15377360324546,0.00831496448781207,0.239044813799824,0.778869065320892,0.0669228172878539,0.474301804122887,0.0224168631748508,0.95874530438862,0.986675122135693,0.9281472466084,0.0507937287290245,0.997347593187128,-0.294707262925636,0.51286624751193,0.559302366739814
"CM002236.1",1801,2100,".","*",0.840508645326073,0.0993887216695572,0.655319132309032,1.12594586004702,0.025662293634743,0.30606059026142,0.192997433121434,0.708963026258763,0.866787458737473,0.355516516783324,0.533261658762609,0.997347593187128,0.260721408046657,0.63019073600892,0.671596172014762
"CM002236.1",2101,2400,".","*",-0.135861296460808,0.813148382151843,0.983837926316565,0.353987113249273,0.530430434635118,0.917504496532488,-0.702142555354023,0.24969185003512,0.528720862607003,-0.172576010285878,0.793415194860786,0.997347593187128,0.803126161410246,0.158084482326441,0.195040337474763
"CM002236.1",2401,2700,".","*",1.08553839587455,0.0882866235755473,0.623909408997273,1.85827205070379,0.00287748814938065,0.0933457155659084,0.20679748775989,0.761464980893976,0.893694986189639,-1.9300764339227,0.048405620085572,0.997347593187128,1.47736591488371,0.0223417622167505,0.0330440774914006
"CM002236.1",3301,3600,".","*",1.51858965614038,0.0049712638700072,0.188985703058242,0.584640074359788,0.288187477821281,0.805190907008749,0.764301273472625,0.161120087595883,0.416821060661723,-0.127060983095354,0.847366623040151,0.997347593187128,1.13079519333023,0.0445499036106883,0.0617606356038772
"CM002236.1",3601,3900,".","*",0.698158627775965,0.165045066464854,0.74474213455191,1.10681637893261,0.0278195070654246,0.31776929901492,1.12870256400698,0.0261536489863935,0.136548987089904,0.672881295506379,0.230261171681035,0.997347593187128,0.5837247708396,0.270816387832015,0.315563348465178
"CM002236.1",3901,4200,".","*",0.224473886991865,0.616265437958804,0.966581680533729,0.404678713249561,0.360669913693048,0.847715501991665,0.666205644866461,0.138125450152456,0.382593380319775,0.282418181838172,0.56020680907879,0.997347593187128,-0.229978466469368,0.62126237019812,0.663534392753304
"CM002236.1",4201,4500,".","*",0.100795456170462,0.820889476407026,0.983837926316565,0.0538984946025248,0.90297079949756,0.982525919131289,0.614379366717678,0.16692143979919,0.427045071536728,1.00745568307525,0.0387127268482191,0.997347593187128,0.396314851409874,0.389804604883872,0.437653255044975
"CM002236.1",4501,4800,".","*",-0.340604563010683,0.439257271642952,0.937063740765461,-0.108522663400915,0.804380917394917,0.970281989103536,-0.108134577383096,0.804022826060103,0.919783260387885,-0.547043271585449,0.253091227010306,0.997347593187128,0.884605910466171,0.0497118460040424,0.068371351796402
