"seqnames","start","end","name","strand","logFC_WT","PValue_WT","FDR_WT","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7"
"CM002236.1",2578,3378,".","-",0.147316639702598,0.606924174367488,0.61148066216304,-0.120233158308559,0.680831466799835,0.686974307101789,-0.0937735562166712,0.744099970938825,0.749686307056984,-0.803271156032806,0.00653043811474683,0.00710198375201803,0.31655500826652,0.312776296762356,0.317508162068897
"CM002236.1",2677,3477,".","+",0.498816200942379,0.0754082965830782,0.0768981261508289,0.25030763261618,0.380851744958076,0.387786829843503,0.324792851595399,0.247402356813262,0.253059422898931,-0.45521089447127,0.113343301620986,0.118463170385797,0.665981681489169,0.0319824528368176,0.0339560535656718
"CM002236.1",15429,16229,".","+",-1.8966564905751,4.69258712199018e-09,6.9048540891612e-09,-1.13283481087609,0.000279592931345488,0.000298262093692882,-1.21743236655157,6.06024293746315e-05,6.77737168506295e-05,0.607981713633597,0.0325013509593613,0.0347267619326933,-0.84426657681274,0.00863732698991777,0.00930280322670116
"CM002236.1",16940,17740,".","+",-2.53118805318925,5.59064591739467e-16,9.14956929407762e-15,-2.18537769963729,2.26926645338839e-12,1.42306335534917e-11,-1.1508947548276,3.87815106276273e-05,4.38826199513287e-05,0.290439550014987,0.270362840036957,0.279097639484304,-0.498900524153165,0.0882086186587141,0.0914806539721749
"CM002236.1",34480,35280,".","+",-2.08682439169508,2.28018229285783e-11,7.18310947656152e-11,-2.06121335539608,1.16668651134392e-10,2.86757014326656e-10,-1.97691083673418,9.36952197678154e-11,7.31040610048885e-10,0.306911255212354,0.261573740175733,0.270440646622368,-0.440882208814858,0.147346665762211,0.151873445048301
"CM002236.1",42332,43132,".","-",-1.86591349765307,4.58025680758435e-09,6.75462047887714e-09,-1.82015483116976,2.46107367068841e-08,3.17573160198446e-08,-1.29149753658406,1.82142892161966e-05,2.09277192877875e-05,0.397477805102289,0.152497618972191,0.158891152686864,-1.7376260565339,2.23770281723414e-07,8.57999194493775e-07
"CM002236.1",44251,45051,".","-",-2.42922100033161,9.54406856908836e-14,7.80984147543694e-13,-2.3053786583988,1.84464630213031e-12,1.22550264230637e-11,-1.9551808069751,1.98789315735308e-10,1.36109827406522e-09,-1.58604323853739,1.33757256197731e-07,1.81315391734702e-07,-1.74050686129747,1.20742287092739e-07,5.22697255736956e-07
"CM002236.1",47854,48654,".","-",-2.45223945866118,1.27281162345473e-15,1.85664478116984e-14,-1.9940992305201,2.01553744937274e-11,7.04388348192242e-11,-1.52466318249581,4.59972621918801e-08,1.06062415569593e-07,-0.215291908676123,0.408744837995391,0.416187839597735,-1.07776272890782,0.000233075164633297,0.000295081953714985
"CM002236.1",58645,59445,".","+",-1.71363267883844,1.73831266744799e-08,2.28707411736784e-08,-1.92169944409366,6.44466049536436e-10,1.19128572793099e-09,-1.42080131882058,1.25546939927096e-06,1.7157229468652e-06,-1.37885206204141,2.37641015846199e-06,2.93659524185634e-06,-0.995575553361339,0.00138973638161005,0.00157785636558434
"CM002236.1",90823,91623,".","+",-1.88893064735609,4.40402211203448e-09,6.5378292857857e-09,-1.93016563233222,4.124590783363e-09,6.00347161743291e-09,-1.51719901061562,8.34566945465245e-07,1.19401795395987e-06,-1.27381691844381,2.7167646221954e-05,3.17586944510995e-05,-1.17421352522112,0.000386303459692538,0.000470434884670949
"CM002236.1",180722,181522,".","+",-1.93889963789015,9.80316387635985e-11,2.3919719858318e-10,-1.71815904542771,5.71945207202349e-09,8.09652392474212e-09,-1.54928750148425,4.00969510752515e-08,9.58314951049079e-08,-1.77122846514159,6.3788523035531e-10,1.72589108696941e-09,-1.23757631733622,3.81773880770803e-05,5.79570755649794e-05
"CM002236.1",184751,185551,".","-",-1.87092748138702,4.19342885601954e-09,6.2807829517614e-09,-1.94959241736424,2.34467760143319e-09,3.56752533007181e-09,-1.69550115913946,3.99350031025976e-08,9.58314951049079e-08,-1.7422119575957,2.04799333140489e-08,3.19582215202948e-08,-1.06418442734102,0.00113435495035191,0.00129227872951805
"CM002236.1",185539,186339,".","+",-2.05449161626449,3.9095321945986e-11,1.09761343204003e-10,-2.20569293587672,4.79159629357066e-12,2.54382322439573e-11,-1.86488809497004,6.07947542783797e-10,3.26346240966342e-09,-1.90834274837589,2.60808489312258e-10,8.33345220612025e-10,-1.59744657904095,5.47271434898311e-07,1.74037503704629e-06
"CM002236.1",189295,190095,".","-",-1.6291112233025,1.46534112542357e-07,1.7040622099813e-07,-2.10533645427601,9.73022449252986e-11,2.43618680391326e-10,-1.56428730756828,2.35794944465534e-07,4.03853801316871e-07,-1.71980145820116,2.07153016269853e-08,3.22505043891118e-08,-1.6731597805263,4.68359347197792e-07,1.5635279699986e-06
"CM002236.1",189906,190706,".","+",-1.97162624183566,5.28085711579721e-10,9.7080962320546e-10,-2.05507183908668,2.12038366694891e-10,4.71118357788981e-10,-1.6187396055836,8.49626274385889e-08,1.80411148769915e-07,-1.80372960459383,3.68612804760534e-09,7.38325946251696e-09,-1.5416873847006,2.67023125519188e-06,6.28675499029386e-06
"CM002236.1",193764,194564,".","-",-2.22293218001123,1.52158048628522e-13,1.14716910819931e-12,-2.44597606928353,2.98104926725325e-15,8.69688721011709e-14,-2.24202659700297,2.73519127977533e-14,1.0196185270718e-12,-2.55568014465606,2.82397856628633e-17,1.45760739844472e-15,-2.15648287935096,8.27155293020727e-12,1.50005730166732e-10
"CM002236.1",195035,195835,".","-",-1.90180631919216,8.7004339860639e-10,1.50463690841466e-09,-1.97254199365493,2.72297067106573e-10,5.80035974693684e-10,-1.77344479020333,2.82049079159037e-09,1.10675398898078e-08,-2.35628344079926,3.96714235936329e-14,5.32390504626553e-13,-1.2054019333345,0.000134376220936688,0.000178547414353501
"CM002236.1",195990,196790,".","-",-2.19573545617018,3.87407798906948e-12,1.72152737130174e-11,-1.90262681720839,1.24548525329812e-09,2.01864880425855e-09,-1.88463535606045,4.39131125145282e-10,2.5135298947851e-09,-2.00049133494517,6.1159603008903e-11,2.50232278164475e-10,-1.52574990879647,1.97433226932476e-06,4.94319758476461e-06
"CM002236.1",197694,198494,".","+",-1.96524750862319,1.2982737294349e-09,2.15096709247116e-09,-2.04839617206765,4.38100999558532e-10,8.42308798578153e-10,-1.49331231771683,1.08527723871005e-06,1.51083200658598e-06,-2.12511139902552,2.25733741055661e-11,1.06667141019964e-10,-1.56286726428401,2.89559408214006e-06,6.69980561764132e-06
"CM002236.1",209043,209843,".","-",-1.97741856511223,5.68567660832603e-10,1.02832587713929e-09,-2.77316253463611,7.22001452352551e-16,2.84978220310918e-14,-1.98938679867735,2.03848453700878e-10,1.37313022906699e-09,-2.33598126169533,3.00970905441951e-13,3.10694580848537e-12,-1.59443175495368,1.47687334050813e-06,3.85596113416714e-06
"CM002236.1",209986,210786,".","+",-2.39585576213515,1.64087481292904e-13,1.20991977964328e-12,-3.07860840035079,3.84058560513363e-19,1.28851647052233e-16,-2.05450789545305,3.92172420276099e-11,3.46246965796398e-10,-2.54312321964577,3.8960378812611e-15,7.92194369189758e-14,-2.30995096348777,1.11732368151782e-11,1.87431047574614e-10
"CM002236.1",214119,214919,".","+",-2.04697724469331,3.85048731519223e-10,7.33999144458519e-10,-1.63806188810314,2.37981248057699e-07,2.71634300892027e-07,-0.99880164537354,0.00085311857158317,0.000921807667523844,-0.975941983518659,0.00109002801149944,0.00121294990997699,-0.8441982043085,0.00977972738068158,0.0104827429272162
"CM002236.1",216221,217021,".","-",-2.01541726795151,2.36466361916124e-09,3.69857642997014e-09,-1.82548056442219,4.96708287744733e-08,6.13796060914762e-08,-1.3644544844653,1.45658967751782e-05,1.68803397860874e-05,-1.73358464842884,8.04474742113551e-08,1.12693643415072e-07,-1.30907934073923,0.00013948922385045,0.000184246592920574
"CM002236.1",220679,221479,".","-",-2.31938560457595,1.95442733295911e-12,9.86030631891403e-12,-1.7078423220975,1.41440804781268e-07,1.66211523657147e-07,-1.8022221798103,7.92306236099559e-09,2.58076448748934e-08,-1.75914148165984,1.6653882890043e-08,2.64804630787177e-08,-1.23074211030667,0.000238895237195147,0.000301880798790854
"CM002236.1",224161,224961,".","+",-1.84641470369469,9.96856254172024e-10,1.69339378873273e-09,-1.95029083203264,3.20781949846487e-10,6.68461765052773e-10,-1.46581802949982,4.26946492696085e-07,6.72490837087026e-07,-1.6242816544702,2.96220973766088e-08,4.50712638088537e-08,-1.45587936964952,3.30867680037544e-06,7.45007427198631e-06
"CM002236.1",245948,246748,".","-",-1.90660036413515,1.18484184496645e-09,1.98261565579174e-09,-1.877397931119,2.16424236277981e-09,3.33074914088361e-09,-1.38927372102527,2.40675029360132e-06,3.11161743161172e-06,-2.19940776366153,1.56974460240963e-12,1.16825546188864e-11,-1.6160045830184,5.69446263970096e-07,1.77720206104156e-06
"CM002236.1",247178,247978,".","-",-1.4497175177886,3.29323753642799e-06,3.52434192494926e-06,-1.60945442093837,5.26320054636316e-07,5.87621891282808e-07,-1.47848723612303,1.10628492871092e-06,1.5242652713861e-06,-1.92705431576395,9.49053223401103e-10,2.40307438830996e-09,-1.29990271676491,8.24591748558154e-05,0.000114082693460314
"CM002236.1",251644,252444,".","-",-2.35872624370629,2.35664267055228e-14,2.29174961150809e-13,-1.89728919239712,3.69507188378648e-10,7.44562532738958e-10,-1.89868206231247,7.20932043053425e-11,5.82825784203432e-10,-1.90617219671311,7.58288926999903e-11,3.04677766477206e-10,-1.42098487103597,4.57451194356987e-06,9.6971615862301e-06
"CM002236.1",255394,256194,".","-",-1.65713463185985,9.37736360497494e-08,1.11169805281593e-07,-1.96494274526683,1.35304146203059e-09,2.17198761010174e-09,-1.34621194547551,7.34153489461262e-06,8.77909439890493e-06,-1.79676814844639,7.3619621552297e-09,1.29996752793661e-08,-1.26259749584373,0.000103678222828722,0.000141582066055435
"CM002236.1",255665,256465,".","+",-2.04495114196731,3.30208492913738e-10,6.47865201009118e-10,-1.90341619751092,7.31785104843906e-09,1.01452025898814e-08,-1.39898274934663,5.35920628726616e-06,6.50276205923254e-06,-1.73538178964552,3.65755162946833e-08,5.46596245740144e-08,-1.19852758588938,0.000311509601549568,0.000384233350440736
"CM002236.1",256992,257792,".","+",-1.94307682274723,1.1815667101428e-08,1.59203064760205e-08,-2.0814242183145,3.05245857028044e-09,4.57187433182629e-09,-1.56083226964052,1.57664136144603e-06,2.11585270706058e-06,-2.2610523298551,3.21908224913488e-11,1.46939060487721e-10,-1.46723024437409,3.25338601949553e-05,5.11246374492155e-05
"CM002236.1",263087,263887,".","-",-2.18047985345867,3.00162762651917e-10,5.99432183748323e-10,-2.14445015716312,7.6804128943001e-10,1.36337488150142e-09,-1.475121412444,4.93838702367959e-06,6.03580636227505e-06,-1.89137069771291,1.29493036639983e-08,2.10897639770458e-08,-1.68624603464001,2.00139974445982e-06,4.99233913952617e-06
"CM002236.1",265088,265888,".","-",-1.90101212754002,4.40385864793865e-09,6.5378292857857e-09,-1.668839849045,2.55607892784998e-07,2.90207945953864e-07,-1.2862292229121,2.33965877896551e-05,2.6744651459725e-05,-1.97332864219381,5.74747569510504e-10,1.58745390222759e-09,-0.155293095650733,0.627238823555506,0.630055764379857
"CM002236.1",291132,291932,".","+",-2.27861929357606,6.02766096926068e-11,1.60498432951346e-10,-2.12039935015044,1.13073625727016e-09,1.8733926632797e-09,-1.74519609554103,9.51009849924936e-08,1.9817627618001e-07,-2.24075346172556,4.2738607575056e-11,1.86218218719887e-10,-1.61644134492575,5.36433723022976e-06,1.1178479135044e-05
"CM002236.1",292666,293466,".","+",-1.68031536958152,5.60987010678751e-07,6.17085711746626e-07,-2.39399318462952,1.69877182034189e-11,6.06316963536919e-11,-1.87870079323464,1.27946469537849e-08,3.84986910582496e-08,-1.99608873175706,2.81052804777691e-09,5.8567214908643e-09,-1.31028023384048,0.000204741484808447,0.000263183019744191
