# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "2" "-p" "-t" "CDS" "-g" "gene_name" "-s" "0" "--primary" "-a" "/home/zlewis/Genomes/Neurospora/Nc12_RefSeq/GCA_000182925.2_NC12_genomic_GFFtoGTFconversion.gtf" "-o" "/scratch/evt82290/RNAseq/qa-suz12/counts/readcounts_newseq.txt" "/scratch/evt82290/RNAseq/qa-suz12/bamFiles/SRR9027658/SRR9027658_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/RNAseq/qa-suz12/bamFiles/SRR9027689/SRR9027689_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/RNAseq/qa-suz12/bamFiles/SRR9027759/SRR9027759_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/RNAseq/CAF-1_Heatmap/bamFiles/SRR8269825/SRR8269825_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/RNAseq/CAF-1_Heatmap/bamFiles/SRR8269775/SRR8269775_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/RNAseq/CAF-1_Heatmap/bamFiles/SRR8269782/SRR8269782_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/RNAseq/CAF-1_Heatmap/bamFiles/SRR8269810/SRR8269810_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-89_RNA_WT_24hrqa__Rep3_S89/149-89_RNA_WT_24hrqa__Rep3_S89_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-88_RNA_WT_24hrqa__Rep2_S88/149-88_RNA_WT_24hrqa__Rep2_S88_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-84_RNA_WT__Rep1_S84/149-84_RNA_WT__Rep1_S84_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-85_RNA_WT__Rep2_S85/149-85_RNA_WT__Rep2_S85_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-86_RNA_WT__Rep3_S86/149-86_RNA_WT__Rep3_S86_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-87_RNA_WT_24hrqa__Rep1_S87/149-87_RNA_WT_24hrqa__Rep1_S87_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-90_RNA_qa-suz12__Rep1_S90/149-90_RNA_qa-suz12__Rep1_S90_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-91_RNA_qa-suz12__Rep2_S91/149-91_RNA_qa-suz12__Rep2_S91_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-92_RNA_qa-suz12__Rep3_S92/149-92_RNA_qa-suz12__Rep3_S92_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-93_RNA_qa-suz12_24hrqa__Rep1_S93/149-93_RNA_qa-suz12_24hrqa__Rep1_S93_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-94_RNA_qa-suz12_24hrqa__Rep2_S94/149-94_RNA_qa-suz12_24hrqa__Rep2_S94_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-95_RNA_qa-suz12_24hrqa__Rep3_S95/149-95_RNA_qa-suz12_24hrqa__Rep3_S95_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	/scratch/evt82290/RNAseq/qa-suz12/bamFiles/SRR9027658/SRR9027658_Aligned.sortedByCoord.out.bam	/scratch/evt82290/RNAseq/qa-suz12/bamFiles/SRR9027689/SRR9027689_Aligned.sortedByCoord.out.bam	/scratch/evt82290/RNAseq/qa-suz12/bamFiles/SRR9027759/SRR9027759_Aligned.sortedByCoord.out.bam	/scratch/evt82290/RNAseq/CAF-1_Heatmap/bamFiles/SRR8269825/SRR8269825_Aligned.sortedByCoord.out.bam	/scratch/evt82290/RNAseq/CAF-1_Heatmap/bamFiles/SRR8269775/SRR8269775_Aligned.sortedByCoord.out.bam	/scratch/evt82290/RNAseq/CAF-1_Heatmap/bamFiles/SRR8269782/SRR8269782_Aligned.sortedByCoord.out.bam	/scratch/evt82290/RNAseq/CAF-1_Heatmap/bamFiles/SRR8269810/SRR8269810_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-89_RNA_WT_24hrqa__Rep3_S89/149-89_RNA_WT_24hrqa__Rep3_S89_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-88_RNA_WT_24hrqa__Rep2_S88/149-88_RNA_WT_24hrqa__Rep2_S88_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-84_RNA_WT__Rep1_S84/149-84_RNA_WT__Rep1_S84_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-85_RNA_WT__Rep2_S85/149-85_RNA_WT__Rep2_S85_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-86_RNA_WT__Rep3_S86/149-86_RNA_WT__Rep3_S86_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-87_RNA_WT_24hrqa__Rep1_S87/149-87_RNA_WT_24hrqa__Rep1_S87_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-90_RNA_qa-suz12__Rep1_S90/149-90_RNA_qa-suz12__Rep1_S90_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-91_RNA_qa-suz12__Rep2_S91/149-91_RNA_qa-suz12__Rep2_S91_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-92_RNA_qa-suz12__Rep3_S92/149-92_RNA_qa-suz12__Rep3_S92_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-93_RNA_qa-suz12_24hrqa__Rep1_S93/149-93_RNA_qa-suz12_24hrqa__Rep1_S93_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-94_RNA_qa-suz12_24hrqa__Rep2_S94/149-94_RNA_qa-suz12_24hrqa__Rep2_S94_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-95_RNA_qa-suz12_24hrqa__Rep3_S95/149-95_RNA_qa-suz12_24hrqa__Rep3_S95_Aligned.sortedByCoord.out.bam
NCU10129	CM002236.1;CM002236.1	1436;1528	1449;1990	-;-	477	703	822	428	1168	1297	1322	1135	450	170	793	768	211	524	57	180	14	17	10	516
NCU09901	CM002236.1;CM002236.1	3386;3895	3821;4454	+;+	996	224	395	204	992	1310	1151	976	273	94	168	1198	523	2816	88	521	2	6	0	192
NCU09903	CM002236.1;CM002236.1	9604;12245	12188;12992	+;+	3333	849	1358	870	3081	3842	3711	3003	111	58	90	70	24	154	16	116	37	24	14	174
NCU11134	CM002236.1;CM002236.1;CM002236.1	15930;16065;16491	16015;16295;16647	+;+;+	474	0	2	2	4	4	4	5	6	2	0	4	0	2	0	2	0	0	0	0
NCU09904	CM002236.1;CM002236.1	17872;18438	18362;19368	+;+	1422	2493	4209	1415	5070	6230	6086	5040	328	120	146	1111	258	822	654	2342	212	1	10	94
NCU09906	CM002236.1;CM002236.1;CM002236.1	36099;36557;38669	36503;38605;38857	+;+;+	2643	17885	23208	6681	30092	35314	35483	29782	801	177	329	3409	793	2921	1569	5744	594	10	0	122
NCU09907	CM002236.1	40950	42632	-	1683	48	16	28	4	2	6	2	0	0	0	0	0	0	0	0	0	0	0	0
NCU09908	CM002236.1	43709	44551	-	843	0	0	2	2	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0
NCU09909	CM002236.1;CM002236.1;CM002236.1	45569;45973;47713	45913;47636;47818	-;-;-	2115	2546	917	3746	1040	1296	1485	1044	6	8	16	62	14	33	10	62	8	0	0	12
NCU09910	CM002236.1;CM002236.1	49272;51019	50967;51866	-;-	2544	878	986	526	1576	1879	1854	1537	164	84	122	60	12	34	30	109	8	16	12	162
NCU09911	CM002236.1	53553	54416	+	864	2438	2090	2501	5277	6147	6263	5166	1743	920	3149	1277	370	1332	809	3804	24	20	8	1594
NCU09912	CM002236.1;CM002236.1	55262;56904	56845;57200	+;+	1881	776	769	790	1671	2023	2133	1737	265	170	315	203	79	323	60	200	12	26	18	311
NCU09913	CM002236.1	59176	60618	+	1443	317	299	266	378	515	426	366	82	122	162	191	74	296	28	102	10	2	0	51
NCU09914	CM002236.1;CM002236.1	62142;62635	62565;62867	+;+	657	114	124	127	120	168	121	105	14	6	32	36	28	104	34	144	4	2	2	22
NCU10501	CM002236.1;CM002236.1;CM002236.1	91324;91593;92461	91514;92315;92593	+;+;+	1047	55	42	37	14	19	11	10	0	0	2	6	10	14	0	11	1	0	0	0
NCU08049	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	93689;93689;95218;95218;95407;95407;95742;95742;96320;96320;97486;97486	95046;95046;95266;95266;95467;95467;95997;95997;97262;97262;97794;97794	-;-;-;-;-;-;-;-;-;-;-;-	2976	472	452	335	684	826	777	714	1342	658	1391	136	88	478	38	181	13	18	23	776
NCU08050	CM002236.1;CM002236.1	100317;101166	101042;102134	+;+	1695	281	208	198	413	497	451	349	112	20	90	57	54	181	30	94	23	4	4	104
NCU08051	CM002236.1	104121	105755	-	1635	582	513	353	1442	1969	1889	1463	213	143	267	84	44	125	50	172	38	27	6	232
NCU16303	CM002236.1	102849	103781	+	933	326	291	240	713	1045	947	687	94	44	111	43	18	54	14	44	6	2	4	94
NCU08052	CM002236.1;CM002236.1;CM002236.1	110408;110973;111335	110908;111273;111669	+;+;+	1137	8752	10307	2835	47141	57545	56818	46935	1048	129	522	5446	1912	7303	983	6208	328	20	4	674
NCU08053	CM002236.1	112544	112981	-	438	1463	1645	1230	4193	5418	5232	4107	509	294	518	155	60	264	152	439	6	6	2	623
gh3-2	CM002236.1	114128	117070	+	2943	4187	4116	2647	8294	10095	10124	8100	381	139	340	754	313	589	240	882	96	22	10	552
NCU08055	CM002236.1	118357	119016	+	660	13471	29552	10941	62754	75693	75511	62427	7789	3981	6853	1743	1179	5455	1982	6487	432	119	45	8006
NCU08056	CM002236.1;CM002236.1	123179;127928	127863;128081	+;+	4839	873	806	331	1056	1262	1194	989	75	56	85	36	10	43	10	75	7	4	2	147
NCU08057	CM002236.1;CM002236.1	128735;129025	128949;129709	+;+	900	1695	1235	932	3572	4340	4162	3497	564	260	582	1314	356	1379	148	842	8	16	10	434
NCU08058	CM002236.1;CM002236.1	130428;131787	131718;132364	-;-	1869	35	45	39	106	118	117	92	91	38	119	93	64	147	16	77	2	0	0	58
NCU08059	CM002236.1;CM002236.1;CM002236.1;CM002236.1	133836;134021;134222;134388	133961;134042;134290;134464	+;+;+;+	294	0	0	1	1	2	4	3	2	0	0	0	0	2	2	0	2	0	2	0
NCU08060	CM002236.1;CM002236.1;CM002236.1	135264;136577;136795	136505;136737;136873	-;-;-	1482	177	154	129	312	410	342	294	39	20	60	10	10	60	8	35	2	6	3	32
NCU08062	CM002236.1;CM002236.1	138003;138191	138135;139722	+;+	1665	150	168	139	386	442	431	423	32	24	26	52	20	42	25	64	4	2	0	44
NCU08063	CM002236.1;CM002236.1;CM002236.1;CM002236.1	140468;141471;141779;142951	141404;141714;142860;143510	-;-;-;-	2823	1198	1179	736	3772	4334	4294	3570	244	156	348	152	46	223	111	281	54	10	12	463
NCU08064	CM002236.1	144786	148886	-	4101	4188	2346	2389	7142	10150	10162	7391	1386	658	1330	1091	920	3994	146	709	162	134	126	1358
NCU08065	CM002236.1;CM002236.1	149980;151488	151410;151799	-;-	1743	548	465	362	1088	1255	1132	1004	253	147	386	108	76	365	54	192	25	12	14	341
NCU08066	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	152730;153532;153745;154387;154536	153481;153691;154328;154466;154609	-;-;-;-;-	1650	2910	2922	2403	7089	7932	7929	6845	2411	1384	2770	476	381	2235	375	1023	71	50	38	2080
ro-10	CM002236.1;CM002236.1	155789;156082	156011;156512	+;+	654	339	351	217	969	1241	1341	932	160	99	195	228	82	214	114	271	2	2	0	153
NCU08067	CM002236.1;CM002236.1;CM002236.1	159279;159507;159877	159428;159815;160386	+;+;+	969	1466	1646	1280	4252	5091	5093	4185	767	336	839	340	203	638	130	389	110	34	12	1036
NCU08068	CM002236.1	162590	163174	+	585	191	206	123	568	898	910	616	87	50	98	18	4	58	10	41	0	0	0	92
NCU08069	CM002236.1;CM002236.1	163963;164155	164007;165843	+;+	1734	162	170	152	573	673	678	568	59	44	84	55	27	102	50	149	12	4	8	88
NCU08070	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	171263;171442;171729;172246;172415;172560;172853	171365;171670;171825;172340;172480;172668;172864	-;-;-;-;-;-;-	711	2660	3078	1520	7595	8983	8585	7333	2889	1914	2764	1747	751	3491	696	2476	127	20	36	1257
cyt-21	CM002236.1;CM002236.1;CM002236.1	173625;173775;174055	173701;173955;174120	+;+;+	324	937	1349	795	3127	3683	3644	3223	332	218	393	75	34	148	107	230	24	10	10	597
