"seqnames","start","end","name","strand","logFC_WT","PValue_WT","FDR_WT","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7"
"CM002236.1",2878,3878,".","-",0.107654520458127,0.680468523941675,0.783004876864393,0.152032495034251,0.563405531944972,0.722794255531923,-0.0696256210793296,0.791249165599096,0.920168922263648,0.296075811784516,0.255161988014007,0.420644712407723,-0.299040130463525,0.299116490048285,0.616885252242117
"CM002236.1",2177,3177,".","+",0.299662500784559,0.295290680267176,0.436085541652001,0.162773248094836,0.573398185478884,0.728399963406068,0.0938609669962114,0.744373445603992,0.899471742808093,-0.150891695108674,0.602595396011958,0.732267823001873,0.0709922271688745,0.821975470012792,0.930824291075032
"CM002236.1",14929,15929,".","+",0.372246935850697,0.174839757194023,0.305969575089541,0.199347041967934,0.473264712459745,0.646153230182464,0.165828995189822,0.547929349097946,0.790147044192746,0.487997525480516,0.0757389404069067,0.180484283522842,0.632956604552617,0.0371372252235389,0.211988258700625
"CM002236.1",16440,17440,".","+",-0.508552474433849,0.0489659030373763,0.128035357358431,-0.348848211446679,0.177571152926811,0.336041124295638,-0.141282033589093,0.580033035584794,0.81664002867096,-0.752336438103427,0.00388746004075746,0.0225204581671467,-1.02799917621809,0.000259135366667077,0.0060047919448371
"CM002236.1",33980,34980,".","+",-0.536878198714267,0.0405479848145288,0.114009396633319,-0.679416238801528,0.010557400364559,0.0492678683679422,-0.753139031224032,0.00429978207813304,0.0433577449035644,-0.637977241757369,0.0152229484223871,0.0612564152086473,-0.676121582409863,0.0170883321681147,0.122163395925245
"CM002236.1",42632,43632,".","-",0.0272653876119192,0.917849674328152,0.945608057533368,0.803872950265817,0.00217077064414171,0.0182344734107904,0.760470483064084,0.00348725719100041,0.0418470862920049,0.873924641938848,0.000750129888308553,0.00709982091469504,0.59187871136141,0.0418738369263401,0.228774133451224
"CM002236.1",44551,45551,".","-",-0.650803111264295,0.0152926564085755,0.0614423399091042,-0.435187062445216,0.103131749364327,0.232565555613516,-0.244139285074954,0.354165864176027,0.631298304313767,-0.0756044173532751,0.773587005324215,0.847878743330843,-0.133228604871234,0.644545877576753,0.866269659463156
"CM002236.1",48154,49154,".","-",-0.632413957894467,0.0130647293975263,0.0554318899236661,-0.278157823864417,0.270754785603154,0.437373115205094,-0.458651544198417,0.0692231491654277,0.243509938349219,-0.544508610508256,0.0313080176097892,0.0999430725418459,-0.670018315010197,0.0146751678168447,0.108370470032084
"CM002236.1",58145,59145,".","+",-0.469740177755413,0.0719691717551609,0.167347001451447,-0.00318669387351335,0.99017755482091,0.996106761736006,0.209365477833105,0.412572706632802,0.684998234384164,0.023072527830037,0.928565780229502,0.960075798362808,0.0439028905337839,0.876800261664938,0.94378178832038
"CM002236.1",90323,91323,".","+",-0.305772657579559,0.254322496380142,0.396990049101797,-0.0491994286404251,0.854635374771059,0.92119789051121,-0.0993940197374326,0.708869578343011,0.878408597674041,0.0418547599891082,0.874696104349769,0.927598452908985,0.315099636490579,0.28093029224317,0.604621999549364
"CM002236.1",180222,181222,".","+",0.104808154496357,0.674475752425293,0.778776126511679,0.595223930467343,0.0165904859649649,0.0671614853521469,0.615370525421925,0.0125088319678824,0.0882688983282913,0.541570251977584,0.0283024794580709,0.0932316970383511,0.471154754394809,0.0871842698026669,0.338863473595205
"CM002236.1",185051,186051,".","-",-0.606743741513622,0.0231967161999301,0.0780805076853228,-0.528828203211215,0.0482737769983162,0.143539726295878,-0.380469547765983,0.150683407104761,0.394004862157196,-0.701298842849247,0.0089684386278607,0.040998576584506,-0.0658715697467566,0.819340170107636,0.930824291075032
"CM002236.1",185039,186039,".","+",-0.622360644325416,0.0199309737057616,0.0723979152987666,-0.553907068851452,0.038782549573889,0.12557212847418,-0.389936638151132,0.141031189468472,0.374596677165271,-0.718890533509891,0.00744558047346424,0.0369531041792189,-0.0525038057431773,0.855578169755151,0.936398257451892
"CM002236.1",189595,190595,".","-",-0.558304943585755,0.0375833021884948,0.107553928693506,-0.184165468479401,0.487921097761657,0.658399553606091,0.0871372918393313,0.73962448590056,0.897161831272882,-0.413853161257092,0.120192506257385,0.248521120630654,-0.0778844478160761,0.788755031345737,0.919217552340069
"CM002236.1",189406,190406,".","+",-0.47700936205477,0.0753204445254009,0.173340201099553,-0.0519873911758811,0.844590257495,0.916905739962262,0.181912250975417,0.487835480883102,0.735130589420989,-0.17379469151727,0.512310832860902,0.649721591791671,0.0921584006977918,0.751523711306836,0.907288865058694
"CM002236.1",194064,195064,".","-",-0.560287164800693,0.0263693238848757,0.0838421289081057,-0.824202192785292,0.00126016598955875,0.0127666811680949,-0.236012725127503,0.343233021362175,0.616718156030432,-0.640645354962173,0.0112714379971957,0.0498316206191809,-0.603565922424051,0.0276092817576196,0.178398435972312
"CM002236.1",195335,196335,".","-",-0.592385594950882,0.0266023966348052,0.0839286879745967,-0.843648668181033,0.00174299079829341,0.0158282407628807,-0.314786592754354,0.231763969373043,0.491310370405946,-0.600956248279409,0.0239872806657698,0.0835204798310742,0.124817042678739,0.665295543819338,0.868348620090115
"CM002236.1",196290,197290,".","-",-1.63066170206552,4.55643953073945e-09,5.10321227442818e-07,-1.70654426771414,7.78050138683032e-10,8.71416155324996e-08,-1.54630037348669,1.70483285627384e-08,1.90941279902671e-06,-1.61503205825091,4.9094642253127e-09,3.30597911476782e-07,-0.952849147592723,0.000925695179734916,0.0138237146840414
"CM002236.1",197194,198194,".","+",-1.43456058247207,3.97977805579085e-07,2.43128259408313e-05,-1.63917107760375,8.23071427219053e-09,6.91379998864005e-07,-1.29200544445282,3.36278473216547e-06,0.000205435576365018,-1.49693727277286,1.00817623429526e-07,3.98526134968479e-06,-0.806595451807689,0.00624459837763963,0.0591038043630117
"CM002236.1",209343,210343,".","-",-0.716728917819611,0.00771202320555943,0.0395609129323354,-0.692891375768387,0.0100679987705137,0.0492678683679422,-0.364940462933357,0.168954158579255,0.41649855765898,-0.983951524082893,0.000299391861200747,0.00341002255469326,-0.249471789276789,0.389067299665174,0.686993427361976
"CM002236.1",209486,210486,".","+",-0.707409823265783,0.00856681640205475,0.0420211724246773,-0.704082984672159,0.00899783779180898,0.0454627593691401,-0.246309872243946,0.35187490735429,0.629841545825181,-0.788794971218988,0.0035039869420372,0.0210239216522232,-0.177687963969277,0.539518024416323,0.800344619001698
"CM002236.1",213619,214619,".","+",-0.411676708443016,0.12867125822533,0.247048815792633,-0.184997994797443,0.492714083778447,0.661197751724048,0.174019592997591,0.512302423200664,0.759971806602309,-0.32664269734161,0.226722636999306,0.391664812502657,0.28437936921015,0.334796903739935,0.643944329175299
"CM002236.1",216521,217521,".","-",-0.247433208424482,0.382800217593987,0.529215341126711,-0.241262750958854,0.397255533211016,0.571059783343215,0.033614063271291,0.904627343050857,0.967313781338222,-0.333658442767793,0.239896115654245,0.407096438685991,0.311221222320428,0.31614879812631,0.636304344137665
"CM002236.1",220979,221979,".","-",-0.513068877680999,0.0620056345169675,0.149346904643018,-0.140155310192943,0.608890619398589,0.763385254171365,-0.230032790114721,0.397630220057188,0.671375647935755,-0.444966889433392,0.105453615101834,0.2275825225357,0.172552054731512,0.56359318902218,0.818001345621826
