"seqnames","start","end","name","strand","logFC_WT","PValue_WT","FDR_WT","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7"
"CM002236.1",1150,3878,".","*",0.477650934232907,0.000455036648913727,0.00152974632222755,0.41975720031052,0.00207377803279393,0.00597998924111697,0.357593067710965,0.00700177290144596,0.0205171650887229,0.44704979440657,0.000944254044284928,0.00269959810096845,0.3114692461414,0.0307071231187266,0.0725903369838448
"CM002236.1",2177,6443,".","*",0.37563687115909,0.00380921350142253,0.00926677757255154,0.201019901971647,0.113019073328947,0.176388474052879,0.200274463518035,0.11122897738443,0.185104939975581,0.206586354414986,0.100431200600951,0.149307718226747,0.164817807471165,0.230394705263072,0.339284462639898
"CM002236.1",14929,16647,".","*",0.235834602515784,0.0483251683413897,0.0788525307814383,0.24321630557221,0.0473450248343449,0.0856049232815588,0.186403653303461,0.1169562673138,0.190838397153494,0.331544979140146,0.00677612209006032,0.0147662074210109,0.254766068704498,0.0517432303363491,0.105537259436029
"CM002236.1",16440,19615,".","*",0.282488703133214,0.0228792801286851,0.0411458021669095,0.172173366965734,0.163312956214769,0.237513842842784,0.288309914828463,0.0206547870247168,0.0484843948053879,-0.0566852364320816,0.641262614013008,0.693683422654985,0.225559757735304,0.0936188039252146,0.16650630735241
"CM002236.1",33980,39245,".","*",-0.154788934428487,0.190639288441766,0.24812778982012,-0.14342838247468,0.226894366516205,0.314269836851639,-0.18275148558047,0.123765745449435,0.199036739677096,-0.069088134960661,0.554410606968265,0.616114113059417,-0.0157328618785242,0.901708758249403,0.936712980231135
"CM002236.1",40949,43632,".","*",-0.0628009466034084,0.688077587471859,0.729514906527217,0.495991608208227,0.00257396156806555,0.00717491787098272,0.495243272143492,0.00225313051354334,0.00832786913569336,0.727512886752152,2.07027036718167e-05,0.000103359020570488,0.588546036815011,0.0012766221638662,0.00642049701409598
"CM002236.1",43708,45551,".","*",-0.388516730179173,0.00431577552719918,0.010385805135598,0.122349227026853,0.341495491785377,0.443717986481324,0.284025099195228,0.0275614933031696,0.0602569902608513,0.565199484304566,4.57509839113142e-05,0.000206806812409927,0.255156455648297,0.0741121836108826,0.141657964947483
"CM002236.1",45331,49154,".","*",-0.00168987967508618,0.989856289084482,0.991338109876525,0.233177766825335,0.0856393445416068,0.140423337005723,0.210171076598774,0.116315081421643,0.190256208975744,0.351685832283445,0.0102723672572923,0.0210527638828371,0.113137149502987,0.439858516278405,0.5583782682927
"CM002236.1",58145,61150,".","*",0.161134870512139,0.204240688973727,0.263269789833185,0.344430808640371,0.00910057705679123,0.0206382577999774,0.366322690696655,0.00531304878089859,0.016379860066457,0.242976277038126,0.0587956482122108,0.0957038653381242,0.338622218031687,0.0189391447280718,0.0504792343549005
"CM002236.1",90323,92593,".","*",-0.42652462559679,0.000889615652878341,0.00270524032625277,-0.29857569768419,0.0165908974178569,0.0345772908802064,-0.190071143715051,0.112177905018598,0.185301280141832,-0.120592303791562,0.307955903607955,0.378717829988459,0.209836133420757,0.112894240878067,0.194113419120933
"CM002236.1",180222,181975,".","*",0.0681957610580065,0.643119241636651,0.689498033100832,0.624994761712012,0.000112638459791856,0.0005196905489707,0.513545384579536,0.000875773840169265,0.00382936404623031,0.518826630511446,0.000842046236197541,0.0024281419483455,0.299090342319801,0.0714437793012013,0.137344506760068
"CM002236.1",182427,186051,".","*",-0.272195432500265,0.0493939479062881,0.0798177563992917,-0.115901914803276,0.394827062785448,0.497437485882231,0.0620206875005704,0.642666785779348,0.726256891362135,-0.0935875702713614,0.486567534591759,0.553594694969195,0.10648526412633,0.473906684759771,0.591499201687102
"CM002236.1",185039,188208,".","*",-0.332526877206669,0.0173206727493169,0.0331072287694085,-0.159553850579282,0.241317942946037,0.330823163587907,-0.0952951503117272,0.476415350228957,0.590225683894763,-0.411990855906427,0.00384881304692608,0.00919591402997695,-0.00902780827397988,0.951170953519165,0.972986801076944
"CM002236.1",188530,190595,".","*",-0.274205884266807,0.0288800737560547,0.0503145034968766,-0.086165381192612,0.480064109055575,0.579716406061696,0.230577395288079,0.057495795693115,0.109302949565685,-0.0956011609514799,0.42972060941865,0.50056289691463,0.194591801272715,0.151663134833797,0.239298672650496
"CM002236.1",189406,191138,".","*",-0.369522841074674,0.00504953170830801,0.0119368788440214,-0.0225701170500004,0.855712416711947,0.900112589277189,0.197423582464133,0.10865464254616,0.181724889658452,-0.183626416097018,0.140901390674157,0.19491427085381,0.167028582657653,0.226587951296004,0.336113834627554
"CM002236.1",193143,195064,".","*",-0.464104639477541,0.000611782401692352,0.00196770397467396,-0.459697864434673,0.000763733126538561,0.00258049223057726,-0.180834116304164,0.147973611526086,0.23183687613806,-0.411604335485343,0.00197677447526088,0.00512582218585089,-0.099851651428089,0.466058646668384,0.582791092749811
"CM002236.1",195020,196335,".","*",-0.442748228860281,0.00256211548629143,0.00666947572112439,-0.770532171122048,2.34673480532184e-06,2.03891634384456e-05,-0.21874700984402,0.110291300405831,0.184002194442646,-0.481527727330506,0.00104597555614093,0.00294015818091716,0.0306347465530917,0.839319805046044,0.888457198695891
"CM002236.1",195780,197290,".","*",-1.33816111047129,9.49964266546747e-13,1.05921015719962e-10,-1.47821744022308,4.40745627794372e-14,7.37147062486087e-12,-1.09358367470536,9.00229539688588e-11,1.50563390512916e-08,-1.21974650310045,6.63138428856074e-12,3.4126123761901e-10,-0.619248116992019,4.73047114294879e-05,0.000410998077225031
"CM002236.1",197194,198497,".","*",-1.22766413446195,4.35725356256662e-10,1.78967226075953e-08,-1.55539604332204,9.1742493027238e-13,1.0229287972537e-10,-1.18295312591175,5.78008533882955e-10,5.5241101309671e-08,-1.50887932955863,1.26640480195448e-12,8.89902130903472e-11,-0.797584000123619,9.84928555805063e-06,0.000111680882005693
"CM002236.1",208394,210343,".","*",-0.759306711859573,1.2001217194419e-07,1.86716611699216e-06,-0.755059409971086,1.52518513164893e-07,2.71489220793602e-06,-0.391687976047501,0.00166015131619272,0.00645721645658682,-0.974482689209203,4.58040753153176e-10,1.61278559926039e-08,-0.194093648502456,0.135931894452324,0.221801066801476
"CM002236.1",209486,212487,".","*",-0.288597762905159,0.0339681498254418,0.0585687944155169,-0.132147704626187,0.32051053984159,0.418792092097702,0.0893048068465006,0.493794340220646,0.606143878179105,-0.241888127907652,0.0712091286041113,0.112091545967413,0.124298118941997,0.392436949816422,0.511774501807381
"CM002236.1",213619,215734,".","*",-0.458722011340843,0.00236085287996649,0.00621815187676214,-0.243766786600578,0.0911762571797109,0.147692290685779,0.0741517025942592,0.59263989109121,0.685944787439481,-0.365288067953914,0.0127519770825145,0.0255421337371324,0.203807957099911,0.191348052511341,0.29360515396809
"CM002236.1",216104,217521,".","*",-0.235611580066853,0.0902342007000978,0.130663810104687,-0.157060049945411,0.258957478839535,0.348576566083801,0.148416608862267,0.270774164121816,0.369689624076521,-0.275764547991064,0.0485002898294511,0.0805128880791632,0.322907121436516,0.0370253868639394,0.0825666127065849
