"","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.1501.1800",0.687740991300701,0.978760417096555,3.70037763410395,4.37233761599847
"CM002236.1.1801.2100",-0.0101045136601386,0.389470801746092,3.23465010911306,3.22399775613061
"CM002236.1.3301.3600",-0.010921738697505,-0.201976246391918,-1.31349132612719,0.499623845229802
"CM002236.1.3601.3900",-0.654035983834684,-0.170875901015074,-1.06015166185299,0.1560743372345
"CM002236.1.3901.4200",-0.479354872710699,-0.0682323971867166,-0.260440571240784,0.311571357865179
"CM002236.1.4201.4500",-0.36835847937014,-0.274101562616575,0.469579999422553,1.09757504484168
"CM002236.1.4501.4800",-0.731668093844583,-0.563243085544222,0.369882319705697,-0.317541835234808
"CM002236.1.15901.16200",0.722161267757175,1.1051528549111,3.02359254136617,1.5858897454375
"CM002236.1.17701.18000",-0.776333861353358,2.0268463281821,3.20496586758391,2.90301212118858
"CM002236.1.18001.18300",-0.649692438379769,1.85663690762449,2.93577813061669,2.93579353766103
"CM002236.1.18301.18600",-0.788528865726035,0.878793115503791,2.19175939730209,2.3645839018842
"CM002236.1.18601.18900",-0.984424299614579,1.3413767872493,1.87286239074496,2.36753899853575
"CM002236.1.34801.35100",0.251620256296633,0.176063995881668,2.83352504878269,1.92453251176709
"CM002236.1.36001.36300",-0.0748907757983988,1.85575176732305,2.61634971574302,3.06454558859546
"CM002236.1.45901.46200",-0.0394679529256632,0.427735565485413,2.76012289826681,1.55868060620803
"CM002236.1.46201.46500",0.875625623550286,1.43171028276916,3.91717680545913,2.2314861893535
"CM002236.1.46501.46800",1.09986939159481,2.01768501102808,4.38645927085765,2.82875828878418
"CM002236.1.46801.47100",0.315923595366375,0.778064549632871,3.34747108368197,2.25294388023619
"CM002236.1.47101.47400",0.527340048685466,1.93200500092435,3.47875425127028,2.73459238400771
"CM002236.1.47401.47700",-0.638403933200244,0.691475733924511,2.6432665735142,1.74724405058219
"CM002236.1.47701.48000",0.803372770080954,1.38060223073944,2.9813243497448,1.9497094933716
"CM002236.1.9650101.9650400",0.00584176419872637,0.0385592544738343,0.325374910089885,0.00157620659181914
"CM002236.1.9650401.9650700",-0.00180453956552293,0.12267470217873,0.0506194173679525,-0.301220464111975
"CM002236.1.9650701.9651000",-0.538068888362398,-0.0398198771486896,-0.267856262456497,-0.332054173821954
"CM002236.1.9651001.9651300",0.672693143625622,0.516021986125352,0.0926188500598778,0.451465520163455
"CM002236.1.9651901.9652200",0.666423012829978,0.94392725951368,2.64191510801497,0.545714254795811
"CM002236.1.9652201.9652500",0.671428634902582,0.559457549589139,2.07142332131737,0.264998949364722
"CM002236.1.9772801.9773100",-0.631984831935436,-0.915262241168885,-1.35054700170706,0.448381409135654
"CM002237.1.9901.10200",-0.0444629589032785,0.371431496055643,3.53015989018732,3.10857959903025
"CM002237.1.10201.10500",-1.01417136525293,0.134972645526475,3.61155690376133,3.11196489086964
"CM002237.1.10501.10800",-0.276461796426025,0.758469648190502,3.8947966646707,2.90172262109467
"CM002237.1.10801.11100",0.107059549303284,1.12018669831498,4.01978826504221,3.57158042348731
"CM002237.1.11101.11400",0.160804159325195,0.945778928952214,3.47421613067936,3.19948457173094
"CM002237.1.11701.12000",0.220622126352828,1.03619836560829,3.0382878732274,2.93886108231482
"CM002237.1.12001.12300",0.932249321254026,1.18943350169815,3.70057815026154,3.41571995381605
"CM002237.1.12601.12900",0.446750779573027,1.39094958916024,5.03531655072694,4.14721552830738
"CM002237.1.12901.13200",0.518195050484273,0.907023818180431,4.16339458561547,3.36052853866726
"CM002237.1.36901.37200",-0.17049209241775,0.111824267706325,2.22372873490148,1.22351814616958
"CM002237.1.37201.37500",0.496290511225264,0.230748121040695,3.49812451219428,2.56926943069936
"CM002237.1.37501.37800",-0.238380798346143,-0.156410967995518,3.03885344190685,1.18410836008991
"CM002237.1.37801.38100",-0.0439163192395751,-0.234287142374114,2.7224069727165,1.15924696326626
"CM002237.1.42001.42300",-0.446651211485571,0.27155440409489,2.90129311865982,2.10086918798969
"CM002237.1.4451401.4451700",0.0330518030994228,0.874669258548287,3.85738596594245,3.5403078861077
"CM002237.1.4451701.4452000",0.155840994459132,1.19985414494321,4.18832122480696,4.10778828944177
"CM002237.1.4452001.4452300",-0.794765614604996,-0.0361322602503557,2.74231818041623,2.44963693080548
"CM002237.1.4467301.4467600",-0.0809069732845937,0.676488507541932,3.04185339534744,3.00071699989771
"CM002237.1.4467601.4467900",0.193912529137935,0.638538803674721,2.62986684040026,2.82530128736679
"CM002237.1.4467901.4468200",0.600254907462822,0.566399957231594,1.76806119608376,2.57407809973978
"CM002237.1.4468201.4468500",0.142363318468537,0.725440260506822,0.462978697450442,0.575846324830322
"CM002238.1.9301.9600",-0.679152253051481,-0.298593798496775,0.157654104827321,0.828187427343622
"CM002238.1.9601.9900",-0.16373856484194,0.200624127019171,0.899595406203052,1.99232300660482
"CM002238.1.9901.10200",-0.378175449020266,-0.015043627397981,1.02068673823885,2.50198155082106
"CM002238.1.10201.10500",-0.303004977053073,0.201333810845464,2.96632076103503,2.78065994550512
"CM002238.1.10501.10800",0.0243673679280421,0.256001427767555,4.00586160050525,2.97834761764875
"CM002238.1.10801.11100",0.0964333027663573,0.0433505970480967,3.89290032320092,2.27982503282679
"CM002238.1.11101.11400",-0.0840035644037477,-0.402925892306018,2.39510919328858,1.13748144629537
"CM002238.1.29401.29700",0.17061039215186,0.460559746527592,1.64538469780233,2.35721333748054
"CM002238.1.29701.30000",0.697435082676189,1.25407655375455,2.47766752520944,2.46469766436689
"CM002238.1.30001.30300",0.292592449964353,0.943216409487339,2.47053295924263,2.54783476070241
"CM002238.1.269401.269700",0.125724134457348,0.831170792306908,1.99440136346044,2.93565239903939
"CM002238.1.270301.270600",-0.452243007367594,0.705501640076162,2.9960338667459,3.04094261890417
"CM002238.1.276901.277200",-0.32836543300965,0.235912321073126,0.342350357845277,0.593585450039244
"CM002238.1.277201.277500",-0.331796949157318,0.256659320777892,0.177794800914376,0.460185358529639
"CM002238.1.277801.278100",0.045449232632344,0.33875389228648,0.477940119193041,1.33525187619548
"CM002238.1.278101.278400",0.393266350499642,0.443083725044439,0.616752664178733,1.18985961256746
"CM002238.1.278401.278700",0.808808059294835,0.780555407495736,1.11607163808991,0.628300781358272
"CM002238.1.402601.402900",1.71093003978672,0.662902872336014,-0.378794711243999,1.22296635230031
"CM002238.1.402901.403200",1.81946526440317,0.438550060236626,-0.436471939046433,1.37232132238918
"CM002238.1.4727101.4727400",-0.353802846706699,0.57774473670594,3.28422938721913,1.15393281834534
"CM002238.1.4873201.4873500",0.144960694810861,2.10165913563632,2.33374107864683,2.82075421189633
"CM002238.1.4873501.4873800",0.070369821421747,1.70572503683799,1.78380607630781,3.45854911127406
"CM002238.1.4873801.4874100",0.759341711462191,2.42888764133638,2.4321743855208,3.63952254977117
"CM002238.1.4874101.4874400",0.775994006676577,3.01713164246969,2.98373151485321,4.48426195004619
"CM002238.1.4874401.4874700",0.242076197556505,1.73459563817436,2.75269673647597,3.32707522801109
"CM002238.1.4961701.4962000",-0.205677281017892,0.486606492153713,2.34018933800393,0.77713636424463
"CM002238.1.4962001.4962300",0.614600676741835,1.64300286403832,3.35988974405537,1.08858533954135
"CM002238.1.4962301.4962600",0.726467238037144,1.81166304557491,3.24553159531663,0.676082523907173
"CM002238.1.4962601.4962900",0.455572915791837,1.62213149744947,3.15721299458629,0.509896798205235
"CM002238.1.4963201.4963500",0.00508129882246805,0.916334434961304,2.6654941774979,0.0982032851375187
"CM002238.1.4963501.4963800",-0.447634978670684,0.565043736129398,3.15113862274366,0.3263725240401
"CM002238.1.4967101.4967400",0.385213580548758,1.1608470738211,2.39158453157006,0.0312307436366918
"CM002238.1.5053801.5054100",0.587945425781042,1.44696449887929,2.05093502421848,2.10511749131643
"CM002238.1.5054101.5054400",1.8174888280178,2.03094524305956,3.34370930688528,3.46697571042343
"CM002238.1.5054401.5054700",1.07683913048811,1.54002054287645,2.65266887978829,2.94368690586885
"CM002238.1.5054701.5055000",1.04970885648839,2.47722738284612,3.16855561843356,3.64970169866808
"CM002238.1.5055001.5055300",0.656966245213248,1.62205376078104,2.68152552516831,2.19148226164697
"CM002238.1.5252701.5253000",0.537032081849771,0.715426218035544,4.0517421217506,1.86202014503126
"CM002238.1.5253001.5253300",0.471125279465495,1.06446511174101,4.53768464856783,1.38363402348954
"CM002238.1.5253301.5253600",1.2215241768694,1.35237845901684,4.88185054907377,2.53987320788919
