"seqnames","start","end","name","strand","logFC_WT","PValue_WT","FDR_WT","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7"
"CM002236.1",1201,1500,".","*",0.00351272755949747,0.990876758889144,0.992919803752833,-1.26187204072889,0.000132587684257604,0.000385085345911528,-0.146617605033359,0.633824532426645,0.720839444834671,-0.509081649864219,0.100289279468265,0.133332920484556,-0.140593025100318,0.680040119431333,0.788781618242549
"CM002236.1",1501,1800,".","*",0.54899806112779,0.056336652440561,0.0866443452092173,0.178890351914582,0.567006309046094,0.600941506122514,0.777147473361476,0.00692116900053085,0.021842130741935,0.47792785722278,0.101911543656492,0.135225832591377,1.52849960240367,7.08208995924336e-06,0.000283006194605609
"CM002236.1",1801,2100,".","*",0.779139152771522,0.0122148584663045,0.0238836794508788,-0.34067077646851,0.301817939168273,0.337807488721091,0.820019429426484,0.00803095375502787,0.0246508012101697,0.827508276612175,0.00681763415599151,0.0130733589646238,1.22128592166844,0.000525050743163057,0.00494950851421382
"CM002236.1",2101,2400,".","*",0.56923535172978,0.0671040764058426,0.100243589548892,-0.234233782569889,0.469966713893513,0.506438631823165,0.483550821464285,0.121876957554653,0.202618704805797,1.15735492156808,0.000175775052015379,0.000649907081585179,1.13998856907986,0.00112874845864899,0.00863137370302569
"CM002236.1",2401,2700,".","*",1.18668051904318,5.87271937246954e-05,0.000393166058878377,0.269530099871522,0.369514300414111,0.406400691478833,1.27925968670442,1.73353695170446e-05,0.000318592043140979,1.48668891096414,4.72221066805974e-07,7.35051582280901e-06,1.10161141977117,0.000891537899601267,0.00727861545041735
"CM002236.1",2701,3000,".","*",1.04461754363082,0.000584834009178519,0.0021733763433703,0.689710132793092,0.0247114419983282,0.0348782985804091,0.900791542863604,0.00301242295066829,0.0117856332613802,1.55648890381746,3.63726305156248e-07,6.16642968509081e-06,0.642528027793204,0.0548510640510146,0.135547205739626
"CM002236.1",3001,3300,".","*",0.813443375118899,0.00589143052241296,0.0133036226665123,0.792198149059209,0.00841300359576432,0.0132429028417049,0.892679014967501,0.00262251304902894,0.0106904679184087,1.09394759407929,0.000206902203624755,0.00073516672514596,0.941538210882831,0.00433992175981696,0.0211389952978167
"CM002236.1",3301,3600,".","*",0.913324934549001,0.00207892311719265,0.00579924088941368,0.777078551488563,0.0123995954104827,0.0187675899971423,1.13432551929272,0.000137679521920162,0.00132938240370593,0.529519561949609,0.0729728594306596,0.100839592197295,1.56609555201115,5.65482929919756e-06,0.000244893300541486
"CM002236.1",3601,3900,".","*",1.07243988293543,0.000258030725210125,0.00116113826344556,-0.0162157264526411,0.957157062821855,0.962659230347849,0.983287329524434,0.000948591725960819,0.00507229854444086,0.726952267506989,0.0154434382514998,0.0263243933442599,1.04987698124224,0.00168641445231726,0.0111594202941539
"CM002236.1",3901,4200,".","*",0.89742250710205,0.00269064834521086,0.00708542797227712,-0.155434149120256,0.622580713778102,0.653351257693239,1.01999080943837,0.000672851134902819,0.00396637582758077,1.08626966659991,0.000400186589316592,0.00124762376455508,1.21963691921565,0.00035148089371418,0.00370890355229547
"CM002236.1",4201,4500,".","*",0.668604853154493,0.0278667031123657,0.0475571437430697,-0.48472112143323,0.130453501969892,0.156587161804695,0.807503613646847,0.00736822760214449,0.0229752727761517,0.605632563608006,0.0492658506215865,0.0717578523539193,1.70338325831051,2.23991334542843e-06,0.00014407913195447
"CM002236.1",4501,4800,".","*",0.122399381061547,0.676953843440586,0.72626836183692,-0.628896389053013,0.0398828716899194,0.0533642339466833,0.542565908099807,0.0615815459438776,0.11829498548903,-0.503364748100986,0.0912519242702253,0.123076138377418,0.173401139224619,0.5888483798639,0.717224328173154
"CM002236.1",4801,5100,".","*",0.278227956906011,0.371945556463119,0.434764795288531,-0.88323374169401,0.0087279702389664,0.0136832049552828,0.599978264153661,0.0580255488494796,0.113002560404107,0.104906438558163,0.741050440514333,0.773223909067198,1.01373871785883,0.00371629387378987,0.018945179287268
"CM002236.1",5101,5400,".","*",0.850637407412976,0.0166916539856837,0.0307796351321166,0.0225517574116043,0.951924116693466,0.958277580303158,1.01989056516046,0.00428531320734692,0.0150796138124983,0.606682428573626,0.0862273314070215,0.117166308659308,1.07060505853531,0.0067549924457719,0.0296055480539141
"CM002236.1",5401,5700,".","*",0.478366044766015,0.154765160054407,0.203591822579842,-0.374254295760099,0.293648786264927,0.329845863154287,0.669395707427331,0.0466572352458258,0.096037057395408,0.0833352673269303,0.807072733256945,0.832186736272012,0.549642860665902,0.142305740939829,0.265524864888032
"CM002236.1",5701,6000,".","*",0.320726202519948,0.309682474052783,0.371720949919559,-1.33875263250896,7.91108350871639e-05,0.000255561885281577,0.142040885933319,0.643024971985681,0.728461856375387,-0.272535624410252,0.398627117374934,0.451124194410856,0.235768778351115,0.492726794226089,0.639711189654174
"CM002236.1",6001,6300,".","*",0.0195788390458513,0.950942455619802,0.959497647262056,-0.852587166706486,0.0127565669158945,0.0192537003761637,0.0256574761987444,0.936638669603701,0.956092774993369,-0.501729101430705,0.131027931103322,0.168414978150436,0.353843518740428,0.321481131692022,0.475857350260881
"CM002236.1",15001,15300,".","*",-0.336150400471333,0.307491720396246,0.369395436696835,-1.6899261217243,1.91144710895513e-06,1.41946853218502e-05,-0.828439112207625,0.0141697029649296,0.038070197032311,-0.407069908217958,0.216171361603721,0.262138490616766,0.385142071133802,0.271774444982522,0.421539511472891
"CM002236.1",15301,15600,".","*",-0.608849143815905,0.0726978611104587,0.107136268361572,-1.11764860753337,0.001817861348559,0.00348436701954298,-0.487478330549118,0.150117068656672,0.239377345353365,-0.90436248230042,0.00947800956075625,0.0173386925214336,0.618664048286419,0.0875447404636415,0.189283586153222
"CM002236.1",15601,15900,".","*",-0.0405152966845852,0.900103439256701,0.919442420202898,-0.83267197116683,0.0146496483194507,0.0217312543219224,-0.323072676133019,0.313296365201079,0.42151900996294,-0.227386485257556,0.482606606884412,0.53373484159606,0.571226045703156,0.094393712151776,0.200037837670479
"CM002236.1",15901,16200,".","*",-0.299600422881154,0.356158513073706,0.418867345969139,-1.01804327047453,0.00303367223227126,0.00545163613145214,-0.0370677017967143,0.908656664719736,0.934508406180137,-0.256568852097512,0.42860527754317,0.480820590914036,0.796144901085398,0.0230608315473345,0.0719971999914641
"CM002236.1",16201,16500,".","*",0.449122074081735,0.137018675555177,0.183840394747958,-0.334869144339497,0.301978085013843,0.337900267037746,0.453983424982685,0.137742033386145,0.222400758224806,0.327316299510489,0.285451554852951,0.33608751034369,0.939154154628808,0.00478493028497286,0.022923641912893
"CM002236.1",16501,16800,".","*",1.20707307506058,4.95831190603797e-05,0.000351200166870684,0.120248713975638,0.698624973712761,0.724978798343918,0.825484277052149,0.0059925596912688,0.019546201409105,1.00612499417714,0.000705689095033788,0.0019960306963456,1.54977118207534,4.32830156717227e-06,0.000213296431192942
"CM002236.1",16801,17100,".","*",1.19147337436667,4.07779140049514e-05,0.00030333774805724,1.12542127317093,0.000150313635975293,0.000426753922375791,1.29665350727897,1.07812316381807e-05,0.000229411868626808,1.64540952322144,3.05207491974778e-08,9.71653347338208e-07,1.39950782681257,1.9061821956743e-05,0.000541405254797364
"CM002236.1",17101,17400,".","*",1.18868841605022,0.00190326798257717,0.00545233132174015,1.07497483462619,0.00557223456877592,0.00920081313847711,1.45773417621307,0.000192776991267002,0.00165985543268084,1.3891902929508,0.000359301040651834,0.00114213862776971,1.71020145163217,0.000119518202732622,0.0017964694802491
"CM002236.1",17401,17700,".","*",0.412815343066527,0.162692041107993,0.21242238441981,0.469275104812986,0.11777167672712,0.142459434182639,0.582377029967174,0.0502937624213765,0.101422276086261,0.0280907037700193,0.925253265112547,0.936385419158325,0.535591131101907,0.098324456084911,0.206145529088824
"CM002236.1",17701,18000,".","*",-0.0162963444988249,0.957937384501816,0.965441963090079,-0.175467064205948,0.570337156579564,0.603886401084244,0.155795195501834,0.612382032282427,0.702480726253169,-0.392798394218041,0.206043742391715,0.251226021962286,-0.119692265489645,0.722562371422705,0.823258091326625
"CM002236.1",18001,18300,".","*",-0.558414203829074,0.0791376657236724,0.114999385340646,-0.912448486403616,0.00530410975364497,0.00881130879697801,-0.0913682238320635,0.76979550419551,0.829331412648069,-0.97736828133523,0.00269963228188559,0.00608983579214418,-0.421717324774887,0.224468872013338,0.367587737246851
"CM002236.1",18301,18600,".","*",-0.192123560497278,0.591070424645277,0.646173965858146,-0.000790545873760321,0.997994236269623,0.99822245356582,-0.138589898450267,0.687653166593793,0.764564044402961,-0.657463596163244,0.066473977149728,0.0931018815411176,0.0260039535420951,0.945743155395359,0.965161120321815
"CM002236.1",18601,18900,".","*",-0.405976361377107,0.234837191660541,0.291729019120479,-0.232602152780603,0.483289346473237,0.519260034751643,0.170424753536765,0.611346619114033,0.701845173754535,-0.426758749739648,0.200259516956439,0.24494830178061,-0.115104218252947,0.760105520829372,0.850742463691831
"CM002236.1",18901,19200,".","*",-0.526010172602746,0.116862133072648,0.160892341850727,-0.466740073523741,0.143304943265969,0.170053125839758,0.0470249289334668,0.88121505366805,0.911429331932857,-0.284477854889631,0.372620980768759,0.424701751927182,-0.277588043580419,0.424091151962797,0.577154542216949
"CM002236.1",19201,19500,".","*",-0.204200208519887,0.504303396398368,0.565016151600016,-0.314043006326702,0.302143415031241,0.337998797275358,-0.516611434156001,0.0935734647600891,0.163716133944252,-0.453921553843314,0.147914614778299,0.1871502820481,-0.535561526667827,0.115328997153539,0.231186541498432
"CM002236.1",34201,34500,".","*",0.563684067191772,0.0578585387556788,0.0884871498312374,0.286275641730946,0.350748461893035,0.38731981123962,0.133980006505853,0.654727041838298,0.739038988645346,0.652015953945048,0.0268943880381348,0.0423303538246857,0.649180557403405,0.0472225391083413,0.120962168973824
"CM002236.1",34501,34800,".","*",0.431881223951715,0.152896563792002,0.201679604953624,0.401396849844312,0.195570900080394,0.226723328108042,0.976487521954211,0.0011488951422582,0.00583654744743018,0.984335589317396,0.00101642056643312,0.00269280651579556,1.37033546452107,5.46874184437624e-05,0.00106648966493687
"CM002236.1",34801,35100,".","*",0.877836629970791,0.00427493001143032,0.0102739252032946,0.404549471765441,0.198817830919082,0.230060632920652,1.09764380448097,0.000375222213110847,0.00262595513623495,1.05534103174658,0.000686531465640795,0.00195373365693744,1.55061343082786,1.02084302733776e-05,0.000350395200691594
"CM002236.1",35101,35400,".","*",0.998567189895986,0.0109567988965479,0.0218581801179463,0.393613831607104,0.327375703583591,0.363713824606204,1.41684837207879,0.000445231287710215,0.00296825198248204,0.827651006817077,0.0373091049946516,0.0563890895807209,1.86000373159195,5.87977477878198e-05,0.00111333917239794
"CM002236.1",35401,35700,".","*",-0.0547971460466814,0.860149315917807,0.884413048383753,-0.491124653728921,0.128130152176961,0.154094387028328,0.426460676308474,0.160942143392772,0.252678009763096,-0.032446157996759,0.917836735092966,0.93146586526604,0.598992380818616,0.0731061351766319,0.166631701543819
"CM002236.1",35701,36000,".","*",0.147632982305505,0.642249893316443,0.696208434539312,-0.853817168590378,0.00938508959210627,0.0145930970052872,0.0992195002051989,0.755586926431975,0.81805376638947,-0.828882082161666,0.012355073089783,0.021694812765891,0.036982980931475,0.914652981793302,0.94840669653617
"CM002236.1",36001,36300,".","*",-0.649216300030805,0.0568867267532399,0.087214350795188,-0.760078452215374,0.02586615847653,0.0362623644795969,0.12895677773003,0.704180810402689,0.776231568725142,-0.432097312716984,0.199318363215566,0.244070134575836,-0.0958186206497996,0.790881580513128,0.872145277507666
"CM002236.1",36301,36600,".","*",0.0920751989430072,0.774541194711585,0.813994037882862,-0.997442124985677,0.00240407309324344,0.00445568462281644,-0.195651882699903,0.543965070876605,0.639941694463225,-0.60654951141092,0.0722270166946254,0.0998801678856438,-0.399308276776983,0.257043869269149,0.403903505026914
"CM002236.1",36601,36900,".","*",-1.08181941896317,0.00189662228088385,0.00544345528647373,-0.580046199342689,0.0848066974525816,0.10532211659784,-0.231378088123805,0.477770177110522,0.582269923288221,-0.38823647699714,0.24955235178254,0.298888824396722,-0.0699205412501486,0.851238087606539,0.909901122969453
"CM002236.1",36901,37200,".","*",-0.0242491201374696,0.940427800483132,0.95108235822271,-0.413518100343415,0.216706107510301,0.248654909299595,-0.2891082130448,0.371232657793642,0.483281204967396,-0.680018717015858,0.0411764123213447,0.0613647793845185,0.02970130895787,0.933408347638526,0.958611907154476
"CM002236.1",37201,37500,".","*",-0.488128526167219,0.152520566496189,0.201244331177777,-0.849468827249802,0.0117092807411638,0.017820596368076,-0.53355652792888,0.112226704330592,0.189528804919694,-0.976051669979507,0.0047379863821256,0.00962561655151758,-0.342647237398634,0.350116788567222,0.506921824956316
"CM002236.1",37501,37800,".","*",0.379789211199441,0.249989012575025,0.307408473714692,-0.706375858680918,0.037815890897768,0.0510357009524336,-0.126375650582025,0.697290848215525,0.770968192642747,-0.53061451247183,0.110453628609988,0.145038778607051,0.24906915274894,0.488958301614355,0.636140276996189
"CM002236.1",37801,38100,".","*",-0.524982905446519,0.11234487850089,0.155406862290605,-0.939247154545127,0.00481190034400588,0.00810444824978118,-0.387588539635086,0.231680755556342,0.335109664286852,-1.27992272223586,0.000230416989679965,0.000796085239226042,-0.305720715656591,0.396272406944248,0.551302642485414
"CM002236.1",38101,38400,".","*",-0.603618976543472,0.0812264018041351,0.117527053090072,-1.56889825382092,1.47002860778826e-05,6.676952368085e-05,-0.56306084878759,0.105019304455994,0.179997820411644,-0.819625646261288,0.0184925403829979,0.0307085693375979,-0.191386689294361,0.610281041215768,0.734554010533233
"CM002236.1",38401,38700,".","*",-0.676626783890708,0.0460227873342435,0.0729361129710077,-1.46055276379518,3.3458423448943e-05,0.000127369142006681,-0.325843701816695,0.333348410880223,0.443990849327069,-1.3792392611804,0.000114666635170933,0.000470206349377807,0.0862224163130668,0.81419848700782,0.88766305637393
"CM002236.1",38701,39000,".","*",-1.27342983211502,0.000332834364134993,0.00140387416463496,-1.92784463320552,3.85392766792173e-08,8.47582460185423e-07,-1.12388246984014,0.000878987476097565,0.00479986419531929,-1.47166917374296,1.33181599738465e-05,8.82125000074146e-05,-1.13917089716889,0.00189261044380334,0.0118983904210276
"CM002236.1",41101,41400,".","*",0.21063182632959,0.506766804232163,0.567340159127586,0.0282385821535735,0.928738351406346,0.937526321036547,0.278158334344833,0.365721289552328,0.477939922468444,-0.218408912587619,0.499170296053432,0.549552196057818,0.472577958332698,0.185271148102168,0.321068146513027
"CM002236.1",41401,41700,".","*",-0.523028375709366,0.104597384654901,0.145982437932527,-0.150198915849924,0.629996171882336,0.660657697389915,0.159451737774129,0.604214127517555,0.694568355784963,-0.961760105279011,0.00299060510666674,0.00662324391724574,-0.0709561018819218,0.838124870980114,0.904058738758821
"CM002236.1",41701,42000,".","*",-0.223203173526208,0.515452721189592,0.574857267333829,-0.433235934064468,0.207447539070376,0.239349917144243,-0.0257487251402446,0.938122135806415,0.956794772848846,-0.810469015347221,0.0205843614812776,0.0335080004164898,-0.0598823510615965,0.873972101310127,0.921534206820589
