"seqnames","start","end","name","strand","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7"
"CM002236.1",2878,3878,".","-",0.045625921938489,0.872806277998176,0.982251924485606,-0.176955541956137,0.535890350233089,0.701985020188374,0.274157444990304,0.335177056926657,0.704857501794545,-0.2577106598514,0.366440102065119,0.592630747868357
"CM002236.1",2177,3177,".","+",-0.0776971419805166,0.804217762249126,0.982251924485606,-0.153839081706207,0.624072165765878,0.754274272292572,-0.361698080206567,0.249321098226072,0.647053872291729,0.00560602691439263,0.985706435413356,0.990126643643909
"CM002236.1",14929,15929,".","+",-0.23318783985787,0.438620281264471,0.982251924485606,-0.177399082080335,0.555816831667172,0.711481479550999,-0.000162764416317682,0.9995675068494,0.9995675068494,0.341472815120584,0.255274491189581,0.515699643883474
"CM002236.1",16440,17440,".","+",0.0216728641615694,0.938059207687134,0.992097477034508,0.291789411474608,0.295308205302871,0.516789359280024,-0.244972196508902,0.380313988055514,0.721191159544167,-0.229934255386655,0.410057404990945,0.62244877047307
"CM002236.1",33980,34980,".","+",-0.301589431416588,0.288157658075184,0.982251924485606,-0.0762654544460099,0.787902353338188,0.859210283459602,-0.102050332415761,0.71817332703279,0.909369232127635,0.0346182594598747,0.902433900907591,0.934415379676273
"CM002236.1",42632,43632,".","-",0.794126013362347,0.0058162127641203,0.174563198531868,0.699482252350384,0.0151207002604901,0.123915982622553,1.07385948144557,0.000199783765116754,0.00672756289024459,0.537643005962075,0.0611515727038114,0.369797745564965
"CM002236.1",44551,45551,".","-",0.27017671145302,0.348749355695167,0.982251924485606,0.508791003445602,0.0778173540573297,0.311269416229319,0.530658830606432,0.0652447564259618,0.334690658917911,0.373642103028653,0.194140039801847,0.506910054135249
"CM002236.1",48154,49154,".","-",0.395250633948469,0.14896667477238,0.879041399782975,0.288394225072268,0.292988677497422,0.516694704200916,0.21210549108723,0.438227690655289,0.760267246546636,0.174068684325775,0.524649234084427,0.6926606783983
"CM002236.1",58145,59145,".","+",0.424502274129419,0.131589634076572,0.866885552076184,0.651621639530503,0.0208150271037754,0.15836861496612,0.348191113096218,0.215595918965913,0.620083642095478,0.322609197783491,0.251169348103583,0.512456913817509
"CM002236.1",90323,91323,".","+",0.176735872154481,0.542724135872893,0.982251924485606,0.248941578656595,0.391603158006801,0.613022037115271,0.330695415513306,0.253840018056935,0.647053872291729,0.476162026188919,0.100356124572846,0.404513649146249
"CM002236.1",180222,181222,".","+",0.567394159803638,0.0369739701462628,0.407319802267026,0.617728034679885,0.023268991437603,0.164182499652909,0.576518398984308,0.0339039901737127,0.243920568520253,0.245488096569731,0.365920014265024,0.592630747868357
"CM002236.1",185051,186051,".","-",0.0730904882643857,0.799549780472641,0.982251924485606,0.236439881313134,0.411457561436819,0.617319066364848,-0.164436210349556,0.568087363413156,0.844590062419559,0.352038914735993,0.219888431055996,0.509534571274585
"CM002236.1",185039,186039,".","+",0.0500101670215866,0.862105244910966,0.982251924485606,0.217996639047176,0.448977228934324,0.629880371281556,-0.188683693703406,0.51260425488912,0.812429385107284,0.357428486158692,0.212935933563611,0.506910054135249
"CM002236.1",189595,190595,".","-",0.541520845695595,0.0609164070797415,0.540942266443724,0.721911103443229,0.0126102895597251,0.112988194455137,0.200556734560308,0.487270060184337,0.80060019668429,0.265856597502236,0.356898333883827,0.590728276773231
"CM002236.1",189406,190406,".","+",0.569923912857358,0.0486702427060291,0.474005842006544,0.707461972877542,0.0145344019077862,0.123634406101675,0.27345523638313,0.343607928665115,0.714874699885317,0.349099808418035,0.226463983509032,0.510876562442471
"CM002236.1",194064,195064,".","-",-0.139747639760594,0.608180054310104,0.982251924485606,0.361464825471579,0.183692417745804,0.404736700280961,-0.0905742182579891,0.739076510353198,0.909632628127013,-0.135195900728898,0.619160407228802,0.746148775702877
"CM002236.1",195335,196335,".","-",0.0152969118177817,0.957638643561398,0.992097477034508,0.434390406871692,0.130915253046607,0.362037242993087,0.107458531764442,0.708281970337069,0.906056523749898,0.496659946014055,0.0832949516088074,0.382449180132517
"CM002236.1",196290,197290,".","-",0.193569397350531,0.509006114511476,0.982251924485606,0.356134380881454,0.224393615759598,0.453584455201798,0.0215202867589305,0.941448356397857,0.978488183660035,0.641567639551758,0.027504186433193,0.311452055507849
"CM002236.1",197194,198194,".","+",0.0675800424946841,0.821961852343131,0.982251924485606,0.429423480951036,0.151589520329056,0.380395070569421,0.08214567773953,0.783715988986877,0.922438345296093,0.596544134710152,0.0451004483405312,0.350793281479224
"CM002236.1",209343,210343,".","-",0.132643397376511,0.646130249100798,0.982251924485606,0.32379803202379,0.262435889255967,0.4887827220252,-0.358920319625015,0.216038366890735,0.620083642095478,0.239797471992066,0.405342179557066,0.621084043769582
"CM002236.1",209486,210486,".","+",0.119837175480804,0.678473902283844,0.982251924485606,0.4012113053319,0.165094075168647,0.389274450923967,-0.195959078008481,0.498522675575498,0.809196227021098,0.308615005910508,0.284380965143635,0.536809012855401
"CM002236.1",213619,214619,".","+",0.332022825993398,0.256296603244572,0.982251924485606,0.631255036349288,0.0311099945297759,0.19538239555149,0.0328603562407331,0.910548458233423,0.973173732820754,0.46708853264256,0.10974850212579,0.419794383241874
"CM002236.1",216521,217521,".","-",0.0633929087230102,0.836611606361486,0.982251924485606,0.367072223025822,0.232286720697652,0.463194885189384,-0.0115520330589402,0.969993803872319,0.978488183660035,0.289192058898908,0.345569281522369,0.582452258126444
"CM002236.1",220979,221979,".","-",0.208537466426207,0.481613576644893,0.982251924485606,0.300325742278667,0.311210897045322,0.529537539647349,-0.0633566206261749,0.830783621900668,0.948988037673717,0.329639450293755,0.265012182112039,0.520725691167516
