"seqnames","start","end","name","strand","logFC_WT","PValue_WT","FDR_WT","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7"
"CM002236.1",1150,3878,".","-",4.0157238342025,2.19958391735039e-40,1.66080942972973e-39,4.66290333120003,2.61652633105492e-47,1.95367299385434e-45,4.32342533880231,8.66712519860723e-44,3.27504393629638e-42,0.340645535334599,0.168501651328099,0.198654578407864,0.0274629135962556,0.916519376464485,0.952044692148731
"CM002236.1",2177,6443,".","+",3.06725165511516,1.7999092663639e-27,2.50422158798456e-27,3.58552939117981,1.66480001478498e-33,6.04727356721894e-33,3.29066064162236,4.15315815665392e-30,9.15056485662764e-30,-0.999593748808942,0.000243224758981413,0.000383678493041102,-0.173156502064506,0.521019503055747,0.759490468662608
"CM002236.1",14929,16647,".","+",2.89223046622794,1.10757056759867e-24,1.41231009758313e-24,3.78391106412914,8.08853480430943e-35,3.68302743420536e-34,3.02748543457012,3.36749559259543e-26,6.01850276123439e-26,-0.588986826646505,0.038096552948009,0.0488566480554619,-0.3566017746881,0.203104863977453,0.693732828805502
"CM002236.1",16440,19615,".","+",2.19726380315162,6.36419791272086e-17,6.90911308133832e-17,2.62434719545715,6.27674020760424e-22,9.90133666551655e-22,1.77653253122435,4.06106771999989e-12,5.25826109410391e-12,-0.842083871993486,0.00222027430719328,0.00330093879299532,-0.304499290147316,0.262394763401096,0.693732828805502
"CM002236.1",33980,39245,".","+",3.30747298369883,1.77084478618382e-29,2.71072368181213e-29,3.27182778177176,5.33357095345444e-29,1.16368820802642e-28,2.75166729027466,6.10814018309968e-23,1.00358684670978e-22,-0.492122055152264,0.0633575065394021,0.0788448970268115,-0.0810583389732209,0.767273691221824,0.886281890117365
"CM002236.1",40949,43632,".","-",3.88553286798995,6.17890312542966e-36,1.58481790087356e-35,2.84272855051538,9.10245050042288e-24,1.54465826673843e-23,2.92764833554888,7.57363020975986e-25,1.29503295189787e-24,-0.422913722752081,0.125508822556678,0.150880015667419,-0.0987278937834304,0.724716562243166,0.864292722163385
"CM002236.1",43708,45551,".","-",3.47397374871136,1.51879932348181e-33,2.88314447847395e-33,2.92145258181461,1.63851180434494e-26,3.02494486955989e-26,3.02777474611988,5.89600366251044e-28,1.15513541143062e-27,-0.380368889293813,0.158561623853953,0.187924887530611,0.210479998167165,0.432894488396804,0.732758428722046
"CM002236.1",45331,49154,".","-",2.46367969513144,7.36898077518841e-21,8.50851388475362e-21,2.2024114247355,1.33612788922229e-17,1.86281730613565e-17,2.0220999722798,1.84062698411923e-15,2.52428843536351e-15,-0.894270144191665,0.000786592279729303,0.00120958812809632,-0.0138885933790291,0.958091403738293,0.975511247442625
"CM002236.1",58145,61150,".","+",2.23168283359353,3.25539079028532e-18,3.61590514226733e-18,2.41846196993868,1.80093598854158e-20,2.7257409556305e-20,2.10513038136546,1.26185119142109e-16,1.76659166798953e-16,-0.581049482277013,0.0271301552063157,0.0356780123261138,0.293709687265576,0.265174462273564,0.693732828805502
"CM002236.1",90323,92593,".","+",3.46216054200469,5.6414281492256e-32,9.67101968438674e-32,3.23620473981217,4.01312051222006e-29,8.87110850069697e-29,3.19135388842738,1.03936299604516e-28,2.16238988650883e-28,-0.417549258887172,0.127451985504371,0.152855809171309,0.434474826009846,0.115543348930671,0.693732828805502
"CM002236.1",180222,181975,".","+",2.18900682015847,6.3631890119925e-18,7.05620959745703e-18,0.831514275806858,0.000522211901547846,0.000577181575394987,0.728823441710257,0.0024127471546488,0.00274807811512541,0.257030159868941,0.313011302440955,0.347675364033589,0.254758373710614,0.334831967755315,0.693732828805502
"CM002236.1",182427,186051,".","-",3.26024632974547,1.04272520934555e-28,1.52993742506596e-28,1.53436997195604,2.678914064585e-09,3.27910792604940e-09,2.21545976461664,1.70914723640547e-16,2.37794398108587e-16,0.90734625437775,0.000442864138065742,0.000688899770324488,0.261143568454607,0.347941593555107,0.693732828805502
"CM002236.1",185039,188208,".","+",3.51986420853673,2.40638788100243e-33,4.49192404453787e-33,1.53157858518006,8.79376128643962e-10,1.08828868959253e-09,2.22205465186997,1.71952183829365e-17,2.48498639856631e-17,0.717776012145642,0.00434384381837986,0.00630467180551029,0.173746222558503,0.519021606102477,0.759310056476109
"CM002236.1",188530,190595,".","-",4.1135970168349,2.28954405826331e-39,1.26112590750241e-38,1.77981838088353,4.9883390950591e-12,6.39725929748038e-12,2.37008312347578,9.52632465065897e-19,1.40696487148194e-18,0.756114434913267,0.00365335568982766,0.0053487037550418,0.441103729293652,0.111296579185757,0.693732828805502
"CM002236.1",189406,191138,".","+",4.03559807357108,2.82273193000756e-39,1.51750068557206e-38,1.7567562969957,5.18769650041694e-12,6.64025152053368e-12,2.20709089740035,3.55956874667464e-17,5.06786058848593e-17,0.588708788748416,0.0226752616641317,0.0301738135411812,0.567310155205773,0.0386366595906188,0.693732828805502
"CM002236.1",193143,195064,".","-",2.60489503239518,9.04361853477374e-23,1.09897136625099e-22,1.05765061192933,1.27315958853102e-05,1.45503952974974e-05,1.15104885688633,2.40860390751295e-06,2.88003883602972e-06,0.241078505984916,0.348793042332826,0.384875081194843,0.289964579446442,0.276031561123787,0.693732828805502
"CM002236.1",195020,196335,".","-",3.8543053304204,4.72153174659618e-36,1.2394020834815e-35,1.52095135178453,3.63185366782409e-09,4.42941136983265e-09,1.63990466725641,2.96909984914062e-10,3.70861542494888e-10,0.138863284003536,0.615943192042108,0.651832795357947,0.460597586337442,0.103508558811678,0.693732828805502
"CM002236.1",195780,197290,".","-",3.6543699192158,9.79751472340907e-36,2.3854818456996e-35,1.51461718769613,9.16400141812568e-10,1.132023704592e-09,1.56784651801063,2.87321011917947e-10,3.60223358225486e-10,-0.0226269169458506,0.93198208266024,0.936161374510735,0.161824157023299,0.547704698701939,0.779782960863778
"CM002236.1",197194,198497,".","+",3.96660687576678,1.43794496279866e-38,6.27466892857596e-38,2.45943946553678,3.59626421483032e-20,5.38238207653893e-20,2.63155140809791,2.44030986605716e-22,3.92317758370911e-22,-0.0193083162110771,0.943080309382611,0.944485794195402,0.424867047468092,0.122897397449427,0.693732828805502
"CM002236.1",208394,210343,".","-",3.50293771469462,1.57864725209018e-35,3.69634478538188e-35,2.34844103348074,1.95541710348259e-20,2.95289953604562e-20,2.43053826498957,1.75982013805302e-21,2.74384949598986e-21,0.121889610855799,0.624997860309657,0.660375097685675,0.186188263694411,0.471696679994582,0.743041580320539
"CM002236.1",209486,212487,".","+",3.99274350940838,1.99253934116096e-38,8.36866523287602e-38,2.29278944622075,3.85826732438872e-18,5.49312636014665e-18,2.55510795609615,2.68296268031842e-21,4.16385894035562e-21,0.486177346012933,0.0550164535337553,0.0687194363841702,0.0579350278233718,0.830939503926247,0.92118939212456
"CM002236.1",213619,215734,".","+",4.06497171717512,5.75497624472982e-38,2.1249143057464e-37,2.5262425871437,4.47062041426453e-20,6.6761264853017e-20,3.03478424926678,3.94763246928248e-26,7.0180132787244e-26,2.2203298702505,3.61983601271052e-16,7.48470707858913e-16,0.115973886181886,0.679858173166352,0.842923786656436
"CM002236.1",216104,217521,".","-",4.3600253090315,1.13504906576352e-40,9.18979484569979e-40,3.0726083511862,4.94801584614587e-26,8.96244379679252e-26,3.50990820483164,3.10322627498611e-31,7.50132394529017e-31,3.16029326404354,9.62838299159515e-27,2.65175138129178e-26,0.301071079032485,0.296015093442398,0.693732828805502
"CM002236.1",219395,221979,".","-",3.9680621359956,3.26398470684512e-36,8.73863634661323e-36,2.82998369057352,4.00348220190395e-23,6.59397068548887e-23,3.17907957620036,2.75058758262882e-27,5.25112174865503e-27,3.32384509419831,1.15026071954819e-28,3.57858890526102e-28,0.552067019963196,0.0525444469647412,0.693732828805502
"CM002236.1",223661,224874,".","+",2.5048871216776,9.55165852432383e-21,1.09721615869156e-20,1.51709243551253,2.30544872277311e-09,2.82711960164877e-09,2.1370324516625,4.48291673740298e-16,6.18587278754579e-16,2.74051353234961,7.57867679542762e-23,1.78072405822635e-22,0.111900839780358,0.686988212088728,0.848085853876619
"CM002236.1",243323,247248,".","-",3.13846452934336,5.69942012610553e-28,8.06317963103771e-28,1.38186637173881,4.19201439418991e-08,4.99474055477947e-08,1.64956276134994,1.08788899865228e-10,1.37159738666854e-10,2.87743451613378,1.45879069152681e-24,3.71328539661369e-24,0.264827231932779,0.333599097672926,0.693732828805502
