"seqnames","start","end","name","strand","logFC_WT","PValue_WT","FDR_WT","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7"
"CM002236.1",1150,2878,".","-",4.5132064161267,1.25809258449999e-37,9.45728131109056e-36,5.17949402846423,6.43491541858798e-42,2.15891412293627e-39,4.82342681807828,9.81687013868708e-40,3.12287064210922e-37,0.77064673746503,0.00169052309526541,0.00263188166339464,-0.0071715236306532,0.977709770739983,0.988016952058025
"CM002236.1",3177,6443,".","+",2.50028793427795,4.2004549924908e-17,4.87630674733793e-17,3.03198295677587,1.09832585140225e-21,2.12999030719915e-21,2.86756325473567,2.55661292907576e-20,4.58686437275357e-20,-1.17828950241682,9.57938101278648e-05,0.00015451357354759,-0.0695509825343041,0.806599972991147,0.888716883213562
"CM002236.1",15929,16647,".","+",2.52938259819357,1.17339734786179e-14,1.29711634335299e-14,3.70850898709339,2.55644992169726e-23,5.6989298918899e-23,2.45093783565749,7.59406836758464e-14,1.09583223110738e-13,-0.383757140542665,0.283593062120234,0.32696038605271,-0.402037738134647,0.23291279091811,0.550282217481815
"CM002236.1",17440,19615,".","+",2.58975396124727,4.21773733887374e-16,4.78057728781129e-16,2.74370834046613,2.79739412411552e-17,4.3349918182021e-17,2.00917775957989,3.01875777390015e-11,4.01106230947921e-11,-0.773734345678875,0.0167203644185848,0.0238709883507881,-0.0346010970379942,0.910563350949991,0.950241550732709
"CM002236.1",34980,39245,".","+",3.6040355732639,1.65750564903125e-27,4.0590740529196e-27,3.39841255450917,9.21255433595574e-26,2.97193459587803e-25,3.0554649235475,7.29566832260974e-23,1.48345255893065e-22,-0.360036721661162,0.175702377243436,0.210529098447045,0.0682394255157241,0.80270482753179,0.887622338578665
"CM002236.1",40949,42632,".","-",4.07573534139063,6.05786682701336e-28,1.63904380682499e-27,2.86352682396712,1.92822529938975e-18,3.1327825082095e-18,2.82345872144491,3.27336612937926e-18,5.42328067361354e-18,-0.619755890466849,0.0553652468095402,0.0718570224549352,-0.133532076121271,0.670205603102773,0.801618466456258
"CM002236.1",43708,44551,".","-",3.91517352486038,7.41557808198672e-28,1.95131486000513e-27,3.4248430379957,1.38379632999689e-23,3.16903528132394e-23,3.53293112754766,1.06587063484519e-24,2.56343797842696e-24,-0.14477833269692,0.662778916993342,0.692717528508617,0.368100219175048,0.240213305231941,0.557320481365243
"CM002236.1",45331,48154,".","-",2.80435472958972,8.05582536941764e-19,9.90010773421105e-19,2.41233679787897,2.19001500464678e-15,3.20152520287144e-15,2.36623707176341,5.19155827029079e-15,7.77574910572572e-15,-0.805800189023173,0.00826072592876027,0.0122360863094882,0.098327699497297,0.740230784155905,0.850687738506253
"CM002236.1",59145,61150,".","+",2.34169360353513,3.23842393933104e-15,3.61561141978556e-15,2.57985658458897,3.00272673099033e-17,4.64246460021777e-17,2.07411269708895,8.46211082889601e-13,1.17073739509056e-12,-0.709182314810214,0.0212069062436266,0.029645487686403,0.237554493868163,0.418908838934153,0.646178921666245
"CM002236.1",91323,92593,".","+",3.73648985205454,1.60852170070637e-25,2.84780491074928e-25,3.278506444467,8.53433786177533e-22,1.66469206548001e-21,3.43122619060519,4.0055340656151e-23,8.39910424383665e-23,-0.405873368037079,0.210214947419527,0.247898470507034,0.455162158541401,0.150273213957976,0.550282217481815
