"seqnames","start","end","name","strand","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7"
"CM002236.1",2578,3378,".","-",0.603597214256553,0.125927048292568,0.28165683134771,0.00629131078592955,0.987258739639103,0.994670592038796,-4.18269701219873,4.53449572597992e-20,5.43329755737951e-19,-3.62220448608478,8.08168936511437e-17,2.17783677268745e-16
"CM002236.1",2677,3477,".","+",0.563494986184745,0.149145524186868,0.321076054147405,-0.031184653881795,0.936201416918174,0.970011477313178,-4.25889333912317,1.1493820462566e-20,1.60674031882954e-19,-3.3549656253335,4.6048676302545e-15,8.63091111704125e-15
"CM002236.1",15429,16229,".","+",0.921591233857007,0.0203914954807524,0.0673323348572946,-0.0189255327779928,0.961771800612128,0.982615890872058,-3.72496593237629,1.32289336766406e-16,8.21908749724617e-16,-3.54698015418838,4.63629717622316e-16,1.01005045624862e-15
"CM002236.1",16940,17740,".","+",0.613084268912629,0.0978821014874442,0.2325276109388,-0.503286769193168,0.178698860966945,0.400235630707649,-2.33000481608686,1.9264555702096e-08,5.31955427000265e-08,-2.22485911412388,2.45232909744663e-08,2.90726647418143e-08
"CM002236.1",34480,35280,".","+",0.819553625555192,0.0318662287007141,0.096316393955762,-0.900984347449765,0.0191109354235543,0.0619489742473667,-3.30561817694669,3.61404780563351e-14,1.75726527360876e-13,-2.96826223512105,1.13533562029982e-12,1.69291155826929e-12
"CM002236.1",42332,43132,".","-",-0.701527921733394,0.0707398468395521,0.179942697015685,-0.721034699244194,0.0622637647818937,0.17192998423313,-4.29953529948501,2.46029176402713e-22,4.85545815783002e-21,-3.87896764476303,3.44345113865039e-19,2.02680325792492e-18
"CM002236.1",44251,45051,".","-",-0.427953407881662,0.26177960593682,0.482566251603313,-0.418491602178274,0.270936545505186,0.542681856817851,-3.8060309841158,2.02348908067214e-18,1.67624836189013e-17,-3.21318249810592,1.79674301314009e-14,3.13015779873214e-14
"CM002236.1",47854,48654,".","-",-0.0478495170174242,0.895607612275992,0.949372366251486,-0.330120497750899,0.369177296709363,0.641756388839333,-2.2144719124699,3.36592995417222e-08,9.10701209374823e-08,-1.45978895494393,0.000166806013067865,0.000173261354130863
"CM002236.1",58645,59445,".","+",-0.0269363735680087,0.942840987127525,0.979780710500385,-0.328542926898442,0.38249545035774,0.655149453054884,-2.97488743888745,1.10944010826219e-12,4.30308851239264e-12,-2.45055684517791,1.85940390154832e-09,2.29349268003478e-09
"CM002236.1",90823,91623,".","+",-0.187750669527168,0.632011447943843,0.809802382816468,-0.37216154307743,0.341152218521927,0.615357899538206,-4.21895414678027,1.52824140035224e-20,2.06262000036993e-19,-3.27211478031358,3.37558463615492e-14,5.7260736293804e-14
"CM002236.1",180722,181522,".","+",-1.39302332401486,0.000169042373656215,0.000886151818150941,-1.58790599172323,2.02383239578072e-05,0.000110244153334508,-2.06140493841734,1.49076012870853e-07,3.84730787062856e-07,-2.17944203890891,2.62151578059898e-08,3.10235818127322e-08
"CM002236.1",184751,185551,".","-",-1.65051153057854,3.13006135116371e-05,0.00018586470501158,-1.01170605209143,0.00980233766603295,0.0334957325913181,-2.43856439808605,3.52800469399991e-09,1.04747396003272e-08,-3.39577088528739,3.5145592716168e-15,6.718715872521e-15
"CM002236.1",185539,186339,".","+",-1.57794809735574,3.59672374286002e-05,0.000209861011431224,-1.21690424237295,0.00134912254101003,0.00535657529596292,-2.58177650344523,1.3801674800554e-10,4.56203142422253e-10,-3.22272353988597,6.58604260796921e-15,1.19116835308554e-14
"CM002236.1",189295,190095,".","-",-2.3565161373473,2.48915984729533e-09,2.73807583202487e-08,-1.85509660480645,2.08334804875786e-06,1.37051621638875e-05,-3.24754689072136,6.18966188025287e-15,3.29624057273784e-14,-3.70495870899196,3.47381666996422e-18,1.35253174825389e-17
"CM002236.1",189906,190706,".","+",-2.11988924014956,6.63366659400558e-08,5.63441808174398e-07,-1.83249551775977,2.64513125722357e-06,1.65876922766076e-05,-3.49339307945643,1.08185019126785e-16,6.84831583340307e-16,-3.52688469923326,8.55503645864063e-17,2.28002051473913e-16
"CM002236.1",193764,194564,".","-",-1.42770554031758,0.000100070454124594,0.000550387497685265,-1.43968798926728,9.6790054350779e-05,0.000467238319923545,-2.24391857002446,1.02173258500054e-08,2.88059901065278e-08,-2.14305601887836,3.56962219665509e-08,4.19477494563146e-08
"CM002236.1",195035,195835,".","-",-2.20926679410381,1.12440558389659e-08,1.1095237452862e-07,-2.12565502532176,4.02812167343337e-08,3.33687610231332e-07,-3.53306125836989,3.97596958463469e-17,2.69482382958573e-16,-3.29500269457747,2.12651232169105e-15,4.1721923036687e-15
"CM002236.1",195990,196790,".","-",-2.32089491426271,2.37194474377264e-09,2.65262487178574e-08,-2.35043837032488,1.62157486144578e-09,1.5543953314716e-08,-3.74584161484175,6.58808722230819e-19,6.50089195024823e-18,-3.70527496619599,1.02348437253565e-18,5.08709639978832e-18
"CM002236.1",197694,198494,".","+",-1.45364663741013,0.000230395366025399,0.00117117644396245,-1.38586819204543,0.000430913453233199,0.00181850897559419,-4.41360665789659,1.46188421272353e-23,4.08718461140621e-22,-3.896392817461,3.04753791492244e-19,1.84158272817342e-18
"CM002236.1",209043,209843,".","-",-1.2155898373635,0.00177699957065154,0.00784451784149465,-1.21554138401058,0.00178192346673793,0.00687167038035144,-3.85711214530708,4.45726989911113e-19,4.74734619413265e-18,-3.54514240979124,9.7948794396663e-17,2.56732972813128e-16
