"seqnames","start","end","name","strand","logFC_WT","PValue_WT","FDR_WT","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7"
"CM002236.1",2878,3878,".","-",-1.0351846507051,0.000467542796734979,0.000793405958095723,-0.444476576598438,0.0996318600783735,0.129252142804376,-0.407616386559133,0.130310231213356,0.166479991207937,-0.641665440425336,0.0191886156830507,0.0338444875039634,-1.0199322589155,0.00129588247434013,0.0020933486123956
"CM002236.1",2177,3177,".","+",-2.09529363402646,3.89837581367453e-09,1.30985427339464e-07,-1.84394231183197,6.97328176273543e-09,1.80232513252239e-07,-1.30765572207297,2.43670010143694e-05,0.000122086399880783,-2.22440498743478,2.60794571370913e-11,4.17271314193461e-10,-2.55239628139371,4.60295216642996e-11,1.18968609840036e-09
"CM002236.1",14929,15929,".","+",-0.570005312345722,0.055929788545411,0.0677203926171463,-0.506066515898248,0.0768948663754694,0.103761747398224,-0.430307115161017,0.12994272657746,0.166326690019148,-1.03415867032543,0.000490468658776686,0.00142681791644127,-2.16610858218172,1.50724230971152e-09,2.53216708031536e-08
"CM002236.1",16440,17440,".","+",-2.79856002574411,1.69237409740237e-17,5.68637696727197e-15,-2.08960961900243,2.49081154495006e-13,2.09228169775805e-11,-2.23659221698657,1.10614102314802e-14,2.3045470149413e-12,-2.79309080013314,4.05535907382197e-20,5.6260344884299e-18,-3.62792752887526,1.58364146034642e-23,5.32103530676397e-21
"CM002236.1",33980,34980,".","+",-1.97485105228786,1.34972958008375e-10,1.13377284727035e-08,-2.04987448896095,1.23640683031676e-12,7.55332172702605e-11,-2.1186091463237,2.17400405455133e-13,2.43488454109749e-11,-2.32847037752899,5.97063167510651e-15,2.36015557980681e-13,-3.83566765391535,1.50954648926759e-23,5.32103530676397e-21
"CM002236.1",42632,43632,".","-",0.67233305612061,0.0125420923336159,0.0163656039770678,-0.154604645390994,0.566479560083923,0.610054910859609,-0.38032745967416,0.16211223139771,0.203625083176189,-0.923272294953912,0.00097088591307831,0.00255856993564166,0.471677223439368,0.118077294201799,0.140190709723691
"CM002236.1",44551,45551,".","-",0.771003341148572,0.00353228449038075,0.00494519828653306,0.274236478583598,0.296298121492834,0.338051507034269,0.311390543179022,0.23316483561569,0.275372178442432,0.333476561054003,0.205671219051605,0.268893111289258,0.727066445393924,0.0143196646593719,0.0194400295981776
"CM002236.1",48154,49154,".","-",-1.22778267584054,1.26284588560072e-05,3.49231454783408e-05,-1.19961448098179,5.77789210660503e-06,3.92196312690765e-05,-1.19917886582518,5.83240369527713e-06,3.73273836497736e-05,-1.56692748777186,1.01690661290721e-08,1.05132499057484e-07,-1.94779984019875,4.21385262176575e-10,1.01132462922378e-08
"CM002236.1",58145,59145,".","+",0.421802874025042,0.10812563955686,0.124846099282148,0.0428563305157004,0.869001795013889,0.887491194907801,0.0718688741847686,0.781163711282969,0.814207965940412,0.149043158822446,0.567355886928301,0.632277207323081,0.346448429342624,0.237983374649733,0.269233716775455
"CM002236.1",90323,91323,".","+",0.81402951216036,0.00238453635869368,0.00346092534134374,0.51140340508328,0.0545922265443837,0.0780552685911189,0.305604980695651,0.249392482160418,0.291463909585741,-0.628804285502315,0.0239229677717127,0.0409064487088828,0.125081834041017,0.682313125025561,0.714196915914606
