"seqnames","start","end","name","strand","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7"
"CM002236.1",1150,3878,".","-",-0.0544150137542772,0.870087363539306,0.999622041363546,-0.115036442043653,0.729061459691358,0.842471034327412,-0.035819311474266,0.914053203291772,0.99272766276234,-0.171280094969991,0.622887775414483,0.698674251775878
"CM002236.1",2177,6443,".","+",-0.172243361093731,0.616598734560279,0.999622041363546,-0.170891933193568,0.618957841392062,0.799883979645127,-0.172542281316701,0.615541840901214,0.99272766276234,-0.212807448544119,0.55460260876893,0.64479749670021
"CM002236.1",14929,16647,".","+",0.0124064740033131,0.971886845224671,0.999622041363546,-0.050383468314198,0.885876498479211,0.944649480162141,0.0904481343958898,0.79670934149763,0.99272766276234,0.0241000763456389,0.947792358707059,0.954897248952239
"CM002236.1",16440,19615,".","+",-0.106149230335079,0.758497659806073,0.999622041363546,0.0097658300164489,0.977395435269294,0.983390643289654,-0.343218141189249,0.320237457260551,0.99272766276234,-0.057031423872617,0.874560747170528,0.900201159773473
"CM002236.1",33980,39245,".","+",0.0126308045094841,0.971284205310119,0.999622041363546,-0.0261459188687564,0.940557996598532,0.970898577133969,0.0839001125113041,0.810874501112231,0.99272766276234,0.140556800821479,0.702451067357372,0.760140285449524
"CM002236.1",40949,43632,".","-",0.559541618898434,0.114698334153764,0.999622041363546,0.564604074349404,0.110681048920664,0.596875168669484,0.781109194095674,0.027775663453479,0.478596047198407,0.638231509383045,0.0871699146513656,0.360005301141491
"CM002236.1",43708,45551,".","-",0.51822242551204,0.126572390758135,0.999622041363546,0.67927534040848,0.0450982510013746,0.479730588844818,0.949232344427976,0.0053431129745017,0.188977469413955,0.638198528898148,0.0738673870697977,0.360005301141491
"CM002236.1",45331,49154,".","-",0.238394613213285,0.479381284164602,0.999622041363546,0.215949102543351,0.521070444308003,0.75391100844473,0.350511298158554,0.298046301464505,0.967570601855785,0.106928024080062,0.762158847400474,0.814261916459648
"CM002236.1",58145,61150,".","+",0.192703262311994,0.56436358115435,0.999622041363546,0.209492631632023,0.530359357199695,0.755087898386006,0.079684146454231,0.811360805334898,0.99272766276234,0.169650460195648,0.628764302761743,0.700712456809106
"CM002236.1",90323,92593,".","+",0.127934884968531,0.71368084244644,0.999622041363546,0.238011361557108,0.493915356608783,0.744383878002768,0.2987166046329,0.390699705789048,0.99272766276234,0.62728127055538,0.088191931146521,0.360005301141491
"CM002236.1",180222,181975,".","+",0.5658911433178,0.0894629194534071,0.999622041363546,0.45411168381102,0.170930245401058,0.627043440136158,0.439493035622259,0.185446643014035,0.878612099489331,0.222134871199398,0.524147253111674,0.617942024721132
"CM002236.1",182427,186051,".","-",0.163357414008388,0.644372140245858,0.999622041363546,0.339727094354862,0.336784923058741,0.685435843624428,0.175570972026138,0.619334534169272,0.99272766276234,0.371394639431425,0.318429503947696,0.449274342245459
"CM002236.1",185039,188208,".","+",0.178317761841831,0.602128107416558,0.999622041363546,0.242524105615325,0.477783488613364,0.739905955550422,-0.0847505366346254,0.804118787626343,0.99272766276234,0.315943443285879,0.37949974900194,0.499068163071044
"CM002236.1",188530,190595,".","-",0.184991803011597,0.5956058561948,0.999622041363546,0.506464469542636,0.146172102814347,0.596875168669484,0.174857830608283,0.615441215048903,0.99272766276234,0.455661395984137,0.214879042587455,0.391308869543317
"CM002236.1",189406,191138,".","+",0.347552004080827,0.313480227254302,0.999622041363546,0.567765511000297,0.0994305763678552,0.596875168669484,0.177858895083607,0.604973480322514,0.99272766276234,0.522429099361066,0.150552359934676,0.361019287011032
"CM002236.1",193143,195064,".","-",0.00178872557782405,0.995755128874507,0.999622041363546,0.289127916682118,0.390198819634023,0.70868542376774,0.0492850035022412,0.883593437903162,0.99272766276234,0.357468717098862,0.313007668097412,0.444695883639452
"CM002236.1",195020,196335,".","-",-0.318170313954002,0.370616125299307,0.999622041363546,0.230059755994471,0.514862605787821,0.75391100844473,-0.0480782324625158,0.891918610557603,0.99272766276234,0.453493643885829,0.224431783875294,0.39688989148473
"CM002236.1",195780,197290,".","-",-0.142914617697886,0.67793927034854,0.999622041363546,0.244827735530035,0.474284700810547,0.739905955550422,0.111441473356056,0.744988664659103,0.99272766276234,0.70798544634416,0.0501735024372136,0.360005301141491
"CM002236.1",197194,198497,".","+",-0.331979273710325,0.345933906186826,0.999622041363546,0.0424190799759558,0.903238514597907,0.952867004410979,-0.288721619955141,0.410604088320885,0.99272766276234,0.404207502892376,0.271898796240034,0.42165837680749
"CM002236.1",208394,210343,".","-",0.00517266926101213,0.987371238720678,0.999622041363546,0.368147941197219,0.260755070103424,0.661235498526419,-0.216651336516884,0.5086639732952,0.99272766276234,0.55790060527853,0.106089533188905,0.360005301141491
"CM002236.1",209486,212487,".","+",0.160704161400104,0.640536005230332,0.999622041363546,0.381200587176488,0.267952333758077,0.667692519474983,0.0430300270149347,0.900340570561088,0.99272766276234,0.401301689391101,0.267915233713652,0.420651955737323
"CM002236.1",213619,215734,".","+",0.220862751561726,0.53347344518792,0.999622041363546,0.541322518001958,0.127020913446502,0.596875168669484,0.0901978117390318,0.79893664633222,0.99272766276234,0.648572371064322,0.0831946147573744,0.360005301141491
"CM002236.1",216104,217521,".","-",0.0830460319566363,0.817351466077655,0.999622041363546,0.391526656588993,0.275086530064233,0.67370094211378,-0.0502738012683109,0.888572918966903,0.99272766276234,0.544248583566549,0.151129887523257,0.361019287011032
"CM002236.1",219395,221979,".","-",0.396692536074741,0.269683093833558,0.999622041363546,0.392171413536439,0.273865064937449,0.67370094211378,0.149359336525314,0.676690176865704,0.99272766276234,0.657803789657958,0.0826832102880742,0.360005301141491
"CM002236.1",223661,224874,".","+",0.3830416675744,0.269795558383581,0.999622041363546,0.792636854413048,0.0226090870099912,0.380443127322403,0.443829692501965,0.200188684818121,0.885044711827484,0.565198762597295,0.121635833944169,0.361019287011032
"CM002236.1",243323,247248,".","-",0.420567162255563,0.227994697598748,0.999622041363546,0.641228710730556,0.0663271697349088,0.57718072492225,0.510728225080229,0.143151551450777,0.878612099489331,0.590365521918129,0.10830435976461,0.360005301141491
"CM002236.1",246886,248478,".","-",0.290818016325936,0.396884950957002,0.999622041363546,0.457940859990867,0.180713762149786,0.629220974946403,0.0571022637490081,0.867411573954877,0.99272766276234,0.186354871884905,0.604883242833546,0.680873599973438
"CM002236.1",249096,252944,".","-",0.301796692590992,0.367824721141983,0.999622041363546,0.456218581239928,0.173381372906314,0.627043440136158,-0.0149923326100929,0.964252544024044,0.99272766276234,0.368977188499614,0.295003194577736,0.432425634776086
"CM002236.1",254974,256694,".","-",0.148662848491131,0.676040484849973,0.999622041363546,0.463400370614009,0.192290173518156,0.638646898064793,0.268091022366079,0.450552906193734,0.99272766276234,0.362153298240733,0.332959909684177,0.458502170712637
"CM002236.1",255165,256694,".","+",0.147235983847215,0.680382453333901,0.999622041363546,0.492179952959833,0.168062300297102,0.627043440136158,0.334704506457319,0.348645333710324,0.99272766276234,0.301778694861645,0.421629102075226,0.533611207477218
"CM002236.1",256492,259361,".","+",0.105691263136531,0.77218855540395,0.999622041363546,0.445139465745573,0.222539457198688,0.644015424600238,0.0513789408936417,0.887899766598493,0.99272766276234,0.445690325256114,0.245893575447109,0.408730020049444
"CM002236.1",262019,264387,".","-",0.252308268733413,0.499128685200301,0.999622041363546,0.484714995207967,0.194033086492232,0.638646898064793,0.0291018039356756,0.937768193303013,0.99272766276234,0.563557548320873,0.151989194799835,0.361019287011032
"CM002236.1",264035,266388,".","-",0.248531250143806,0.492442441076919,0.999622041363546,0.523802869531598,0.147901781706161,0.596875168669484,0.0995635466465528,0.782903310547319,0.99272766276234,0.634360727491175,0.096478222476071,0.360005301141491
"CM002236.1",290632,292877,".","+",0.0591045410037841,0.869581492739708,0.999622041363546,0.461380907649541,0.19927925179783,0.640744771330823,0.0329067960157819,0.927031354035448,0.99272766276234,0.594055894180196,0.117323156175575,0.360005301141491
"CM002236.1",292166,294573,".","+",-0.00297866088611655,0.993561000710057,0.999622041363546,0.419120016359316,0.253806362815785,0.655991830046951,-0.0432915809880142,0.906194826091239,0.99272766276234,0.687303409564198,0.0767673541609905,0.360005301141491
"CM002236.1",296498,298770,".","-",0.230239999686114,0.529669290014471,0.999622041363546,0.552678328431877,0.131359696966387,0.596875168669484,0.137431139211015,0.707065897739914,0.99272766276234,0.18186288812818,0.636706192517511,0.704449570799664
"CM002236.1",301352,303729,".","+",0.312080141875459,0.406203087819924,0.999622041363546,0.42339618078863,0.258875861561049,0.66103811638758,0.0677317131009942,0.856665456874569,0.99272766276234,0.668648977078173,0.092340991561497,0.360005301141491
"CM002236.1",8866489,8868649,".","-",0.0481588411734919,0.893656494970425,0.999622041363546,0.14006020662467,0.696792750977542,0.831025533687411,-0.0113204927228465,0.974900247851131,0.99272766276234,0.248670432040771,0.51167708794635,0.6096578069148
"CM002236.1",9649954,9652509,".","-",0.102342243438311,0.889053877948557,0.999622041363546,0.394401047373529,0.59062335578169,0.781196368498437,0.817829460876174,0.267634678529767,0.955448074466741,0.400403763747551,0.603403038573385,0.680347050203548
"CM002236.1",9687687,9689732,".","-",0.312555170376365,0.562563686008206,0.999622041363546,0.35673995602587,0.507782579378528,0.75391100844473,0.646020927313882,0.232727193910795,0.925437008119051,0.262859734141026,0.641310434520912,0.707652893264455
"CM002236.1",9689584,9691543,".","-",0.211038745171086,0.735137099216596,0.999622041363546,0.272407886766368,0.661912193289352,0.814492202712134,0.52569520184703,0.400420092352313,0.99272766276234,0.583213483114408,0.376046278357,0.496469742742444
"CM002236.1",9688977,9690773,".","+",0.250257047808533,0.65710611754347,0.999622041363546,0.246598894520692,0.661074157920723,0.814492202712134,0.584404177504531,0.301167660957833,0.973003212325308,0.488349985472163,0.410732355640378,0.523742206812778
"CM002236.1",9692169,9694340,".","-",0.282545847444957,0.629945721705671,0.999622041363546,0.205897699591986,0.72487209704823,0.841302330252867,-0.0695211552543385,0.90539490268859,0.99272766276234,0.249282408395757,0.684991490392383,0.743641811863783
"CM002236.1",9693631,9697675,".","+",0.00176580107033489,0.995895640271393,0.999622041363546,-0.113084965943184,0.741684476194646,0.84763940136531,-0.235440648650051,0.492759317372554,0.99272766276234,0.0567680572120423,0.874749043648926,0.900201159773473
"CM002236.1",9758596,9762612,".","+",0.244946970692026,0.821553843445552,0.999622041363546,0.389852411981504,0.71936353382255,0.840107536015225,0.288302677122087,0.79016190264954,0.99272766276234,0.207599909602529,0.855185007489059,0.88549202624445
"CM002236.1",9770840,9773169,".","-",-0.218729911090977,0.644092354932662,0.999622041363546,-0.205811350714363,0.66298695667193,0.814492202712134,0.131882327915487,0.779723699410501,0.99272766276234,0.291395767000473,0.556808865302362,0.646244486154037
"CM002237.1",8926,12029,".","-",0.263906224262768,0.427561534104998,0.999622041363546,0.299339622895567,0.367605135004631,0.696089688874415,0.60473109146336,0.069509543229509,0.706879074756216,0.474081547357955,0.175831556692424,0.36356555722249
"CM002237.1",10641,12594,".","+",0.426218834293208,0.238359249685542,0.999622041363546,0.599568062134589,0.0969948257533007,0.592550208238346,0.904948515967205,0.012565035074383,0.324757829614823,0.569725106267418,0.134108540501565,0.361019287011032
"CM002237.1",12520,14311,".","-",0.125654915271881,0.736372457299355,0.999622041363546,0.243289980780281,0.513326475643699,0.75391100844473,0.674401300957848,0.0706988553673189,0.706879074756216,0.410713832704373,0.293563638835302,0.432425634776086
"CM002237.1",15942,19173,".","-",0.138356742189358,0.688442666719119,0.999622041363546,0.0909157458979756,0.791892819552601,0.879446222563716,0.092716627172076,0.787840531962,0.99272766276234,0.202179036029283,0.576547622928326,0.661160414006544
"CM002237.1",18041,19908,".","+",0.146658395162242,0.667426772743513,0.999622041363546,0.061684562327701,0.856251432480575,0.925081933483837,-0.0222759905430513,0.947811262338986,0.99272766276234,0.0982783205388495,0.783452053590047,0.830409747653804
"CM002237.1",34370,36627,".","-",0.161041869496183,0.649812979897755,0.999622041363546,0.21195485510616,0.548987703599165,0.763808978920577,0.630298386989985,0.0757370437238802,0.706879074756216,0.657271817883128,0.0786472431819307,0.360005301141491
"CM002237.1",36176,39253,".","-",0.127673324431082,0.702957997445433,0.999622041363546,0.00220526409477155,0.994736582441359,0.99621905126765,0.101952224397577,0.760306981585433,0.99272766276234,0.0085724076550187,0.980505599307413,0.98142215573332
"CM002237.1",40798,42401,".","-",-0.273103095765242,0.433832254811925,0.999622041363546,-0.0335508956944424,0.923150555252991,0.962717278017104,0.0760927083170524,0.826856612157954,0.99272766276234,0.259107660874382,0.479217704761182,0.581289345847499
"CM002237.1",50942,53778,".","+",0.208105928780123,0.551282477983981,0.999622041363546,0.431054183111227,0.217168152988633,0.644015424600238,0.297386421751003,0.394060199074496,0.99272766276234,0.421098155953686,0.251968083680834,0.410907714194458
"CM002237.1",55203,56983,".","+",-0.0794751549692107,0.817335927794261,0.999622041363546,0.442960572935844,0.197676420829579,0.638646898064793,0.326536782155763,0.342057820168553,0.99272766276234,0.485816521344074,0.180040235100283,0.367741756800578
"CM002237.1",69444,71887,".","+",0.25046854617514,0.454393071588975,0.999622041363546,0.444443964365026,0.184200871883949,0.633677112365709,0.566737706889255,0.0905983746378387,0.729500362444835,0.625311155171216,0.0771188058532045,0.360005301141491
"CM002237.1",73201,75342,".","-",0.0544549809407199,0.87593504382439,0.999622041363546,0.260227462769347,0.454925552886551,0.734112360051077,0.589412268166056,0.0911875453056044,0.729500362444835,0.499240800204225,0.173860283915821,0.36356555722249
"CM002237.1",74558,76400,".","-",0.248273590638733,0.477830121849879,0.999622041363546,0.368718835746016,0.29073403751934,0.67370094211378,0.598209017013525,0.0868263050780645,0.722115450304486,0.658670098326795,0.0743041316460517,0.360005301141491
"CM002237.1",75424,78257,".","+",0.280563477078817,0.416533874865284,0.999622041363546,0.598285619272811,0.0836577396792988,0.586214766916258,0.763407294265232,0.0276082195013535,0.478596047198407,0.99023469316818,0.00700481104277089,0.360005301141491
"CM002237.1",106019,108114,".","+",0.114615406116085,0.740428203523289,0.999622041363546,0.52281321363701,0.131086959655476,0.596875168669484,0.407337220269019,0.238596637731703,0.925437008119051,0.498035020260317,0.171578426226776,0.36356555722249
"CM002237.1",147606,149334,".","-",0.259284966809624,0.437416574988719,0.999622041363546,0.318029226387753,0.339431690233958,0.685435843624428,0.445781054389495,0.181596139394633,0.878612099489331,0.356844999515276,0.309605860222845,0.443614366886464
"CM002237.1",561860,563629,".","+",0.208961221682028,0.533663275936141,0.999622041363546,0.224608374155792,0.502307469245597,0.753461203868395,-0.108813723508602,0.745570145199644,0.99272766276234,0.396376129997342,0.261361931773565,0.417185791334527
"CM002237.1",563402,565440,".","+",0.157008856835813,0.649301354025013,0.999622041363546,0.217734428903678,0.527309255120531,0.75391100844473,-0.154879380285499,0.653804541387322,0.99272766276234,0.587237805726001,0.106979952901862,0.360005301141491
"CM002237.1",565861,568505,".","-",0.231703624336474,0.494286190775292,0.999622041363546,0.344119739441759,0.30958129991779,0.67588846242711,-0.271319016981023,0.42375360864077,0.99272766276234,0.383125318518087,0.282875614235623,0.429102511887897
