"seqnames","start","end","name","strand","logFC_WT","PValue_WT","FDR_WT","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7"
"CM002236.1",2578,3378,".","-",0.914674034056027,0.00118775803748173,0.00256326776497813,0.671024927516081,0.0182591690181625,0.0247014161515868,0.920676728674803,0.00111619618018114,0.0038212634535793,1.24033922459607,1.07400074791858e-05,6.15944018678089e-05,0.881007486191672,0.00521413772703412,0.0172349084474872
"CM002236.1",2677,3477,".","+",0.9381115248251,0.000773213137474758,0.0017952457274933,0.678783552708801,0.0157826494610361,0.0217011430089247,0.969817481673929,0.000515478089226416,0.00216178623669328,1.21471229601601,1.30529995326088e-05,7.12078267185405e-05,0.925548270332161,0.00302361271587489,0.0117147830410046
"CM002236.1",15429,16229,".","+",-0.13284506866076,0.647465624439648,0.671482896443591,-0.830144689592704,0.00566001117355484,0.00859246040148257,-0.296073405984564,0.310404299002729,0.379383032114447,-0.150765163587733,0.604155329593592,0.64552265311672,0.601106202661445,0.0576375836765023,0.100758582255454
"CM002236.1",16940,17740,".","+",0.767843506047285,0.00330692220723777,0.00585473562284049,0.836766077082084,0.0014548093491181,0.00259673045350068,0.955184660690013,0.000266118774375112,0.00132270887115334,1.02196154333843,9.48247813348246e-05,0.000318137141378337,1.0479432524438,0.000345891320080179,0.00227542231150785
"CM002236.1",34480,35280,".","+",0.685915478710739,0.0114586430517742,0.0174047827177153,0.523858734849108,0.0563024107761518,0.0712809766618828,1.03643283712911,0.000132347762956592,0.000853897585998778,1.04613679043773,0.000116930763789159,0.000373621630964408,1.48718843606316,1.30373889839113e-06,8.74808800820446e-05
"CM002236.1",42332,43132,".","-",-0.528593670943581,0.0721257936580646,0.0916598627737904,-0.255987410188719,0.373972393357001,0.40670255420186,-0.212893918667076,0.457737366430767,0.525028671581273,-0.642865730220152,0.0261766428329885,0.0381837550889898,-0.330525411572004,0.298360780276785,0.37560991288128
"CM002236.1",44251,45051,".","-",-1.08292180435826,0.00024629378358361,0.000708909886737455,-1.58091018047305,1.5245641397108e-07,1.93015573159613e-06,-1.16971550457601,7.29187097525468e-05,0.000520515470680414,-1.2550420181467,2.3757067647332e-05,0.000109937878561102,-0.804961249487051,0.0110092147744232,0.0286324926885192
"CM002236.1",47854,48654,".","-",0.826625956276001,0.00123888445898711,0.00262780768002432,1.0149354817632,7.72863999121317e-05,0.000207436697364161,0.761721837497356,0.00293935955093083,0.00794236171503568,1.20303308358033,2.44466174637915e-06,2.13034809327326e-05,0.724006900869209,0.0113554078350714,0.029305687143588
"CM002236.1",58645,59445,".","+",-0.490620857780824,0.0805646821069901,0.101233898302978,-0.778109378546666,0.0059065869968248,0.00892639611457081,-0.323138853435947,0.24531023443433,0.307669471598945,-0.902542322384461,0.00160056688553124,0.00331475425985019,-0.250318475460885,0.412659894906392,0.492695354950514
"CM002236.1",90823,91623,".","+",-0.519040077547474,0.0784616225359095,0.0989619336872091,-0.807013307407923,0.00658570681711126,0.00988592678810213,-0.163322154685309,0.571835060027648,0.634039069653429,-0.393103655391625,0.177412764002921,0.219638311154907,-0.0468602091217444,0.883786971810668,0.90537566119841
"CM002236.1",180722,181522,".","+",-0.695441476848276,0.0111648969039309,0.017104214206707,-0.974154453310306,0.000395255908089332,0.000844639217604909,-0.660284284654411,0.0144934294751195,0.0277068124723795,-0.940366379559715,0.000596975755501242,0.00145508832872115,-0.453870529151309,0.121823880329236,0.180849167479905
"CM002236.1",184751,185551,".","-",-0.97090615573033,0.00122673335675722,0.00261742234362506,-0.514962619717936,0.0765962834160169,0.0950020446804941,-0.615087490190876,0.0355838672760786,0.0596919373556218,-0.654378473918051,0.0255404648678605,0.0374184539876297,-0.43801557221668,0.173889296499684,0.239588743226464
"CM002236.1",185539,186339,".","+",-0.502636350522991,0.0734452472954625,0.0931602286110687,-0.203067770572829,0.461457168570704,0.495420416177508,-0.255018958543095,0.357503070248161,0.428365285958064,-0.221522434756817,0.421916182947254,0.475807997911945,-0.148957853876404,0.623752227603173,0.685004492179589
"CM002236.1",189295,190095,".","-",-0.886488464666664,0.00282097335540071,0.00511587330128075,-0.774542605555509,0.00757325311122911,0.0110231081076675,-0.787016286723556,0.00693173067546294,0.0156605767112311,-0.664833669630358,0.0217103258704387,0.0323725081312541,-0.828835546711772,0.00984708842773491,0.0265752017477391
"CM002236.1",189906,190706,".","+",-1.02082540374915,0.000586030125141129,0.00144568461018271,-0.722489689530028,0.0121745014759886,0.0171259758708351,-0.885904641406544,0.00241814440437334,0.0068327341804325,-0.649515586875735,0.0236897999512471,0.0350128981658299,-0.977015440479234,0.00238760384206392,0.0102097694387803
"CM002236.1",193764,194564,".","-",-0.667052174136822,0.0133176520290044,0.0199913747459999,0.0837867901610847,0.747358837294365,0.767879087104953,-0.327493646782127,0.214910374301923,0.274285259236608,0.318469490174809,0.218270696008038,0.26341661334783,-0.224435944875238,0.438545436361013,0.518984105464268
"CM002236.1",195035,195835,".","-",-0.932986718152766,0.00126763009413199,0.00265806185363301,-0.183797879108418,0.503798225845289,0.535057685991123,-0.296414506920895,0.283193945505064,0.349950529344195,-0.265382928240707,0.33545600617939,0.384419302173112,-0.652704276417352,0.0351231707900809,0.0695210843662074
"CM002236.1",195990,196790,".","-",-0.454599623355883,0.108389616495452,0.133204089136352,0.432296946879237,0.112728701169339,0.13459245281962,-0.0951167311590707,0.730355412826962,0.775424813302043,0.862802814320797,0.00146072864704177,0.00308222931498436,-0.187776131832198,0.540663429303492,0.614463711246467
"CM002236.1",197694,198494,".","+",-0.86656627822069,0.00399788472470611,0.00690586741146768,-0.319784523070067,0.268203465734738,0.297954512430479,-0.461107889908365,0.11352669420608,0.159682578675945,-0.0726479395185956,0.798699543506191,0.818209761362831,-0.872472494655869,0.00744274118970133,0.0220003495078837
"CM002236.1",209043,209843,".","-",-0.91092646003267,0.00208768071170773,0.00404865247848523,-0.321824687733318,0.258839114859279,0.288986765508446,-0.367748030781175,0.199440273859313,0.256860698195007,0.303378381597897,0.277667878341965,0.328019623886371,-0.626592106572321,0.0493677428379228,0.0897716949708569
"CM002236.1",209986,210786,".","+",-0.764392872912336,0.00842855809817546,0.0134656249616089,-0.00915129702955107,0.973705475211404,0.974687663205369,-0.109884846520516,0.695434201298125,0.744341771071663,0.798348480089345,0.00369663609909489,0.00681440335849636,-0.147060447230269,0.63518941360818,0.693027799237542
"CM002236.1",214119,214919,".","+",-1.00535212317755,0.000917598531828614,0.0020730929793165,-0.598217098173771,0.0413799287572186,0.0536021857067446,-0.237319885593357,0.414532743960033,0.48290185971733,0.00866472575787183,0.975938946307987,0.979903561099397,-0.534061779796899,0.0997605184866527,0.155958236022329
"CM002236.1",216221,217021,".","-",-1.45596710660803,6.75940724256593e-06,4.67583738119767e-05,-1.39322296384456,1.03030524536721e-05,4.32084262275873e-05,-1.15459152946413,0.000237033864814509,0.00119586258113185,-1.41797034043448,8.44449254166504e-06,5.1738245289415e-05,-1.05415926962147,0.00210402069082795,0.00928814397069442
"CM002236.1",220679,221479,".","-",-1.13839309911602,0.000186549258897613,0.000561320864216585,-1.084976895167,0.000325656139605173,0.000714102188480624,-1.23443126990735,5.04416124381208e-05,0.000412760023731452,-1.17001487083841,0.000107533771799758,0.000351976394525063,-0.792773969897729,0.0164597240608292,0.0379535218034928
"CM002236.1",224161,224961,".","+",-0.708062181675203,0.0114411934333817,0.0174047827177153,-1.21243463392454,2.29140990042891e-05,7.72889844680595e-05,-0.389083995215111,0.158037680851295,0.211663241219998,-0.824500487908785,0.00333671472227695,0.00628914488384223,-0.467161543023641,0.122617812745757,0.181225886238773
"CM002236.1",245948,246748,".","-",-1.30025487510411,1.28329336485973e-05,7.11644502331307e-05,-1.30833062313171,7.86887419026085e-06,3.54363394742619e-05,-0.924940660668403,0.00140096390414777,0.00458559404723489,-0.907714324261256,0.00157007879696538,0.00327181016386263,-0.901412715394378,0.00416040082792454,0.0144445118358752
"CM002236.1",247178,247978,".","-",-0.856881672526766,0.00421719785929828,0.00723718609613593,-0.357058883752129,0.218736351709275,0.247507743671035,-0.450074749292562,0.119568371867052,0.166453065399983,-0.311274625076077,0.28078405199018,0.331117924227436,-0.167091447475362,0.600483091361572,0.665990337691926
"CM002236.1",251644,252444,".","-",-0.811853791823352,0.00336683533796987,0.00591399610413032,-0.649833437092941,0.0171570791675503,0.0235427405346139,-0.459883128115559,0.0877387133023756,0.127706456889141,-0.584769033334119,0.0314275060149198,0.0448677798638536,-0.320801813284464,0.281539964288135,0.357790371282838
"CM002236.1",255394,256194,".","-",-1.15370548431373,0.000132003039487242,0.000434128457663198,-1.20337976132016,5.22502136300906e-05,0.000154448869364717,-0.554477812766201,0.0556438552077918,0.0862286994097652,-1.15740679061301,0.000116773087312809,0.000373621630964408,-0.509013108840196,0.109387919323983,0.166816576969074
"CM002236.1",255665,256465,".","+",-1.22554454787716,7.94644134870838e-05,0.000294589068783609,-1.42046301176044,4.16910188153072e-06,2.11929345644478e-05,-0.901850268538755,0.00274763763019085,0.00755600348302483,-1.39397446930942,7.12828666565732e-06,4.59911572370775e-05,-0.674164784504304,0.0399477291825973,0.0757201307387649
"CM002236.1",256992,257792,".","+",-1.16074198740127,0.000338608702287697,0.000931173931291166,-1.42830276005181,1.07694391841034e-05,4.35318897140567e-05,-1.37637375922518,2.35615421704385e-05,0.000254996690263939,-1.36158406801183,2.47009527770876e-05,0.000113522872009766,-1.03299861745387,0.00307398252428901,0.0117865272788453
"CM002236.1",263087,263887,".","-",-1.25319900833288,0.000116987443934947,0.000396457448890655,-1.22173307198487,0.000118126907350656,0.000294658568149777,-0.717712668705868,0.0215848923945038,0.0389340397761077,-0.645565433096093,0.0374520405675528,0.0521375917444563,-0.716953259587123,0.035461216488309,0.0695744919989923
"CM002236.1",265088,265888,".","-",-0.645110099641218,0.0298409326817331,0.0412001354515287,-0.496436235901687,0.0921341943672032,0.111391071027736,-0.441144780044035,0.132551485633567,0.183020478290487,-0.304770669108151,0.295019319707116,0.346080355810271,-0.219978446710565,0.493646631086033,0.573074203215793
"CM002236.1",291132,291932,".","+",-1.23331972430676,0.000133279377464409,0.000434128457663198,-1.39394776460723,1.42060062685133e-05,5.26241497753303e-05,-1.27894277806568,6.73249969021361e-05,0.000501945254681481,-0.654088330349243,0.034436490696162,0.0487487030741027,-0.999900384641138,0.00395689371484646,0.0139699823394966
"CM002236.1",292666,293466,".","+",-1.3862473047246,2.37229109174745e-05,0.000112894136351953,-1.21139639191068,0.000149021790806337,0.000360987803722211,-1.12164281476175,0.000415981737173436,0.00184850162677732,-0.691915868106108,0.02664077994087,0.0386925613426922,-0.649673196442377,0.0593298318820818,0.10260391029092
